LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1709872531.332859,959255.000,25998,3,MX,1,100,15
1709872531.332859,959255.000,25998,3,MX,1,100,16
1709872531.332859,959255.000,25998,3,MX,1,100,17
1709872531.372859,959295.000,26013,2,MX,1,100,16
1709872531.412859,959335.000,26013,2,MX,1,100,15
1709872531.452860,959375.000,26032,3,MX,1,100,16
1709872531.492860,959415.000,26032,3,MX,1,100,15
1709872531.532861,959455.000,26032,3,MX,1,100,14
1709872531.573195,959495.333,26049,3,MX,1,100,15
1709872531.613528,959535.667,26049,3,MX,1,100,16
1709872531.653862,959576.000,26049,3,MX,1,100,15
1709872531.687363,959609.500,26065,2,MX,1,100,15
1709872531.720863,959643.000,26065,2,MX,1,100,15
1709872531.760864,959683.000,26080,3,MX,1,100,16
1709872531.800864,959723.000,26080,3,MX,1,100,16
1709872531.840864,959763.000,26080,3,MX,1,100,16
1709872531.880865,959803.000,26099,3,MX,1,100,15
1709872531.920865,959843.000,26099,3,MX,1,100,15
1709872531.960866,959883.000,26099,3,MX,1,100,15
1709872532.000866,959923.000,26116,2,MX,1,100,15
1709872532.040867,959963.000,26116,2,MX,1,100,15
1709872532.080867,960003.000,26132,3,MX,1,100,15
1709872532.120867,960043.000,26132,3,MX,1,100,17
1709872532.160868,960083.000,26132,3,MX,1,100,17
1709872532.200868,960123.000,26148,2,MX,1,100,15
1709872532.240869,960163.000,26148,2,MX,1,100,16
1709872532.280869,960203.000,26164,3,MX,1,100,16
1709872532.320870,960243.000,26164,3,MX,1,100,16
1709872532.360870,960283.000,26164,3,MX,1,100,17
1709872532.400871,960323.000,26181,2,MX,1,100,15
1709872532.440871,960363.000,26181,2,MX,1,100,16
1709872532.480872,960403.000,26198,3,MX,1,100,16
1709872532.520872,960443.000,26198,3,MX,1,100,15
1709872532.560873,960483.000,26198,3,MX,1,100,16
1709872532.600873,960523.000,26215,2,MX,1,100,15
1709872532.640873,960563.000,26215,2,MX,1,100,17
1709872532.680874,960603.000,26233,3,MX,1,100,16
1709872532.720874,960643.000,26233,3,MX,1,100,15
1709872532.760875,960683.000,26233,3,MX,1,100,16
1709872532.800875,960723.000,26250,2,MX,1,100,17
1709872532.840876,960763.000,26250,2,MX,1,100,17
1709872532.880876,960803.000,26267,3,MX,1,100,15
1709872532.920877,960843.000,26267,3,MX,1,100,17
