LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1709872531.240858,959163.000,25982,1,PI,1,100,178584
1709872531.280858,959203.000,25985,2,PI,1,100,178566
1709872531.320858,959243.000,25985,2,PI,1,100,178565
1709872531.360859,959283.000,26002,3,PI,1,100,178575
1709872531.400859,959323.000,26002,3,PI,1,100,178583
1709872531.440860,959363.000,26002,3,PI,1,100,178582
1709872531.480860,959403.000,26019,2,PI,1,100,178571
1709872531.520861,959443.000,26019,2,PI,1,100,178570
1709872531.560861,959483.000,26036,3,PI,1,100,178567
1709872531.600862,959523.000,26036,3,PI,1,100,178577
1709872531.640862,959563.000,26036,3,PI,1,100,178569
1709872531.680862,959603.000,26052,2,PI,1,100,178544
1709872531.720863,959643.000,26052,2,PI,1,100,178545
1709872531.760864,959683.000,26069,3,PI,1,100,178548
1709872531.800864,959723.000,26069,3,PI,1,100,178542
1709872531.840864,959763.000,26069,3,PI,1,100,178532
1709872531.880865,959803.000,26086,3,PI,1,100,178561
1709872531.920865,959843.000,26086,3,PI,1,100,178558
1709872531.960866,959883.000,26086,3,PI,1,100,178539
1709872532.000866,959923.000,26103,2,PI,1,100,178546
1709872532.040867,959963.000,26103,2,PI,1,100,178544
1709872532.080867,960003.000,26119,3,PI,1,100,178560
1709872532.120867,960043.000,26119,3,PI,1,100,178568
1709872532.160868,960083.000,26119,3,PI,1,100,178584
1709872532.200868,960123.000,26137,2,PI,1,100,178578
1709872532.240869,960163.000,26137,2,PI,1,100,178582
1709872532.280869,960203.000,26151,3,PI,1,100,178593
1709872532.320870,960243.000,26151,3,PI,1,100,178578
1709872532.360870,960283.000,26151,3,PI,1,100,178566
1709872532.400871,960323.000,26168,2,PI,1,100,178582
1709872532.440871,960363.000,26168,2,PI,1,100,178581
1709872532.480872,960403.000,26185,3,PI,1,100,178554
1709872532.520872,960443.000,26185,3,PI,1,100,178563
1709872532.560873,960483.000,26185,3,PI,1,100,178574
1709872532.600373,960522.500,26204,2,PI,1,100,178564
1709872532.639874,960562.000,26204,2,PI,1,100,178571
1709872532.679874,960602.000,26220,3,PI,1,100,178566
1709872532.719874,960642.000,26220,3,PI,1,100,178580
1709872532.759875,960682.000,26220,3,PI,1,100,178596
1709872532.800375,960722.500,26237,2,PI,1,100,178588
1709872532.840876,960763.000,26237,2,PI,1,100,178569
1709872532.880876,960803.000,26254,3,PI,1,100,178557
1709872532.920877,960843.000,26254,3,PI,1,100,178593
1709872532.960877,960883.000,26254,3,PI,1,100,178590
1709872533.000878,960923.000,26271,2,PI,1,100,178564
1709872533.040878,960963.000,26271,2,PI,1,100,178571
1709872533.080878,961003.000,26288,3,PI,1,100,178577
1709872533.120879,961043.000,26288,3,PI,1,100,178597
1709872533.160879,961083.000,26288,3,PI,1,100,178577
1709872533.200547,961122.667,26305,3,PI,1,100,178585
1709872533.240214,961162.333,26305,3,PI,1,100,178629
1709872533.279881,961202.000,26305,3,PI,1,100,178605
1709872533.319881,961242.000,26321,2,PI,1,100,178592
1709872533.359882,961282.000,26321,2,PI,1,100,178581
1709872533.400216,961322.333,26338,3,PI,1,100,178586
1709872533.440549,961362.667,26338,3,PI,1,100,178589
1709872533.480883,961403.000,26338,3,PI,1,100,178569
1709872533.520384,961442.500,26357,2,PI,1,100,178585
1709872533.559884,961482.000,26357,2,PI,1,100,178590
1709872533.600218,961522.333,26374,3,PI,1,100,178614
1709872533.640552,961562.667,26374,3,PI,1,100,178628
1709872533.680885,961603.000,26374,3,PI,1,100,178621
1709872533.720386,961642.500,26397,2,PI,1,100,178636
1709872533.759886,961682.000,26397,2,PI,1,100,178645
1709872533.799887,961722.000,26417,3,PI,1,100,178656
1709872533.839887,961762.000,26417,3,PI,1,100,178639
1709872533.879888,961802.000,26417,3,PI,1,100,178651
1709872533.919888,961842.000,26433,2,PI,1,100,178640
1709872533.959889,961882.000,26433,2,PI,1,100,178618
1709872534.000222,961922.333,26448,3,PI,1,100,178622
1709872534.040556,961962.667,26448,3,PI,1,100,178583
1709872534.080890,962003.000,26448,3,PI,1,100,178593
1709872534.120890,962043.000,26464,2,PI,1,100,178592
1709872534.160891,962083.000,26464,2,PI,1,100,178585
1709872534.200558,962122.667,26484,3,PI,1,100,178588
1709872534.240225,962162.333,26484,3,PI,1,100,178635
1709872534.279892,962202.000,26484,3,PI,1,100,178633
1709872534.319893,962242.000,26500,2,PI,1,100,178625
1709872534.359893,962282.000,26500,2,PI,1,100,178603
1709872534.400227,962322.333,26517,3,PI,1,100,178639
1709872534.440561,962362.667,26517,3,PI,1,100,178622
1709872534.480895,962403.000,26517,3,PI,1,100,178618
