LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1709872531.240858,959163.000,25983,1,PR,1,100,143429
1709872531.280858,959203.000,25986,2,PR,1,100,143417
1709872531.320858,959243.000,25986,2,PR,1,100,143415
1709872531.360859,959283.000,26003,3,PR,1,100,143429
1709872531.400859,959323.000,26003,3,PR,1,100,143427
1709872531.440860,959363.000,26003,3,PR,1,100,143416
1709872531.480860,959403.000,26020,2,PR,1,100,143438
1709872531.520861,959443.000,26020,2,PR,1,100,143435
1709872531.560861,959483.000,26037,3,PR,1,100,143437
1709872531.600862,959523.000,26037,3,PR,1,100,143418
1709872531.640862,959563.000,26037,3,PR,1,100,143417
1709872531.680862,959603.000,26053,2,PR,1,100,143432
1709872531.720863,959643.000,26053,2,PR,1,100,143424
1709872531.760864,959683.000,26070,3,PR,1,100,143409
1709872531.800864,959723.000,26070,3,PR,1,100,143436
1709872531.840864,959763.000,26070,3,PR,1,100,143422
1709872531.880865,959803.000,26087,3,PR,1,100,143423
1709872531.920865,959843.000,26087,3,PR,1,100,143421
1709872531.960866,959883.000,26087,3,PR,1,100,143422
1709872532.000866,959923.000,26104,2,PR,1,100,143413
1709872532.040867,959963.000,26104,2,PR,1,100,143436
1709872532.080867,960003.000,26120,3,PR,1,100,143409
1709872532.120867,960043.000,26120,3,PR,1,100,143417
1709872532.160868,960083.000,26120,3,PR,1,100,143416
1709872532.200868,960123.000,26138,2,PR,1,100,143436
1709872532.240869,960163.000,26138,2,PR,1,100,143422
1709872532.280869,960203.000,26152,3,PR,1,100,143422
1709872532.320870,960243.000,26152,3,PR,1,100,143423
1709872532.360870,960283.000,26152,3,PR,1,100,143419
1709872532.400871,960323.000,26169,2,PR,1,100,143431
1709872532.440871,960363.000,26169,2,PR,1,100,143445
1709872532.480872,960403.000,26186,3,PR,1,100,143422
1709872532.520872,960443.000,26186,3,PR,1,100,143431
1709872532.560873,960483.000,26186,3,PR,1,100,143437
1709872532.600373,960522.500,26205,2,PR,1,100,143415
1709872532.639874,960562.000,26205,2,PR,1,100,143422
1709872532.679874,960602.000,26221,3,PR,1,100,143425
1709872532.719874,960642.000,26221,3,PR,1,100,143441
1709872532.759875,960682.000,26221,3,PR,1,100,143424
1709872532.800375,960722.500,26238,2,PR,1,100,143424
1709872532.840876,960763.000,26238,2,PR,1,100,143436
1709872532.880876,960803.000,26255,3,PR,1,100,143434
1709872532.920877,960843.000,26255,3,PR,1,100,143429
1709872532.960877,960883.000,26255,3,PR,1,100,143431
1709872533.000878,960923.000,26272,2,PR,1,100,143420
1709872533.040878,960963.000,26272,2,PR,1,100,143436
1709872533.080878,961003.000,26289,3,PR,1,100,143442
1709872533.120879,961043.000,26289,3,PR,1,100,143440
1709872533.160879,961083.000,26289,3,PR,1,100,143425
1709872533.200547,961122.667,26306,3,PR,1,100,143426
1709872533.240214,961162.333,26306,3,PR,1,100,143448
1709872533.279881,961202.000,26306,3,PR,1,100,143421
1709872533.319881,961242.000,26322,2,PR,1,100,143427
1709872533.359882,961282.000,26322,2,PR,1,100,143417
1709872533.400216,961322.333,26339,3,PR,1,100,143433
1709872533.440549,961362.667,26339,3,PR,1,100,143424
1709872533.480883,961403.000,26339,3,PR,1,100,143451
1709872533.520384,961442.500,26358,2,PR,1,100,143439
1709872533.559884,961482.000,26358,2,PR,1,100,143438
1709872533.600218,961522.333,26375,3,PR,1,100,143435
1709872533.640552,961562.667,26375,3,PR,1,100,143463
1709872533.680885,961603.000,26375,3,PR,1,100,143462
1709872533.720386,961642.500,26398,2,PR,1,100,143463
1709872533.759886,961682.000,26398,2,PR,1,100,143454
1709872533.799887,961722.000,26418,3,PR,1,100,143445
1709872533.839887,961762.000,26418,3,PR,1,100,143462
1709872533.879888,961802.000,26418,3,PR,1,100,143469
1709872533.919888,961842.000,26434,2,PR,1,100,143464
1709872533.959889,961882.000,26434,2,PR,1,100,143444
1709872534.000222,961922.333,26449,3,PR,1,100,143459
1709872534.040556,961962.667,26449,3,PR,1,100,143459
1709872534.080890,962003.000,26449,3,PR,1,100,143432
1709872534.120890,962043.000,26465,2,PR,1,100,143448
1709872534.160891,962083.000,26465,2,PR,1,100,143433
1709872534.200558,962122.667,26485,3,PR,1,100,143432
1709872534.240225,962162.333,26485,3,PR,1,100,143457
1709872534.279892,962202.000,26485,3,PR,1,100,143441
1709872534.319893,962242.000,26501,2,PR,1,100,143435
1709872534.359893,962282.000,26501,2,PR,1,100,143445
1709872534.400227,962322.333,26518,3,PR,1,100,143445
1709872534.440561,962362.667,26518,3,PR,1,100,143466
1709872534.480895,962403.000,26518,3,PR,1,100,143470
1709872534.520562,962442.667,26535,3,PR,1,100,143467
1709872534.560229,962482.333,26535,3,PR,1,100,143471
1709872534.599896,962522.000,26535,3,PR,1,100,143447
1709872534.639896,962562.000,26552,2,PR,1,100,143430
1709872534.679897,962602.000,26552,2,PR,1,100,143427
1709872534.719897,962642.000,26570,3,PR,1,100,143428
1709872534.759898,962682.000,26570,3,PR,1,100,143427
1709872534.799898,962722.000,26570,3,PR,1,100,143419
1709872534.839899,962762.000,26587,2,PR,1,100,143440
1709872534.879899,962802.000,26587,2,PR,1,100,143439
1709872534.919899,962842.000,26604,3,PR,1,100,143446
1709872534.959900,962882.000,26604,3,PR,1,100,143449
1709872534.999901,962922.000,26604,3,PR,1,100,143442
1709872535.040401,962962.500,26623,2,PR,1,100,143439
1709872535.080901,963003.000,26623,2,PR,1,100,143446
1709872535.120569,963042.667,26640,3,PR,1,100,143423
1709872535.160236,963082.333,26640,3,PR,1,100,143424
1709872535.199903,963122.000,26640,3,PR,1,100,143430
1709872535.239903,963162.000,26659,2,PR,1,100,143416
1709872535.279904,963202.000,26659,2,PR,1,100,143411
1709872535.319904,963242.000,26675,3,PR,1,100,143434
