LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1709872533.735886,961658.000,26394,2,RD,1,100,TL
1709872533.735886,961658.000,26394,2,RD,1,100,TU
1709872536.288915,964211.000,27243,2,RD,1,100,TL
1709872538.841944,966764.000,27243,2,RD,1,100,TU
1709872541.396474,969318.500,28099,2,RD,1,100,TL
1709872543.951003,971873.000,28099,2,RD,1,100,TU
1709872546.513032,974435.000,28946,2,RD,1,100,TL
1709872549.075061,976997.000,28946,2,RD,1,100,TU
1709872551.639091,979561.000,29791,2,RD,1,100,TL
1709872554.203120,982125.000,29791,2,RD,1,100,TU
1709872556.755649,984677.500,30642,2,RD,1,100,TL
1709872559.308178,987230.000,30642,2,RD,1,100,TU
1709872561.864208,989786.000,31483,2,RD,1,100,TL
1709872564.420237,992342.000,31483,2,RD,1,100,TU
1709872566.985766,994907.500,32330,2,RD,1,100,TL
1709872569.551296,997473.000,32330,2,RD,1,100,TU
1709872572.102325,1000024.000,33176,2,RD,1,100,TL
1709872574.653354,1002575.000,33176,2,RD,1,100,TU
1709872577.208883,1005130.500,34009,2,RD,1,100,TL
1709872579.764412,1007686.000,34009,2,RD,1,100,TU
1709872582.324942,1010246.500,34841,2,RD,1,100,TL
1709872584.885471,1012807.000,34841,2,RD,1,100,TU
1709872587.442000,1015363.500,35675,2,RD,1,100,TL
1709872589.998529,1017920.000,35675,2,RD,1,100,TU
1709872592.552558,1020474.000,36457,2,RD,1,100,TL
1709872595.106588,1023028.000,36457,2,RD,1,100,TU
1709872597.672617,1025594.000,37308,2,RD,1,100,TL
1709872600.238646,1028160.000,37308,2,RD,1,100,TU
1709872602.810676,1030732.000,38159,2,RD,1,100,TL
1709872605.382705,1033304.000,38159,2,RD,1,100,TU
1709872607.945235,1035866.500,38998,2,RD,1,100,TL
1709872610.507764,1038429.000,38998,2,RD,1,100,TU
1709872613.064793,1040986.000,39822,2,RD,1,100,TL
1709872615.621822,1043543.000,39822,2,RD,1,100,TU
1709872618.181851,1046103.000,40667,2,RD,1,100,TL
1709872620.741881,1048663.000,40667,2,RD,1,100,TU
1709872623.314910,1051236.000,41514,2,RD,1,100,TL
1709872625.887940,1053809.000,41514,2,RD,1,100,TU
1709872628.435969,1056357.000,42341,2,RD,1,100,TL
1709872630.983998,1058905.000,42341,2,RD,1,100,TU
1709872633.545527,1061466.500,43184,2,RD,1,100,TL
1709872636.107056,1064028.000,43184,2,RD,1,100,TU
1709872638.678586,1066599.500,44018,2,RD,1,100,TL
1709872641.250115,1069171.000,44018,2,RD,1,100,TU
1709872643.822145,1071743.000,44868,2,RD,1,100,TL
1709872646.394174,1074315.000,44868,2,RD,1,100,TU
1709872648.948703,1076869.500,45709,2,RD,1,100,TL
1709872651.503232,1079424.000,45709,2,RD,1,100,TU
1709872654.067762,1081988.500,46553,2,RD,1,100,TL
1709872656.632291,1084553.000,46553,2,RD,1,100,TU
1709872659.199321,1087120.000,47392,2,RD,1,100,TL
1709872661.766350,1089687.000,47392,2,RD,1,100,TU
1709872664.328379,1092249.000,48239,2,RD,1,100,TL
1709872666.890408,1094811.000,48239,2,RD,1,100,TU
1709872669.460938,1097381.500,49087,2,RD,1,100,TL
1709872672.031467,1099952.000,49087,2,RD,1,100,TU
1709872674.592996,1102513.500,49936,2,RD,1,100,TL
1709872677.154526,1105075.000,49936,2,RD,1,100,TU
1709872679.721055,1107641.500,50762,2,RD,1,100,TL
1709872682.287585,1110208.000,50762,2,RD,1,100,TU
1709872684.852614,1112773.000,51605,2,RD,1,100,TL
1709872687.417643,1115338.000,51605,2,RD,1,100,TU
1709872689.985672,1117906.000,52450,2,RD,1,100,TL
1709872692.553702,1120474.000,52450,2,RD,1,100,TU
1709872695.117231,1123037.500,53301,2,RD,1,100,TL
1709872697.680760,1125601.000,53301,2,RD,1,100,TU
1709872700.255790,1128176.000,54138,2,RD,1,100,TL
1709872702.830819,1130751.000,54138,2,RD,1,100,TU
1709872705.395349,1133315.500,54986,2,RD,1,100,TL
1709872707.959878,1135880.000,54986,2,RD,1,100,TU
