LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1709872531.745863,959668,26083,1,SA,1,100,0.000010
1709872532.079867,960002,26202,1,SA,1,100,0.000051
1709872532.811875,960734,26286,1,SA,1,100,0.000020
1709872533.345881,961268,26354,1,SA,1,100,0.000016
1709872533.612885,961535,26414,1,SA,1,100,0.000021
1709872533.878888,961801,26515,1,SA,1,100,0.000056
1709872534.612896,962535,26567,1,SA,1,100,0.000002
1709872534.945900,962868,26620,1,SA,1,100,0.000014
1709872535.278904,963201,26708,1,SA,1,100,0.000031
1709872535.811910,963734,26775,1,SA,1,100,0.000007
1709872536.145914,964068,26893,1,SA,1,100,0.000059
1709872537.411928,965334,27025,1,SA,1,100,0.000007
1709872538.544941,966467,27263,1,SA,1,100,0.000016
1709872538.944946,966867,27300,1,SA,1,100,0.000012
1709872539.277949,967200,27351,1,SA,1,100,0.000010
1709872539.544952,967467,27418,1,SA,1,100,0.000019
1709872540.011958,967934,27505,1,SA,1,100,0.000026
1709872540.411962,968334,27555,1,SA,1,100,0.000010
1709872540.677965,968600,27606,1,SA,1,100,0.000035
1709872541.811978,969734,27772,1,SA,1,100,0.000004
1709872542.011981,969934,27805,1,SA,1,100,0.000004
1709872542.277984,970200,27873,1,SA,1,100,0.000035
1709872542.810990,970733,27975,1,SA,1,100,0.000039
1709872543.678000,971600,28078,1,SA,1,100,0.000021
1709872544.345007,972267,28182,1,SA,1,100,0.000019
1709872545.211017,973133,28349,1,SA,1,100,0.000022
1709872545.678023,973600,28420,1,SA,1,100,0.000008
1709872546.144028,974066,28503,1,SA,1,100,0.000035
1709872546.678034,974600,28621,1,SA,1,100,0.000051
1709872547.478043,975400,28703,1,SA,1,100,0.000014
1709872547.678046,975600,28738,1,SA,1,100,0.000006
1709872547.878048,975800,28805,1,SA,1,100,0.000048
1709872548.677057,976599,28924,1,SA,1,100,0.000042
1709872549.078061,977000,28964,1,SA,1,100,0.000013
1709872549.277064,977199,29000,1,SA,1,100,0.000024
1709872550.277075,978199,29167,1,SA,1,100,0.000021
1709872550.677080,978599,29235,1,SA,1,100,0.000011
1709872550.945083,978867,29269,1,SA,1,100,0.000002
1709872551.545090,979467,29419,1,SA,1,100,0.000060
1709872552.211097,980133,29486,1,SA,1,100,0.000015
1709872552.410100,980332,29553,1,SA,1,100,0.000026
1709872552.944106,980866,29654,1,SA,1,100,0.000076
1709872554.144119,982066,29810,1,SA,1,100,0.000005
1709872554.478123,982400,29877,1,SA,1,100,0.000047
1709872555.144131,983066,29997,1,SA,1,100,0.000020
1709872555.877139,983799,30130,1,SA,1,100,0.000021
1709872556.343144,984265,30197,1,SA,1,100,0.000028
1709872556.677148,984599,30266,1,SA,1,100,0.000041
1709872557.544158,985466,30367,1,SA,1,100,0.000011
1709872558.477169,986399,30551,1,SA,1,100,0.000005
1709872558.877173,986799,30620,1,SA,1,100,0.000036
1709872559.677183,987599,30775,1,SA,1,100,0.000038
1709872560.677194,988599,30942,1,SA,1,100,0.000037
1709872561.543204,989465,31090,1,SA,1,100,0.000069
1709872562.076210,989998,31126,1,SA,1,100,0.000025
1709872562.743218,990665,31258,1,SA,1,100,0.000022
1709872563.210223,991132,31325,1,SA,1,100,0.000028
1709872563.676228,991598,31376,1,SA,1,100,0.000012
1709872563.876231,991798,31445,1,SA,1,100,0.000030
1709872564.609239,992531,31537,1,SA,1,100,0.000022
1709872564.809241,992731,31604,1,SA,1,100,0.000033
1709872565.809253,993731,31757,1,SA,1,100,0.000022
1709872566.209257,994131,31858,1,SA,1,100,0.000059
1709872567.476272,995398,32024,1,SA,1,100,0.000010
1709872567.742275,995664,32058,1,SA,1,100,0.000004
1709872567.942277,995864,32176,1,SA,1,100,0.000069
1709872568.809287,996731,32259,1,SA,1,100,0.000026
1709872569.742298,997664,32430,1,SA,1,100,0.000032
1709872570.209303,998131,32468,1,SA,1,100,0.000026
1709872570.609308,998531,32552,1,SA,1,100,0.000017
1709872571.075313,998997,32602,1,SA,1,100,0.000013
1709872571.543318,999465,32687,1,SA,1,100,0.000002
1709872572.143325,1000065,32821,1,SA,1,100,0.000031
1709872573.276338,1001198,32987,1,SA,1,100,0.000023
1709872573.608342,1001530,33088,1,SA,1,100,0.000050
1709872574.408351,1002330,33155,1,SA,1,100,0.000006
1709872575.275361,1003197,33329,1,SA,1,100,0.000029
1709872575.741366,1003663,33364,1,SA,1,100,0.000005
1709872576.075370,1003997,33497,1,SA,1,100,0.000067
1709872576.675377,1004597,33534,1,SA,1,100,0.000008
1709872577.075382,1004997,33602,1,SA,1,100,0.000026
1709872577.609388,1005531,33690,1,SA,1,100,0.000041
1709872577.941391,1005863,33757,1,SA,1,100,0.000018
1709872578.408397,1006330,33858,1,SA,1,100,0.000044
1709872579.808413,1007730,34030,1,SA,1,100,0.000004
1709872580.008415,1007930,34063,1,SA,1,100,0.000034
1709872580.274418,1008196,34133,1,SA,1,100,0.000033
1709872580.674423,1008596,34184,1,SA,1,100,0.000025
1709872581.342430,1009264,34348,1,SA,1,100,0.000074
1709872582.208440,1010130,34418,1,SA,1,100,0.000009
1709872582.674446,1010596,34500,1,SA,1,100,0.000018
1709872583.341453,1011263,34618,1,SA,1,100,0.000036
1709872583.807458,1011729,34685,1,SA,1,100,0.000028
1709872584.074461,1011996,34718,1,SA,1,100,0.000020
1709872584.274464,1012196,34754,1,SA,1,100,0.000020
