LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1709872531.545861,959468.000,26018,1,SF,1,100,98.1020
1709872531.945866,959868.000,26085,1,SF,1,100,99.0494
1709872532.212869,960135.000,26136,1,SF,1,100,97.9036
1709872532.545872,960468.000,26184,1,SF,1,100,96.7710
1709872532.945877,960868.000,26253,1,SF,1,100,97.7338
1709872533.278881,961201.000,26304,1,SF,1,100,98.6855
1709872533.545884,961468.000,26356,1,SF,1,100,99.6261
1709872533.878888,961801.000,26416,1,SF,1,100,100.5559
1709872534.278892,962201.000,26483,1,SF,1,100,99.3927
1709872534.545895,962468.000,26533,1,SF,1,100,100.3251
1709872534.878899,962801.000,26585,1,SF,1,100,101.2468
1709872535.211903,963134.000,26638,1,SF,1,100,102.1579
1709872535.611907,963534.000,26707,1,SF,1,100,100.9761
1709872535.878911,963801.000,26758,1,SF,1,100,101.8902
1709872536.211914,964134.000,26808,1,SF,1,100,102.7938
1709872536.611919,964534.000,26875,1,SF,1,100,101.6047
1709872536.878922,964801.000,26928,1,SF,1,100,102.5116
1709872537.211926,965134.000,26976,1,SF,1,100,101.3257
1709872537.544930,965467.000,27027,1,SF,1,100,102.2358
1709872537.944934,965867.000,27092,1,SF,1,100,101.0532
1709872538.211937,966134.000,27142,1,SF,1,100,99.8842
1709872538.544941,966467.000,27193,1,SF,1,100,98.7287
1709872538.944946,966867.000,27265,1,SF,1,100,99.6689
1709872539.277949,967200.000,27317,1,SF,1,100,100.5981
1709872539.544952,967467.000,27370,1,SF,1,100,101.5167
1709872539.877956,967800.000,27420,1,SF,1,100,102.4246
1709872540.277961,968200.000,27487,1,SF,1,100,101.2397
1709872540.544964,968467.000,27538,1,SF,1,100,102.1508
1709872540.877968,968800.000,27589,1,SF,1,100,103.0514
1709872541.211972,969134.000,27641,1,SF,1,100,103.9415
1709872541.611976,969534.000,27706,1,SF,1,100,102.7391
1709872541.877979,969800.000,27754,1,SF,1,100,101.5506
1709872542.210983,970133.000,27807,1,SF,1,100,104.5404
1709872542.611988,970534.000,27872,1,SF,1,100,103.3311
1709872542.944991,970867.000,27926,1,SF,1,100,104.2180
1709872543.277995,971200.000,27977,1,SF,1,100,105.0946
1709872543.544998,971467.000,28029,1,SF,1,100,103.8789
1709872543.878002,971800.000,28080,1,SF,1,100,104.7595
1709872544.211006,972133.000,28133,1,SF,1,100,103.5476
1709872544.545010,972467.000,28184,1,SF,1,100,104.4320
1709872544.945014,972867.000,28249,1,SF,1,100,103.2239
1709872545.211017,973133.000,28297,1,SF,1,100,102.0298
1709872545.545021,973467.000,28351,1,SF,1,100,102.9318
1709872545.878025,973800.000,28402,1,SF,1,100,101.7411
1709872546.278029,974200.000,28471,1,SF,1,100,102.6464
1709872546.544033,974466.000,28522,1,SF,1,100,103.5412
1709872546.878036,974800.000,28570,1,SF,1,100,102.3434
1709872547.278041,975200.000,28637,1,SF,1,100,103.2418
1709872547.544044,975466.000,28688,1,SF,1,100,102.0475
1709872547.878048,975800.000,28740,1,SF,1,100,105.0315
1709872548.278052,976200.000,28807,1,SF,1,100,105.8987
1709872548.611056,976533.000,28858,1,SF,1,100,104.6737
1709872548.877059,976799.000,28908,1,SF,1,100,103.4628
1709872549.277064,977199.000,28966,1,SF,1,100,106.4304
1709872549.544067,977466.000,29019,1,SF,1,100,107.2815
1709872549.877071,977799.000,29067,1,SF,1,100,106.0405
1709872550.277075,978199.000,29134,1,SF,1,100,104.8138
1709872550.544078,978466.000,29185,1,SF,1,100,105.6835
1709872550.877082,978799.000,29237,1,SF,1,100,106.5432
1709872551.211086,979133.000,29288,1,SF,1,100,107.3930
1709872551.611090,979533.000,29353,1,SF,1,100,106.1507
1709872551.877093,979799.000,29401,1,SF,1,100,104.9227
1709872552.211097,980133.000,29452,1,SF,1,100,105.7912
1709872552.611102,980533.000,29519,1,SF,1,100,106.6496
1709872552.877105,980799.000,29571,1,SF,1,100,107.4982
1709872553.210109,981132.000,29620,1,SF,1,100,106.2546
1709872553.544112,981466.000,29672,1,SF,1,100,107.1077
1709872553.944117,981866.000,29737,1,SF,1,100,105.8687
1709872554.210120,982132.000,29795,1,SF,1,100,104.6440
1709872554.544124,982466.000,29845,1,SF,1,100,105.5157
1709872554.944129,982866.000,29912,1,SF,1,100,106.3773
1709872555.210132,983132.000,29961,1,SF,1,100,105.1468
1709872555.544135,983466.000,30015,1,SF,1,100,106.0127
1709872555.877139,983799.000,30064,1,SF,1,100,104.7863
1709872556.277144,984199.000,30129,1,SF,1,100,103.5741
1709872556.543147,984465.000,30179,1,SF,1,100,104.4582
1709872556.877151,984799.000,30230,1,SF,1,100,105.3321
1709872557.277155,985199.000,30300,1,SF,1,100,106.1959
1709872557.610159,985532.000,30349,1,SF,1,100,104.9674
1709872557.877162,985799.000,30402,1,SF,1,100,105.8354
1709872558.210166,986132.000,30450,1,SF,1,100,104.6111
1709872558.610170,986532.000,30517,1,SF,1,100,103.4009
1709872558.877173,986799.000,30570,1,SF,1,100,104.2870
1709872559.210177,987132.000,30622,1,SF,1,100,105.1629
1709872559.543181,987465.000,30676,1,SF,1,100,103.9463
1709872559.943186,987865.000,30741,1,SF,1,100,102.7439
1709872560.210189,988132.000,30793,1,SF,1,100,103.6376
1709872560.543193,988465.000,30844,1,SF,1,100,102.4387
1709872560.943197,988865.000,30909,1,SF,1,100,101.2537
1709872561.276201,989198.000,30959,1,SF,1,100,102.1646
1709872561.543204,989465.000,31010,1,SF,1,100,100.9828
1709872561.876208,989798.000,31058,1,SF,1,100,99.8146
1709872562.276212,990198.000,31125,1,SF,1,100,100.7422
1709872562.543215,990465.000,31176,1,SF,1,100,101.6590
1709872562.876219,990798.000,31224,1,SF,1,100,100.4830
1709872563.276224,991198.000,31292,1,SF,1,100,101.4029
1709872563.609228,991531.000,31344,1,SF,1,100,102.3121
1709872563.876231,991798.000,31394,1,SF,1,100,103.2108
1709872564.209234,992131.000,31447,1,SF,1,100,104.0991
1709872564.609239,992531.000,31501,1,SF,1,100,102.8949
1709872564.876242,992798.000,31555,1,SF,1,100,103.7869
1709872565.209246,993131.000,31606,1,SF,1,100,104.6685
1709872565.609251,993531.000,31673,1,SF,1,100,103.4577
1709872565.942254,993864.000,31723,1,SF,1,100,102.2609
1709872566.209257,994131.000,31776,1,SF,1,100,103.1602
1709872566.542261,994464.000,31826,1,SF,1,100,101.9668
1709872566.942266,994864.000,31893,1,SF,1,100,102.8695
1709872567.209269,995131.000,31942,1,SF,1,100,101.6795
1709872567.542273,995464.000,31991,1,SF,1,100,100.5033
1709872567.942277,995864.000,32060,1,SF,1,100,103.5051
1709872568.276281,996198.000,32110,1,SF,1,100,102.3078
1709872568.542284,996464.000,32158,1,SF,1,100,101.1243
1709872568.875288,996797.000,32209,1,SF,1,100,102.0367
1709872569.275292,997197.000,32276,1,SF,1,100,102.9386
1709872569.542295,997464.000,32333,1,SF,1,100,101.7478
1709872569.875299,997797.000,32382,1,SF,1,100,100.5708
1709872570.275304,998197.000,32451,1,SF,1,100,101.4896
1709872570.609308,998531.000,32501,1,SF,1,100,102.3978
1709872570.875311,998797.000,32554,1,SF,1,100,103.2955
1709872571.209314,999131.000,32604,1,SF,1,100,104.1829
1709872571.609319,999531.000,32669,1,SF,1,100,102.9777
1709872571.875322,999797.000,32720,1,SF,1,100,103.8687
1709872572.209326,1000131.000,32771,1,SF,1,100,102.6671
1709872572.542330,1000464.000,32823,1,SF,1,100,103.5617
1709872572.942334,1000864.000,32888,1,SF,1,100,102.3637
1709872573.208337,1001130.000,32938,1,SF,1,100,101.1795
1709872573.542341,1001464.000,32989,1,SF,1,100,102.0913
1709872573.942346,1001864.000,33054,1,SF,1,100,100.9103
1709872574.208349,1002130.000,33106,1,SF,1,100,101.8253
1709872574.542353,1002464.000,33157,1,SF,1,100,102.7296
1709872574.942357,1002864.000,33213,1,SF,1,100,101.5412
1709872575.208360,1003130.000,33261,1,SF,1,100,100.3666
1709872575.541364,1003463.000,33313,1,SF,1,100,99.2055
1709872575.875368,1003797.000,33366,1,SF,1,100,102.2224
1709872576.275372,1004197.000,33431,1,SF,1,100,101.0399
1709872576.542375,1004464.000,33480,1,SF,1,100,99.8710
1709872576.875379,1004797.000,33536,1,SF,1,100,102.8802
1709872577.275384,1005197.000,33601,1,SF,1,100,101.6901
1709872577.675388,1005597.000,33656,1,SF,1,100,102.5960
1709872577.875391,1005797.000,33692,1,SF,1,100,103.4914
1709872578.275395,1006197.000,33759,1,SF,1,100,104.3765
1709872578.608399,1006530.000,33807,1,SF,1,100,103.1690
1709872578.875402,1006797.000,33860,1,SF,1,100,104.0578
1709872579.208406,1007130.000,33908,1,SF,1,100,102.8541
1709872579.608411,1007530.000,33975,1,SF,1,100,101.6643
1709872580.008415,1007930.000,34029,1,SF,1,100,100.4882
1709872580.208417,1008130.000,34065,1,SF,1,100,103.4903
1709872580.608422,1008530.000,34132,1,SF,1,100,102.2931
1709872580.874425,1008796.000,34186,1,SF,1,100,105.2742
1709872581.208429,1009130.000,34235,1,SF,1,100,104.0564
1709872581.541433,1009463.000,34283,1,SF,1,100,102.8527
1709872581.941437,1009863.000,34350,1,SF,1,100,103.7451
1709872582.274441,1010196.000,34401,1,SF,1,100,102.5450
1709872582.541444,1010463.000,34451,1,SF,1,100,103.4410
1709872582.874448,1010796.000,34502,1,SF,1,100,104.3267
1709872583.274452,1011196.000,34568,1,SF,1,100,103.1198
1709872583.607456,1011529.000,34617,1,SF,1,100,101.9269
1709872583.874459,1011796.000,34668,1,SF,1,100,102.8301
1709872584.207463,1012129.000,34720,1,SF,1,100,105.8050
1709872584.541467,1012463.000,34773,1,SF,1,100,106.6633
1709872584.941472,1012863.000,34845,1,SF,1,100,107.5117
1709872585.274475,1013196.000,34895,1,SF,1,100,106.2680
1709872585.541478,1013463.000,34946,1,SF,1,100,105.0387
1709872585.874482,1013796.000,34996,1,SF,1,100,105.9058
1709872586.207486,1014129.000,35047,1,SF,1,100,106.7629
1709872586.607491,1014529.000,35112,1,SF,1,100,105.5279
1709872586.940494,1014862.000,35162,1,SF,1,100,104.3071
1709872587.207497,1015129.000,35213,1,SF,1,100,105.1828
1709872587.540501,1015462.000,35263,1,SF,1,100,106.0482
1709872587.940506,1015862.000,35333,1,SF,1,100,106.9037
1709872588.274510,1016196.000,35383,1,SF,1,100,105.6671
1709872588.540513,1016462.000,35433,1,SF,1,100,104.4447
1709872588.874516,1016796.000,35486,1,SF,1,100,105.3187
1709872589.207520,1017129.000,35536,1,SF,1,100,106.1826
1709872589.607525,1017529.000,35605,1,SF,1,100,107.0366
1709872589.874528,1017796.000,35656,1,SF,1,100,107.8806
1709872590.207532,1018129.000,35695,1,SF,1,100,108.7149
1709872590.607536,1018529.000,35762,1,SF,1,100,107.4573
1709872590.873539,1018795.000,35815,1,SF,1,100,108.2964
1709872591.207543,1019129.000,35865,1,SF,1,100,107.0437
1709872591.540547,1019462.000,35916,1,SF,1,100,107.8876
1709872591.940552,1019862.000,35981,1,SF,1,100,106.6396
1709872592.207555,1020129.000,36033,1,SF,1,100,107.4882
1709872592.540558,1020462.000,36082,1,SF,1,100,106.2448
