LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1709872531.745863,959668,26084,1,SR,1,100,0.066667
1709872532.079867,960002,26203,1,SR,1,100,0.466667
1709872532.811875,960734,26287,1,SR,1,100,0.266667
1709872533.345881,961268,26355,1,SR,1,100,0.133333
1709872533.612885,961535,26415,1,SR,1,100,0.133333
1709872533.878888,961801,26516,1,SR,1,100,0.466667
1709872534.612896,962535,26568,1,SR,1,100,0.066667
1709872534.945900,962868,26621,1,SR,1,100,0.066667
1709872535.278904,963201,26709,1,SR,1,100,0.266667
1709872535.811910,963734,26776,1,SR,1,100,0.066667
1709872536.145914,964068,26894,1,SR,1,100,0.466667
1709872537.411928,965334,27026,1,SR,1,100,0.066667
1709872538.544941,966467,27264,1,SR,1,100,0.266667
1709872538.944946,966867,27301,1,SR,1,100,0.066667
1709872539.277949,967200,27352,1,SR,1,100,0.133333
1709872539.544952,967467,27419,1,SR,1,100,0.200000
1709872540.011958,967934,27506,1,SR,1,100,0.266667
1709872540.411962,968334,27556,1,SR,1,100,0.133333
1709872540.677965,968600,27607,1,SR,1,100,0.200000
1709872541.811978,969734,27773,1,SR,1,100,0.066667
1709872542.011981,969934,27806,1,SR,1,100,0.133333
1709872542.277984,970200,27874,1,SR,1,100,0.266667
1709872542.810990,970733,27976,1,SR,1,100,0.333333
1709872543.678000,971600,28079,1,SR,1,100,0.133333
1709872544.345007,972267,28183,1,SR,1,100,0.133333
1709872545.211017,973133,28350,1,SR,1,100,0.200000
1709872545.678023,973600,28421,1,SR,1,100,0.200000
1709872546.144028,974066,28504,1,SR,1,100,0.266667
1709872546.678034,974600,28622,1,SR,1,100,0.400000
1709872547.478043,975400,28704,1,SR,1,100,0.066667
1709872547.678046,975600,28739,1,SR,1,100,0.066667
1709872547.878048,975800,28806,1,SR,1,100,0.266667
1709872548.677057,976599,28925,1,SR,1,100,0.266667
1709872549.078061,977000,28965,1,SR,1,100,0.066667
1709872549.277064,977199,29001,1,SR,1,100,0.133333
1709872550.277075,978199,29168,1,SR,1,100,0.133333
1709872550.677080,978599,29236,1,SR,1,100,0.133333
1709872550.945083,978867,29270,1,SR,1,100,0.066667
1709872551.545090,979467,29420,1,SR,1,100,0.400000
1709872552.211097,980133,29487,1,SR,1,100,0.066667
1709872552.410100,980332,29554,1,SR,1,100,0.266667
1709872552.944106,980866,29655,1,SR,1,100,0.400000
1709872554.144119,982066,29811,1,SR,1,100,0.066667
1709872554.478123,982400,29878,1,SR,1,100,0.133333
1709872555.144131,983066,29998,1,SR,1,100,0.266667
1709872555.877139,983799,30131,1,SR,1,100,0.333333
1709872556.343144,984265,30198,1,SR,1,100,0.200000
