LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1709872531.338859,959261.000,25990,1,T1,1,100,31.019
1709872531.472860,959395.000,26024,1,T1,1,100,30.973
1709872531.605862,959528.000,26041,1,T1,1,100,30.953
1709872531.738863,959661.000,26057,1,T1,1,100,31.015
1709872531.871865,959794.000,26091,1,T1,1,100,30.971
1709872532.005866,959928.000,26108,1,T1,1,100,30.952
1709872532.138868,960061.000,26124,1,T1,1,100,30.979
1709872532.271869,960194.000,26156,1,T1,1,100,30.849
1709872532.405871,960328.000,26173,1,T1,1,100,30.899
1709872532.538872,960461.000,26190,1,T1,1,100,31.027
1709872532.671874,960594.000,26225,1,T1,1,100,30.905
1709872532.805875,960728.000,26242,1,T1,1,100,30.888
1709872532.938877,960861.000,26259,1,T1,1,100,30.987
1709872533.071878,960994.000,26276,1,T1,1,100,30.888
1709872533.205880,961128.000,26310,1,T1,1,100,30.952
1709872533.338881,961261.000,26326,1,T1,1,100,30.944
1709872533.471883,961394.000,26343,1,T1,1,100,30.834
1709872533.605885,961528.000,26379,1,T1,1,100,30.893
1709872533.738886,961661.000,26402,1,T1,1,100,30.918
1709872533.871888,961794.000,26422,1,T1,1,100,30.894
1709872534.004889,961927.000,26453,1,T1,1,100,31.060
1709872534.138891,962061.000,26469,1,T1,1,100,31.026
1709872534.271892,962194.000,26489,1,T1,1,100,30.976
1709872534.404894,962327.000,26522,1,T1,1,100,30.954
1709872534.538895,962461.000,26539,1,T1,1,100,30.980
1709872534.671897,962594.000,26556,1,T1,1,100,30.920
1709872534.804898,962727.000,26574,1,T1,1,100,30.966
1709872534.938900,962861.000,26608,1,T1,1,100,30.985
1709872535.071901,962994.000,26627,1,T1,1,100,30.852
1709872535.204903,963127.000,26644,1,T1,1,100,31.078
1709872535.338904,963261.000,26679,1,T1,1,100,30.927
1709872535.471906,963394.000,26696,1,T1,1,100,30.898
1709872535.604907,963527.000,26715,1,T1,1,100,30.885
1709872535.738909,963661.000,26746,1,T1,1,100,30.915
1709872535.871910,963794.000,26764,1,T1,1,100,30.928
1709872536.004912,963927.000,26782,1,T1,1,100,30.933
1709872536.138913,964061.000,26814,1,T1,1,100,31.007
1709872536.271915,964194.000,26831,1,T1,1,100,30.932
1709872536.404917,964327.000,26847,1,T1,1,100,30.935
1709872536.538918,964461.000,26881,1,T1,1,100,30.936
1709872536.671920,964594.000,26900,1,T1,1,100,31.008
1709872536.804921,964727.000,26916,1,T1,1,100,30.897
1709872536.938923,964861.000,26934,1,T1,1,100,30.920
1709872537.071924,964994.000,26965,1,T1,1,100,31.001
1709872537.204926,965127.000,26982,1,T1,1,100,30.894
1709872537.338927,965261.000,26999,1,T1,1,100,30.954
1709872537.471929,965394.000,27033,1,T1,1,100,30.980
1709872537.604930,965527.000,27049,1,T1,1,100,30.920
1709872537.737932,965660.000,27066,1,T1,1,100,30.930
1709872537.871933,965794.000,27098,1,T1,1,100,31.005
1709872538.004935,965927.000,27114,1,T1,1,100,30.896
1709872538.137936,966060.000,27131,1,T1,1,100,30.955
1709872538.271938,966194.000,27165,1,T1,1,100,30.874
1709872538.404939,966327.000,27181,1,T1,1,100,30.839
1709872538.537941,966460.000,27199,1,T1,1,100,30.930
1709872538.671942,966594.000,27215,1,T1,1,100,31.041
1709872538.804944,966727.000,27251,1,T1,1,100,31.018
1709872538.937946,966860.000,27271,1,T1,1,100,30.937
1709872539.071947,966994.000,27287,1,T1,1,100,30.973
1709872539.204949,967127.000,27323,1,T1,1,100,30.988
1709872539.337950,967260.000,27340,1,T1,1,100,30.959
1709872539.471951,967394.000,27358,1,T1,1,100,30.982
