LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1709872531.353859,959276.000,25991,1,TH,1,100,29.621
1709872531.486860,959409.000,26025,1,TH,1,100,29.614
1709872531.620862,959543.000,26042,1,TH,1,100,29.636
1709872531.753863,959676.000,26058,1,TH,1,100,29.643
1709872531.886865,959809.000,26092,1,TH,1,100,29.676
1709872532.020866,959943.000,26109,1,TH,1,100,29.676
1709872532.153868,960076.000,26125,1,TH,1,100,29.676
1709872532.286870,960209.000,26157,1,TH,1,100,29.676
1709872532.420871,960343.000,26174,1,TH,1,100,29.704
1709872532.553873,960476.000,26191,1,TH,1,100,29.704
1709872532.686874,960609.000,26226,1,TH,1,100,29.638
1709872532.820876,960743.000,26243,1,TH,1,100,29.638
1709872532.953877,960876.000,26260,1,TH,1,100,29.522
1709872533.086879,961009.000,26293,1,TH,1,100,29.522
1709872533.220880,961143.000,26311,1,TH,1,100,29.580
1709872533.353882,961276.000,26327,1,TH,1,100,29.580
1709872533.486883,961409.000,26344,1,TH,1,100,29.689
1709872533.620885,961543.000,26380,1,TH,1,100,29.689
1709872533.753886,961676.000,26403,1,TH,1,100,29.608
1709872533.886888,961809.000,26423,1,TH,1,100,29.608
1709872534.020889,961943.000,26454,1,TH,1,100,29.694
1709872534.153891,962076.000,26470,1,TH,1,100,29.694
1709872534.286892,962209.000,26490,1,TH,1,100,29.691
1709872534.419894,962342.000,26523,1,TH,1,100,29.691
1709872534.553895,962476.000,26540,1,TH,1,100,29.663
1709872534.686897,962609.000,26557,1,TH,1,100,29.663
1709872534.819898,962742.000,26591,1,TH,1,100,29.620
1709872534.953900,962876.000,26609,1,TH,1,100,29.620
1709872535.086901,963009.000,26628,1,TH,1,100,29.618
1709872535.219903,963142.000,26645,1,TH,1,100,29.625
1709872535.353904,963276.000,26680,1,TH,1,100,29.653
1709872535.486906,963409.000,26697,1,TH,1,100,29.653
1709872535.620908,963543.000,26716,1,TH,1,100,29.671
1709872535.753909,963676.000,26747,1,TH,1,100,29.671
1709872535.886911,963809.000,26765,1,TH,1,100,29.640
1709872536.019912,963942.000,26783,1,TH,1,100,29.640
1709872536.153914,964076.000,26815,1,TH,1,100,29.592
1709872536.286915,964209.000,26832,1,TH,1,100,29.592
1709872536.419917,964342.000,26848,1,TH,1,100,29.612
1709872536.552918,964475.000,26882,1,TH,1,100,29.612
1709872536.686920,964609.000,26901,1,TH,1,100,29.648
1709872536.819921,964742.000,26917,1,TH,1,100,29.648
1709872536.952923,964875.000,26949,1,TH,1,100,29.637
1709872537.086924,965009.000,26966,1,TH,1,100,29.637
1709872537.219926,965142.000,26983,1,TH,1,100,29.728
1709872537.353927,965276.000,27000,1,TH,1,100,29.728
1709872537.486929,965409.000,27034,1,TH,1,100,29.605
1709872537.619931,965542.000,27050,1,TH,1,100,29.605
1709872537.752932,965675.000,27067,1,TH,1,100,29.609
1709872537.886934,965809.000,27099,1,TH,1,100,29.609
1709872538.019935,965942.000,27115,1,TH,1,100,29.700
1709872538.152936,966075.000,27132,1,TH,1,100,29.700
1709872538.286938,966209.000,27166,1,TH,1,100,29.660
1709872538.419940,966342.000,27182,1,TH,1,100,29.660
1709872538.553941,966476.000,27200,1,TH,1,100,29.635
1709872538.686943,966609.000,27231,1,TH,1,100,29.635
1709872538.819944,966742.000,27252,1,TH,1,100,29.619
1709872538.952946,966875.000,27272,1,TH,1,100,29.619
1709872539.086947,967009.000,27307,1,TH,1,100,29.564
1709872539.219949,967142.000,27324,1,TH,1,100,29.564
1709872539.352950,967275.000,27341,1,TH,1,100,29.564
1709872539.486952,967409.000,27359,1,TH,1,100,29.564
1709872539.619953,967542.000,27391,1,TH,1,100,29.685
1709872539.752955,967675.000,27408,1,TH,1,100,29.692
1709872539.886956,967809.000,27427,1,TH,1,100,29.642
1709872540.019958,967942.000,27458,1,TH,1,100,29.642
1709872540.152959,968075.000,27475,1,TH,1,100,29.727
1709872540.285961,968208.000,27494,1,TH,1,100,29.727
1709872540.419962,968342.000,27527,1,TH,1,100,29.687
1709872540.552964,968475.000,27545,1,TH,1,100,29.687
1709872540.685966,968608.000,27563,1,TH,1,100,29.629
1709872540.819967,968742.000,27595,1,TH,1,100,29.629
1709872540.952969,968875.000,27614,1,TH,1,100,29.647
1709872541.085970,969008.000,27630,1,TH,1,100,29.647
1709872541.219972,969142.000,27648,1,TH,1,100,29.727
1709872541.352973,969275.000,27679,1,TH,1,100,29.727
1709872541.485975,969408.000,27695,1,TH,1,100,29.553
1709872541.619976,969542.000,27713,1,TH,1,100,29.553
1709872541.752978,969675.000,27744,1,TH,1,100,29.674
1709872541.885979,969808.000,27761,1,TH,1,100,29.674
1709872542.019981,969942.000,27780,1,TH,1,100,29.720
1709872542.152982,970075.000,27814,1,TH,1,100,29.720
1709872542.285984,970208.000,27830,1,TH,1,100,29.704
1709872542.419985,970342.000,27847,1,TH,1,100,29.704
1709872542.552987,970475.000,27881,1,TH,1,100,29.677
1709872542.685988,970608.000,27897,1,TH,1,100,29.677
1709872542.819990,970742.000,27914,1,TH,1,100,29.589
1709872542.952991,970875.000,27933,1,TH,1,100,29.589
1709872543.085993,971008.000,27964,1,TH,1,100,29.725
1709872543.219995,971142.000,27984,1,TH,1,100,29.725
1709872543.352996,971275.000,28000,1,TH,1,100,29.679
1709872543.485997,971408.000,28019,1,TH,1,100,29.679
1709872543.618999,971541.000,28051,1,TH,1,100,29.626
1709872543.753000,971675.000,28067,1,TH,1,100,29.626
1709872543.886002,971808.000,28087,1,TH,1,100,29.639
