LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1709872533.728886,961651.000,26390,1,TL,1,100,2024-03-07_23-35-28-684774
1709872533.733886,961656.000,26392,1,TL,1,100,2024-03-07_23-35-28-802825
1709872533.767886,961690.000,26395,1,TL,1,100,2024-03-07_23-35-33-764685
1709872538.836944,966759.000,27241,1,TL,1,100,2024-03-07_23-35-33-811907
1709872538.854944,966777.000,27244,1,TL,1,100,2024-03-07_23-35-38-846879
1709872543.948003,971870.000,28097,1,TL,1,100,2024-03-07_23-35-38-893528
1709872549.067061,976989.000,28942,1,TL,1,100,2024-03-07_23-35-43-986901
1709872549.073061,976995.000,28944,1,TL,1,100,2024-03-07_23-35-44-088181
1709872554.195120,982117.000,29787,1,TL,1,100,2024-03-07_23-35-49-205861
1709872554.201120,982123.000,29789,1,TL,1,100,2024-03-07_23-35-49-216874
1709872554.214120,982136.000,29792,1,TL,1,100,2024-03-07_23-35-54-208620
1709872559.306178,987228.000,30640,1,TL,1,100,2024-03-07_23-35-54-308901
1709872559.346179,987268.000,30643,1,TL,1,100,2024-03-07_23-35-59-340200
1709872564.413237,992335.000,31481,1,TL,1,100,2024-03-07_23-35-59-393935
1709872569.545295,997467.000,32326,1,TL,1,100,2024-03-07_23-36-04-533385
1709872569.548295,997470.000,32328,1,TL,1,100,2024-03-07_23-36-04-587177
1709872569.586296,997508.000,32331,1,TL,1,100,2024-03-07_23-36-09-572818
1709872574.651354,1002573.000,33174,1,TL,1,100,2024-03-07_23-36-09-631696
1709872574.680354,1002602.000,33177,1,TL,1,100,2024-03-07_23-36-14-669722
1709872579.763412,1007685.000,34007,1,TL,1,100,2024-03-07_23-36-14-793871
1709872579.810413,1007732.000,34010,1,TL,1,100,2024-03-07_23-36-19-801401
1709872584.883471,1012805.000,34839,1,TL,1,100,2024-03-07_23-36-19-927983
1709872584.897471,1012819.000,34842,1,TL,1,100,2024-03-07_23-36-24-890932
1709872589.992529,1017914.000,35673,1,TL,1,100,2024-03-07_23-36-25-190432
1709872595.104588,1023026.000,36455,1,TL,1,100,2024-03-07_23-36-30-191076
1709872595.209589,1023131.000,36458,1,TL,1,100,2024-03-07_23-36-35-175191
1709872600.236646,1028158.000,37306,1,TL,1,100,2024-03-07_23-36-35-287189
1709872600.276647,1028198.000,37309,1,TL,1,100,2024-03-07_23-36-40-266589
1709872605.377705,1033299.000,38157,1,TL,1,100,2024-03-07_23-36-40-378140
1709872605.400705,1033322.000,38160,1,TL,1,100,2024-03-07_23-36-45-385617
1709872610.505764,1038427.000,38996,1,TL,1,100,2024-03-07_23-36-45-572657
1709872615.616822,1043538.000,39820,1,TL,1,100,2024-03-07_23-36-50-669187
1709872615.637822,1043559.000,39823,1,TL,1,100,2024-03-07_23-36-55-631628
1709872620.740881,1048662.000,40665,1,TL,1,100,2024-03-07_23-36-55-763890
1709872625.880939,1053802.000,41510,1,TL,1,100,2024-03-07_23-37-00-793363
1709872625.885940,1053807.000,41512,1,TL,1,100,2024-03-07_23-37-00-962838
1709872625.900940,1053822.000,41515,1,TL,1,100,2024-03-07_23-37-05-892172
1709872631.053999,1058975.000,42342,1,TL,1,100,2024-03-07_23-37-11-045248
1709872636.105057,1064026.000,43182,1,TL,1,100,2024-03-07_23-37-11-151269
1709872641.244115,1069165.000,44014,1,TL,1,100,2024-03-07_23-37-16-217579
1709872641.247115,1069168.000,44016,1,TL,1,100,2024-03-07_23-37-16-279218
1709872641.272115,1069193.000,44019,1,TL,1,100,2024-03-07_23-37-21-255723
1709872646.387174,1074308.000,44866,1,TL,1,100,2024-03-07_23-37-21-377850
1709872651.498232,1079419.000,45705,1,TL,1,100,2024-03-07_23-37-26-489964
1709872651.500232,1079421.000,45707,1,TL,1,100,2024-03-07_23-37-26-531953
1709872651.604234,1079525.000,45710,1,TL,1,100,2024-03-07_23-37-31-563069
1709872656.630291,1084551.000,46551,1,TL,1,100,2024-03-07_23-37-31-639915
1709872656.648291,1084569.000,46554,1,TL,1,100,2024-03-07_23-37-36-640109
1709872661.764350,1089685.000,47390,1,TL,1,100,2024-03-07_23-37-36-803454
1709872661.780350,1089701.000,47393,1,TL,1,100,2024-03-07_23-37-41-773350
