RD,TS_received,TS_sent,AK,RoundTrip,
961658,961690,2024-03-07_23-35-33-764685,961691,32,
966764,966777,2024-03-07_23-35-38-846879,966778,13,
971873,976989,2024-03-07_23-35-43-986901,976994,5116,
976997,982117,2024-03-07_23-35-49-205861,982121,5120,
982125,982136,2024-03-07_23-35-54-208620,982137,11,
987230,987268,2024-03-07_23-35-59-340200,987270,38,
992342,997467,2024-03-07_23-36-04-533385,997468,5125,
997473,997508,2024-03-07_23-36-09-572818,997509,35,
1002575,1002602,2024-03-07_23-36-14-669722,1002608,27,
1007686,1007732,2024-03-07_23-36-19-801401,1007733,46,
1012807,1012819,2024-03-07_23-36-24-890932,1012820,12,
1017920,1023026,2024-03-07_23-36-30-191076,1023028,5106,
1023028,1023131,2024-03-07_23-36-35-175191,1023132,103,
1028160,1028198,2024-03-07_23-36-40-266589,1028199,38,
1033304,1033322,2024-03-07_23-36-45-385617,1033323,18,
1038429,1043538,2024-03-07_23-36-50-669187,1043542,5109,
1043543,1043559,2024-03-07_23-36-55-631628,1043560,16,
1048663,1053802,2024-03-07_23-37-00-793363,1053803,5139,
1053809,1053822,2024-03-07_23-37-05-892172,1053823,13,
1058905,1058975,2024-03-07_23-37-11-045248,1058976,70,
1064028,1069165,2024-03-07_23-37-16-217579,1069167,5137,
1069171,1069193,2024-03-07_23-37-21-255723,1069194,22,
1074315,1079419,2024-03-07_23-37-26-489964,1079420,5104,
1079424,1079525,2024-03-07_23-37-31-563069,1079527,101,
1084553,1084569,2024-03-07_23-37-36-640109,1084570,16,
1089687,1089701,2024-03-07_23-37-41-773350,1089703,14,
1094811,1099944,2024-03-07_23-37-46-963822,1099945,5133,
1099952,1105071,2024-03-07_23-37-52-180980,1105072,5119,
1105075,1105104,2024-03-07_23-37-57-170931,1105105,29,
1110208,1110234,2024-03-07_23-38-02-305953,1110235,26,
1115338,1115380,2024-03-07_23-38-07-451208,1115381,42,
1120474,1120549,2024-03-07_23-38-12-567131,1120550,75,
1125601,1125680,2024-03-07_23-38-17-736017,1125681,79,
1130751,1130796,2024-03-07_23-38-22-836963,1130800,45,
1135880,
