LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1709872303.404979,731325.000,54066,2,AK,1,100,53247
1709872303.404979,731325.000,54066,2,AK,1,100,RD
1709872303.438478,731358.500,54069,2,AK,1,100,54067
1709872303.471978,731392.000,54069,2,AK,1,100,RD
1709872306.010432,733930.500,54899,2,AK,1,100,54067
1709872308.548887,736469.000,54899,2,AK,1,100,RD
1709872308.584886,736505.000,54902,2,AK,1,100,54900
1709872308.620885,736541.000,54902,2,AK,1,100,RD
1709872311.145840,739066.000,55738,2,AK,1,100,54900
1709872313.670795,741591.000,55738,2,AK,1,100,RD
1709872313.692295,741612.500,55741,2,AK,1,100,55739
1709872313.713794,741634.000,55741,2,AK,1,100,RD
1709872316.252249,744172.500,56579,2,AK,1,100,55739
1709872318.790703,746711.000,56579,2,AK,1,100,RD
1709872318.801703,746722.000,56582,2,AK,1,100,56580
1709872318.812703,746733.000,56582,2,AK,1,100,RD
1709872321.355657,749276.000,57412,2,AK,1,100,56580
1709872323.898612,751819.000,57412,2,AK,1,100,RD
1709872323.909111,751829.500,57415,2,AK,1,100,57413
1709872323.919611,751840.000,57415,2,AK,1,100,RD
1709872326.478565,754399.000,58256,2,AK,1,100,57413
1709872329.037519,756958.000,58256,2,AK,1,100,RD
1709872329.059519,756980.000,58259,2,AK,1,100,58257
1709872329.081518,757002.000,58259,2,AK,1,100,RD
1709872331.622973,759543.500,59105,2,AK,1,100,58257
1709872334.164427,762085.000,59105,2,AK,1,100,RD
1709872334.196427,762117.000,59108,2,AK,1,100,59106
1709872334.228426,762149.000,59108,2,AK,1,100,RD
1709872336.758881,764679.500,59953,2,AK,1,100,59106
1709872339.289335,767210.000,59953,2,AK,1,100,RD
1709872341.851789,769772.500,60804,2,AK,1,100,59954
1709872344.414243,772335.000,60804,2,AK,1,100,RD
1709872344.415244,772336.000,60806,2,AK,1,100,59954
1709872344.416244,772337.000,60806,2,AK,1,100,RD
1709872346.986197,774907.000,61647,2,AK,1,100,60807
1709872349.556151,777477.000,61647,2,AK,1,100,RD
1709872349.557651,777478.500,61649,2,AK,1,100,60807
1709872349.559151,777480.000,61649,2,AK,1,100,RD
1709872349.601151,777522.000,61652,2,AK,1,100,61650
1709872349.643150,777564.000,61652,2,AK,1,100,RD
1709872352.162605,780083.500,62482,2,AK,1,100,61650
1709872354.682059,782603.000,62482,2,AK,1,100,RD
1709872354.714059,782635.000,62485,2,AK,1,100,62483
1709872354.746058,782667.000,62485,2,AK,1,100,RD
1709872357.269513,785190.500,63315,2,AK,1,100,62483
1709872359.792968,787714.000,63315,2,AK,1,100,RD
1709872362.348422,790269.500,64145,2,AK,1,100,63316
1709872364.903876,792825.000,64145,2,AK,1,100,RD
1709872367.458330,795379.500,64928,2,AK,1,100,64146
1709872370.012784,797934.000,64928,2,AK,1,100,RD
1709872370.015785,797937.000,64930,2,AK,1,100,64146
1709872370.018784,797940.000,64930,2,AK,1,100,RD
1709872372.603238,800524.500,247,2,AK,1,100,64931
1709872375.187692,803109.000,247,2,AK,1,100,RD
1709872375.191192,803112.500,249,2,AK,1,100,64931
1709872375.194691,803116.000,249,2,AK,1,100,RD
1709872375.219691,803141.000,252,2,AK,1,100,250
1709872375.244691,803166.000,252,2,AK,1,100,RD
1709872377.801145,805722.500,1097,2,AK,1,100,1095
1709872380.357599,808279.000,1097,2,AK,1,100,RD
1709872382.881054,810802.500,1949,2,AK,1,100,1095
1709872385.404508,813326.000,1949,2,AK,1,100,RD
1709872385.425008,813346.500,1952,2,AK,1,100,1950
1709872385.445508,813367.000,1952,2,AK,1,100,RD
