LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1709872303.371979,731292.000,54056,1,AX,1,100,0.332
1709872303.411646,731331.667,54079,3,AX,1,100,0.328
1709872303.451312,731371.333,54079,3,AX,1,100,0.320
1709872303.490978,731411.000,54079,3,AX,1,100,0.323
1709872303.526977,731447.000,54095,3,AX,1,100,0.329
1709872303.562976,731483.000,54095,3,AX,1,100,0.331
1709872303.598975,731519.000,54095,3,AX,1,100,0.324
1709872303.638975,731559.000,54111,2,AX,1,100,0.326
1709872303.678974,731599.000,54111,2,AX,1,100,0.331
1709872303.718973,731639.000,54130,3,AX,1,100,0.324
1709872303.758973,731679.000,54130,3,AX,1,100,0.326
1709872303.798972,731719.000,54130,3,AX,1,100,0.329
1709872303.838971,731759.000,54147,2,AX,1,100,0.328
1709872303.878970,731799.000,54147,2,AX,1,100,0.328
1709872303.918970,731839.000,54162,3,AX,1,100,0.328
1709872303.958969,731879.000,54162,3,AX,1,100,0.328
1709872303.998968,731919.000,54162,3,AX,1,100,0.330
1709872304.038968,731959.000,54178,3,AX,1,100,0.333
1709872304.078967,731999.000,54178,3,AX,1,100,0.323
1709872304.118966,732039.000,54178,3,AX,1,100,0.329
1709872304.158966,732079.000,54195,2,AX,1,100,0.332
1709872304.198965,732119.000,54195,2,AX,1,100,0.329
1709872304.238964,732159.000,54212,3,AX,1,100,0.327
1709872304.278963,732199.000,54212,3,AX,1,100,0.326
1709872304.318963,732239.000,54212,3,AX,1,100,0.322
1709872304.358962,732279.000,54227,2,AX,1,100,0.328
1709872304.398961,732319.000,54227,2,AX,1,100,0.328
1709872304.438961,732359.000,54243,3,AX,1,100,0.327
1709872304.478960,732399.000,54243,3,AX,1,100,0.329
1709872304.518959,732439.000,54243,3,AX,1,100,0.332
1709872304.558958,732479.000,54261,2,AX,1,100,0.330
1709872304.598958,732519.000,54261,2,AX,1,100,0.324
1709872304.638957,732559.000,54277,3,AX,1,100,0.327
1709872304.678956,732599.000,54277,3,AX,1,100,0.329
1709872304.718956,732639.000,54277,3,AX,1,100,0.327
1709872304.758955,732679.000,54292,2,AX,1,100,0.325
1709872304.798954,732719.000,54292,2,AX,1,100,0.326
1709872304.838953,732759.000,54309,3,AX,1,100,0.328
1709872304.878953,732799.000,54309,3,AX,1,100,0.329
1709872304.918952,732839.000,54309,3,AX,1,100,0.323
1709872304.958951,732879.000,54326,2,AX,1,100,0.324
1709872304.998950,732919.000,54326,2,AX,1,100,0.330
1709872305.038950,732959.000,54342,3,AX,1,100,0.330
1709872305.078949,732999.000,54342,3,AX,1,100,0.330
