LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1709872303.371979,731292.000,54057,1,AY,1,100,-0.014
1709872303.411646,731331.667,54080,3,AY,1,100,-0.011
1709872303.451312,731371.333,54080,3,AY,1,100,-0.008
1709872303.490978,731411.000,54080,3,AY,1,100,-0.001
1709872303.526977,731447.000,54096,3,AY,1,100,-0.009
1709872303.562976,731483.000,54096,3,AY,1,100,-0.009
1709872303.598975,731519.000,54096,3,AY,1,100,-0.011
1709872303.638975,731559.000,54112,2,AY,1,100,-0.010
1709872303.678974,731599.000,54112,2,AY,1,100,-0.008
1709872303.718973,731639.000,54131,3,AY,1,100,-0.007
1709872303.758973,731679.000,54131,3,AY,1,100,-0.012
1709872303.798972,731719.000,54131,3,AY,1,100,-0.010
1709872303.838971,731759.000,54148,2,AY,1,100,-0.011
1709872303.878970,731799.000,54148,2,AY,1,100,-0.010
1709872303.918970,731839.000,54163,3,AY,1,100,-0.003
1709872303.958969,731879.000,54163,3,AY,1,100,-0.009
1709872303.998968,731919.000,54163,3,AY,1,100,-0.013
1709872304.038968,731959.000,54179,3,AY,1,100,-0.012
1709872304.078967,731999.000,54179,3,AY,1,100,-0.007
1709872304.118966,732039.000,54179,3,AY,1,100,-0.008
1709872304.158966,732079.000,54196,2,AY,1,100,-0.011
1709872304.198965,732119.000,54196,2,AY,1,100,-0.007
1709872304.238964,732159.000,54213,3,AY,1,100,-0.009
1709872304.278963,732199.000,54213,3,AY,1,100,-0.010
1709872304.318963,732239.000,54213,3,AY,1,100,-0.010
1709872304.358962,732279.000,54228,2,AY,1,100,-0.007
1709872304.398961,732319.000,54228,2,AY,1,100,-0.008
1709872304.438961,732359.000,54244,3,AY,1,100,-0.006
1709872304.478960,732399.000,54244,3,AY,1,100,-0.010
1709872304.518959,732439.000,54244,3,AY,1,100,-0.009
1709872304.558958,732479.000,54262,2,AY,1,100,-0.008
1709872304.598958,732519.000,54262,2,AY,1,100,-0.004
1709872304.638957,732559.000,54278,3,AY,1,100,-0.010
1709872304.678956,732599.000,54278,3,AY,1,100,-0.009
1709872304.718956,732639.000,54278,3,AY,1,100,-0.009
1709872304.758955,732679.000,54293,2,AY,1,100,-0.007
1709872304.798954,732719.000,54293,2,AY,1,100,-0.009
1709872304.838953,732759.000,54310,3,AY,1,100,-0.009
1709872304.878953,732799.000,54310,3,AY,1,100,-0.008
1709872304.918952,732839.000,54310,3,AY,1,100,-0.010
1709872304.958951,732879.000,54327,2,AY,1,100,-0.006
1709872304.998950,732919.000,54327,2,AY,1,100,-0.009
1709872305.038950,732959.000,54343,3,AY,1,100,-0.005
1709872305.078949,732999.000,54343,3,AY,1,100,-0.009
1709872305.118948,733039.000,54343,3,AY,1,100,-0.007
1709872305.158947,733079.000,54359,2,AY,1,100,-0.008
1709872305.198947,733119.000,54359,2,AY,1,100,-0.010
1709872305.238946,733159.000,54377,3,AY,1,100,-0.010
1709872305.278945,733199.000,54377,3,AY,1,100,-0.007
1709872305.318945,733239.000,54377,3,AY,1,100,-0.009
1709872305.358944,733279.000,54394,2,AY,1,100,-0.010
1709872305.398943,733319.000,54394,2,AY,1,100,-0.008
1709872305.438942,733359.000,54410,3,AY,1,100,-0.006
1709872305.478942,733399.000,54410,3,AY,1,100,-0.002
1709872305.518941,733439.000,54410,3,AY,1,100,-0.012
1709872305.554274,733474.333,54428,3,AY,1,100,-0.009
1709872305.589607,733509.667,54428,3,AY,1,100,-0.012
1709872305.624939,733545.000,54428,3,AY,1,100,-0.012
1709872305.664938,733585.000,54442,2,AY,1,100,-0.011
1709872305.704938,733625.000,54442,2,AY,1,100,-0.008
1709872305.744937,733665.000,54459,3,AY,1,100,-0.003
1709872305.784936,733705.000,54459,3,AY,1,100,-0.005
1709872305.824936,733745.000,54459,3,AY,1,100,-0.008
1709872305.864935,733785.000,54476,3,AY,1,100,-0.004
1709872305.904934,733825.000,54476,3,AY,1,100,-0.007
1709872305.944933,733865.000,54476,3,AY,1,100,-0.007
1709872305.984933,733905.000,54493,2,AY,1,100,-0.000
1709872306.024932,733945.000,54493,2,AY,1,100,-0.003
1709872306.064931,733985.000,54507,3,AY,1,100,-0.009
1709872306.104931,734025.000,54507,3,AY,1,100,-0.013
1709872306.144930,734065.000,54507,3,AY,1,100,-0.005
1709872306.184929,734105.000,54525,2,AY,1,100,-0.005
1709872306.224928,734145.000,54525,2,AY,1,100,0.001
1709872306.264928,734185.000,54541,3,AY,1,100,-0.010
1709872306.304927,734225.000,54541,3,AY,1,100,-0.008
1709872306.344926,734265.000,54541,3,AY,1,100,-0.010
1709872306.384926,734305.000,54558,2,AY,1,100,-0.010
1709872306.424925,734345.000,54558,2,AY,1,100,-0.007
1709872306.464924,734385.000,54572,3,AY,1,100,-0.008
1709872306.504923,734425.000,54572,3,AY,1,100,-0.005
1709872306.544923,734465.000,54572,3,AY,1,100,-0.010
1709872306.584422,734504.500,54590,2,AY,1,100,-0.010
1709872306.623921,734544.000,54590,2,AY,1,100,-0.005
1709872306.663921,734584.000,54606,3,AY,1,100,-0.006
1709872306.703920,734624.000,54606,3,AY,1,100,-0.011
1709872306.743919,734664.000,54606,3,AY,1,100,-0.010
1709872306.783918,734704.000,54623,2,AY,1,100,-0.007
1709872306.823918,734744.000,54623,2,AY,1,100,-0.007
1709872306.863917,734784.000,54638,3,AY,1,100,-0.002
1709872306.903916,734824.000,54638,3,AY,1,100,-0.009
1709872306.943916,734864.000,54638,3,AY,1,100,-0.007
1709872306.984248,734904.333,54655,3,AY,1,100,-0.007
1709872307.024581,734944.667,54655,3,AY,1,100,-0.009
1709872307.064913,734985.000,54655,3,AY,1,100,-0.008
1709872307.104413,735024.500,54671,2,AY,1,100,-0.004
1709872307.143912,735064.000,54671,2,AY,1,100,-0.008
1709872307.184245,735104.333,54689,3,AY,1,100,-0.008
1709872307.224577,735144.667,54689,3,AY,1,100,-0.007
1709872307.264910,735185.000,54689,3,AY,1,100,-0.009
1709872307.304409,735224.500,54704,2,AY,1,100,-0.008
1709872307.343908,735264.000,54704,2,AY,1,100,-0.008
1709872307.383908,735304.000,54722,3,AY,1,100,-0.008
1709872307.423907,735344.000,54722,3,AY,1,100,-0.003
1709872307.463906,735384.000,54722,3,AY,1,100,-0.006
1709872307.499572,735419.667,54738,3,AY,1,100,-0.007
1709872307.535238,735455.333,54738,3,AY,1,100,-0.004
1709872307.570904,735491.000,54738,3,AY,1,100,-0.012
1709872307.610904,735531.000,54756,2,AY,1,100,-0.008
1709872307.650903,735571.000,54756,2,AY,1,100,-0.010
1709872307.690902,735611.000,54772,3,AY,1,100,-0.004
1709872307.730901,735651.000,54772,3,AY,1,100,-0.005
1709872307.770901,735691.000,54772,3,AY,1,100,-0.005
1709872307.810900,735731.000,54787,2,AY,1,100,-0.009
1709872307.850899,735771.000,54787,2,AY,1,100,-0.008
1709872307.890898,735811.000,54804,3,AY,1,100,-0.006
1709872307.930898,735851.000,54804,3,AY,1,100,-0.007
1709872307.970897,735891.000,54804,3,AY,1,100,-0.006
1709872308.010896,735931.000,54821,2,AY,1,100,-0.011
1709872308.050896,735971.000,54821,2,AY,1,100,-0.010
1709872308.090895,736011.000,54839,3,AY,1,100,-0.006
1709872308.130894,736051.000,54839,3,AY,1,100,-0.006
1709872308.170893,736091.000,54839,3,AY,1,100,-0.005
1709872308.210893,736131.000,54855,2,AY,1,100,-0.009
1709872308.250892,736171.000,54855,2,AY,1,100,-0.010
1709872308.291225,736211.333,54871,3,AY,1,100,-0.008
1709872308.331557,736251.667,54871,3,AY,1,100,-0.010
1709872308.371890,736292.000,54871,3,AY,1,100,-0.004
1709872308.411889,736332.000,54890,2,AY,1,100,-0.008
1709872308.451889,736372.000,54890,2,AY,1,100,-0.007
1709872308.491888,736412.000,54913,5,AY,1,100,-0.008
1709872308.531887,736452.000,54913,5,AY,1,100,-0.009
1709872308.571886,736492.000,54913,5,AY,1,100,-0.007
1709872308.611886,736532.000,54913,5,AY,1,100,-0.007
1709872308.651885,736572.000,54913,5,AY,1,100,-0.011
1709872308.691884,736612.000,54929,2,AY,1,100,-0.008
1709872308.731884,736652.000,54929,2,AY,1,100,-0.009
1709872308.771883,736692.000,54946,3,AY,1,100,-0.007
1709872308.811882,736732.000,54946,3,AY,1,100,-0.003
1709872308.851881,736772.000,54946,3,AY,1,100,-0.005
1709872308.891881,736812.000,54964,2,AY,1,100,-0.009
1709872308.931880,736852.000,54964,2,AY,1,100,-0.017
1709872308.971879,736892.000,54980,3,AY,1,100,-0.010
1709872309.011878,736932.000,54980,3,AY,1,100,-0.007
1709872309.051878,736972.000,54980,3,AY,1,100,-0.007
1709872309.091877,737012.000,54996,3,AY,1,100,-0.011
1709872309.131876,737052.000,54996,3,AY,1,100,-0.008
1709872309.171875,737092.000,54996,3,AY,1,100,-0.006
1709872309.211875,737132.000,55014,2,AY,1,100,-0.003
1709872309.251874,737172.000,55014,2,AY,1,100,-0.002
1709872309.287207,737207.333,55030,3,AY,1,100,-0.006
1709872309.322540,737242.667,55030,3,AY,1,100,-0.005
1709872309.357872,737278.000,55030,3,AY,1,100,-0.005
1709872309.397871,737318.000,55045,2,AY,1,100,-0.010
1709872309.437871,737358.000,55045,2,AY,1,100,-0.009
1709872309.477870,737398.000,55062,3,AY,1,100,-0.007
1709872309.517869,737438.000,55062,3,AY,1,100,-0.006
1709872309.557869,737478.000,55062,3,AY,1,100,-0.007
1709872309.597868,737518.000,55079,3,AY,1,100,-0.011
1709872309.637867,737558.000,55079,3,AY,1,100,-0.007
1709872309.677866,737598.000,55079,3,AY,1,100,-0.008
1709872309.717866,737638.000,55095,2,AY,1,100,-0.010
1709872309.757865,737678.000,55095,2,AY,1,100,-0.005
1709872309.797864,737718.000,55110,3,AY,1,100,-0.006
1709872309.837864,737758.000,55110,3,AY,1,100,-0.005
1709872309.877863,737798.000,55110,3,AY,1,100,-0.009
1709872309.917362,737837.500,55127,2,AY,1,100,-0.007
1709872309.956861,737877.000,55127,2,AY,1,100,-0.008
1709872309.997194,737917.333,55146,3,AY,1,100,-0.007
1709872310.037527,737957.667,55146,3,AY,1,100,-0.004
1709872310.077859,737998.000,55146,3,AY,1,100,-0.006
1709872310.117859,738038.000,55162,2,AY,1,100,-0.006
1709872310.157858,738078.000,55162,2,AY,1,100,-0.007
1709872310.197857,738118.000,55178,3,AY,1,100,-0.004
1709872310.237856,738158.000,55178,3,AY,1,100,-0.004
1709872310.277856,738198.000,55178,3,AY,1,100,-0.007
1709872310.317355,738237.500,55196,2,AY,1,100,-0.010
1709872310.356854,738277.000,55196,2,AY,1,100,-0.003
1709872310.397187,738317.333,55213,3,AY,1,100,-0.008
1709872310.437520,738357.667,55213,3,AY,1,100,-0.007
1709872310.477852,738398.000,55213,3,AY,1,100,-0.008
1709872310.517851,738438.000,55232,2,AY,1,100,-0.006
1709872310.557851,738478.000,55232,2,AY,1,100,-0.008
1709872310.597517,738517.667,55247,3,AY,1,100,-0.009
1709872310.637183,738557.333,55247,3,AY,1,100,-0.009
1709872310.676849,738597.000,55247,3,AY,1,100,-0.005
1709872310.716848,738637.000,55263,2,AY,1,100,-0.007
1709872310.756847,738677.000,55263,2,AY,1,100,-0.009
1709872310.797180,738717.333,55280,3,AY,1,100,-0.005
1709872310.837512,738757.667,55280,3,AY,1,100,-0.008
1709872310.877845,738798.000,55280,3,AY,1,100,-0.008
1709872310.917844,738838.000,55297,3,AY,1,100,-0.006
1709872310.957844,738878.000,55297,3,AY,1,100,-0.006
1709872310.997843,738918.000,55297,3,AY,1,100,-0.005
1709872311.037342,738957.500,55313,2,AY,1,100,-0.009
1709872311.076841,738997.000,55313,2,AY,1,100,-0.010
1709872311.116841,739037.000,55328,3,AY,1,100,-0.012
1709872311.156840,739077.000,55328,3,AY,1,100,-0.003
1709872311.196839,739117.000,55328,3,AY,1,100,-0.006
1709872311.230339,739150.500,55346,2,AY,1,100,-0.007
1709872311.263838,739184.000,55346,2,AY,1,100,-0.008
1709872311.303837,739224.000,55364,3,AY,1,100,-0.008
1709872311.343837,739264.000,55364,3,AY,1,100,-0.006
1709872311.383836,739304.000,55364,3,AY,1,100,-0.006
1709872311.423835,739344.000,55381,3,AY,1,100,-0.011
1709872311.463835,739384.000,55381,3,AY,1,100,-0.007
1709872311.503834,739424.000,55381,3,AY,1,100,-0.010
1709872311.543833,739464.000,55396,2,AY,1,100,-0.008
1709872311.583832,739504.000,55396,2,AY,1,100,-0.009
1709872311.623832,739544.000,55413,3,AY,1,100,-0.009
1709872311.663831,739584.000,55413,3,AY,1,100,-0.010
1709872311.703830,739624.000,55413,3,AY,1,100,-0.006
1709872311.743829,739664.000,55429,2,AY,1,100,-0.009
1709872311.783829,739704.000,55429,2,AY,1,100,-0.005
1709872311.823828,739744.000,55447,3,AY,1,100,-0.007
1709872311.863827,739784.000,55447,3,AY,1,100,-0.006
1709872311.903826,739824.000,55447,3,AY,1,100,-0.010
1709872311.943826,739864.000,55463,2,AY,1,100,-0.009
1709872311.983825,739904.000,55463,2,AY,1,100,-0.004
1709872312.023824,739944.000,55480,3,AY,1,100,-0.004
1709872312.063824,739984.000,55480,3,AY,1,100,-0.007
1709872312.103823,740024.000,55480,3,AY,1,100,-0.012
1709872312.143822,740064.000,55496,2,AY,1,100,-0.008
1709872312.183821,740104.000,55496,2,AY,1,100,-0.007
1709872312.223821,740144.000,55514,3,AY,1,100,-0.006
1709872312.263820,740184.000,55514,3,AY,1,100,-0.004
1709872312.303819,740224.000,55514,3,AY,1,100,-0.010
1709872312.343819,740264.000,55530,2,AY,1,100,-0.011
1709872312.383818,740304.000,55530,2,AY,1,100,-0.011
1709872312.423817,740344.000,55547,3,AY,1,100,-0.006
1709872312.463817,740384.000,55547,3,AY,1,100,-0.006
1709872312.503816,740424.000,55547,3,AY,1,100,0.002
1709872312.543815,740464.000,55564,2,AY,1,100,-0.002
1709872312.583814,740504.000,55564,2,AY,1,100,-0.005
1709872312.623814,740544.000,55581,3,AY,1,100,-0.015
1709872312.663813,740584.000,55581,3,AY,1,100,-0.010
1709872312.703812,740624.000,55581,3,AY,1,100,-0.015
1709872312.743812,740664.000,55595,2,AY,1,100,-0.012
1709872312.783811,740704.000,55595,2,AY,1,100,-0.013
1709872312.823810,740744.000,55613,3,AY,1,100,-0.010
1709872312.863809,740784.000,55613,3,AY,1,100,-0.004
1709872312.903809,740824.000,55613,3,AY,1,100,-0.007
1709872312.939475,740859.667,55631,3,AY,1,100,-0.013
1709872312.975141,740895.333,55631,3,AY,1,100,-0.016
1709872313.010807,740931.000,55631,3,AY,1,100,-0.004
1709872313.050806,740971.000,55648,2,AY,1,100,-0.029
1709872313.090805,741011.000,55648,2,AY,1,100,0.009
1709872313.130805,741051.000,55662,3,AY,1,100,-0.011
1709872313.170804,741091.000,55662,3,AY,1,100,-0.005
1709872313.210803,741131.000,55662,3,AY,1,100,-0.002
1709872313.250803,741171.000,55680,3,AY,1,100,-0.008
1709872313.290802,741211.000,55680,3,AY,1,100,-0.022
1709872313.330801,741251.000,55680,3,AY,1,100,-0.016
1709872313.370800,741291.000,55696,2,AY,1,100,0.000
1709872313.410800,741331.000,55696,2,AY,1,100,-0.003
1709872313.450799,741371.000,55713,3,AY,1,100,-0.010
1709872313.490798,741411.000,55713,3,AY,1,100,-0.003
1709872313.530797,741451.000,55713,3,AY,1,100,-0.009
1709872313.570797,741491.000,55729,2,AY,1,100,-0.003
1709872313.610796,741531.000,55729,2,AY,1,100,-0.012
1709872313.650795,741571.000,55753,4,AY,1,100,-0.010
1709872313.690794,741611.000,55753,4,AY,1,100,-0.010
1709872313.730794,741651.000,55753,4,AY,1,100,-0.009
1709872313.770793,741691.000,55753,4,AY,1,100,-0.001
1709872313.810792,741731.000,55767,2,AY,1,100,-0.002
1709872313.850792,741771.000,55767,2,AY,1,100,-0.001
1709872313.890458,741810.667,55785,3,AY,1,100,-0.005
1709872313.930124,741850.333,55785,3,AY,1,100,-0.010
1709872313.969790,741890.000,55785,3,AY,1,100,-0.005
1709872314.010122,741930.333,55801,3,AY,1,100,-0.010
1709872314.050455,741970.667,55801,3,AY,1,100,-0.005
1709872314.090787,742011.000,55801,3,AY,1,100,-0.010
1709872314.130787,742051.000,55820,2,AY,1,100,-0.006
1709872314.170786,742091.000,55820,2,AY,1,100,-0.001
1709872314.210452,742130.667,55835,3,AY,1,100,-0.003
1709872314.250118,742170.333,55835,3,AY,1,100,-0.004
1709872314.289784,742210.000,55835,3,AY,1,100,-0.010
1709872314.329783,742250.000,55852,2,AY,1,100,-0.010
1709872314.369782,742290.000,55852,2,AY,1,100,-0.005
1709872314.409782,742330.000,55868,3,AY,1,100,-0.005
1709872314.449781,742370.000,55868,3,AY,1,100,-0.006
1709872314.489780,742410.000,55868,3,AY,1,100,-0.005
1709872314.529779,742450.000,55888,2,AY,1,100,-0.004
1709872314.569779,742490.000,55888,2,AY,1,100,-0.003
1709872314.609778,742530.000,55903,3,AY,1,100,-0.008
1709872314.649777,742570.000,55903,3,AY,1,100,-0.010
1709872314.689777,742610.000,55903,3,AY,1,100,-0.010
1709872314.729776,742650.000,55919,2,AY,1,100,-0.011
1709872314.769775,742690.000,55919,2,AY,1,100,-0.007
1709872314.809774,742730.000,55935,3,AY,1,100,-0.001
1709872314.849774,742770.000,55935,3,AY,1,100,-0.003
1709872314.889773,742810.000,55935,3,AY,1,100,-0.010
1709872314.925439,742845.667,55953,3,AY,1,100,-0.005
1709872314.961105,742881.333,55953,3,AY,1,100,-0.007
1709872314.996771,742917.000,55953,3,AY,1,100,-0.009
1709872315.036770,742957.000,55968,2,AY,1,100,-0.009
1709872315.076770,742997.000,55968,2,AY,1,100,-0.008
1709872315.116769,743037.000,55986,3,AY,1,100,-0.003
1709872315.156768,743077.000,55986,3,AY,1,100,-0.004
1709872315.196768,743117.000,55986,3,AY,1,100,-0.009
1709872315.236767,743157.000,56005,2,AY,1,100,-0.005
1709872315.276766,743197.000,56005,2,AY,1,100,-0.013
1709872315.316765,743237.000,56022,3,AY,1,100,-0.009
1709872315.356765,743277.000,56022,3,AY,1,100,-0.005
1709872315.396764,743317.000,56022,3,AY,1,100,0.002
1709872315.436763,743357.000,56038,2,AY,1,100,-0.006
1709872315.476763,743397.000,56038,2,AY,1,100,-0.009
1709872315.516762,743437.000,56054,3,AY,1,100,-0.023
1709872315.556761,743477.000,56054,3,AY,1,100,-0.010
1709872315.596760,743517.000,56054,3,AY,1,100,-0.006
1709872315.636760,743557.000,56070,2,AY,1,100,-0.010
1709872315.676759,743597.000,56070,2,AY,1,100,-0.000
