LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1709872305.202947,733123.000,54368,1,B%,1,100,23
1709872310.202857,738123.000,55187,1,B%,1,100,23
1709872315.201767,743122.000,55995,1,B%,1,100,22
1709872320.201678,748122.000,56820,1,B%,1,100,22
1709872325.200588,753121.000,57635,1,B%,1,100,22
1709872330.200498,758121.000,58465,1,B%,1,100,23
1709872335.199409,763120.000,59298,1,B%,1,100,23
1709872340.199319,768120.000,60111,1,B%,1,100,23
1709872345.198230,773119.000,60948,1,B%,1,100,22
1709872350.198140,778119.000,61771,1,B%,1,100,23
1709872355.197050,783118.000,62572,1,B%,1,100,22
1709872360.196960,788118.000,63387,1,B%,1,100,23
1709872365.195871,793117.000,64199,1,B%,1,100,23
1709872370.195781,798117.000,64968,1,B%,1,100,23
1709872375.194691,803116.000,272,1,B%,1,100,22
1709872380.194602,808116.000,1093,1,B%,1,100,22
1709872385.193512,813115.000,1932,1,B%,1,100,23
1709872390.193423,818115.000,2765,1,B%,1,100,23
1709872395.192333,823114.000,3570,1,B%,1,100,22
1709872400.192243,828114.000,4404,1,B%,1,100,23
1709872405.191154,833113.000,5234,1,B%,1,100,22
1709872410.191064,838113.000,6061,1,B%,1,100,22
1709872415.189974,843112.000,6887,1,B%,1,100,23
1709872420.189885,848112.000,7696,1,B%,1,100,22
1709872425.188795,853111.000,8531,1,B%,1,100,23
1709872430.188705,858111.000,9371,1,B%,1,100,22
1709872435.187616,863110.000,10205,1,B%,1,100,22
1709872440.187526,868110.000,11035,1,B%,1,100,22
1709872445.186436,873109.000,11864,1,B%,1,100,22
1709872450.186347,878109.000,12692,1,B%,1,100,22
1709872455.185257,883108.000,13525,1,B%,1,100,23
1709872460.185167,888108.000,14316,1,B%,1,100,22
1709872465.184078,893107.000,15144,1,B%,1,100,22
1709872470.183988,898107.000,15961,1,B%,1,100,22
1709872475.182898,903106.000,16786,1,B%,1,100,22
1709872480.182809,908106.000,17619,1,B%,1,100,21
