LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1709872316.183750,744104,56146,1,BI,1,100,26000
1709872320.316676,748237,56822,1,BI,1,100,4120
1709872328.889522,756810,58220,1,BI,1,100,8560
1709872331.048483,758969,58584,1,BI,1,100,2160
1709872331.782470,759703,58704,1,BI,1,100,720
1709872333.661436,761582,59021,1,BI,1,100,1880
1709872335.021412,762942,59245,1,BI,1,100,1360
1709872336.381388,764302,59467,1,BI,1,100,1360
1709872337.355370,765276,59633,1,BI,1,100,960
1709872339.674329,767595,60006,1,BI,1,100,2320
1709872341.074303,768995,60247,1,BI,1,100,1400
1709872342.434279,770355,60466,1,BI,1,100,1360
1709872343.807254,771728,60701,1,BI,1,100,1360
1709872351.460117,779381,61959,1,BI,1,100,7640
1709872353.500081,781421,62295,1,BI,1,100,2040
1709872356.992018,784913,62856,1,BI,1,100,3480
1709872357.592007,785513,62960,1,BI,1,100,600
1709872362.804914,790726,63805,1,BI,1,100,5200
1709872366.337850,794259,64386,1,BI,1,100,3520
1709872368.457812,796379,64720,1,BI,1,100,2120
1709872371.270762,799192,65138,1,BI,1,100,2800
1709872371.910750,799832,65238,1,BI,1,100,640
1709872372.990731,800912,65426,1,BI,1,100,1080
1709872373.950714,801872,40,1,BI,1,100,960
1709872374.510704,802432,143,1,BI,1,100,560
1709872379.243619,807165,920,1,BI,1,100,4720
1709872380.562595,808484,1131,1,BI,1,100,1320
1709872381.322582,809244,1266,1,BI,1,100,760
1709872381.922571,809844,1366,1,BI,1,100,600
1709872382.896554,810818,1521,1,BI,1,100,960
1709872383.335546,811257,1608,1,BI,1,100,440
1709872383.975534,811897,1711,1,BI,1,100,640
1709872384.775520,812697,1845,1,BI,1,100,800
1709872388.188458,816110,2406,1,BI,1,100,3400
1709872389.388437,817310,2608,1,BI,1,100,1200
1709872390.228422,818150,2744,1,BI,1,100,840
1709872391.548398,819470,2953,1,BI,1,100,1320
1709872396.081317,824003,3709,1,BI,1,100,4520
1709872396.801304,824723,3828,1,BI,1,100,720
1709872397.401293,825323,3931,1,BI,1,100,600
1709872398.441275,826363,4099,1,BI,1,100,1040
1709872416.451952,844374,7074,1,BI,1,100,17960
1709872417.611931,845534,7260,1,BI,1,100,1160
1709872419.291901,847214,7526,1,BI,1,100,1680
1709872424.304811,852227,8378,1,BI,1,100,5000
1709872425.904782,853827,8632,1,BI,1,100,1600
1709872426.504771,854427,8740,1,BI,1,100,600
1709872430.117707,858040,9335,1,BI,1,100,3600
1709872433.129653,861052,9832,1,BI,1,100,3000
1709872436.289596,864212,10359,1,BI,1,100,3160
1709872439.062546,866985,10835,1,BI,1,100,2760
1709872448.075385,875998,12320,1,BI,1,100,9000
1709872449.408360,877331,12540,1,BI,1,100,1320
1709872460.713158,888636,14400,1,BI,1,100,11280
1709872463.553107,891476,14859,1,BI,1,100,2840
1709872468.726014,896649,15708,1,BI,1,100,5160
1709872477.031865,904955,17078,1,BI,1,100,8280
