LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1709872303.370980,731291.000,54052,1,EA,1,100,0.036788
1709872303.437478,731357.500,54075,2,EA,1,100,0.036779
1709872303.503977,731424.000,54075,2,EA,1,100,0.036769
1709872303.570976,731491.000,54093,1,EA,1,100,0.036763
1709872303.637475,731557.500,54107,2,EA,1,100,0.036775
1709872303.703974,731624.000,54107,2,EA,1,100,0.036776
1709872303.770972,731691.000,54126,1,EA,1,100,0.036775
1709872303.837471,731757.500,54143,2,EA,1,100,0.036772
1709872303.903970,731824.000,54143,2,EA,1,100,0.036765
1709872303.970969,731891.000,54160,1,EA,1,100,0.036758
1709872304.037468,731957.500,54174,2,EA,1,100,0.036762
1709872304.103966,732024.000,54174,2,EA,1,100,0.036760
1709872304.170965,732091.000,54191,1,EA,1,100,0.036758
1709872304.237464,732157.500,54208,2,EA,1,100,0.036751
1709872304.303963,732224.000,54208,2,EA,1,100,0.036753
1709872304.370962,732291.000,54225,1,EA,1,100,0.036754
1709872304.437460,732357.500,54239,2,EA,1,100,0.036754
1709872304.503959,732424.000,54239,2,EA,1,100,0.036755
1709872304.570958,732491.000,54257,1,EA,1,100,0.036754
1709872304.637457,732557.500,54273,2,EA,1,100,0.036762
1709872304.703956,732624.000,54273,2,EA,1,100,0.036766
1709872304.770955,732691.000,54290,1,EA,1,100,0.036765
1709872304.837453,732757.500,54305,2,EA,1,100,0.036759
1709872304.903952,732824.000,54305,2,EA,1,100,0.036754
1709872304.970951,732891.000,54322,1,EA,1,100,0.036750
1709872305.037450,732957.500,54338,2,EA,1,100,0.036762
1709872305.103949,733024.000,54338,2,EA,1,100,0.036765
1709872305.170947,733091.000,54355,1,EA,1,100,0.036761
1709872305.237446,733157.500,54373,2,EA,1,100,0.036768
1709872305.303945,733224.000,54373,2,EA,1,100,0.036768
1709872305.370944,733291.000,54389,1,EA,1,100,0.036761
1709872305.437443,733357.500,54405,2,EA,1,100,0.036759
1709872305.503941,733424.000,54405,2,EA,1,100,0.036765
1709872305.570440,733490.500,54423,2,EA,1,100,0.036769
1709872305.636939,733557.000,54423,2,EA,1,100,0.036767
1709872305.703938,733624.000,54439,1,EA,1,100,0.036767
1709872305.770437,733690.500,54454,2,EA,1,100,0.036768
1709872305.836935,733757.000,54454,2,EA,1,100,0.036765
1709872305.903934,733824.000,54471,1,EA,1,100,0.036764
1709872305.970433,733890.500,54488,2,EA,1,100,0.036764
1709872306.036932,733957.000,54488,2,EA,1,100,0.036760
1709872306.103930,734024.000,54504,1,EA,1,100,0.036759
1709872306.170429,734090.500,54520,2,EA,1,100,0.036764
1709872306.236928,734157.000,54520,2,EA,1,100,0.036768
1709872306.303927,734224.000,54536,1,EA,1,100,0.036773
1709872306.370426,734290.500,54553,2,EA,1,100,0.036782
1709872306.436925,734357.000,54553,2,EA,1,100,0.036780
1709872306.503923,734424.000,54569,1,EA,1,100,0.036777
1709872306.570422,734490.500,54585,2,EA,1,100,0.036783
1709872306.636921,734557.000,54585,2,EA,1,100,0.036779
1709872306.703920,734624.000,54601,1,EA,1,100,0.036777
1709872306.770419,734690.500,54618,2,EA,1,100,0.036779
1709872306.836917,734757.000,54618,2,EA,1,100,0.036779
1709872306.903916,734824.000,54635,1,EA,1,100,0.036776
1709872306.970415,734890.500,54650,2,EA,1,100,0.036771
1709872307.036914,734957.000,54650,2,EA,1,100,0.036771
1709872307.103913,735024.000,54666,1,EA,1,100,0.036779
1709872307.170411,735090.500,54684,2,EA,1,100,0.036788
1709872307.236910,735157.000,54684,2,EA,1,100,0.036795
1709872307.303909,735224.000,54700,1,EA,1,100,0.036796
1709872307.370408,735290.500,54718,2,EA,1,100,0.036783
1709872307.436907,735357.000,54718,2,EA,1,100,0.036779
1709872307.503906,735424.000,54733,1,EA,1,100,0.036778
1709872307.570404,735490.500,54751,2,EA,1,100,0.036783
1709872307.636903,735557.000,54751,2,EA,1,100,0.036783
1709872307.703402,735623.500,54767,2,EA,1,100,0.036780
1709872307.769901,735690.000,54767,2,EA,1,100,0.036781
