LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1709872303.370980,731291.000,54053,1,EL,1,100,18362.199219
1709872303.437478,731357.500,54076,2,EL,1,100,18372.000000
1709872303.503977,731424.000,54076,2,EL,1,100,18382.199219
1709872303.570976,731491.000,54094,1,EL,1,100,18388.400391
1709872303.637475,731557.500,54108,2,EL,1,100,18376.199219
1709872303.703974,731624.000,54108,2,EL,1,100,18374.800781
1709872303.770972,731691.000,54127,1,EL,1,100,18375.599609
1709872303.837471,731757.500,54144,2,EL,1,100,18379.000000
1709872303.903970,731824.000,54144,2,EL,1,100,18386.599609
1709872303.970969,731891.000,54161,1,EL,1,100,18393.199219
1709872304.037468,731957.500,54175,2,EL,1,100,18388.800781
1709872304.103966,732024.000,54175,2,EL,1,100,18391.599609
1709872304.170965,732091.000,54192,1,EL,1,100,18393.800781
1709872304.237464,732157.500,54209,2,EL,1,100,18401.000000
1709872304.303963,732224.000,54209,2,EL,1,100,18399.000000
1709872304.370962,732291.000,54226,1,EL,1,100,18398.000000
1709872304.437460,732357.500,54240,2,EL,1,100,18397.800781
1709872304.503959,732424.000,54240,2,EL,1,100,18396.800781
1709872304.570958,732491.000,54258,1,EL,1,100,18397.599609
1709872304.637457,732557.500,54274,2,EL,1,100,18388.800781
1709872304.703956,732624.000,54274,2,EL,1,100,18384.800781
1709872304.770955,732691.000,54291,1,EL,1,100,18386.000000
1709872304.837453,732757.500,54306,2,EL,1,100,18392.400391
1709872304.903952,732824.000,54306,2,EL,1,100,18397.400391
1709872304.970951,732891.000,54323,1,EL,1,100,18401.599609
1709872305.037450,732957.500,54339,2,EL,1,100,18389.400391
1709872305.103949,733024.000,54339,2,EL,1,100,18386.199219
1709872305.170947,733091.000,54356,1,EL,1,100,18390.199219
1709872305.237446,733157.500,54374,2,EL,1,100,18382.800781
1709872305.303945,733224.000,54374,2,EL,1,100,18382.800781
1709872305.370944,733291.000,54390,1,EL,1,100,18390.800781
1709872305.437443,733357.500,54406,2,EL,1,100,18392.400391
1709872305.503941,733424.000,54406,2,EL,1,100,18385.800781
1709872305.570440,733490.500,54424,2,EL,1,100,18381.599609
1709872305.636939,733557.000,54424,2,EL,1,100,18384.400391
1709872305.703938,733624.000,54440,1,EL,1,100,18384.400391
1709872305.770437,733690.500,54455,2,EL,1,100,18383.400391
1709872305.836935,733757.000,54455,2,EL,1,100,18386.199219
1709872305.903934,733824.000,54472,1,EL,1,100,18387.000000
1709872305.970433,733890.500,54489,2,EL,1,100,18387.000000
1709872306.036932,733957.000,54489,2,EL,1,100,18391.199219
1709872306.103930,734024.000,54505,1,EL,1,100,18392.199219
1709872306.170429,734090.500,54521,2,EL,1,100,18386.800781
1709872306.236928,734157.000,54521,2,EL,1,100,18382.599609
1709872306.303927,734224.000,54537,1,EL,1,100,18378.400391
1709872306.370426,734290.500,54554,2,EL,1,100,18368.400391
1709872306.436925,734357.000,54554,2,EL,1,100,18370.599609
1709872306.503923,734424.000,54570,1,EL,1,100,18373.599609
1709872306.570422,734490.500,54586,2,EL,1,100,18368.000000
1709872306.636921,734557.000,54586,2,EL,1,100,18371.400391
1709872306.703920,734624.000,54602,1,EL,1,100,18373.599609
1709872306.770419,734690.500,54619,2,EL,1,100,18372.000000
1709872306.836917,734757.000,54619,2,EL,1,100,18371.800781
1709872306.903916,734824.000,54636,1,EL,1,100,18374.800781
1709872306.970415,734890.500,54651,2,EL,1,100,18380.199219
1709872307.036914,734957.000,54651,2,EL,1,100,18379.800781
1709872307.103913,735024.000,54667,1,EL,1,100,18372.000000
1709872307.170411,735090.500,54685,2,EL,1,100,18362.400391
1709872307.236910,735157.000,54685,2,EL,1,100,18355.599609
1709872307.303909,735224.000,54701,1,EL,1,100,18354.199219
1709872307.370408,735290.500,54719,2,EL,1,100,18367.599609
1709872307.436907,735357.000,54719,2,EL,1,100,18371.599609
1709872307.503906,735424.000,54734,1,EL,1,100,18372.400391
1709872307.570404,735490.500,54752,2,EL,1,100,18367.599609
1709872307.636903,735557.000,54752,2,EL,1,100,18367.400391
1709872307.703402,735623.500,54768,2,EL,1,100,18370.400391
1709872307.769901,735690.000,54768,2,EL,1,100,18369.199219
1709872307.836900,735757.000,54785,1,EL,1,100,18371.199219
1709872307.903398,735823.500,54800,2,EL,1,100,18364.199219
1709872307.969897,735890.000,54800,2,EL,1,100,18361.400391
1709872308.036896,735957.000,54817,1,EL,1,100,18358.800781
1709872308.103395,736023.500,54835,2,EL,1,100,18354.800781
1709872308.169894,736090.000,54835,2,EL,1,100,18358.199219
1709872308.236892,736157.000,54853,1,EL,1,100,18357.400391
1709872308.303391,736223.500,54867,2,EL,1,100,18350.199219
1709872308.369890,736290.000,54867,2,EL,1,100,18351.000000
1709872308.436889,736357.000,54886,1,EL,1,100,18353.599609
1709872308.503554,736423.667,54909,3,EL,1,100,18352.199219
1709872308.570220,736490.333,54909,3,EL,1,100,18350.000000
1709872308.636885,736557.000,54909,3,EL,1,100,18345.400391
1709872308.703884,736624.000,54925,1,EL,1,100,18345.800781
1709872308.770383,736690.500,54942,2,EL,1,100,18343.199219
1709872308.836882,736757.000,54942,2,EL,1,100,18340.199219
1709872308.903880,736824.000,54961,1,EL,1,100,18342.400391
1709872308.970379,736890.500,54977,2,EL,1,100,18344.000000
1709872309.036878,736957.000,54977,2,EL,1,100,18344.599609
1709872309.103877,737024.000,54992,1,EL,1,100,18340.000000
1709872309.170376,737090.500,55010,2,EL,1,100,18340.599609
1709872309.236874,737157.000,55010,2,EL,1,100,18340.199219
1709872309.303373,737223.500,55026,2,EL,1,100,18351.199219
1709872309.369872,737290.000,55026,2,EL,1,100,18353.000000
1709872309.436871,737357.000,55043,1,EL,1,100,18348.800781
1709872309.503370,737423.500,55058,2,EL,1,100,18344.599609
1709872309.569868,737490.000,55058,2,EL,1,100,18340.599609
1709872309.636867,737557.000,55075,1,EL,1,100,18338.800781
1709872309.703366,737623.500,55091,2,EL,1,100,18334.599609
1709872309.769865,737690.000,55091,2,EL,1,100,18331.000000
1709872309.836864,737757.000,55108,1,EL,1,100,18327.400391
1709872309.903363,737823.500,55123,2,EL,1,100,18320.199219
1709872309.969861,737890.000,55123,2,EL,1,100,18320.199219
1709872310.036860,737957.000,55142,1,EL,1,100,18321.599609
1709872310.103359,738023.500,55158,2,EL,1,100,18332.000000
1709872310.169858,738090.000,55158,2,EL,1,100,18330.000000
1709872310.236856,738157.000,55176,1,EL,1,100,18323.800781
1709872310.303355,738223.500,55192,2,EL,1,100,18314.599609
1709872310.369854,738290.000,55192,2,EL,1,100,18315.800781
1709872310.436853,738357.000,55209,1,EL,1,100,18315.000000
1709872310.503352,738423.500,55228,2,EL,1,100,18316.000000
1709872310.569850,738490.000,55228,2,EL,1,100,18320.199219
1709872310.636849,738557.000,55245,1,EL,1,100,18323.400391
1709872310.703348,738623.500,55259,2,EL,1,100,18323.400391
1709872310.769847,738690.000,55259,2,EL,1,100,18322.599609
1709872310.836846,738757.000,55276,1,EL,1,100,18315.599609
1709872310.903345,738823.500,55293,2,EL,1,100,18315.000000
1709872310.969843,738890.000,55293,2,EL,1,100,18313.000000
1709872311.036842,738957.000,55310,1,EL,1,100,18308.599609
1709872311.103341,739023.500,55325,2,EL,1,100,18307.000000
1709872311.169840,739090.000,55325,2,EL,1,100,18307.199219
1709872311.236839,739157.000,55342,1,EL,1,100,18302.599609
1709872311.303337,739223.500,55360,2,EL,1,100,18306.599609
1709872311.369836,739290.000,55360,2,EL,1,100,18307.199219
1709872311.436335,739356.500,55377,2,EL,1,100,18307.400391
1709872311.502834,739423.000,55377,2,EL,1,100,18311.400391
1709872311.569833,739490.000,55394,1,EL,1,100,18310.000000
1709872311.636331,739556.500,55409,2,EL,1,100,18306.199219
1709872311.702830,739623.000,55409,2,EL,1,100,18306.599609
1709872311.769829,739690.000,55425,1,EL,1,100,18306.800781
1709872311.836328,739756.500,55443,2,EL,1,100,18300.599609
1709872311.902827,739823.000,55443,2,EL,1,100,18302.000000
1709872311.969826,739890.000,55461,1,EL,1,100,18304.800781
1709872312.036324,739956.500,55476,2,EL,1,100,18306.000000
1709872312.102823,740023.000,55476,2,EL,1,100,18301.199219
1709872312.169822,740090.000,55492,1,EL,1,100,18296.400391
1709872312.236320,740156.500,55510,2,EL,1,100,18289.199219
1709872312.302819,740223.000,55510,2,EL,1,100,18288.800781
1709872312.369818,740290.000,55528,1,EL,1,100,18294.000000
1709872312.436317,740356.500,55543,2,EL,1,100,18292.800781
1709872312.502816,740423.000,55543,2,EL,1,100,18295.400391
1709872312.569815,740490.000,55560,1,EL,1,100,18293.199219
1709872312.636313,740556.500,55577,2,EL,1,100,18295.800781
1709872312.702812,740623.000,55577,2,EL,1,100,18295.199219
1709872312.769811,740690.000,55593,1,EL,1,100,18292.000000
1709872312.836310,740756.500,55609,2,EL,1,100,18286.000000
1709872312.902809,740823.000,55609,2,EL,1,100,18288.199219
1709872312.969807,740890.000,55627,1,EL,1,100,18289.800781
1709872313.036306,740956.500,55644,2,EL,1,100,18283.400391
1709872313.102805,741023.000,55644,2,EL,1,100,18285.400391
1709872313.169804,741090.000,55660,1,EL,1,100,18292.400391
1709872313.236303,741156.500,55676,2,EL,1,100,18296.800781
1709872313.302801,741223.000,55676,2,EL,1,100,18293.400391
1709872313.369800,741290.000,55692,1,EL,1,100,18286.800781
1709872313.436299,741356.500,55709,2,EL,1,100,18280.800781
1709872313.502798,741423.000,55709,2,EL,1,100,18275.800781
1709872313.569797,741490.000,55726,1,EL,1,100,18275.000000
1709872313.636462,741556.667,55749,3,EL,1,100,18272.000000
1709872313.703128,741623.333,55749,3,EL,1,100,18270.000000
1709872313.769793,741690.000,55749,3,EL,1,100,18271.400391
1709872313.836792,741757.000,55765,1,EL,1,100,18269.400391
1709872313.903291,741823.500,55781,2,EL,1,100,18268.599609
1709872313.969790,741890.000,55781,2,EL,1,100,18265.800781
1709872314.035788,741956.000,55797,1,EL,1,100,18261.800781
1709872314.102787,742023.000,55816,2,EL,1,100,18255.800781
1709872314.169786,742090.000,55816,2,EL,1,100,18261.800781
1709872314.235785,742156.000,55833,1,EL,1,100,18272.000000
1709872314.302783,742223.000,55848,2,EL,1,100,18262.800781
1709872314.369782,742290.000,55848,2,EL,1,100,18257.599609
1709872314.435781,742356.000,55864,1,EL,1,100,18254.599609
1709872314.502780,742423.000,55884,2,EL,1,100,18254.400391
1709872314.569779,742490.000,55884,2,EL,1,100,18255.599609
1709872314.635777,742556.000,55900,1,EL,1,100,18254.599609
1709872314.702776,742623.000,55916,2,EL,1,100,18250.199219
1709872314.769775,742690.000,55916,2,EL,1,100,18244.199219
1709872314.835774,742756.000,55931,1,EL,1,100,18242.199219
1709872314.902773,742823.000,55949,2,EL,1,100,18240.599609
1709872314.969772,742890.000,55949,2,EL,1,100,18237.599609
1709872315.035770,742956.000,55965,1,EL,1,100,18236.400391
1709872315.102769,743023.000,55983,2,EL,1,100,18237.400391
1709872315.169768,743090.000,55983,2,EL,1,100,18241.800781
1709872315.236267,743156.500,56001,2,EL,1,100,18245.599609
1709872315.302766,743223.000,56001,2,EL,1,100,18252.199219
1709872315.368764,743289.000,56018,1,EL,1,100,18252.400391
1709872315.435763,743356.000,56034,2,EL,1,100,18249.800781
1709872315.502762,743423.000,56034,2,EL,1,100,18246.800781
1709872315.568761,743489.000,56052,1,EL,1,100,18242.800781
1709872315.635760,743556.000,56066,2,EL,1,100,18238.400391
1709872315.702759,743623.000,56066,2,EL,1,100,18232.000000
1709872315.768757,743689.000,56083,1,EL,1,100,18231.000000
1709872315.835756,743756.000,56102,2,EL,1,100,18237.800781
1709872315.902755,743823.000,56102,2,EL,1,100,18241.400391
1709872315.969754,743890.000,56119,1,EL,1,100,18240.800781
1709872316.036252,743956.500,56133,2,EL,1,100,18234.199219
1709872316.102751,744023.000,56133,2,EL,1,100,18237.400391
1709872316.168750,744089.000,56152,1,EL,1,100,18235.000000
1709872316.235749,744156.000,56169,2,EL,1,100,18237.000000
1709872316.302748,744223.000,56169,2,EL,1,100,18230.199219
1709872316.368747,744289.000,56186,1,EL,1,100,18226.599609
1709872316.435745,744356.000,56200,2,EL,1,100,18221.599609
1709872316.502744,744423.000,56200,2,EL,1,100,18220.599609
1709872316.568743,744489.000,56220,1,EL,1,100,18223.000000
1709872316.635742,744556.000,56236,2,EL,1,100,18221.800781
1709872316.702740,744623.000,56236,2,EL,1,100,18220.199219
1709872316.768739,744689.000,56253,1,EL,1,100,18220.599609
1709872316.835738,744756.000,56270,2,EL,1,100,18211.000000
1709872316.902737,744823.000,56270,2,EL,1,100,18214.800781
1709872316.968736,744889.000,56287,1,EL,1,100,18222.199219
1709872317.035735,744956.000,56303,2,EL,1,100,18223.599609
1709872317.102733,745023.000,56303,2,EL,1,100,18222.000000
1709872317.169732,745090.000,56320,1,EL,1,100,18221.800781
1709872317.236231,745156.500,56336,2,EL,1,100,18222.000000
1709872317.302730,745223.000,56336,2,EL,1,100,18222.000000
1709872317.369229,745289.500,56352,2,EL,1,100,18211.800781
