LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1709872303.382979,731303.000,54051,4,EM,1,100,RS
1709872303.382979,731303.000,54051,4,EM,1,100,RB
1709872303.382979,731303.000,54051,4,EM,1,100,2024-03-07_23-31-42-883261.csv
1709872303.382979,731303.000,54051,4,EM,1,100,PS
1709872303.433728,731353.750,54088,4,EM,1,100,RS
1709872303.484478,731404.500,54088,4,EM,1,100,RB
1709872303.535227,731455.250,54088,4,EM,1,100,2024-03-07_23-31-42-883261.csv
1709872303.585976,731506.000,54088,4,EM,1,100,PS
1709872303.635975,731556.000,54120,4,EM,1,100,RS
1709872303.685974,731606.000,54120,4,EM,1,100,RB
1709872303.735973,731656.000,54120,4,EM,1,100,2024-03-07_23-31-42-883261.csv
1709872303.785972,731706.000,54120,4,EM,1,100,PS
1709872303.836221,731756.250,54156,4,EM,1,100,RS
1709872303.886470,731806.500,54156,4,EM,1,100,RB
1709872303.936719,731856.750,54156,4,EM,1,100,2024-03-07_23-31-42-883261.csv
1709872303.986969,731907.000,54156,4,EM,1,100,PS
1709872304.037218,731957.250,54187,4,EM,1,100,RS
1709872304.087467,732007.500,54187,4,EM,1,100,RB
1709872304.137716,732057.750,54187,4,EM,1,100,2024-03-07_23-31-42-883261.csv
1709872304.187965,732108.000,54187,4,EM,1,100,PS
1709872304.238214,732158.250,54221,4,EM,1,100,RS
1709872304.288463,732208.500,54221,4,EM,1,100,RB
1709872304.338712,732258.750,54221,4,EM,1,100,2024-03-07_23-31-42-883261.csv
1709872304.388961,732309.000,54221,4,EM,1,100,PS
1709872304.439210,732359.250,54252,4,EM,1,100,RS
1709872304.489460,732409.500,54252,4,EM,1,100,RB
1709872304.539709,732459.750,54252,4,EM,1,100,2024-03-07_23-31-42-883261.csv
1709872304.589958,732510.000,54252,4,EM,1,100,PS
1709872304.640207,732560.250,54286,4,EM,1,100,RS
1709872304.690456,732610.500,54286,4,EM,1,100,RB
1709872304.740705,732660.750,54286,4,EM,1,100,2024-03-07_23-31-42-883261.csv
1709872304.790954,732711.000,54286,4,EM,1,100,PS
