LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1709872316.183750,744104,56147,1,HR,1,100,35
1709872320.316676,748237,56823,1,HR,1,100,31
1709872328.889522,756810,58221,1,HR,1,100,25
1709872331.048483,758969,58585,1,HR,1,100,26
1709872331.782470,759703,58705,1,HR,1,100,39
1709872333.661436,761582,59022,1,HR,1,100,37
1709872335.021412,762942,59246,1,HR,1,100,39
1709872336.381388,764302,59468,1,HR,1,100,40
1709872337.355370,765276,59634,1,HR,1,100,45
1709872339.674329,767595,60007,1,HR,1,100,41
1709872341.074303,768995,60248,1,HR,1,100,41
1709872342.434279,770355,60467,1,HR,1,100,42
1709872343.807254,771728,60702,1,HR,1,100,42
1709872351.460117,779381,61960,1,HR,1,100,35
1709872353.500081,781421,62296,1,HR,1,100,34
1709872356.992018,784913,62857,1,HR,1,100,30
1709872357.592007,785513,62961,1,HR,1,100,45
1709872362.804914,790726,63806,1,HR,1,100,38
1709872366.337850,794259,64387,1,HR,1,100,33
1709872368.457812,796379,64721,1,HR,1,100,32
1709872371.270762,799192,65139,1,HR,1,100,30
1709872371.910750,799832,65239,1,HR,1,100,44
1709872372.990731,800912,65427,1,HR,1,100,47
1709872373.950714,801872,41,1,HR,1,100,50
1709872374.510704,802432,144,1,HR,1,100,63
1709872379.243619,807165,921,1,HR,1,100,52
1709872380.562595,808484,1132,1,HR,1,100,50
1709872381.322582,809244,1267,1,HR,1,100,57
1709872381.922571,809844,1367,1,HR,1,100,66
1709872382.896554,810818,1522,1,HR,1,100,65
1709872383.335546,811257,1609,1,HR,1,100,81
1709872383.975534,811897,1712,1,HR,1,100,84
1709872384.775520,812697,1846,1,HR,1,100,82
1709872388.188458,816110,2407,1,HR,1,100,68
1709872389.388437,817310,2609,1,HR,1,100,64
1709872390.228422,818150,2745,1,HR,1,100,65
1709872391.548398,819470,2954,1,HR,1,100,61
1709872396.081317,824003,3710,1,HR,1,100,50
1709872396.801304,824723,3829,1,HR,1,100,58
1709872397.401293,825323,3932,1,HR,1,100,67
1709872398.441275,826363,4100,1,HR,1,100,65
1709872416.451952,844374,7075,1,HR,1,100,51
1709872417.611931,845534,7261,1,HR,1,100,51
1709872419.291901,847214,7527,1,HR,1,100,48
1709872424.304811,852227,8379,1,HR,1,100,40
1709872425.904782,853827,8633,1,HR,1,100,39
1709872426.504771,854427,8741,1,HR,1,100,53
1709872430.117707,858040,9336,1,HR,1,100,45
1709872433.129653,861052,9833,1,HR,1,100,39
1709872436.289596,864212,10360,1,HR,1,100,35
1709872439.062546,866985,10836,1,HR,1,100,32
1709872448.075385,875998,12321,1,HR,1,100,26
1709872449.408360,877331,12541,1,HR,1,100,31
1709872460.713158,888636,14401,1,HR,1,100,25
1709872463.553107,891476,14860,1,HR,1,100,24
1709872468.726014,896649,15709,1,HR,1,100,21
1709872477.031865,904955,17079,1,HR,1,100,18
