LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1709872303.478978,731399.000,54074,3,PG,1,100,14480
1709872303.478978,731399.000,54074,3,PG,1,100,14508
1709872303.478978,731399.000,54074,3,PG,1,100,14508
1709872303.518977,731439.000,54092,3,PG,1,100,14483
1709872303.558976,731479.000,54092,3,PG,1,100,14487
1709872303.598975,731519.000,54092,3,PG,1,100,14488
1709872303.638975,731559.000,54106,2,PG,1,100,14473
1709872303.678974,731599.000,54106,2,PG,1,100,14469
1709872303.718973,731639.000,54125,3,PG,1,100,14478
1709872303.758973,731679.000,54125,3,PG,1,100,14482
1709872303.798972,731719.000,54125,3,PG,1,100,14470
1709872303.838971,731759.000,54142,2,PG,1,100,14472
1709872303.878970,731799.000,54142,2,PG,1,100,14478
1709872303.918970,731839.000,54159,3,PG,1,100,14471
1709872303.958969,731879.000,54159,3,PG,1,100,14472
1709872303.998968,731919.000,54159,3,PG,1,100,14467
1709872304.038968,731959.000,54173,2,PG,1,100,14470
1709872304.078967,731999.000,54173,2,PG,1,100,14489
1709872304.118966,732039.000,54190,3,PG,1,100,14472
1709872304.158966,732079.000,54190,3,PG,1,100,14474
1709872304.198965,732119.000,54190,3,PG,1,100,14472
1709872304.238964,732159.000,54207,3,PG,1,100,14457
1709872304.278963,732199.000,54207,3,PG,1,100,14469
1709872304.318963,732239.000,54207,3,PG,1,100,14442
1709872304.358962,732279.000,54224,2,PG,1,100,14453
1709872304.398961,732319.000,54224,2,PG,1,100,14445
1709872304.438961,732359.000,54238,3,PG,1,100,14452
1709872304.478960,732399.000,54238,3,PG,1,100,14459
1709872304.518959,732439.000,54238,3,PG,1,100,14464
1709872304.558958,732479.000,54256,2,PG,1,100,14461
1709872304.598958,732519.000,54256,2,PG,1,100,14447
1709872304.638957,732559.000,54272,3,PG,1,100,14439
1709872304.678956,732599.000,54272,3,PG,1,100,14444
1709872304.718956,732639.000,54272,3,PG,1,100,14447
1709872304.758955,732679.000,54289,2,PG,1,100,14458
1709872304.798954,732719.000,54289,2,PG,1,100,14445
1709872304.838953,732759.000,54304,3,PG,1,100,14448
1709872304.878953,732799.000,54304,3,PG,1,100,14455
1709872304.918952,732839.000,54304,3,PG,1,100,14437
1709872304.958951,732879.000,54321,2,PG,1,100,14428
1709872304.998950,732919.000,54321,2,PG,1,100,14416
1709872305.038950,732959.000,54337,3,PG,1,100,14412
1709872305.078949,732999.000,54337,3,PG,1,100,14416
1709872305.118948,733039.000,54337,3,PG,1,100,14406
1709872305.158947,733079.000,54354,2,PG,1,100,14414
1709872305.198947,733119.000,54354,2,PG,1,100,14411
1709872305.238946,733159.000,54372,3,PG,1,100,14411
1709872305.278945,733199.000,54372,3,PG,1,100,14409
1709872305.318945,733239.000,54372,3,PG,1,100,14408
1709872305.358944,733279.000,54388,2,PG,1,100,14407
1709872305.398943,733319.000,54388,2,PG,1,100,14402
1709872305.438942,733359.000,54404,3,PG,1,100,14411
1709872305.478942,733399.000,54404,3,PG,1,100,14418
1709872305.518941,733439.000,54404,3,PG,1,100,14425
1709872305.558940,733479.000,54422,3,PG,1,100,14418
1709872305.598940,733519.000,54422,3,PG,1,100,14409
1709872305.638939,733559.000,54422,3,PG,1,100,14410
1709872305.678938,733599.000,54438,2,PG,1,100,14389
1709872305.718937,733639.000,54438,2,PG,1,100,14383
