LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1709872303.478978,731399.000,54072,3,PI,1,100,179064
1709872303.478978,731399.000,54072,3,PI,1,100,179085
1709872303.478978,731399.000,54072,3,PI,1,100,179079
1709872303.518977,731439.000,54090,3,PI,1,100,179054
1709872303.558976,731479.000,54090,3,PI,1,100,179070
1709872303.598975,731519.000,54090,3,PI,1,100,179051
1709872303.638975,731559.000,54104,2,PI,1,100,179071
1709872303.678974,731599.000,54104,2,PI,1,100,179069
1709872303.718973,731639.000,54123,3,PI,1,100,179048
1709872303.758973,731679.000,54123,3,PI,1,100,179075
1709872303.798972,731719.000,54123,3,PI,1,100,179072
1709872303.838971,731759.000,54140,2,PI,1,100,179042
1709872303.878970,731799.000,54140,2,PI,1,100,179056
1709872303.918970,731839.000,54157,3,PI,1,100,179050
1709872303.958969,731879.000,54157,3,PI,1,100,179080
1709872303.998968,731919.000,54157,3,PI,1,100,179073
1709872304.038968,731959.000,54171,2,PI,1,100,179066
1709872304.078967,731999.000,54171,2,PI,1,100,179053
1709872304.118966,732039.000,54188,3,PI,1,100,179055
1709872304.158966,732079.000,54188,3,PI,1,100,179067
1709872304.198965,732119.000,54188,3,PI,1,100,179053
1709872304.238964,732159.000,54205,3,PI,1,100,179036
1709872304.278963,732199.000,54205,3,PI,1,100,179039
1709872304.318963,732239.000,54205,3,PI,1,100,179032
1709872304.358962,732279.000,54222,2,PI,1,100,179048
1709872304.398961,732319.000,54222,2,PI,1,100,179035
1709872304.438961,732359.000,54236,3,PI,1,100,179035
1709872304.478960,732399.000,54236,3,PI,1,100,179045
1709872304.518959,732439.000,54236,3,PI,1,100,179030
1709872304.558958,732479.000,54254,2,PI,1,100,179053
1709872304.598958,732519.000,54254,2,PI,1,100,179033
1709872304.638957,732559.000,54270,3,PI,1,100,179019
1709872304.678956,732599.000,54270,3,PI,1,100,179049
1709872304.718956,732639.000,54270,3,PI,1,100,179055
1709872304.758955,732679.000,54287,2,PI,1,100,179030
1709872304.798954,732719.000,54287,2,PI,1,100,179038
1709872304.838953,732759.000,54302,3,PI,1,100,179043
1709872304.878953,732799.000,54302,3,PI,1,100,179039
1709872304.918952,732839.000,54302,3,PI,1,100,179016
1709872304.958951,732879.000,54319,2,PI,1,100,179009
1709872304.998950,732919.000,54319,2,PI,1,100,179013
1709872305.038950,732959.000,54335,3,PI,1,100,179023
1709872305.078949,732999.000,54335,3,PI,1,100,179020
1709872305.118948,733039.000,54335,3,PI,1,100,179004
1709872305.158947,733079.000,54352,2,PI,1,100,178995
1709872305.198947,733119.000,54352,2,PI,1,100,178995
1709872305.238946,733159.000,54370,3,PI,1,100,179020
1709872305.278945,733199.000,54370,3,PI,1,100,179003
1709872305.318945,733239.000,54370,3,PI,1,100,179004
1709872305.358944,733279.000,54386,2,PI,1,100,178995
1709872305.398943,733319.000,54386,2,PI,1,100,179021
1709872305.438942,733359.000,54402,3,PI,1,100,179010
1709872305.478942,733399.000,54402,3,PI,1,100,179021
1709872305.518941,733439.000,54402,3,PI,1,100,179005
1709872305.558940,733479.000,54420,3,PI,1,100,179004
1709872305.598940,733519.000,54420,3,PI,1,100,178997
1709872305.638939,733559.000,54420,3,PI,1,100,178991
1709872305.678938,733599.000,54436,2,PI,1,100,178978
1709872305.718937,733639.000,54436,2,PI,1,100,178976
1709872305.758937,733679.000,54451,3,PI,1,100,178991
1709872305.798936,733719.000,54451,3,PI,1,100,178997
1709872305.838935,733759.000,54451,3,PI,1,100,178984
1709872305.878935,733799.000,54468,2,PI,1,100,179003
1709872305.918934,733839.000,54468,2,PI,1,100,179007
1709872305.958933,733879.000,54485,3,PI,1,100,178998
1709872305.998932,733919.000,54485,3,PI,1,100,178993
1709872306.038932,733959.000,54485,3,PI,1,100,178989
1709872306.078931,733999.000,54501,2,PI,1,100,179007
1709872306.118930,734039.000,54501,2,PI,1,100,179010
1709872306.158930,734079.000,54517,3,PI,1,100,179016
1709872306.198929,734119.000,54517,3,PI,1,100,179014
1709872306.238928,734159.000,54517,3,PI,1,100,179014
1709872306.278928,734199.000,54533,2,PI,1,100,179017
1709872306.318927,734239.000,54533,2,PI,1,100,179015
1709872306.358926,734279.000,54550,3,PI,1,100,179006
1709872306.398925,734319.000,54550,3,PI,1,100,178991
1709872306.438925,734359.000,54550,3,PI,1,100,178998
1709872306.478424,734398.500,54566,2,PI,1,100,179009
1709872306.517923,734438.000,54566,2,PI,1,100,179002
1709872306.557922,734478.000,54582,3,PI,1,100,178998
1709872306.597922,734518.000,54582,3,PI,1,100,178993
1709872306.637921,734558.000,54582,3,PI,1,100,179004
1709872306.677920,734598.000,54598,3,PI,1,100,179009
1709872306.717920,734638.000,54598,3,PI,1,100,178995
1709872306.757919,734678.000,54598,3,PI,1,100,178990
1709872306.797918,734718.000,54615,2,PI,1,100,178991
1709872306.837917,734758.000,54615,2,PI,1,100,179021
1709872306.877917,734798.000,54632,3,PI,1,100,178982
1709872306.917916,734838.000,54632,3,PI,1,100,179001
1709872306.957915,734878.000,54632,3,PI,1,100,178993
1709872306.997915,734918.000,54647,2,PI,1,100,178992
1709872307.037914,734958.000,54647,2,PI,1,100,178982
1709872307.077913,734998.000,54663,3,PI,1,100,178988
1709872307.117912,735038.000,54663,3,PI,1,100,178972
1709872307.157912,735078.000,54663,3,PI,1,100,178989
1709872307.197911,735118.000,54681,2,PI,1,100,178976
1709872307.237910,735158.000,54681,2,PI,1,100,178994
1709872307.277910,735198.000,54697,3,PI,1,100,178985
1709872307.317909,735238.000,54697,3,PI,1,100,178992
1709872307.357908,735278.000,54697,3,PI,1,100,179007
1709872307.397907,735318.000,54715,2,PI,1,100,179001
1709872307.437907,735358.000,54715,2,PI,1,100,178987
1709872307.477906,735398.000,54730,3,PI,1,100,179003
1709872307.517905,735438.000,54730,3,PI,1,100,179003
1709872307.557904,735478.000,54730,3,PI,1,100,178994
1709872307.597904,735518.000,54748,2,PI,1,100,178985
1709872307.637903,735558.000,54748,2,PI,1,100,178981
1709872307.677902,735598.000,54764,3,PI,1,100,178971
1709872307.717902,735638.000,54764,3,PI,1,100,178988
1709872307.757901,735678.000,54764,3,PI,1,100,178996
1709872307.797900,735718.000,54781,2,PI,1,100,178972
1709872307.837899,735758.000,54781,2,PI,1,100,178980
1709872307.877899,735798.000,54796,3,PI,1,100,178969
1709872307.917898,735838.000,54796,3,PI,1,100,178978
1709872307.957897,735878.000,54796,3,PI,1,100,178949
1709872307.997897,735918.000,54813,3,PI,1,100,178998
1709872308.037896,735958.000,54813,3,PI,1,100,179003
1709872308.077895,735998.000,54813,3,PI,1,100,179009
1709872308.117894,736038.000,54831,2,PI,1,100,178995
1709872308.157894,736078.000,54831,2,PI,1,100,178986
1709872308.198393,736118.500,54849,2,PI,1,100,178993
1709872308.238892,736159.000,54849,2,PI,1,100,178988
1709872308.283225,736203.333,54863,3,PI,1,100,178973
1709872308.327557,736247.667,54863,3,PI,1,100,178969
1709872308.371890,736292.000,54863,3,PI,1,100,178980
1709872308.411889,736332.000,54882,2,PI,1,100,178987
1709872308.451889,736372.000,54882,2,PI,1,100,178984
1709872308.491888,736412.000,54905,5,PI,1,100,178966
