LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1709872303.478978,731399.000,54073,3,PR,1,100,142907
1709872303.478978,731399.000,54073,3,PR,1,100,142897
1709872303.478978,731399.000,54073,3,PR,1,100,142894
1709872303.518977,731439.000,54091,3,PR,1,100,142895
1709872303.558976,731479.000,54091,3,PR,1,100,142907
1709872303.598975,731519.000,54091,3,PR,1,100,142904
1709872303.638975,731559.000,54105,2,PR,1,100,142891
1709872303.678974,731599.000,54105,2,PR,1,100,142898
1709872303.718973,731639.000,54124,3,PR,1,100,142903
1709872303.758973,731679.000,54124,3,PR,1,100,142903
1709872303.798972,731719.000,54124,3,PR,1,100,142905
1709872303.838971,731759.000,54141,2,PR,1,100,142899
1709872303.878970,731799.000,54141,2,PR,1,100,142906
1709872303.918970,731839.000,54158,3,PR,1,100,142893
1709872303.958969,731879.000,54158,3,PR,1,100,142888
1709872303.998968,731919.000,54158,3,PR,1,100,142887
1709872304.038968,731959.000,54172,2,PR,1,100,142902
1709872304.078967,731999.000,54172,2,PR,1,100,142911
1709872304.118966,732039.000,54189,3,PR,1,100,142894
1709872304.158966,732079.000,54189,3,PR,1,100,142898
1709872304.198965,732119.000,54189,3,PR,1,100,142883
1709872304.238964,732159.000,54206,3,PR,1,100,142897
1709872304.278963,732199.000,54206,3,PR,1,100,142896
1709872304.318963,732239.000,54206,3,PR,1,100,142891
1709872304.358962,732279.000,54223,2,PR,1,100,142887
1709872304.398961,732319.000,54223,2,PR,1,100,142894
1709872304.438961,732359.000,54237,3,PR,1,100,142895
1709872304.478960,732399.000,54237,3,PR,1,100,142896
1709872304.518959,732439.000,54237,3,PR,1,100,142878
1709872304.558958,732479.000,54255,2,PR,1,100,142888
1709872304.598958,732519.000,54255,2,PR,1,100,142885
1709872304.638957,732559.000,54271,3,PR,1,100,142877
1709872304.678956,732599.000,54271,3,PR,1,100,142894
1709872304.718956,732639.000,54271,3,PR,1,100,142902
1709872304.758955,732679.000,54288,2,PR,1,100,142871
1709872304.798954,732719.000,54288,2,PR,1,100,142893
1709872304.838953,732759.000,54303,3,PR,1,100,142890
1709872304.878953,732799.000,54303,3,PR,1,100,142882
1709872304.918952,732839.000,54303,3,PR,1,100,142863
1709872304.958951,732879.000,54320,2,PR,1,100,142865
1709872304.998950,732919.000,54320,2,PR,1,100,142867
1709872305.038950,732959.000,54336,3,PR,1,100,142841
1709872305.078949,732999.000,54336,3,PR,1,100,142851
1709872305.118948,733039.000,54336,3,PR,1,100,142849
1709872305.158947,733079.000,54353,2,PR,1,100,142876
1709872305.198947,733119.000,54353,2,PR,1,100,142868
1709872305.238946,733159.000,54371,3,PR,1,100,142870
1709872305.278945,733199.000,54371,3,PR,1,100,142851
1709872305.318945,733239.000,54371,3,PR,1,100,142847
1709872305.358944,733279.000,54387,2,PR,1,100,142855
1709872305.398943,733319.000,54387,2,PR,1,100,142862
1709872305.438942,733359.000,54403,3,PR,1,100,142842
1709872305.478942,733399.000,54403,3,PR,1,100,142863
1709872305.518941,733439.000,54403,3,PR,1,100,142865
1709872305.558940,733479.000,54421,3,PR,1,100,142847
1709872305.598940,733519.000,54421,3,PR,1,100,142847
1709872305.638939,733559.000,54421,3,PR,1,100,142846
1709872305.678938,733599.000,54437,2,PR,1,100,142847
1709872305.718937,733639.000,54437,2,PR,1,100,142858
1709872305.758937,733679.000,54452,3,PR,1,100,142860
1709872305.798936,733719.000,54452,3,PR,1,100,142838
1709872305.838935,733759.000,54452,3,PR,1,100,142830
1709872305.878935,733799.000,54469,2,PR,1,100,142851
1709872305.918934,733839.000,54469,2,PR,1,100,142847
1709872305.958933,733879.000,54486,3,PR,1,100,142828
1709872305.998932,733919.000,54486,3,PR,1,100,142831
1709872306.038932,733959.000,54486,3,PR,1,100,142825
1709872306.078931,733999.000,54502,2,PR,1,100,142823
1709872306.118930,734039.000,54502,2,PR,1,100,142842
1709872306.158930,734079.000,54518,3,PR,1,100,142840
1709872306.198929,734119.000,54518,3,PR,1,100,142845
1709872306.238928,734159.000,54518,3,PR,1,100,142833
1709872306.278928,734199.000,54534,2,PR,1,100,142843
1709872306.318927,734239.000,54534,2,PR,1,100,142833
1709872306.358926,734279.000,54551,3,PR,1,100,142826
1709872306.398925,734319.000,54551,3,PR,1,100,142838
1709872306.438925,734359.000,54551,3,PR,1,100,142837
1709872306.478424,734398.500,54567,2,PR,1,100,142817
1709872306.517923,734438.000,54567,2,PR,1,100,142809
1709872306.557922,734478.000,54583,3,PR,1,100,142828
1709872306.597922,734518.000,54583,3,PR,1,100,142832
1709872306.637921,734558.000,54583,3,PR,1,100,142814
1709872306.677920,734598.000,54599,3,PR,1,100,142821
1709872306.717920,734638.000,54599,3,PR,1,100,142821
1709872306.757919,734678.000,54599,3,PR,1,100,142808
1709872306.797918,734718.000,54616,2,PR,1,100,142811
1709872306.837917,734758.000,54616,2,PR,1,100,142812
1709872306.877917,734798.000,54633,3,PR,1,100,142825
1709872306.917916,734838.000,54633,3,PR,1,100,142820
1709872306.957915,734878.000,54633,3,PR,1,100,142815
1709872306.997915,734918.000,54648,2,PR,1,100,142809
1709872307.037914,734958.000,54648,2,PR,1,100,142776
1709872307.077913,734998.000,54664,3,PR,1,100,142787
