LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1709872303.405979,731326.000,54067,2,RD,1,100,TL
1709872303.405979,731326.000,54067,2,RD,1,100,TU
1709872305.977933,733898.000,54900,2,RD,1,100,TL
1709872308.549887,736470.000,54900,2,RD,1,100,TU
1709872311.110841,739031.000,55739,2,RD,1,100,TL
1709872313.671795,741592.000,55739,2,RD,1,100,TU
1709872316.231749,744152.000,56580,2,RD,1,100,TL
1709872318.791703,746712.000,56580,2,RD,1,100,TU
1709872321.345657,749266.000,57413,2,RD,1,100,TL
1709872323.899611,751820.000,57413,2,RD,1,100,TU
1709872326.469065,754389.500,58257,2,RD,1,100,TL
1709872329.038519,756959.000,58257,2,RD,1,100,TU
1709872331.601973,759522.500,59106,2,RD,1,100,TL
1709872334.165427,762086.000,59106,2,RD,1,100,TU
1709872336.727881,764648.500,59954,2,RD,1,100,TL
1709872339.290335,767211.000,59954,2,RD,1,100,TU
1709872341.853790,769774.500,60807,2,RD,1,100,TL
1709872344.417243,772338.000,60807,2,RD,1,100,TU
1709872346.988697,774909.500,61650,2,RD,1,100,TL
1709872349.560151,777481.000,61650,2,RD,1,100,TU
1709872352.121605,780042.500,62483,2,RD,1,100,TL
1709872354.683059,782604.000,62483,2,RD,1,100,TU
1709872357.238513,785159.500,63316,2,RD,1,100,TL
1709872359.793968,787715.000,63316,2,RD,1,100,TU
1709872362.348922,790270.000,64146,2,RD,1,100,TL
1709872364.903876,792825.000,64146,2,RD,1,100,TU
1709872367.461830,795383.000,64931,2,RD,1,100,TL
1709872370.019784,797941.000,64931,2,RD,1,100,TU
1709872372.607738,800529.000,250,2,RD,1,100,TL
1709872375.195692,803117.000,250,2,RD,1,100,TU
1709872377.744146,805665.500,1095,2,RD,1,100,TL
1709872380.292600,808214.000,1095,2,RD,1,100,TU
1709872382.849054,810770.500,1950,2,RD,1,100,TL
1709872385.405509,813327.000,1950,2,RD,1,100,TU
1709872387.980962,815902.500,2800,2,RD,1,100,TL
1709872390.556416,818478.000,2800,2,RD,1,100,TU
1709872393.120370,821042.000,3640,2,RD,1,100,TL
1709872395.684324,823606.000,3640,2,RD,1,100,TU
1709872398.237778,826159.500,4492,2,RD,1,100,TL
1709872400.791233,828713.000,4492,2,RD,1,100,TU
1709872403.346687,831268.500,5339,2,RD,1,100,TL
1709872405.902141,833824.000,5339,2,RD,1,100,TU
1709872408.454595,836376.500,6181,2,RD,1,100,TL
1709872411.007049,838929.000,6181,2,RD,1,100,TU
1709872413.571003,841493.000,7020,2,RD,1,100,TL
1709872416.134957,844057.000,7020,2,RD,1,100,TU
1709872418.709911,846632.000,7870,2,RD,1,100,TL
1709872421.284865,849207.000,7870,2,RD,1,100,TU
1709872423.837819,851760.000,8720,2,RD,1,100,TL
1709872426.390773,854313.000,8720,2,RD,1,100,TU
1709872428.948227,856870.500,9575,2,RD,1,100,TL
1709872431.505682,859428.000,9575,2,RD,1,100,TU
1709872434.069636,861992.000,10432,2,RD,1,100,TL
1709872436.633590,864556.000,10432,2,RD,1,100,TU
1709872439.186044,867108.500,11271,2,RD,1,100,TL
1709872441.738498,869661.000,11271,2,RD,1,100,TU
1709872444.293952,872216.500,12119,2,RD,1,100,TL
1709872446.849406,874772.000,12119,2,RD,1,100,TU
1709872449.403361,877326.000,12964,2,RD,1,100,TL
1709872451.957315,879880.000,12964,2,RD,1,100,TU
1709872454.512269,882435.000,13810,2,RD,1,100,TL
1709872457.067223,884990.000,13810,2,RD,1,100,TU
1709872459.625177,887548.000,14639,2,RD,1,100,TL
1709872462.183131,890106.000,14639,2,RD,1,100,TU
1709872464.736086,892659.000,15466,2,RD,1,100,TL
1709872467.289040,895212.000,15466,2,RD,1,100,TU
1709872469.841994,897765.000,16316,2,RD,1,100,TL
1709872472.394948,900318.000,16316,2,RD,1,100,TU
1709872474.948903,902872.000,17166,2,RD,1,100,TL
1709872477.502857,905426.000,17166,2,RD,1,100,TU
