LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1709872303.037986,730958,54070,1,SA,1,100,0.000029
1709872303.637975,731558,54121,1,SA,1,100,0.000001
1709872307.170912,735091,54713,1,SA,1,100,0.000008
1709872308.036896,735957,54829,1,SA,1,100,0.000004
1709872308.236892,736157,54880,1,SA,1,100,0.000006
1709872308.503888,736424,54954,1,SA,1,100,0.000012
1709872309.636867,737557,55136,1,SA,1,100,0.000018
1709872310.236856,738157,55221,1,SA,1,100,0.000009
1709872310.836846,738757,55354,1,SA,1,100,0.000013
1709872311.769829,739690,55455,1,SA,1,100,0.000005
1709872312.036824,739957,55522,1,SA,1,100,0.000017
1709872312.702812,740623,55621,1,SA,1,100,0.000007
1709872313.436799,741357,55743,1,SA,1,100,0.000011
1709872313.969790,741890,55810,1,SA,1,100,0.000010
1709872314.369782,742290,55877,1,SA,1,100,0.000003
1709872314.635777,742556,55977,1,SA,1,100,0.000018
1709872315.568761,743489,56095,1,SA,1,100,0.000012
1709872316.302748,744223,56213,1,SA,1,100,0.000009
1709872316.768739,744689,56263,1,SA,1,100,0.000009
1709872317.969718,745890,56478,1,SA,1,100,0.000014
1709872319.102697,747023,56652,1,SA,1,100,0.000007
1709872319.369693,747290,56734,1,SA,1,100,0.000017
1709872319.835684,747756,56753,1,SA,1,100,0.000006
1709872320.035681,747956,56824,1,SA,1,100,0.000012
1709872320.768668,748689,56956,1,SA,1,100,0.000014
1709872321.502654,749423,57057,1,SA,1,100,0.000003
1709872321.968646,749889,57141,1,SA,1,100,0.000020
1709872322.501637,750422,57208,1,SA,1,100,0.000003
1709872322.968628,750889,57275,1,SA,1,100,0.000003
1709872323.168625,751089,57342,1,SA,1,100,0.000014
1709872323.501619,751422,57393,1,SA,1,100,0.000010
1709872324.235605,752156,57533,1,SA,1,100,0.000015
1709872325.035591,752956,57617,1,SA,1,100,0.000002
1709872325.235588,753156,57687,1,SA,1,100,0.000019
1709872325.701579,753622,57736,1,SA,1,100,0.000007
1709872326.234570,754155,57837,1,SA,1,100,0.000014
1709872326.701561,754622,57920,1,SA,1,100,0.000014
1709872327.101554,755022,57988,1,SA,1,100,0.000012
1709872327.568546,755489,58056,1,SA,1,100,0.000010
1709872328.834523,756755,58261,1,SA,1,100,0.000011
1709872329.301515,757222,58311,1,SA,1,100,0.000012
1709872329.500511,757421,58378,1,SA,1,100,0.000017
1709872330.034501,757955,58446,1,SA,1,100,0.000009
1709872330.234498,758155,58483,1,SA,1,100,0.000004
1709872330.901486,758822,58635,1,SA,1,100,0.000013
1709872331.434476,759355,58685,1,SA,1,100,0.000009
1709872331.967467,759888,58771,1,SA,1,100,0.000006
1709872332.167463,760088,58838,1,SA,1,100,0.000010
1709872332.834451,760755,58971,1,SA,1,100,0.000023
1709872333.567438,761488,59110,1,SA,1,100,0.000036
1709872334.967413,762888,59278,1,SA,1,100,0.000006
1709872335.566402,763487,59381,1,SA,1,100,0.000017
1709872335.900396,763821,59415,1,SA,1,100,0.000004
1709872336.166391,764087,59518,1,SA,1,100,0.000030
1709872337.034376,764955,59652,1,SA,1,100,0.000020
1709872337.900360,765821,59767,1,SA,1,100,0.000013
1709872338.433351,766354,59835,1,SA,1,100,0.000007
1709872338.967341,766888,59956,1,SA,1,100,0.000013
1709872339.433333,767354,60008,1,SA,1,100,0.000008
1709872339.833326,767754,60075,1,SA,1,100,0.000001
1709872340.099321,768020,60130,1,SA,1,100,0.000009
1709872340.566313,768487,60229,1,SA,1,100,0.000022
1709872341.166302,769087,60282,1,SA,1,100,0.000003
1709872341.367298,769288,60399,1,SA,1,100,0.000030
1709872342.299281,770220,60500,1,SA,1,100,0.000011
1709872342.699274,770620,60551,1,SA,1,100,0.000006
1709872343.632257,771553,60751,1,SA,1,100,0.000033
1709872344.166248,772087,60785,1,SA,1,100,0.000004
1709872344.366244,772287,60809,1,SA,1,100,0.000005
1709872344.699239,772620,60878,1,SA,1,100,0.000009
1709872344.966234,772887,60928,1,SA,1,100,0.000003
1709872345.499224,773420,61063,1,SA,1,100,0.000012
1709872346.032215,773953,61147,1,SA,1,100,0.000028
1709872346.965198,774886,61280,1,SA,1,100,0.000021
1709872347.565187,775486,61347,1,SA,1,100,0.000002
1709872347.899181,775820,61414,1,SA,1,100,0.000015
1709872348.299174,776220,61529,1,SA,1,100,0.000036
1709872349.765148,777686,61736,1,SA,1,100,0.000016
1709872350.565133,778486,61838,1,SA,1,100,0.000010
1709872350.832129,778753,61905,1,SA,1,100,0.000018
1709872351.165123,779086,61940,1,SA,1,100,0.000011
1709872351.565115,779486,62009,1,SA,1,100,0.000015
1709872351.832110,779753,62045,1,SA,1,100,0.000005
1709872352.298102,780219,62161,1,SA,1,100,0.000014
1709872352.832093,780753,62244,1,SA,1,100,0.000021
1709872353.565079,781486,62346,1,SA,1,100,0.000012
1709872354.098070,782019,62447,1,SA,1,100,0.000023
1709872354.699059,782620,62519,1,SA,1,100,0.000009
1709872354.965054,782886,62554,1,SA,1,100,0.000010
1709872355.565043,783486,62706,1,SA,1,100,0.000029
1709872356.098034,784019,62741,1,SA,1,100,0.000013
1709872356.898020,784819,62891,1,SA,1,100,0.000017
1709872357.231014,785152,62925,1,SA,1,100,0.000004
1709872357.631006,785552,63061,1,SA,1,100,0.000040
1709872358.430992,786352,63112,1,SA,1,100,0.000008
1709872358.630989,786552,63179,1,SA,1,100,0.000014
1709872359.097980,787019,63247,1,SA,1,100,0.000017
1709872359.563972,787485,63335,1,SA,1,100,0.000018
1709872360.030963,787952,63368,1,SA,1,100,0.000004
1709872360.764950,788686,63503,1,SA,1,100,0.000012
1709872361.230942,789152,63570,1,SA,1,100,0.000008
1709872361.696934,789618,63671,1,SA,1,100,0.000019
1709872362.363922,790285,63772,1,SA,1,100,0.000012
1709872362.963911,790885,63841,1,SA,1,100,0.000009
1709872363.296905,791218,63940,1,SA,1,100,0.000022
1709872363.896894,791818,64040,1,SA,1,100,0.000020
1709872364.296887,792218,64075,1,SA,1,100,0.000010
1709872364.696880,792618,64126,1,SA,1,100,0.000004
1709872364.897876,792819,64165,1,SA,1,100,0.000015
1709872365.430867,793352,64251,1,SA,1,100,0.000001
1709872365.896858,793818,64334,1,SA,1,100,0.000004
1709872366.096855,794018,64388,1,SA,1,100,0.000019
1709872366.429849,794351,64438,1,SA,1,100,0.000014
1709872367.296833,795218,64604,1,SA,1,100,0.000018
1709872368.096819,796018,64722,1,SA,1,100,0.000016
1709872368.496812,796418,64805,1,SA,1,100,0.000021
1709872369.363796,797285,64891,1,SA,1,100,0.000021
1709872369.762789,797684,64932,1,SA,1,100,0.000007
1709872370.295779,798217,64987,1,SA,1,100,0.000006
1709872370.629773,798551,65054,1,SA,1,100,0.000008
1709872370.963767,798885,65188,1,SA,1,100,0.000032
1709872371.763753,799685,65258,1,SA,1,100,0.000010
1709872372.162746,800084,65359,1,SA,1,100,0.000018
1709872372.962732,800884,65476,1,SA,1,100,0.000020
1709872373.496722,801418,24,1,SA,1,100,0.000010
1709872373.896715,801818,76,1,SA,1,100,0.000012
1709872374.495704,802417,179,1,SA,1,100,0.000021
1709872374.962696,802884,322,1,SA,1,100,0.000041
1709872375.962678,803884,470,1,SA,1,100,0.000036
1709872376.761663,804683,538,1,SA,1,100,0.000010
1709872377.428652,805350,687,1,SA,1,100,0.000013
1709872377.895643,805817,754,1,SA,1,100,0.000018
1709872378.295636,806217,804,1,SA,1,100,0.000016
1709872378.895625,806817,939,1,SA,1,100,0.000025
1709872379.694611,807616,1040,1,SA,1,100,0.000020
1709872380.028605,807950,1073,1,SA,1,100,0.000017
