LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1709872303.570976,731491.000,54089,1,SF,1,100,18.2563
1709872303.903970,731824.000,54139,1,SF,1,100,20.1274
1709872304.303963,732224.000,54204,1,SF,1,100,19.8945
1709872304.570958,732491.000,54253,1,SF,1,100,19.6644
1709872304.903952,732824.000,54301,1,SF,1,100,19.4369
1709872305.303945,733224.000,54369,1,SF,1,100,19.2121
1709872305.636939,733557.000,54419,1,SF,1,100,18.9898
1709872305.903934,733824.000,54467,1,SF,1,100,18.7701
1709872306.236928,734157.000,54516,1,SF,1,100,18.5530
1709872306.636921,734557.000,54581,1,SF,1,100,18.3384
1709872306.903916,734824.000,54631,1,SF,1,100,18.1262
1709872307.236910,735157.000,54680,1,SF,1,100,17.9166
1709872307.636903,735557.000,54747,1,SF,1,100,19.7915
1709872307.969897,735890.000,54795,1,SF,1,100,19.5626
1709872308.236892,736157.000,54848,1,SF,1,100,21.4185
1709872308.636885,736557.000,54904,1,SF,1,100,23.2530
1709872308.903880,736824.000,54956,1,SF,1,100,25.0663
1709872309.236874,737157.000,55005,1,SF,1,100,24.7763
1709872309.569868,737490.000,55053,1,SF,1,100,24.4897
1709872309.969861,737890.000,55118,1,SF,1,100,24.2064
1709872310.236856,738157.000,55171,1,SF,1,100,26.0086
1709872310.569850,738490.000,55223,1,SF,1,100,27.7900
1709872310.969843,738890.000,55288,1,SF,1,100,27.4685
1709872311.236839,739157.000,55337,1,SF,1,100,27.1508
1709872311.569833,739490.000,55389,1,SF,1,100,28.9190
1709872311.902827,739823.000,55438,1,SF,1,100,28.5844
1709872312.302819,740223.000,55505,1,SF,1,100,30.3360
1709872312.569815,740490.000,55555,1,SF,1,100,32.0673
1709872312.902809,740823.000,55604,1,SF,1,100,31.6964
1709872313.302801,741223.000,55671,1,SF,1,100,33.4120
1709872313.569797,741490.000,55721,1,SF,1,100,33.0254
1709872313.969790,741890.000,55776,1,SF,1,100,34.7257
1709872314.235785,742156.000,55828,1,SF,1,100,36.4062
1709872314.569779,742490.000,55879,1,SF,1,100,38.0673
1709872314.969772,742890.000,55944,1,SF,1,100,37.6269
1709872315.302766,743223.000,55996,1,SF,1,100,39.2739
1709872315.568761,743489.000,56047,1,SF,1,100,38.8196
1709872315.902755,743823.000,56097,1,SF,1,100,40.4528
1709872316.302748,744223.000,56164,1,SF,1,100,39.9848
1709872316.568743,744489.000,56215,1,SF,1,100,41.6045
1709872316.902737,744823.000,56265,1,SF,1,100,43.2055
1709872317.302730,745223.000,56331,1,SF,1,100,42.7057
1709872317.635724,745556.000,56381,1,SF,1,100,42.2117
1709872317.902719,745823.000,56429,1,SF,1,100,41.7234
1709872318.235713,746156.000,56480,1,SF,1,100,43.3229
1709872318.635706,746556.000,56545,1,SF,1,100,42.8218
1709872319.035699,746956.000,56600,1,SF,1,100,42.3264
1709872319.235695,747156.000,56634,1,SF,1,100,41.8368
1709872319.635688,747556.000,56701,1,SF,1,100,43.4351
1709872319.968682,747889.000,56752,1,SF,1,100,45.0149
1709872320.235677,748156.000,56804,1,SF,1,100,46.5764
1709872320.568671,748489.000,56859,1,SF,1,100,48.1198
1709872320.968664,748889.000,56924,1,SF,1,100,47.5632
1709872321.235659,749156.000,56974,1,SF,1,100,49.0952
1709872321.568653,749489.000,57023,1,SF,1,100,48.5273
1709872321.968646,749889.000,57091,1,SF,1,100,50.0482
1709872322.301640,750222.000,57140,1,SF,1,100,49.4692
1709872322.568635,750489.000,57191,1,SF,1,100,50.9792
1709872322.901629,750822.000,57241,1,SF,1,100,52.4717
1709872323.301622,751222.000,57308,1,SF,1,100,53.9470
1709872323.568617,751489.000,57361,1,SF,1,100,55.4052
1709872323.968610,751889.000,57417,1,SF,1,100,56.8465
1709872324.301604,752222.000,57467,1,SF,1,100,56.1889
1709872324.568599,752489.000,57516,1,SF,1,100,55.5389
1709872324.901593,752822.000,57566,1,SF,1,100,56.9787
1709872325.301586,753222.000,57636,1,SF,1,100,58.4018
1709872325.634580,753555.000,57686,1,SF,1,100,57.7262
1709872325.901576,753822.000,57738,1,SF,1,100,61.2229
1709872326.234570,754155.000,57787,1,SF,1,100,60.5147
1709872326.634562,754555.000,57854,1,SF,1,100,61.8969
1709872326.901558,754822.000,57904,1,SF,1,100,61.1809
1709872327.234552,755155.000,57955,1,SF,1,100,62.5554
1709872327.634544,755555.000,58022,1,SF,1,100,63.9140
