LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1709872303.037986,730958,54071,1,SR,1,100,0.333333
1709872303.637975,731558,54122,1,SR,1,100,0.066667
1709872307.170912,735091,54714,1,SR,1,100,0.133333
1709872308.036896,735957,54830,1,SR,1,100,0.066667
1709872308.236892,736157,54881,1,SR,1,100,0.133333
1709872308.503888,736424,54955,1,SR,1,100,0.333333
1709872309.636867,737557,55137,1,SR,1,100,0.333333
1709872310.236856,738157,55222,1,SR,1,100,0.200000
1709872310.836846,738757,55355,1,SR,1,100,0.400000
1709872311.769829,739690,55456,1,SR,1,100,0.133333
1709872312.036824,739957,55523,1,SR,1,100,0.266667
1709872312.702812,740623,55622,1,SR,1,100,0.200000
1709872313.436799,741357,55744,1,SR,1,100,0.266667
1709872313.969790,741890,55811,1,SR,1,100,0.133333
1709872314.369782,742290,55878,1,SR,1,100,0.133333
1709872314.635777,742556,55978,1,SR,1,100,0.400000
1709872315.568761,743489,56096,1,SR,1,100,0.200000
1709872316.302748,744223,56214,1,SR,1,100,0.200000
1709872316.768739,744689,56264,1,SR,1,100,0.066667
1709872317.969718,745890,56479,1,SR,1,100,0.200000
1709872319.102697,747023,56653,1,SR,1,100,0.133333
1709872319.369693,747290,56735,1,SR,1,100,0.333333
1709872319.835684,747756,56754,1,SR,1,100,0.066667
1709872320.035681,747956,56825,1,SR,1,100,0.266667
1709872320.768668,748689,56957,1,SR,1,100,0.333333
1709872321.502654,749423,57058,1,SR,1,100,0.200000
1709872321.968646,749889,57142,1,SR,1,100,0.266667
1709872322.501637,750422,57209,1,SR,1,100,0.066667
1709872322.968628,750889,57276,1,SR,1,100,0.066667
1709872323.168625,751089,57343,1,SR,1,100,0.200000
1709872323.501619,751422,57394,1,SR,1,100,0.200000
1709872324.235605,752156,57534,1,SR,1,100,0.400000
1709872325.035591,752956,57618,1,SR,1,100,0.066667
1709872325.235588,753156,57688,1,SR,1,100,0.333333
1709872325.701579,753622,57737,1,SR,1,100,0.133333
1709872326.234570,754155,57838,1,SR,1,100,0.200000
1709872326.701561,754622,57921,1,SR,1,100,0.266667
1709872327.101554,755022,57989,1,SR,1,100,0.200000
1709872327.568546,755489,58057,1,SR,1,100,0.200000
1709872328.834523,756755,58262,1,SR,1,100,0.200000
1709872329.301515,757222,58312,1,SR,1,100,0.066667
1709872329.500511,757421,58379,1,SR,1,100,0.266667
1709872330.034501,757955,58447,1,SR,1,100,0.066667
1709872330.234498,758155,58484,1,SR,1,100,0.066667
1709872330.901486,758822,58636,1,SR,1,100,0.400000
1709872331.434476,759355,58686,1,SR,1,100,0.133333
1709872331.967467,759888,58772,1,SR,1,100,0.066667
1709872332.167463,760088,58839,1,SR,1,100,0.266667
1709872332.834451,760755,58972,1,SR,1,100,0.466667
1709872333.567438,761488,59111,1,SR,1,100,0.600000
1709872334.967413,762888,59279,1,SR,1,100,0.200000
1709872335.566402,763487,59382,1,SR,1,100,0.200000
1709872335.900396,763821,59416,1,SR,1,100,0.133333
1709872336.166391,764087,59519,1,SR,1,100,0.466667
1709872337.034376,764955,59653,1,SR,1,100,0.333333
1709872337.900360,765821,59768,1,SR,1,100,0.266667
1709872338.433351,766354,59836,1,SR,1,100,0.133333
1709872338.967341,766888,59957,1,SR,1,100,0.333333
1709872339.433333,767354,60009,1,SR,1,100,0.133333
1709872339.833326,767754,60076,1,SR,1,100,0.133333
1709872340.099321,768020,60131,1,SR,1,100,0.200000
1709872340.566313,768487,60230,1,SR,1,100,0.333333
1709872341.166302,769087,60283,1,SR,1,100,0.066667
1709872341.367298,769288,60400,1,SR,1,100,0.533333
1709872342.299281,770220,60501,1,SR,1,100,0.266667
1709872342.699274,770620,60552,1,SR,1,100,0.133333
1709872343.632257,771553,60752,1,SR,1,100,0.400000
1709872344.166248,772087,60786,1,SR,1,100,0.066667
1709872344.366244,772287,60810,1,SR,1,100,0.066667
1709872344.699239,772620,60879,1,SR,1,100,0.133333
1709872344.966234,772887,60929,1,SR,1,100,0.133333
1709872345.499224,773420,61064,1,SR,1,100,0.400000
1709872346.032215,773953,61148,1,SR,1,100,0.400000
1709872346.965198,774886,61281,1,SR,1,100,0.333333
1709872347.565187,775486,61348,1,SR,1,100,0.066667
1709872347.899181,775820,61415,1,SR,1,100,0.133333
1709872348.299174,776220,61530,1,SR,1,100,0.533333
1709872349.765148,777686,61737,1,SR,1,100,0.266667
1709872350.565133,778486,61839,1,SR,1,100,0.133333
1709872350.832129,778753,61906,1,SR,1,100,0.200000
1709872351.165123,779086,61941,1,SR,1,100,0.133333
1709872351.565115,779486,62010,1,SR,1,100,0.133333
1709872351.832110,779753,62046,1,SR,1,100,0.066667
1709872352.298102,780219,62162,1,SR,1,100,0.266667
1709872352.832093,780753,62245,1,SR,1,100,0.333333
1709872353.565079,781486,62347,1,SR,1,100,0.266667
1709872354.098070,782019,62448,1,SR,1,100,0.333333
1709872354.699059,782620,62520,1,SR,1,100,0.133333
1709872354.965054,782886,62555,1,SR,1,100,0.066667
1709872355.565043,783486,62707,1,SR,1,100,0.400000
1709872356.098034,784019,62742,1,SR,1,100,0.133333
1709872356.898020,784819,62892,1,SR,1,100,0.200000
1709872357.231014,785152,62926,1,SR,1,100,0.133333
1709872357.631006,785552,63062,1,SR,1,100,0.533333
1709872358.430992,786352,63113,1,SR,1,100,0.066667
1709872358.630989,786552,63180,1,SR,1,100,0.200000
1709872359.097980,787019,63248,1,SR,1,100,0.200000
1709872359.563972,787485,63336,1,SR,1,100,0.333333
1709872360.030963,787952,63369,1,SR,1,100,0.066667
1709872360.764950,788686,63504,1,SR,1,100,0.200000
1709872361.230942,789152,63571,1,SR,1,100,0.066667
1709872361.696934,789618,63672,1,SR,1,100,0.266667
1709872362.363922,790285,63773,1,SR,1,100,0.200000
1709872362.963911,790885,63842,1,SR,1,100,0.066667
1709872363.296905,791218,63941,1,SR,1,100,0.333333
1709872363.896894,791818,64041,1,SR,1,100,0.266667
1709872364.296887,792218,64076,1,SR,1,100,0.133333
1709872364.696880,792618,64127,1,SR,1,100,0.066667
1709872364.897876,792819,64166,1,SR,1,100,0.133333
1709872365.430867,793352,64252,1,SR,1,100,0.066667
1709872365.896858,793818,64335,1,SR,1,100,0.066667
1709872366.096855,794018,64389,1,SR,1,100,0.200000
1709872366.429849,794351,64439,1,SR,1,100,0.200000
1709872367.296833,795218,64605,1,SR,1,100,0.400000
1709872368.096819,796018,64723,1,SR,1,100,0.266667
1709872368.496812,796418,64806,1,SR,1,100,0.333333
1709872369.363796,797285,64892,1,SR,1,100,0.266667
1709872369.762789,797684,64933,1,SR,1,100,0.133333
1709872370.295779,798217,64988,1,SR,1,100,0.066667
1709872370.629773,798551,65055,1,SR,1,100,0.066667
1709872370.963767,798885,65189,1,SR,1,100,0.533333
1709872371.763753,799685,65259,1,SR,1,100,0.133333
1709872372.162746,800084,65360,1,SR,1,100,0.400000
1709872372.962732,800884,65477,1,SR,1,100,0.266667
1709872373.496722,801418,25,1,SR,1,100,0.266667
1709872373.896715,801818,77,1,SR,1,100,0.200000
1709872374.495704,802417,180,1,SR,1,100,0.200000
1709872374.962696,802884,323,1,SR,1,100,0.600000
1709872375.962678,803884,471,1,SR,1,100,0.533333
1709872376.761663,804683,539,1,SR,1,100,0.133333
1709872377.428652,805350,688,1,SR,1,100,0.333333
1709872377.895643,805817,755,1,SR,1,100,0.266667
1709872378.295636,806217,805,1,SR,1,100,0.200000
1709872378.895625,806817,940,1,SR,1,100,0.400000
1709872379.694611,807616,1041,1,SR,1,100,0.200000
1709872380.028605,807950,1074,1,SR,1,100,0.133333
1709872380.561595,808483,1247,1,SR,1,100,0.600000
1709872381.428580,809350,1300,1,SR,1,100,0.066667
1709872381.761574,809683,1370,1,SR,1,100,0.133333
1709872382.028569,809950,1421,1,SR,1,100,0.133333
1709872382.295564,810217,1489,1,SR,1,100,0.266667
1709872382.961552,810883,1575,1,SR,1,100,0.133333
1709872383.361545,811283,1659,1,SR,1,100,0.200000
1709872383.828537,811750,1779,1,SR,1,100,0.533333
1709872384.761520,812683,1913,1,SR,1,100,0.333333
1709872385.227512,813149,1970,1,SR,1,100,0.200000
1709872385.694503,813616,2037,1,SR,1,100,0.133333
1709872386.094496,814016,2090,1,SR,1,100,0.066667
1709872386.560488,814482,2172,1,SR,1,100,0.066667
1709872386.760484,814682,2208,1,SR,1,100,0.133333
1709872387.160477,815082,2292,1,SR,1,100,0.200000
1709872387.760466,815682,2426,1,SR,1,100,0.400000
1709872388.428454,816350,2494,1,SR,1,100,0.200000
1709872389.160441,817082,2662,1,SR,1,100,0.533333
1709872389.960427,817882,2747,1,SR,1,100,0.200000
1709872390.561416,818483,2872,1,SR,1,100,0.333333
1709872391.294403,819216,2956,1,SR,1,100,0.133333
1709872391.560398,819482,3024,1,SR,1,100,0.333333
1709872392.294385,820216,3156,1,SR,1,100,0.333333
1709872392.894374,820816,3209,1,SR,1,100,0.066667
1709872395.226332,823148,3620,1,SR,1,100,0.266667
1709872395.760323,823682,3712,1,SR,1,100,0.266667
1709872396.426311,824348,3794,1,SR,1,100,0.066667
1709872397.026300,824948,3896,1,SR,1,100,0.133333
1709872397.559290,825481,3999,1,SR,1,100,0.200000
1709872398.026282,825948,4050,1,SR,1,100,0.066667
1709872398.493274,826415,4136,1,SR,1,100,0.066667
1709872398.826268,826748,4235,1,SR,1,100,0.400000
1709872399.359258,827281,4270,1,SR,1,100,0.066667
1709872399.692252,827614,4337,1,SR,1,100,0.133333
1709872400.092245,828014,4407,1,SR,1,100,0.133333
1709872400.626235,828548,4496,1,SR,1,100,0.066667
1709872400.826232,828748,4532,1,SR,1,100,0.133333
1709872401.226225,829148,4614,1,SR,1,100,0.200000
1709872401.693216,829615,4715,1,SR,1,100,0.333333
1709872402.426203,830348,4799,1,SR,1,100,0.200000
1709872403.159190,831081,4898,1,SR,1,100,0.066667
1709872403.759179,831681,5031,1,SR,1,100,0.266667
1709872404.425167,832347,5114,1,SR,1,100,0.066667
1709872404.625164,832547,5182,1,SR,1,100,0.333333
1709872405.225153,833147,5251,1,SR,1,100,0.066667
1709872405.425149,833347,5286,1,SR,1,100,0.066667
1709872405.625146,833547,5320,1,SR,1,100,0.133333
1709872406.025139,833947,5409,1,SR,1,100,0.200000
1709872406.358133,834280,5462,1,SR,1,100,0.200000
1709872407.358115,835280,5608,1,SR,1,100,0.066667
1709872407.558111,835480,5677,1,SR,1,100,0.333333
