LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1709872303.363980,731284.000,54054,1,T1,1,100,29.852
1709872303.496977,731417.000,54077,1,T1,1,100,29.936
1709872303.630975,731551.000,54109,1,T1,1,100,29.901
1709872303.763973,731684.000,54128,1,T1,1,100,30.028
1709872303.896970,731817.000,54145,1,T1,1,100,29.977
1709872304.029968,731950.000,54176,1,T1,1,100,29.954
1709872304.163965,732084.000,54193,1,T1,1,100,29.980
1709872304.296963,732217.000,54210,1,T1,1,100,29.991
1709872304.429961,732350.000,54241,1,T1,1,100,29.890
1709872304.563958,732484.000,54259,1,T1,1,100,29.881
1709872304.696956,732617.000,54275,1,T1,1,100,29.984
1709872304.829953,732750.000,54307,1,T1,1,100,29.922
1709872304.963951,732884.000,54324,1,T1,1,100,29.966
1709872305.096949,733017.000,54340,1,T1,1,100,29.985
1709872305.229946,733150.000,54357,1,T1,1,100,29.887
1709872305.363944,733284.000,54391,1,T1,1,100,29.880
1709872305.496942,733417.000,54407,1,T1,1,100,29.877
1709872305.629939,733550.000,54425,1,T1,1,100,29.876
1709872305.763937,733684.000,54456,1,T1,1,100,29.946
1709872305.896934,733817.000,54473,1,T1,1,100,29.941
1709872306.029932,733950.000,54490,1,T1,1,100,29.868
1709872306.163929,734084.000,54522,1,T1,1,100,29.943
1709872306.296927,734217.000,54538,1,T1,1,100,29.940
1709872306.429925,734350.000,54555,1,T1,1,100,29.939
1709872306.563922,734484.000,54587,1,T1,1,100,29.867
1709872306.696920,734617.000,54603,1,T1,1,100,29.978
1709872306.829918,734750.000,54620,1,T1,1,100,29.742
1709872306.963915,734884.000,54652,1,T1,1,100,29.924
1709872307.096913,735017.000,54668,1,T1,1,100,29.932
1709872307.229910,735150.000,54686,1,T1,1,100,29.900
1709872307.362908,735283.000,54702,1,T1,1,100,29.957
1709872307.496906,735417.000,54735,1,T1,1,100,29.946
1709872307.629903,735550.000,54753,1,T1,1,100,29.941
1709872307.762901,735683.000,54769,1,T1,1,100,29.868
1709872307.896899,735817.000,54801,1,T1,1,100,29.872
1709872308.029896,735950.000,54818,1,T1,1,100,29.803
1709872308.162894,736083.000,54836,1,T1,1,100,29.879
1709872308.296891,736217.000,54868,1,T1,1,100,29.806
1709872308.429889,736350.000,54887,1,T1,1,100,29.987
1709872308.562886,736483.000,54910,1,T1,1,100,29.959
1709872308.696884,736617.000,54926,1,T1,1,100,29.947
1709872308.829882,736750.000,54943,1,T1,1,100,29.977
1709872308.962879,736883.000,54962,1,T1,1,100,29.919
1709872309.096877,737017.000,54993,1,T1,1,100,29.894
1709872309.229875,737150.000,55011,1,T1,1,100,29.954
1709872309.362872,737283.000,55027,1,T1,1,100,29.874
1709872309.496870,737417.000,55059,1,T1,1,100,29.910
1709872309.629867,737550.000,55076,1,T1,1,100,29.961
1709872309.762865,737683.000,55092,1,T1,1,100,29.983
1709872309.896863,737817.000,55124,1,T1,1,100,30.028
1709872310.029860,737950.000,55143,1,T1,1,100,30.012
1709872310.162858,738083.000,55159,1,T1,1,100,29.970
1709872310.295856,738216.000,55193,1,T1,1,100,30.022
1709872310.429853,738350.000,55210,1,T1,1,100,30.010
1709872310.562851,738483.000,55229,1,T1,1,100,29.969
1709872310.696848,738617.000,55260,1,T1,1,100,30.022
1709872310.829846,738750.000,55277,1,T1,1,100,30.045
1709872310.962843,738883.000,55294,1,T1,1,100,29.984
1709872311.096841,739017.000,55311,1,T1,1,100,30.029
1709872311.229839,739150.000,55343,1,T1,1,100,30.012
1709872311.362836,739283.000,55361,1,T1,1,100,29.970
1709872311.495834,739416.000,55378,1,T1,1,100,30.058
1709872311.629832,739550.000,55410,1,T1,1,100,30.061
1709872311.762829,739683.000,55426,1,T1,1,100,29.955
1709872311.895827,739816.000,55444,1,T1,1,100,29.874
1709872312.029824,739950.000,55477,1,T1,1,100,29.946
1709872312.162822,740083.000,55493,1,T1,1,100,29.976
1709872312.295820,740216.000,55511,1,T1,1,100,30.025
1709872312.429817,740350.000,55544,1,T1,1,100,30.046
1709872312.562815,740483.000,55561,1,T1,1,100,30.020
1709872312.695812,740616.000,55578,1,T1,1,100,29.938
1709872312.829810,740750.000,55610,1,T1,1,100,29.938
1709872312.962808,740883.000,55628,1,T1,1,100,29.938
1709872313.095805,741016.000,55645,1,T1,1,100,30.044
1709872313.229803,741150.000,55677,1,T1,1,100,30.054
1709872313.362800,741283.000,55693,1,T1,1,100,29.953
1709872313.495798,741416.000,55710,1,T1,1,100,30.015
1709872313.629796,741550.000,55727,1,T1,1,100,30.006
1709872313.762793,741683.000,55750,1,T1,1,100,30.003
1709872313.895791,741816.000,55782,1,T1,1,100,30.072
1709872314.028789,741949.000,55798,1,T1,1,100,30.067
1709872314.162786,742083.000,55817,1,T1,1,100,30.064
1709872314.295784,742216.000,55849,1,T1,1,100,29.992
1709872314.428781,742349.000,55865,1,T1,1,100,29.997
1709872314.562779,742483.000,55885,1,T1,1,100,29.963
1709872314.695776,742616.000,55901,1,T1,1,100,29.878
1709872314.828774,742749.000,55932,1,T1,1,100,29.983
1709872314.962772,742883.000,55950,1,T1,1,100,29.886
1709872315.095769,743016.000,55966,1,T1,1,100,29.880
1709872315.228767,743149.000,56002,1,T1,1,100,29.948
1709872315.362765,743283.000,56019,1,T1,1,100,29.977
1709872315.495762,743416.000,56035,1,T1,1,100,30.061
1709872315.628760,743549.000,56067,1,T1,1,100,29.991
1709872315.762757,743683.000,56084,1,T1,1,100,29.925
1709872315.895755,743816.000,56103,1,T1,1,100,29.897
1709872316.028753,743949.000,56134,1,T1,1,100,29.920
1709872316.162750,744083.000,56153,1,T1,1,100,30.036
1709872316.295748,744216.000,56170,1,T1,1,100,29.909
1709872316.428746,744349.000,56201,1,T1,1,100,29.961
1709872316.562743,744483.000,56221,1,T1,1,100,29.983
1709872316.695741,744616.000,56237,1,T1,1,100,29.922
1709872316.828738,744749.000,56271,1,T1,1,100,30.002
1709872316.962736,744883.000,56288,1,T1,1,100,29.965
1709872317.095733,745016.000,56304,1,T1,1,100,29.949
1709872317.228731,745149.000,56321,1,T1,1,100,29.907
1709872317.362729,745283.000,56353,1,T1,1,100,30.102
1709872317.495726,745416.000,56369,1,T1,1,100,29.938
1709872317.628724,745549.000,56387,1,T1,1,100,30.008
1709872317.761722,745682.000,56418,1,T1,1,100,29.968
1709872317.895719,745816.000,56435,1,T1,1,100,29.986
1709872318.028717,745949.000,56452,1,T1,1,100,30.030
1709872318.161714,746082.000,56486,1,T1,1,100,30.084
1709872318.295712,746216.000,56502,1,T1,1,100,29.965
1709872318.428710,746349.000,56519,1,T1,1,100,30.020
1709872318.561707,746482.000,56551,1,T1,1,100,30.080
1709872318.695705,746616.000,56567,1,T1,1,100,30.070
1709872318.828702,746749.000,56589,1,T1,1,100,29.959
1709872318.961700,746882.000,56606,1,T1,1,100,30.053
1709872319.095698,747016.000,56623,1,T1,1,100,30.059
1709872319.228695,747149.000,56640,1,T1,1,100,30.132
1709872319.361693,747282.000,56673,1,T1,1,100,30.022
1709872319.495690,747416.000,56690,1,T1,1,100,29.832
1709872319.628688,747549.000,56707,1,T1,1,100,29.927
1709872319.761686,747682.000,56724,1,T1,1,100,29.898
1709872319.895683,747816.000,56760,1,T1,1,100,30.168
1709872320.028681,747949.000,56776,1,T1,1,100,29.967
1709872320.161679,748082.000,56793,1,T1,1,100,30.056
1709872320.295676,748216.000,56831,1,T1,1,100,29.989
1709872320.428674,748349.000,56847,1,T1,1,100,29.995
1709872320.561671,748482.000,56865,1,T1,1,100,30.069
1709872320.694669,748615.000,56896,1,T1,1,100,29.994
1709872320.828666,748749.000,56912,1,T1,1,100,29.891
1709872320.961664,748882.000,56930,1,T1,1,100,29.882
1709872321.095662,749016.000,56963,1,T1,1,100,29.949
1709872321.228659,749149.000,56980,1,T1,1,100,29.978
1709872321.361657,749282.000,56997,1,T1,1,100,30.061
1709872321.495655,749416.000,57029,1,T1,1,100,30.062
1709872321.628652,749549.000,57045,1,T1,1,100,29.991
1709872321.761650,749682.000,57064,1,T1,1,100,30.067
1709872321.894647,749815.000,57080,1,T1,1,100,30.029
1709872322.028645,749949.000,57112,1,T1,1,100,29.977
1709872322.161643,750082.000,57129,1,T1,1,100,30.026
1709872322.294640,750215.000,57148,1,T1,1,100,30.047
