LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1709872303.378979,731299.000,54055,1,TH,1,100,28.545
1709872303.511977,731432.000,54078,1,TH,1,100,28.545
1709872303.644975,731565.000,54110,1,TH,1,100,28.535
1709872303.778972,731699.000,54129,1,TH,1,100,28.535
1709872303.911970,731832.000,54146,1,TH,1,100,28.545
1709872304.044967,731965.000,54177,1,TH,1,100,28.545
1709872304.178965,732099.000,54194,1,TH,1,100,28.420
1709872304.311963,732232.000,54211,1,TH,1,100,28.420
1709872304.444960,732365.000,54242,1,TH,1,100,28.540
1709872304.578958,732499.000,54260,1,TH,1,100,28.547
1709872304.711956,732632.000,54276,1,TH,1,100,28.544
1709872304.844953,732765.000,54308,1,TH,1,100,28.537
1709872304.978951,732899.000,54325,1,TH,1,100,28.540
1709872305.111948,733032.000,54341,1,TH,1,100,28.547
1709872305.244946,733165.000,54375,1,TH,1,100,28.532
1709872305.378944,733299.000,54392,1,TH,1,100,28.532
1709872305.511941,733432.000,54408,1,TH,1,100,28.537
1709872305.644939,733565.000,54426,1,TH,1,100,28.537
1709872305.778936,733699.000,54457,1,TH,1,100,28.624
1709872305.911934,733832.000,54474,1,TH,1,100,28.624
1709872306.044932,733965.000,54491,1,TH,1,100,28.498
1709872306.178929,734099.000,54523,1,TH,1,100,28.498
1709872306.311927,734232.000,54539,1,TH,1,100,28.519
1709872306.444925,734365.000,54556,1,TH,1,100,28.519
1709872306.578922,734499.000,54588,1,TH,1,100,28.468
1709872306.711920,734632.000,54604,1,TH,1,100,28.468
1709872306.844917,734765.000,54621,1,TH,1,100,28.529
1709872306.977915,734898.000,54653,1,TH,1,100,28.529
1709872307.111912,735032.000,54669,1,TH,1,100,28.560
1709872307.244910,735165.000,54687,1,TH,1,100,28.560
1709872307.377908,735298.000,54720,1,TH,1,100,28.496
1709872307.511905,735432.000,54736,1,TH,1,100,28.496
1709872307.644903,735565.000,54754,1,TH,1,100,28.463
1709872307.777900,735698.000,54770,1,TH,1,100,28.463
1709872307.911898,735832.000,54802,1,TH,1,100,28.478
1709872308.044896,735965.000,54819,1,TH,1,100,28.478
