LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1709872303.402979,731323.000,54065,1,TL,1,100,2024-03-07_23-31-38-224382
1709872303.469978,731390.000,54068,1,TL,1,100,2024-03-07_23-31-43-424246
1709872308.546887,736467.000,54898,1,TL,1,100,2024-03-07_23-31-43-540248
1709872308.619885,736540.000,54901,1,TL,1,100,2024-03-07_23-31-48-610304
1709872313.669795,741590.000,55737,1,TL,1,100,2024-03-07_23-31-48-687334
1709872313.712794,741633.000,55740,1,TL,1,100,2024-03-07_23-31-53-702143
1709872318.789703,746710.000,56578,1,TL,1,100,2024-03-07_23-31-53-868243
1709872318.811703,746732.000,56581,1,TL,1,100,2024-03-07_23-31-58-800795
1709872323.897611,751818.000,57411,1,TL,1,100,2024-03-07_23-31-58-919545
1709872323.917611,751838.000,57414,1,TL,1,100,2024-03-07_23-32-03-908611
1709872329.036519,756957.000,58255,1,TL,1,100,2024-03-07_23-32-04-124532
1709872329.079519,757000.000,58258,1,TL,1,100,2024-03-07_23-32-09-053191
1709872334.163427,762084.000,59104,1,TL,1,100,2024-03-07_23-32-09-243238
1709872334.226426,762147.000,59107,1,TL,1,100,2024-03-07_23-32-14-217960
1709872339.285336,767206.000,59952,1,TL,1,100,2024-03-07_23-32-14-302473
1709872344.412244,772333.000,60803,1,TL,1,100,2024-03-07_23-32-19-347932
1709872344.415244,772336.000,60805,1,TL,1,100,2024-03-07_23-32-19-473834
1709872349.554151,777475.000,61646,1,TL,1,100,2024-03-07_23-32-24-458197
1709872349.558151,777479.000,61648,1,TL,1,100,2024-03-07_23-32-24-597949
1709872349.635150,777556.000,61651,1,TL,1,100,2024-03-07_23-32-29-628494
1709872354.681059,782602.000,62481,1,TL,1,100,2024-03-07_23-32-29-746115
1709872354.744058,782665.000,62484,1,TL,1,100,2024-03-07_23-32-34-708339
1709872359.788968,787710.000,63314,1,TL,1,100,2024-03-07_23-32-34-825693
1709872364.901876,792823.000,64144,1,TL,1,100,2024-03-07_23-32-39-862486
1709872370.010784,797932.000,64927,1,TL,1,100,2024-03-07_23-32-44-957767
1709872370.013784,797935.000,64929,1,TL,1,100,2024-03-07_23-32-45-074704
1709872375.185692,803107.000,246,1,TL,1,100,2024-03-07_23-32-50-065981
1709872375.192692,803114.000,248,1,TL,1,100,2024-03-07_23-32-50-200540
1709872375.239691,803161.000,251,1,TL,1,100,2024-03-07_23-32-55-231371
1709872380.356599,808278.000,1096,1,TL,1,100,2024-03-07_23-33-00-329407
1709872385.403508,813325.000,1948,1,TL,1,100,2024-03-07_23-33-00-436949
1709872385.443508,813365.000,1951,1,TL,1,100,2024-03-07_23-33-05-437356
1709872390.554416,818476.000,2798,1,TL,1,100,2024-03-07_23-33-05-492827
1709872390.645414,818567.000,2801,1,TL,1,100,2024-03-07_23-33-10-634620
1709872395.682324,823604.000,3638,1,TL,1,100,2024-03-07_23-33-10-677708
1709872395.717324,823639.000,3641,1,TL,1,100,2024-03-07_23-33-15-711691
1709872400.789232,828711.000,4490,1,TL,1,100,2024-03-07_23-33-15-777926
1709872400.869231,828791.000,4493,1,TL,1,100,2024-03-07_23-33-20-861561
1709872405.896141,833818.000,5337,1,TL,1,100,2024-03-07_23-33-20-929719
1709872405.957140,833879.000,5340,1,TL,1,100,2024-03-07_23-33-25-912781
1709872411.005049,838927.000,6179,1,TL,1,100,2024-03-07_23-33-26-007981
1709872416.128958,844051.000,7018,1,TL,1,100,2024-03-07_23-33-31-198506
1709872421.279865,849202.000,7866,1,TL,1,100,2024-03-07_23-33-36-195737
1709872421.282865,849205.000,7868,1,TL,1,100,2024-03-07_23-33-36-347474
1709872421.309865,849232.000,7871,1,TL,1,100,2024-03-07_23-33-41-304872
1709872426.387774,854310.000,8718,1,TL,1,100,2024-03-07_23-33-41-356790
1709872426.466772,854389.000,8721,1,TL,1,100,2024-03-07_23-33-46-449675
1709872431.500682,859423.000,9573,1,TL,1,100,2024-03-07_23-33-46-523167
1709872436.628590,864551.000,10428,1,TL,1,100,2024-03-07_23-33-51-617173
1709872436.631590,864554.000,10430,1,TL,1,100,2024-03-07_23-33-51-713519
1709872436.708588,864631.000,10433,1,TL,1,100,2024-03-07_23-33-56-668976
1709872441.736498,869659.000,11269,1,TL,1,100,2024-03-07_23-33-56-795647
1709872441.765498,869688.000,11272,1,TL,1,100,2024-03-07_23-34-01-753827
1709872446.844407,874767.000,12117,1,TL,1,100,2024-03-07_23-34-01-826014
1709872446.862406,874785.000,12120,1,TL,1,100,2024-03-07_23-34-06-854987
1709872451.955315,879878.000,12962,1,TL,1,100,2024-03-07_23-34-06-905685
1709872452.003314,879926.000,12965,1,TL,1,100,2024-03-07_23-34-11-969534
1709872457.063223,884986.000,13808,1,TL,1,100,2024-03-07_23-34-12-055728
1709872462.174132,890097.000,14635,1,TL,1,100,2024-03-07_23-34-17-111021
1709872462.181132,890104.000,14637,1,TL,1,100,2024-03-07_23-34-17-205545
1709872467.281040,895204.000,15462,1,TL,1,100,2024-03-07_23-34-22-266770
1709872467.287040,895210.000,15464,1,TL,1,100,2024-03-07_23-34-22-331836
1709872467.380038,895303.000,15467,1,TL,1,100,2024-03-07_23-34-27-353860
1709872472.392948,900316.000,16314,1,TL,1,100,2024-03-07_23-34-27-425954
1709872472.405948,900329.000,16317,1,TL,1,100,2024-03-07_23-34-32-400448
1709872477.499857,905423.000,17164,1,TL,1,100,2024-03-07_23-34-32-544718
