RD,TS_received,TS_sent,AK,RoundTrip,
731326,731390,2024-03-07_23-31-43-424246,731392,64,
736470,736540,2024-03-07_23-31-48-610304,736541,70,
741592,741633,2024-03-07_23-31-53-702143,741634,41,
746712,746732,2024-03-07_23-31-58-800795,746733,20,
751820,751838,2024-03-07_23-32-03-908611,751840,18,
756959,757000,2024-03-07_23-32-09-053191,757002,41,
762086,762147,2024-03-07_23-32-14-217960,762149,61,
767211,772333,2024-03-07_23-32-19-347932,772335,5122,
772338,777475,2024-03-07_23-32-24-458197,777477,5137,
777481,777556,2024-03-07_23-32-29-628494,777564,75,
782604,782665,2024-03-07_23-32-34-708339,782667,61,
787715,792823,2024-03-07_23-32-39-862486,792825,5108,
792825,797932,2024-03-07_23-32-44-957767,797934,5107,
797941,803107,2024-03-07_23-32-50-065981,803109,5166,
803117,803161,2024-03-07_23-32-55-231371,803166,44,
808214,808278,2024-03-07_23-33-00-329407,808279,64,
813327,813365,2024-03-07_23-33-05-437356,813367,38,
818478,818567,2024-03-07_23-33-10-634620,818568,89,
823606,823639,2024-03-07_23-33-15-711691,823644,33,
828713,828791,2024-03-07_23-33-20-861561,828792,78,
833824,833879,2024-03-07_23-33-25-912781,833883,55,
838929,844051,2024-03-07_23-33-31-198506,844056,5122,
844057,849202,2024-03-07_23-33-36-195737,849204,5145,
849207,849232,2024-03-07_23-33-41-304872,849233,25,
854313,854389,2024-03-07_23-33-46-449675,854390,76,
859428,864551,2024-03-07_23-33-51-617173,864552,5123,
864556,864631,2024-03-07_23-33-56-668976,864632,75,
869661,869688,2024-03-07_23-34-01-753827,869693,27,
874772,874785,2024-03-07_23-34-06-854987,874786,13,
879880,879926,2024-03-07_23-34-11-969534,879927,46,
884990,890097,2024-03-07_23-34-17-111021,890099,5107,
890106,895204,2024-03-07_23-34-22-266770,895206,5098,
895212,895303,2024-03-07_23-34-27-353860,895304,91,
900318,900329,2024-03-07_23-34-32-400448,900331,11,
905426,
