timestamps,TP9,AF7,AF8,TP10,Right AUX
1709252887.751,-133.789,-532.227,180.664,-99.121,68.359
1709252887.755,-124.512,-961.914,-718.750,-96.191,19.531
1709252887.759,-114.258,-460.449,-211.426,-81.055,-7.324
1709252887.763,-119.141,-178.711,330.566,-85.449,65.430
1709252887.767,-119.141,-367.676,121.094,-84.473,79.590
1709252887.771,-108.887,-732.910,-485.352,-60.059,24.414
1709252887.775,-87.891,-661.621,-561.035,-17.578,94.238
1709252887.778,-57.617,-515.137,-290.039,28.320,104.004
1709252887.782,-45.410,-900.879,-740.723,24.902,41.504
1709252887.786,-44.922,-1000.000,-1000.000,6.348,34.668
1709252887.790,0.977,-765.137,-708.008,36.133,56.641
1709252887.794,32.715,-760.742,-541.016,54.199,-11.719
1709252887.796,34.180,-911.133,-675.293,57.129,-8.301
1709252887.800,28.320,-890.625,-708.496,71.777,22.461
1709252887.804,45.898,-953.125,-778.320,74.219,-0.977
1709252887.808,66.895,-841.797,-567.871,110.352,41.992
1709252887.812,67.383,-799.805,-391.602,116.699,36.621
1709252887.816,93.262,-932.617,-687.988,101.562,20.996
1709252887.820,94.727,-981.934,-982.910,96.680,30.273
1709252887.823,78.613,-964.844,-978.027,103.027,19.531
1709252887.827,98.145,-972.168,-889.648,119.141,-31.250
1709252887.831,118.164,-969.727,-712.891,109.863,0.000
1709252887.835,101.562,-977.051,-762.207,102.539,43.457
1709252887.839,103.516,-944.336,-645.996,113.281,67.871
1709252887.843,114.746,-940.430,-357.422,125.977,75.684
1709252887.847,96.680,-975.098,-346.680,118.164,19.531
1709252887.851,88.379,-970.215,-547.852,107.910,42.480
1709252887.855,102.539,-973.145,-635.742,112.793,83.984
1709252887.859,103.027,-945.312,-250.977,115.234,37.109
1709252887.863,104.004,-952.637,-153.320,98.633,13.184
1709252887.867,101.562,-971.680,-588.867,87.402,16.602
1709252887.870,96.680,-978.516,-856.445,84.473,48.828
1709252887.874,95.703,-933.105,-333.496,98.633,55.176
1709252887.878,104.492,-842.773,213.867,98.145,34.180
1709252887.882,105.469,-903.320,38.086,81.055,44.434
1709252887.886,81.055,-983.398,-297.852,68.359,-31.738
1709252887.886,67.383,-953.125,-104.980,81.055,-39.062
1709252887.890,95.215,-906.250,201.660,95.703,-2.441
1709252887.894,94.238,-946.777,-66.895,70.312,-29.785
1709252887.898,72.266,-977.539,-542.969,55.176,-22.949
1709252887.902,75.195,-968.262,-375.977,68.359,20.508
1709252887.906,84.961,-971.680,-24.902,83.008,62.012
1709252887.910,82.031,-968.262,-310.059,75.684,86.426
1709252887.913,58.594,-971.680,-825.684,48.828,23.926
1709252887.917,36.133,-974.121,-498.047,44.434,27.344
1709252887.921,57.129,-865.234,83.496,53.223,27.344
1709252887.925,67.383,-839.355,197.266,44.434,44.434
