timestamps,TP9,AF7,AF8,TP10,Right AUX
1709252668.031,17.578,-464.355,-393.555,-46.387,-22.949
1709252668.035,19.531,-431.152,-440.918,18.555,-48.828
1709252668.039,24.902,-120.605,-102.539,38.574,-4.395
1709252668.043,20.020,-69.824,-37.109,-8.789,27.344
1709252668.047,12.695,-360.840,-474.121,-26.855,-6.348
1709252668.051,23.438,-453.613,-694.824,32.715,1.953
1709252668.055,40.039,-311.523,-491.699,65.918,37.109
1709252668.058,22.949,-140.137,-240.723,29.785,65.430
1709252668.062,7.812,-539.551,-588.379,7.812,32.227
1709252668.066,3.418,-797.852,-964.355,26.855,-20.020
1709252668.070,3.906,-53.711,-192.871,82.031,41.504
1709252668.074,12.695,274.902,480.957,91.797,78.613
1709252668.076,5.371,0.977,228.027,44.434,52.246
1709252668.080,-2.930,6.348,127.930,9.277,36.621
1709252668.084,4.395,363.770,645.996,41.016,73.242
1709252668.088,11.230,430.176,-999.512,63.965,97.168
1709252668.092,1.465,56.641,699.707,12.695,47.852
1709252668.096,21.973,-203.125,324.707,9.277,2.930
1709252668.100,46.387,-155.762,347.168,70.312,9.766
1709252668.103,14.160,-115.234,467.285,86.426,25.391
1709252668.107,-3.418,-418.457,63.965,26.855,-3.418
1709252668.111,12.207,-368.652,-79.590,-12.695,-21.484
1709252668.115,34.668,14.648,443.359,43.457,42.480
1709252668.119,44.434,179.688,875.000,97.656,87.891
1709252668.123,29.785,-53.711,656.738,64.941,39.062
1709252668.127,26.855,-259.766,221.191,20.508,-2.930
1709252668.131,31.738,-174.805,170.410,33.203,32.715
1709252668.135,27.344,-220.703,99.121,98.633,57.129
1709252668.139,28.320,-190.430,98.145,85.938,73.730
1709252668.143,22.949,-276.367,-45.410,28.809,63.477
1709252668.147,23.438,-610.840,-555.176,37.109,1.465
1709252668.150,32.227,-802.734,-828.613,90.820,22.949
1709252668.154,37.109,-763.184,-773.438,103.516,35.156
1709252668.158,15.137,-479.492,-425.293,40.039,20.020
1709252668.162,-9.277,-445.801,-270.020,16.113,53.223
1709252668.166,9.766,-392.090,-145.020,56.152,56.641
1709252668.166,26.367,-94.238,260.254,58.594,70.801
1709252668.170,21.973,-13.184,490.234,16.602,61.523
1709252668.174,10.742,-390.625,145.996,-35.156,11.719
1709252668.178,11.719,-714.844,-285.645,-25.879,-5.859
1709252668.182,34.180,-460.938,-8.301,41.504,34.180
1709252668.186,32.715,-445.801,178.223,26.855,54.199
1709252668.190,12.207,-807.617,-327.637,-36.133,22.461
1709252668.193,7.812,-1000.000,-934.570,-40.527,-22.949
1709252668.197,25.391,-737.305,-635.254,8.301,16.113
1709252668.201,27.832,-296.387,165.527,12.207,61.523
1709252668.205,18.555,-429.199,139.648,-32.715,41.504
1709252668.209,17.578,-605.957,-121.582,-51.758,23.926
1709252668.211,17.090,-369.629,151.855,-1.953,53.223
1709252668.215,26.855,-164.551,541.016,21.484,83.008
1709252668.219,20.020,-416.504,314.453,-18.555,54.199
1709252668.223,7.812,-657.715,-88.379,-31.250,53.711
1709252668.227,8.789,-573.242,-47.852,11.719,54.199
1709252668.231,11.719,-702.148,-94.727,24.902,36.133
1709252668.235,10.254,-945.312,-652.832,-11.230,-14.160
1709252668.238,10.742,-986.328,-993.652,-27.832,-42.969
1709252668.242,15.137,-917.969,-699.219,-15.137,-7.324
1709252668.246,20.020,-734.863,-237.793,5.371,43.457
1709252668.250,21.973,-738.770,-100.586,-6.348,50.781
1709252668.254,16.113,-814.941,-161.621,-42.969,43.945
1709252668.257,12.207,-836.914,-194.824,-27.344,27.832
1709252668.261,10.254,-802.734,-142.090,55.176,35.645
1709252668.265,18.066,-741.699,-108.887,45.898,66.406
1709252668.269,13.672,-794.434,-329.102,-19.043,45.898
1709252668.273,5.859,-955.078,-653.320,-30.762,10.742
1709252668.277,20.996,-975.098,-843.750,14.648,27.344
1709252668.281,24.902,-971.191,-963.867,28.320,36.133
1709252668.284,2.441,-910.156,-853.027,-23.926,42.480
1709252668.288,-9.766,-882.812,-751.953,-19.043,39.551
1709252668.292,45.410,-986.328,-929.199,69.336,14.648
1709252668.296,75.195,-813.965,-654.297,103.516,69.336
1709252668.300,18.066,-690.918,-178.223,10.742,91.797
1709252668.316,-48.828,-900.391,-198.730,-80.566,21.973
1709252668.320,-80.566,-1000.000,-172.363,-57.617,20.508
1709252668.324,-70.312,-823.730,260.742,-13.672,71.289
1709252668.328,-101.074,-687.988,683.105,-64.941,70.801
1709252668.332,-146.484,-865.234,631.836,-148.926,39.551
1709252668.336,-157.715,-987.305,294.922,-184.570,23.438
1709252668.340,-174.316,-937.500,311.523,-166.504,16.113
1709252668.343,-199.219,-833.496,704.102,-186.035,19.043
