LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1709252894.556208,2823113.000,13942,2,AK,1,100,13147
1709252894.556208,2823113.000,13942,2,AK,1,100,RD
1709252897.112610,2825669.500,14708,2,AK,1,100,13943
1709252899.669013,2828226.000,14708,2,AK,1,100,RD
1709252899.671013,2828228.000,14710,2,AK,1,100,13943
1709252899.673012,2828230.000,14710,2,AK,1,100,RD
1709252902.233415,2830790.500,15544,2,AK,1,100,14711
1709252904.793817,2833351.000,15544,2,AK,1,100,RD
1709252904.794817,2833352.000,15546,2,AK,1,100,14711
1709252904.795817,2833353.000,15546,2,AK,1,100,RD
1709252907.358719,2835916.000,16375,2,AK,1,100,15547
1709252909.921621,2838479.000,16375,2,AK,1,100,RD
1709252909.923621,2838481.000,16377,2,AK,1,100,15547
1709252909.925621,2838483.000,16377,2,AK,1,100,RD
1709252909.946620,2838504.000,16380,2,AK,1,100,16378
1709252909.967619,2838525.000,16380,2,AK,1,100,RD
1709252912.497023,2841054.500,17211,2,AK,1,100,16378
1709252915.026426,2843584.000,17211,2,AK,1,100,RD
1709252917.581328,2846139.000,18020,2,AK,1,100,17212
1709252920.136231,2848694.000,18020,2,AK,1,100,RD
1709252920.137731,2848695.500,18022,2,AK,1,100,17212
1709252920.139231,2848697.000,18022,2,AK,1,100,RD
1709252920.155730,2848713.500,18025,2,AK,1,100,18023
1709252920.172229,2848730.000,18025,2,AK,1,100,RD
1709252922.708632,2851266.500,18862,2,AK,1,100,18023
1709252925.245036,2853803.000,18862,2,AK,1,100,RD
1709252925.261035,2853819.000,18865,2,AK,1,100,18863
1709252925.277034,2853835.000,18865,2,AK,1,100,RD
1709252927.816937,2856375.000,19693,2,AK,1,100,18863
1709252930.356840,2858915.000,19693,2,AK,1,100,RD
1709252930.363340,2858921.500,19696,2,AK,1,100,19694
1709252930.369840,2858928.000,19696,2,AK,1,100,RD
1709252932.925242,2861483.500,20547,2,AK,1,100,19694
1709252935.480644,2864039.000,20547,2,AK,1,100,RD
1709252935.520143,2864078.500,20550,2,AK,1,100,20548
1709252935.559642,2864118.000,20550,2,AK,1,100,RD
1709252938.074045,2866632.500,21380,2,AK,1,100,20548
1709252940.588449,2869147.000,21380,2,AK,1,100,RD
1709252940.606449,2869165.000,21383,2,AK,1,100,21381
1709252940.624448,2869183.000,21383,2,AK,1,100,RD
1709252943.160351,2871719.000,22213,2,AK,1,100,21381
1709252945.696254,2874255.000,22213,2,AK,1,100,RD
