LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1709252889.907386,2818464.000,13187,1,AY,1,100,-0.117
1709252889.942718,2818499.333,13206,3,AY,1,100,-0.118
1709252889.978050,2818534.667,13206,3,AY,1,100,-0.120
1709252890.013382,2818570.000,13206,3,AY,1,100,-0.119
1709252890.053380,2818610.000,13223,2,AY,1,100,-0.120
1709252890.093379,2818650.000,13223,2,AY,1,100,-0.120
1709252890.133377,2818690.000,13239,3,AY,1,100,-0.119
1709252890.173376,2818730.000,13239,3,AY,1,100,-0.119
1709252890.213374,2818770.000,13239,3,AY,1,100,-0.118
1709252890.253372,2818810.000,13257,3,AY,1,100,-0.128
1709252890.293371,2818850.000,13257,3,AY,1,100,-0.111
1709252890.333369,2818890.000,13257,3,AY,1,100,-0.132
1709252890.373368,2818930.000,13271,2,AY,1,100,-0.099
1709252890.413366,2818970.000,13271,2,AY,1,100,-0.111
1709252890.453365,2819010.000,13288,3,AY,1,100,-0.117
1709252890.493363,2819050.000,13288,3,AY,1,100,-0.120
1709252890.533362,2819090.000,13288,3,AY,1,100,-0.118
1709252890.573360,2819130.000,13304,3,AY,1,100,-0.117
1709252890.613359,2819170.000,13304,3,AY,1,100,-0.113
1709252890.653357,2819210.000,13304,3,AY,1,100,-0.114
1709252890.693356,2819250.000,13326,2,AY,1,100,-0.117
1709252890.733354,2819290.000,13326,2,AY,1,100,-0.120
1709252890.773353,2819330.000,13340,3,AY,1,100,-0.116
1709252890.813351,2819370.000,13340,3,AY,1,100,-0.121
1709252890.853349,2819410.000,13340,3,AY,1,100,-0.118
1709252890.893348,2819450.000,13359,2,AY,1,100,-0.120
1709252890.933347,2819490.000,13359,2,AY,1,100,-0.117
1709252890.973345,2819530.000,13376,3,AY,1,100,-0.121
1709252891.013343,2819570.000,13376,3,AY,1,100,-0.118
1709252891.053342,2819610.000,13376,3,AY,1,100,-0.122
1709252891.093340,2819650.000,13393,2,AY,1,100,-0.122
1709252891.133339,2819690.000,13393,2,AY,1,100,-0.121
1709252891.173337,2819730.000,13407,3,AY,1,100,-0.122
1709252891.213336,2819770.000,13407,3,AY,1,100,-0.118
1709252891.253334,2819810.000,13407,3,AY,1,100,-0.122
1709252891.293333,2819850.000,13427,2,AY,1,100,-0.121
1709252891.333331,2819890.000,13427,2,AY,1,100,-0.123
1709252891.373330,2819930.000,13443,3,AY,1,100,-0.120
1709252891.413328,2819970.000,13443,3,AY,1,100,-0.119
1709252891.453327,2820010.000,13443,3,AY,1,100,-0.127
1709252891.493325,2820050.000,13460,2,AY,1,100,-0.123
1709252891.533324,2820090.000,13460,2,AY,1,100,-0.119
1709252891.573322,2820130.000,13474,3,AY,1,100,-0.124
1709252891.613321,2820170.000,13474,3,AY,1,100,-0.115
1709252891.653319,2820210.000,13474,3,AY,1,100,-0.129
1709252891.693317,2820250.000,13494,3,AY,1,100,-0.120
1709252891.733316,2820290.000,13494,3,AY,1,100,-0.126
1709252891.773314,2820330.000,13494,3,AY,1,100,-0.124
1709252891.806813,2820363.500,13510,2,AY,1,100,-0.116
1709252891.840312,2820397.000,13510,2,AY,1,100,-0.132
1709252891.880310,2820437.000,13527,3,AY,1,100,-0.113
1709252891.920309,2820477.000,13527,3,AY,1,100,-0.129
1709252891.960307,2820517.000,13527,3,AY,1,100,-0.121
1709252892.000306,2820557.000,13545,2,AY,1,100,-0.116
1709252892.040304,2820597.000,13545,2,AY,1,100,-0.127
1709252892.080303,2820637.000,13561,3,AY,1,100,-0.122
1709252892.120301,2820677.000,13561,3,AY,1,100,-0.115
1709252892.160300,2820717.000,13561,3,AY,1,100,-0.120
1709252892.200298,2820757.000,13579,3,AY,1,100,-0.120
1709252892.240297,2820797.000,13579,3,AY,1,100,-0.126
1709252892.280295,2820837.000,13579,3,AY,1,100,-0.123
1709252892.320293,2820877.000,13597,2,AY,1,100,-0.121
1709252892.360292,2820917.000,13597,2,AY,1,100,-0.123
1709252892.400290,2820957.000,13613,3,AY,1,100,-0.122
1709252892.440289,2820997.000,13613,3,AY,1,100,-0.121
1709252892.480287,2821037.000,13613,3,AY,1,100,-0.122
1709252892.520286,2821077.000,13632,3,AY,1,100,-0.128
1709252892.560284,2821117.000,13632,3,AY,1,100,-0.117
1709252892.600283,2821157.000,13632,3,AY,1,100,-0.115
1709252892.640281,2821197.000,13647,3,AY,1,100,-0.132
1709252892.680280,2821237.000,13647,3,AY,1,100,-0.122
1709252892.720278,2821277.000,13647,3,AY,1,100,-0.124
1709252892.760277,2821317.000,13666,2,AY,1,100,-0.116
1709252892.800275,2821357.000,13666,2,AY,1,100,-0.137
1709252892.840274,2821397.000,13684,3,AY,1,100,-0.122
1709252892.880272,2821437.000,13684,3,AY,1,100,-0.123
1709252892.920270,2821477.000,13684,3,AY,1,100,-0.120
1709252892.960269,2821517.000,13702,2,AY,1,100,-0.127
1709252893.000268,2821557.000,13702,2,AY,1,100,-0.125
1709252893.040266,2821597.000,13717,3,AY,1,100,-0.125
1709252893.080264,2821637.000,13717,3,AY,1,100,-0.126
1709252893.120263,2821677.000,13717,3,AY,1,100,-0.117
1709252893.160261,2821717.000,13733,3,AY,1,100,-0.131
1709252893.200260,2821757.000,13733,3,AY,1,100,-0.125
1709252893.240258,2821797.000,13733,3,AY,1,100,-0.118
1709252893.280257,2821837.000,13749,2,AY,1,100,-0.122
1709252893.320255,2821877.000,13749,2,AY,1,100,-0.125
1709252893.360254,2821917.000,13769,3,AY,1,100,-0.130
1709252893.400252,2821957.000,13769,3,AY,1,100,-0.118
1709252893.440251,2821997.000,13769,3,AY,1,100,-0.125
1709252893.480249,2822037.000,13784,2,AY,1,100,-0.128
1709252893.520248,2822077.000,13784,2,AY,1,100,-0.126
1709252893.560246,2822117.000,13800,3,AY,1,100,-0.121
1709252893.600245,2822157.000,13800,3,AY,1,100,-0.113
1709252893.640243,2822197.000,13800,3,AY,1,100,-0.126
1709252893.680242,2822237.000,13817,2,AY,1,100,-0.129
1709252893.720240,2822277.000,13817,2,AY,1,100,-0.124
1709252893.760238,2822317.000,13834,3,AY,1,100,-0.126
1709252893.800237,2822357.000,13834,3,AY,1,100,-0.118
1709252893.840235,2822397.000,13834,3,AY,1,100,-0.120
1709252893.875567,2822432.333,13850,3,AY,1,100,-0.126
1709252893.910899,2822467.667,13850,3,AY,1,100,-0.123
1709252893.946231,2822503.000,13850,3,AY,1,100,-0.124
1709252893.986230,2822543.000,13866,2,AY,1,100,-0.119
1709252894.026228,2822583.000,13866,2,AY,1,100,-0.128
1709252894.066227,2822623.000,13882,3,AY,1,100,-0.120
1709252894.106225,2822663.000,13882,3,AY,1,100,-0.123
1709252894.146224,2822703.000,13882,3,AY,1,100,-0.122
1709252894.186222,2822743.000,13899,2,AY,1,100,-0.126
1709252894.226221,2822783.000,13899,2,AY,1,100,-0.127
1709252894.266219,2822823.000,13916,3,AY,1,100,-0.128
1709252894.306218,2822863.000,13916,3,AY,1,100,-0.122
1709252894.346216,2822903.000,13916,3,AY,1,100,-0.125
1709252894.386214,2822943.000,13933,2,AY,1,100,-0.124
1709252894.426213,2822983.000,13933,2,AY,1,100,-0.127
1709252894.466212,2823023.000,13953,6,AY,1,100,-0.125
1709252894.506210,2823063.000,13953,6,AY,1,100,-0.127
1709252894.546208,2823103.000,13953,6,AY,1,100,-0.117
1709252894.586207,2823143.000,13953,6,AY,1,100,-0.127
1709252894.626205,2823183.000,13953,6,AY,1,100,-0.117
1709252894.666204,2823223.000,13953,6,AY,1,100,-0.146
1709252894.706202,2823263.000,13970,2,AY,1,100,-0.120
1709252894.746201,2823303.000,13970,2,AY,1,100,-0.112
1709252894.786199,2823343.000,13987,4,AY,1,100,-0.130
1709252894.826198,2823383.000,13987,4,AY,1,100,-0.125
1709252894.866196,2823423.000,13987,4,AY,1,100,-0.137
1709252894.906195,2823463.000,13987,4,AY,1,100,-0.128
1709252894.946193,2823503.000,14002,2,AY,1,100,-0.130
1709252894.986192,2823543.000,14002,2,AY,1,100,-0.119
1709252895.026190,2823583.000,14019,3,AY,1,100,-0.113
1709252895.066189,2823623.000,14019,3,AY,1,100,-0.124
1709252895.106187,2823663.000,14019,3,AY,1,100,-0.128
1709252895.146185,2823703.000,14035,2,AY,1,100,-0.119
1709252895.186184,2823743.000,14035,2,AY,1,100,-0.139
1709252895.226182,2823783.000,14052,3,AY,1,100,-0.148
1709252895.266181,2823823.000,14052,3,AY,1,100,-0.097
1709252895.306179,2823863.000,14052,3,AY,1,100,-0.140
1709252895.346178,2823903.000,14071,2,AY,1,100,-0.139
1709252895.386176,2823943.000,14071,2,AY,1,100,-0.127
1709252895.426175,2823983.000,14086,3,AY,1,100,-0.126
1709252895.466173,2824023.000,14086,3,AY,1,100,-0.130
1709252895.506172,2824063.000,14086,3,AY,1,100,-0.110
1709252895.546170,2824103.000,14102,2,AY,1,100,-0.134
1709252895.586169,2824143.000,14102,2,AY,1,100,-0.130
1709252895.626167,2824183.000,14120,3,AY,1,100,-0.119
1709252895.666166,2824223.000,14120,3,AY,1,100,-0.132
1709252895.706164,2824263.000,14120,3,AY,1,100,-0.124
1709252895.741829,2824298.667,14136,3,AY,1,100,-0.130
1709252895.777495,2824334.333,14136,3,AY,1,100,-0.131
1709252895.813160,2824370.000,14136,3,AY,1,100,-0.122
1709252895.853158,2824410.000,14151,2,AY,1,100,-0.118
1709252895.893157,2824450.000,14151,2,AY,1,100,-0.130
1709252895.933156,2824490.000,14168,3,AY,1,100,-0.125
1709252895.973154,2824530.000,14168,3,AY,1,100,-0.131
1709252896.013152,2824570.000,14168,3,AY,1,100,-0.129
1709252896.053151,2824610.000,14185,2,AY,1,100,-0.125
1709252896.093149,2824650.000,14185,2,AY,1,100,-0.132
1709252896.133148,2824690.000,14201,3,AY,1,100,-0.120
1709252896.173146,2824730.000,14201,3,AY,1,100,-0.125
1709252896.213145,2824770.000,14201,3,AY,1,100,-0.124
1709252896.253143,2824810.000,14216,2,AY,1,100,-0.128
1709252896.293142,2824850.000,14216,2,AY,1,100,-0.131
1709252896.333140,2824890.000,14233,3,AY,1,100,-0.128
1709252896.373139,2824930.000,14233,3,AY,1,100,-0.131
1709252896.413137,2824970.000,14233,3,AY,1,100,-0.113
1709252896.453135,2825010.000,14250,3,AY,1,100,-0.134
1709252896.493134,2825050.000,14250,3,AY,1,100,-0.131
1709252896.533133,2825090.000,14250,3,AY,1,100,-0.115
1709252896.573131,2825130.000,14266,2,AY,1,100,-0.127
1709252896.613129,2825170.000,14266,2,AY,1,100,-0.125
1709252896.653128,2825210.000,14282,3,AY,1,100,-0.127
1709252896.693126,2825250.000,14282,3,AY,1,100,-0.130
1709252896.733125,2825290.000,14282,3,AY,1,100,-0.123
1709252896.773123,2825330.000,14298,2,AY,1,100,-0.131
1709252896.813122,2825370.000,14298,2,AY,1,100,-0.128
1709252896.853120,2825410.000,14315,3,AY,1,100,-0.126
1709252896.893119,2825450.000,14315,3,AY,1,100,-0.125
1709252896.933117,2825490.000,14315,3,AY,1,100,-0.141
1709252896.973116,2825530.000,14333,6,AY,1,100,-0.133
1709252897.013114,2825570.000,14333,6,AY,1,100,-0.124
1709252897.053113,2825610.000,14333,6,AY,1,100,-0.125
1709252897.093111,2825650.000,14333,6,AY,1,100,-0.135
1709252897.133110,2825690.000,14333,6,AY,1,100,-0.133
1709252897.173108,2825730.000,14333,6,AY,1,100,-0.115
1709252897.213107,2825770.000,14351,5,AY,1,100,-0.143
1709252897.253105,2825810.000,14351,5,AY,1,100,-0.143
1709252897.293103,2825850.000,14351,5,AY,1,100,-0.130
1709252897.333102,2825890.000,14351,5,AY,1,100,-0.135
1709252897.373101,2825930.000,14351,5,AY,1,100,-0.123
1709252897.413099,2825970.000,14369,5,AY,1,100,-0.132
1709252897.453097,2826010.000,14369,5,AY,1,100,-0.136
1709252897.493096,2826050.000,14369,5,AY,1,100,-0.127
1709252897.533094,2826090.000,14369,5,AY,1,100,-0.131
1709252897.573093,2826130.000,14369,5,AY,1,100,-0.131
1709252897.613091,2826170.000,14387,3,AY,1,100,-0.134
1709252897.653090,2826210.000,14387,3,AY,1,100,-0.127
1709252897.693088,2826250.000,14387,3,AY,1,100,-0.126
1709252897.728420,2826285.333,14401,3,AY,1,100,-0.128
1709252897.763752,2826320.667,14401,3,AY,1,100,-0.124
1709252897.799084,2826356.000,14401,3,AY,1,100,-0.136
1709252897.839083,2826396.000,14418,2,AY,1,100,-0.130
1709252897.879081,2826436.000,14418,2,AY,1,100,-0.129
1709252897.919080,2826476.000,14434,3,AY,1,100,-0.128
1709252897.959078,2826516.000,14434,3,AY,1,100,-0.131
1709252897.999077,2826556.000,14434,3,AY,1,100,-0.126
1709252898.039075,2826596.000,14452,2,AY,1,100,-0.130
1709252898.079073,2826636.000,14452,2,AY,1,100,-0.129
1709252898.119072,2826676.000,14467,3,AY,1,100,-0.136
1709252898.159070,2826716.000,14467,3,AY,1,100,-0.134
1709252898.199069,2826756.000,14467,3,AY,1,100,-0.122
1709252898.239067,2826796.000,14483,2,AY,1,100,-0.128
1709252898.279066,2826836.000,14483,2,AY,1,100,-0.130
