LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1709252894.311217,2822868.000,13925,1,B%,1,100,27
1709252899.311026,2827868.000,14656,1,B%,1,100,26
1709252904.309835,2832867.000,15477,1,B%,1,100,27
1709252909.309644,2837867.000,16292,1,B%,1,100,26
1709252914.308453,2842866.000,17110,1,B%,1,100,27
1709252919.308262,2847866.000,17905,1,B%,1,100,27
1709252924.307071,2852865.000,18727,1,B%,1,100,27
1709252929.306880,2857865.000,19541,1,B%,1,100,27
1709252934.305689,2862864.000,20361,1,B%,1,100,27
1709252939.305498,2867864.000,21180,1,B%,1,100,26
1709252944.304307,2872863.000,21994,1,B%,1,100,26
1709252949.304116,2877863.000,22812,1,B%,1,100,26
1709252954.302925,2882862.000,23617,1,B%,1,100,26
1709252959.302734,2887862.000,24437,1,B%,1,100,26
1709252964.301543,2892861.000,25236,1,B%,1,100,26
1709252969.301353,2897861.000,26063,1,B%,1,100,26
1709252974.300161,2902860.000,26881,1,B%,1,100,26
1709252979.299970,2907860.000,27701,1,B%,1,100,25
1709252984.298779,2912859.000,28513,1,B%,1,100,26
1709252989.298589,2917859.000,29322,1,B%,1,100,27
1709252994.297397,2922858.000,30140,1,B%,1,100,25
1709252999.297206,2927858.000,30960,1,B%,1,100,25
1709253004.296016,2932857.000,31765,1,B%,1,100,25
1709253009.295825,2937857.000,32578,1,B%,1,100,25
1709253014.294633,2942856.000,33403,1,B%,1,100,25
1709253019.294442,2947856.000,34218,1,B%,1,100,24
1709253024.293252,2952855.000,35017,1,B%,1,100,24
1709253029.293061,2957855.000,35817,1,B%,1,100,24
1709253034.291869,2962854.000,36636,1,B%,1,100,24
1709253039.291678,2967854.000,37451,1,B%,1,100,24
1709253044.290488,2972853.000,38255,1,B%,1,100,24
1709253049.290297,2977853.000,39060,1,B%,1,100,24
1709253054.289105,2982852.000,39884,1,B%,1,100,24
1709253059.288914,2987852.000,40687,1,B%,1,100,24
1709253064.287724,2992851.000,41506,1,B%,1,100,24
1709253069.287533,2997851.000,42313,1,B%,1,100,24
