LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1709252890.667357,2819224,13313,1,BI,1,100,1360
1709252892.880272,2821437,13674,1,BI,1,100,2200
1709252893.360254,2821917,13758,1,BI,1,100,480
1709252895.360177,2823917,14060,1,BI,1,100,2000
1709252897.453097,2826010,14359,1,BI,1,100,2080
1709252899.453021,2828010,14675,1,BI,1,100,2000
1709252900.185993,2828743,14781,1,BI,1,100,720
1709252900.785970,2829343,14880,1,BI,1,100,600
1709252901.385947,2829943,14980,1,BI,1,100,600
1709252901.865929,2830423,15064,1,BI,1,100,480
1709252903.985848,2832543,15409,1,BI,1,100,2120
1709252905.158803,2833716,15597,1,BI,1,100,1160
1709252906.278760,2834836,15780,1,BI,1,100,1120
1709252907.558711,2836116,15996,1,BI,1,100,1280
1709252910.291607,2838849,16447,1,BI,1,100,2720
1709252911.531559,2840089,16645,1,BI,1,100,1240
1709252912.131536,2840689,16746,1,BI,1,100,600
1709252912.571520,2841129,16813,1,BI,1,100,440
1709252914.224457,2842782,17076,1,BI,1,100,1640
1709252916.064386,2844622,17378,1,BI,1,100,1840
1709252920.076233,2848634,18027,1,BI,1,100,4000
1709252921.450181,2850008,18241,1,BI,1,100,1360
1709252922.210151,2850768,18359,1,BI,1,100,760
1709252922.690133,2851248,18442,1,BI,1,100,480
1709252922.969123,2851527,18493,1,BI,1,100,280
1709252923.649096,2852207,18608,1,BI,1,100,680
1709252925.009045,2853567,18825,1,BI,1,100,1360
1709252926.661981,2855220,19093,1,BI,1,100,1640
1709252927.421952,2855980,19228,1,BI,1,100,760
1709252929.021891,2857580,19473,1,BI,1,100,1600
1709252929.915857,2858474,19625,1,BI,1,100,880
1709252930.594831,2859153,19745,1,BI,1,100,680
1709252931.354802,2859913,19863,1,BI,1,100,760
1709252931.834784,2860393,19945,1,BI,1,100,480
1709252932.114773,2860673,19998,1,BI,1,100,280
1709252932.754749,2861313,20097,1,BI,1,100,640
1709252933.968702,2862527,20294,1,BI,1,100,1200
1709252935.327650,2863886,20510,1,BI,1,100,1360
1709252936.407609,2864966,20699,1,BI,1,100,1080
1709252937.207579,2865766,20831,1,BI,1,100,800
1709252938.420532,2866979,21029,1,BI,1,100,1200
1709252938.980511,2867539,21112,1,BI,1,100,560
1709252940.380457,2868939,21346,1,BI,1,100,1400
1709252941.980396,2870539,21613,1,BI,1,100,1600
1709252942.833364,2871392,21746,1,BI,1,100,840
1709252943.433341,2871992,21845,1,BI,1,100,600
1709252944.713292,2873272,22062,1,BI,1,100,1280
1709252945.313269,2873872,22145,1,BI,1,100,600
1709252946.926207,2875485,22395,1,BI,1,100,1600
1709252948.126161,2876685,22593,1,BI,1,100,1200
1709252948.806135,2877365,22711,1,BI,1,100,680
1709252949.126123,2877685,22761,1,BI,1,100,320
1709252949.566106,2878125,22830,1,BI,1,100,440
1709252950.046088,2878605,22914,1,BI,1,100,480
1709252953.178968,2881738,23418,1,BI,1,100,3120
1709252954.058935,2882618,23567,1,BI,1,100,880
1709252954.458920,2883018,23636,1,BI,1,100,400
1709252954.751908,2883311,23688,1,BI,1,100,280
1709252955.391884,2883951,23788,1,BI,1,100,640
1709252956.151855,2884711,23911,1,BI,1,100,760
1709252958.271774,2886831,24239,1,BI,1,100,2120
1709252959.684720,2888244,24472,1,BI,1,100,1400
1709252961.044668,2889604,24709,1,BI,1,100,1360
