LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1709252894.311217,2822868.000,13924,1,BV,1,100,3.58
1709252899.311026,2827868.000,14655,1,BV,1,100,3.57
1709252904.309835,2832867.000,15476,1,BV,1,100,3.58
1709252909.309644,2837867.000,16291,1,BV,1,100,3.58
1709252914.308453,2842866.000,17109,1,BV,1,100,3.58
1709252919.308262,2847866.000,17904,1,BV,1,100,3.58
1709252924.307071,2852865.000,18726,1,BV,1,100,3.58
1709252929.306880,2857865.000,19540,1,BV,1,100,3.58
1709252934.305689,2862864.000,20360,1,BV,1,100,3.58
1709252939.305498,2867864.000,21179,1,BV,1,100,3.58
1709252944.304307,2872863.000,21993,1,BV,1,100,3.57
1709252949.304116,2877863.000,22811,1,BV,1,100,3.57
1709252954.302925,2882862.000,23616,1,BV,1,100,3.57
1709252959.302734,2887862.000,24436,1,BV,1,100,3.57
1709252964.301543,2892861.000,25235,1,BV,1,100,3.57
1709252969.301353,2897861.000,26062,1,BV,1,100,3.57
1709252974.300161,2902860.000,26880,1,BV,1,100,3.57
1709252979.299970,2907860.000,27700,1,BV,1,100,3.57
1709252984.298779,2912859.000,28512,1,BV,1,100,3.57
1709252989.298589,2917859.000,29321,1,BV,1,100,3.58
1709252994.297397,2922858.000,30139,1,BV,1,100,3.57
1709252999.297206,2927858.000,30959,1,BV,1,100,3.57
1709253004.296016,2932857.000,31764,1,BV,1,100,3.57
1709253009.295825,2937857.000,32577,1,BV,1,100,3.57
1709253014.294633,2942856.000,33402,1,BV,1,100,3.56
1709253019.294442,2947856.000,34217,1,BV,1,100,3.56
1709253024.293252,2952855.000,35016,1,BV,1,100,3.56
1709253029.293061,2957855.000,35816,1,BV,1,100,3.56
1709253034.291869,2962854.000,36635,1,BV,1,100,3.56
1709253039.291678,2967854.000,37450,1,BV,1,100,3.56
1709253044.290488,2972853.000,38254,1,BV,1,100,3.56
1709253049.290297,2977853.000,39059,1,BV,1,100,3.56
1709253054.289105,2982852.000,39883,1,BV,1,100,3.56
1709253059.288914,2987852.000,40686,1,BV,1,100,3.56
1709253064.287724,2992851.000,41505,1,BV,1,100,3.56
1709253069.287533,2997851.000,42312,1,BV,1,100,3.56
