LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1709252890.012382,2818569.000,13201,2,EA,1,100,0.234908
1709252890.012382,2818569.000,13201,2,EA,1,100,0.234396
1709252890.079379,2818636.000,13218,1,EA,1,100,0.234309
1709252890.145877,2818702.500,13234,2,EA,1,100,0.234160
1709252890.212374,2818769.000,13234,2,EA,1,100,0.234466
1709252890.279372,2818836.000,13252,2,EA,1,100,0.235105
1709252890.346369,2818903.000,13252,2,EA,1,100,0.235327
1709252890.412366,2818969.000,13268,1,EA,1,100,0.235692
1709252890.479364,2819036.000,13283,2,EA,1,100,0.236050
1709252890.546361,2819103.000,13283,2,EA,1,100,0.236074
1709252890.612359,2819169.000,13299,1,EA,1,100,0.235970
1709252890.679356,2819236.000,13321,2,EA,1,100,0.235923
1709252890.746354,2819303.000,13321,2,EA,1,100,0.236154
1709252890.812351,2819369.000,13337,1,EA,1,100,0.236218
1709252890.879349,2819436.000,13354,2,EA,1,100,0.236234
1709252890.946346,2819503.000,13354,2,EA,1,100,0.236010
1709252891.012343,2819569.000,13371,1,EA,1,100,0.236026
1709252891.079341,2819636.000,13388,2,EA,1,100,0.236066
1709252891.146338,2819703.000,13388,2,EA,1,100,0.236226
1709252891.212336,2819769.000,13404,1,EA,1,100,0.236338
1709252891.279333,2819836.000,13422,2,EA,1,100,0.236474
1709252891.346331,2819903.000,13422,2,EA,1,100,0.236426
1709252891.412328,2819969.000,13438,1,EA,1,100,0.236570
1709252891.479326,2820036.000,13455,2,EA,1,100,0.236746
1709252891.546323,2820103.000,13455,2,EA,1,100,0.236754
1709252891.612320,2820169.000,13471,1,EA,1,100,0.236866
1709252891.679318,2820236.000,13489,2,EA,1,100,0.236995
1709252891.746315,2820303.000,13489,2,EA,1,100,0.236963
1709252891.812313,2820369.000,13505,1,EA,1,100,0.236971
1709252891.879310,2820436.000,13522,2,EA,1,100,0.237115
1709252891.946308,2820503.000,13522,2,EA,1,100,0.237204
1709252892.012305,2820569.000,13541,1,EA,1,100,0.237228
1709252892.078803,2820635.500,13557,2,EA,1,100,0.237349
1709252892.145300,2820702.000,13557,2,EA,1,100,0.237502
1709252892.212298,2820769.000,13574,2,EA,1,100,0.237478
1709252892.279295,2820836.000,13574,2,EA,1,100,0.237486
1709252892.345293,2820902.000,13592,1,EA,1,100,0.237591
1709252892.412290,2820969.000,13608,2,EA,1,100,0.237858
1709252892.479287,2821036.000,13608,2,EA,1,100,0.238150
1709252892.545785,2821102.500,13627,2,EA,1,100,0.237931
1709252892.612282,2821169.000,13627,2,EA,1,100,0.237769
1709252892.679280,2821236.000,13644,1,EA,1,100,0.238036
1709252892.745777,2821302.500,13661,2,EA,1,100,0.237939
1709252892.812275,2821369.000,13661,2,EA,1,100,0.237996
1709252892.879272,2821436.000,13679,1,EA,1,100,0.237923
1709252892.945770,2821502.500,13697,2,EA,1,100,0.237866
1709252893.012267,2821569.000,13697,2,EA,1,100,0.238020
1709252893.079264,2821636.000,13713,1,EA,1,100,0.237931
1709252893.145762,2821702.500,13729,2,EA,1,100,0.237882
1709252893.212259,2821769.000,13729,2,EA,1,100,0.237842
1709252893.279257,2821836.000,13744,1,EA,1,100,0.237898
1709252893.345754,2821902.500,13764,2,EA,1,100,0.238028
1709252893.412252,2821969.000,13764,2,EA,1,100,0.238028
1709252893.479249,2822036.000,13780,1,EA,1,100,0.238069
1709252893.545747,2822102.500,13796,2,EA,1,100,0.237898
1709252893.612244,2822169.000,13796,2,EA,1,100,0.237850
1709252893.678741,2822235.500,13812,2,EA,1,100,0.237906
1709252893.745239,2822302.000,13812,2,EA,1,100,0.237753
1709252893.812237,2822369.000,13829,1,EA,1,100,0.237809
1709252893.878734,2822435.500,13845,2,EA,1,100,0.237866
1709252893.945231,2822502.000,13845,2,EA,1,100,0.237696
1709252894.012229,2822569.000,13863,1,EA,1,100,0.237680
1709252894.078726,2822635.500,13877,2,EA,1,100,0.237801
1709252894.145224,2822702.000,13877,2,EA,1,100,0.237745
1709252894.212221,2822769.000,13894,1,EA,1,100,0.237607
1709252894.278719,2822835.500,13911,2,EA,1,100,0.237704
1709252894.345216,2822902.000,13911,2,EA,1,100,0.237801
1709252894.412214,2822969.000,13930,1,EA,1,100,0.237680
1709252894.478878,2823035.667,13948,3,EA,1,100,0.237728
1709252894.545542,2823102.333,13948,3,EA,1,100,0.237785
1709252894.612206,2823169.000,13948,3,EA,1,100,0.237680
1709252894.678703,2823235.500,13965,2,EA,1,100,0.237631
1709252894.745201,2823302.000,13965,2,EA,1,100,0.237583
1709252894.812198,2823369.000,13982,2,EA,1,100,0.237518
1709252894.879196,2823436.000,13982,2,EA,1,100,0.237091
1709252894.945193,2823502.000,13998,1,EA,1,100,0.237284
1709252895.012191,2823569.000,14015,2,EA,1,100,0.237696
1709252895.079188,2823636.000,14015,2,EA,1,100,0.237656
1709252895.145685,2823702.500,14030,2,EA,1,100,0.237656
1709252895.212183,2823769.000,14030,2,EA,1,100,0.237704
1709252895.279181,2823836.000,14047,1,EA,1,100,0.237462
1709252895.345678,2823902.500,14066,2,EA,1,100,0.237502
1709252895.412175,2823969.000,14066,2,EA,1,100,0.237164
1709252895.478173,2824035.000,14083,1,EA,1,100,0.237204
1709252895.545170,2824102.000,14097,2,EA,1,100,0.237430
1709252895.612168,2824169.000,14097,2,EA,1,100,0.237083
1709252895.678165,2824235.000,14115,1,EA,1,100,0.237075
1709252895.745163,2824302.000,14131,2,EA,1,100,0.237317
1709252895.812160,2824369.000,14131,2,EA,1,100,0.237260
1709252895.878158,2824435.000,14148,1,EA,1,100,0.237148
1709252895.945155,2824502.000,14163,2,EA,1,100,0.237067
1709252896.012152,2824569.000,14163,2,EA,1,100,0.236850
1709252896.078150,2824635.000,14180,1,EA,1,100,0.237075
1709252896.145147,2824702.000,14196,2,EA,1,100,0.236858
1709252896.212145,2824769.000,14196,2,EA,1,100,0.236906
1709252896.278142,2824835.000,14213,1,EA,1,100,0.236914
1709252896.345140,2824902.000,14228,2,EA,1,100,0.237083
1709252896.412137,2824969.000,14228,2,EA,1,100,0.236922
1709252896.478135,2825035.000,14245,1,EA,1,100,0.236922
1709252896.545132,2825102.000,14261,2,EA,1,100,0.236947
1709252896.612129,2825169.000,14261,2,EA,1,100,0.236794
