LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1709252890.012382,2818569.000,13202,2,EL,1,100,-13681.000000
1709252890.012382,2818569.000,13202,2,EL,1,100,-13668.000000
1709252890.079379,2818636.000,13219,1,EL,1,100,-13665.799805
1709252890.145877,2818702.500,13235,2,EL,1,100,-13662.000000
1709252890.212374,2818769.000,13235,2,EL,1,100,-13669.799805
1709252890.279372,2818836.000,13253,2,EL,1,100,-13686.000000
1709252890.346369,2818903.000,13253,2,EL,1,100,-13691.599609
1709252890.412366,2818969.000,13269,1,EL,1,100,-13700.799805
1709252890.479364,2819036.000,13284,2,EL,1,100,-13709.799805
1709252890.546361,2819103.000,13284,2,EL,1,100,-13710.400391
1709252890.612359,2819169.000,13300,1,EL,1,100,-13707.799805
1709252890.679356,2819236.000,13322,2,EL,1,100,-13706.599609
1709252890.746354,2819303.000,13322,2,EL,1,100,-13712.400391
1709252890.812351,2819369.000,13338,1,EL,1,100,-13714.000000
1709252890.879349,2819436.000,13355,2,EL,1,100,-13714.400391
1709252890.946346,2819503.000,13355,2,EL,1,100,-13708.799805
1709252891.012343,2819569.000,13372,1,EL,1,100,-13709.200195
1709252891.079341,2819636.000,13389,2,EL,1,100,-13710.200195
1709252891.146338,2819703.000,13389,2,EL,1,100,-13714.200195
1709252891.212336,2819769.000,13405,1,EL,1,100,-13717.000000
1709252891.279333,2819836.000,13423,2,EL,1,100,-13720.400391
1709252891.346331,2819903.000,13423,2,EL,1,100,-13719.200195
1709252891.412328,2819969.000,13439,1,EL,1,100,-13722.799805
1709252891.479326,2820036.000,13456,2,EL,1,100,-13727.200195
1709252891.546323,2820103.000,13456,2,EL,1,100,-13727.400391
1709252891.612320,2820169.000,13472,1,EL,1,100,-13730.200195
1709252891.679318,2820236.000,13490,2,EL,1,100,-13733.400391
1709252891.746315,2820303.000,13490,2,EL,1,100,-13732.599609
1709252891.812313,2820369.000,13506,1,EL,1,100,-13732.799805
1709252891.879310,2820436.000,13523,2,EL,1,100,-13736.400391
1709252891.946308,2820503.000,13523,2,EL,1,100,-13738.599609
1709252892.012305,2820569.000,13542,1,EL,1,100,-13739.200195
1709252892.078803,2820635.500,13558,2,EL,1,100,-13742.200195
1709252892.145300,2820702.000,13558,2,EL,1,100,-13746.000000
1709252892.212298,2820769.000,13575,2,EL,1,100,-13745.400391
1709252892.279295,2820836.000,13575,2,EL,1,100,-13745.599609
1709252892.345293,2820902.000,13593,1,EL,1,100,-13748.200195
1709252892.412290,2820969.000,13609,2,EL,1,100,-13754.799805
1709252892.479287,2821036.000,13609,2,EL,1,100,-13762.000000
