LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1709252889.916385,2818473.000,13182,4,EM,1,100,RS
1709252889.916385,2818473.000,13182,4,EM,1,100,RB
1709252889.916385,2818473.000,13182,4,EM,1,100,2024-02-29_19-28-09-455965.csv
1709252889.916385,2818473.000,13182,4,EM,1,100,PS
1709252889.966633,2818523.250,13214,4,EM,1,100,RS
1709252890.016881,2818573.500,13214,4,EM,1,100,RB
1709252890.067130,2818623.750,13214,4,EM,1,100,2024-02-29_19-28-09-455965.csv
1709252890.117378,2818674.000,13214,4,EM,1,100,PS
1709252890.173376,2818730.000,13247,4,EM,1,100,RS
1709252890.229373,2818786.000,13247,4,EM,1,100,RB
1709252890.285371,2818842.000,13247,4,EM,1,100,2024-02-29_19-28-09-455965.csv
1709252890.341369,2818898.000,13247,4,EM,1,100,PS
1709252890.391617,2818948.250,13279,4,EM,1,100,RS
1709252890.441865,2818998.500,13279,4,EM,1,100,RB
1709252890.492113,2819048.750,13279,4,EM,1,100,2024-02-29_19-28-09-455965.csv
1709252890.542361,2819099.000,13279,4,EM,1,100,PS
1709252890.592609,2819149.250,13312,4,EM,1,100,RS
1709252890.642858,2819199.500,13312,4,EM,1,100,RB
1709252890.693106,2819249.750,13312,4,EM,1,100,2024-02-29_19-28-09-455965.csv
1709252890.743354,2819300.000,13312,4,EM,1,100,PS
1709252890.793602,2819350.250,13348,4,EM,1,100,RS
1709252890.843850,2819400.500,13348,4,EM,1,100,RB
1709252890.894098,2819450.750,13348,4,EM,1,100,2024-02-29_19-28-09-455965.csv
1709252890.944346,2819501.000,13348,4,EM,1,100,PS
1709252890.995594,2819552.250,13384,4,EM,1,100,RS
1709252891.046842,2819603.500,13384,4,EM,1,100,RB
1709252891.098090,2819654.750,13384,4,EM,1,100,2024-02-29_19-28-09-455965.csv
1709252891.149338,2819706.000,13384,4,EM,1,100,PS
1709252891.199336,2819756.000,13415,4,EM,1,100,RS
1709252891.249334,2819806.000,13415,4,EM,1,100,RB
1709252891.299332,2819856.000,13415,4,EM,1,100,2024-02-29_19-28-09-455965.csv
1709252891.349331,2819906.000,13415,4,EM,1,100,PS
1709252891.399579,2819956.250,13451,4,EM,1,100,RS
1709252891.449827,2820006.500,13451,4,EM,1,100,RB
1709252891.500075,2820056.750,13451,4,EM,1,100,2024-02-29_19-28-09-455965.csv
1709252891.550323,2820107.000,13451,4,EM,1,100,PS
1709252891.600571,2820157.250,13482,4,EM,1,100,RS
1709252891.650819,2820207.500,13482,4,EM,1,100,RB
1709252891.701067,2820257.750,13482,4,EM,1,100,2024-02-29_19-28-09-455965.csv
1709252891.751315,2820308.000,13482,4,EM,1,100,PS
1709252891.802563,2820359.250,13518,4,EM,1,100,RS
1709252891.853811,2820410.500,13518,4,EM,1,100,RB
1709252891.905059,2820461.750,13518,4,EM,1,100,2024-02-29_19-28-09-455965.csv
1709252891.956307,2820513.000,13518,4,EM,1,100,PS
1709252892.006556,2820563.250,13553,4,EM,1,100,RS
1709252892.056803,2820613.500,13553,4,EM,1,100,RB
1709252892.107052,2820663.750,13553,4,EM,1,100,2024-02-29_19-28-09-455965.csv
1709252892.157300,2820714.000,13553,4,EM,1,100,PS
1709252892.208298,2820765.000,13587,4,EM,1,100,RS
1709252892.259296,2820816.000,13587,4,EM,1,100,RB
1709252892.310294,2820867.000,13587,4,EM,1,100,2024-02-29_19-28-09-455965.csv
1709252892.361292,2820918.000,13587,4,EM,1,100,PS
1709252892.426790,2820983.500,13621,4,EM,1,100,RS
1709252892.492287,2821049.000,13621,4,EM,1,100,RB
1709252892.557784,2821114.500,13621,4,EM,1,100,2024-02-29_19-28-09-455965.csv
1709252892.623282,2821180.000,13621,4,EM,1,100,PS
1709252892.674280,2821231.000,13655,4,EM,1,100,RS
1709252892.725278,2821282.000,13655,4,EM,1,100,RB
1709252892.776276,2821333.000,13655,4,EM,1,100,2024-02-29_19-28-09-455965.csv
1709252892.827274,2821384.000,13655,4,EM,1,100,PS
1709252892.877272,2821434.000,13692,4,EM,1,100,RS
1709252892.927270,2821484.000,13692,4,EM,1,100,RB
1709252892.977268,2821534.000,13692,4,EM,1,100,2024-02-29_19-28-09-455965.csv
1709252893.027267,2821584.000,13692,4,EM,1,100,PS
1709252893.077515,2821634.250,13725,4,EM,1,100,RS
1709252893.127763,2821684.500,13725,4,EM,1,100,RB
1709252893.178011,2821734.750,13725,4,EM,1,100,2024-02-29_19-28-09-455965.csv
1709252893.228259,2821785.000,13725,4,EM,1,100,PS
1709252893.278507,2821835.250,13757,4,EM,1,100,RS
1709252893.328755,2821885.500,13757,4,EM,1,100,RB
1709252893.379003,2821935.750,13757,4,EM,1,100,2024-02-29_19-28-09-455965.csv
1709252893.429251,2821986.000,13757,4,EM,1,100,PS
1709252893.479499,2822036.250,13792,4,EM,1,100,RS
1709252893.529747,2822086.500,13792,4,EM,1,100,RB
1709252893.579995,2822136.750,13792,4,EM,1,100,2024-02-29_19-28-09-455965.csv
1709252893.630244,2822187.000,13792,4,EM,1,100,PS
1709252893.680491,2822237.250,13825,4,EM,1,100,RS
1709252893.730740,2822287.500,13825,4,EM,1,100,RB
1709252893.780988,2822337.750,13825,4,EM,1,100,2024-02-29_19-28-09-455965.csv
1709252893.831236,2822388.000,13825,4,EM,1,100,PS
1709252893.881484,2822438.250,13858,4,EM,1,100,RS
1709252893.931732,2822488.500,13858,4,EM,1,100,RB
1709252893.981980,2822538.750,13858,4,EM,1,100,2024-02-29_19-28-09-455965.csv
1709252894.032228,2822589.000,13858,4,EM,1,100,PS
1709252894.082476,2822639.250,13890,4,EM,1,100,RS
1709252894.132724,2822689.500,13890,4,EM,1,100,RB
1709252894.182972,2822739.750,13890,4,EM,1,100,2024-02-29_19-28-09-455965.csv
1709252894.233220,2822790.000,13890,4,EM,1,100,PS
1709252894.283468,2822840.250,13926,4,EM,1,100,RS
1709252894.333717,2822890.500,13926,4,EM,1,100,RB
1709252894.383965,2822940.750,13926,4,EM,1,100,2024-02-29_19-28-09-455965.csv
1709252894.434213,2822991.000,13926,4,EM,1,100,PS
1709252894.491461,2823048.250,13944,4,EM,1,100,RS
1709252894.548708,2823105.500,13944,4,EM,1,100,RB
1709252894.605956,2823162.750,13944,4,EM,1,100,2024-02-29_19-28-09-455965.csv
1709252894.663204,2823220.000,13944,4,EM,1,100,PS
1709252894.722952,2823279.750,13978,4,EM,1,100,RS
1709252894.782699,2823339.500,13978,4,EM,1,100,RB
1709252894.842447,2823399.250,13978,4,EM,1,100,2024-02-29_19-28-09-455965.csv
1709252894.902195,2823459.000,13978,4,EM,1,100,PS
1709252894.952443,2823509.250,14010,4,EM,1,100,RS
1709252895.002691,2823559.500,14010,4,EM,1,100,RB
