LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1709252890.667357,2819224,13314,1,HR,1,100,59
1709252892.880272,2821437,13675,1,HR,1,100,52
1709252893.360254,2821917,13759,1,HR,1,100,68
1709252895.360177,2823917,14061,1,HR,1,100,60
1709252897.453097,2826010,14360,1,HR,1,100,53
1709252899.453021,2828010,14676,1,HR,1,100,48
1709252900.185993,2828743,14782,1,HR,1,100,56
1709252900.785970,2829343,14881,1,HR,1,100,65
1709252901.385947,2829943,14981,1,HR,1,100,73
1709252901.865929,2830423,15065,1,HR,1,100,85
1709252903.985848,2832543,15410,1,HR,1,100,72
1709252905.158803,2833716,15598,1,HR,1,100,68
1709252906.278760,2834836,15781,1,HR,1,100,64
1709252907.558711,2836116,15997,1,HR,1,100,61
1709252910.291607,2838849,16448,1,HR,1,100,52
1709252911.531559,2840089,16646,1,HR,1,100,51
1709252912.131536,2840689,16747,1,HR,1,100,62
1709252912.571520,2841129,16814,1,HR,1,100,79
1709252914.224457,2842782,17077,1,HR,1,100,69
1709252916.064386,2844622,17379,1,HR,1,100,61
1709252920.076233,2848634,18028,1,HR,1,100,51
1709252921.450181,2850008,18242,1,HR,1,100,49
1709252922.210151,2850768,18360,1,HR,1,100,56
1709252922.690133,2851248,18443,1,HR,1,100,71
1709252922.969123,2851527,18494,1,HR,1,100,103
1709252923.649096,2852207,18609,1,HR,1,100,100
1709252925.009045,2853567,18826,1,HR,1,100,87
1709252926.661981,2855220,19094,1,HR,1,100,76
1709252927.421952,2855980,19229,1,HR,1,100,77
1709252929.021891,2857580,19474,1,HR,1,100,68
1709252929.915857,2858474,19626,1,HR,1,100,68
1709252930.594831,2859153,19746,1,HR,1,100,73
1709252931.354802,2859913,19864,1,HR,1,100,74
1709252931.834784,2860393,19946,1,HR,1,100,85
1709252932.114773,2860673,19999,1,HR,1,100,114
1709252932.754749,2861313,20098,1,HR,1,100,109
1709252933.968702,2862527,20295,1,HR,1,100,96
1709252935.327650,2863886,20511,1,HR,1,100,85
1709252936.407609,2864966,20700,1,HR,1,100,78
1709252937.207579,2865766,20832,1,HR,1,100,77
1709252938.420532,2866979,21030,1,HR,1,100,71
1709252938.980511,2867539,21113,1,HR,1,100,79
1709252940.380457,2868939,21347,1,HR,1,100,71
1709252941.980396,2870539,21614,1,HR,1,100,64
1709252942.833364,2871392,21747,1,HR,1,100,65
1709252943.433341,2871992,21846,1,HR,1,100,73
1709252944.713292,2873272,22063,1,HR,1,100,67
1709252945.313269,2873872,22146,1,HR,1,100,75
1709252946.926207,2875485,22396,1,HR,1,100,66
1709252948.126161,2876685,22594,1,HR,1,100,63
1709252948.806135,2877365,22712,1,HR,1,100,68
1709252949.126123,2877685,22762,1,HR,1,100,95
1709252949.566106,2878125,22831,1,HR,1,100,104
1709252950.046088,2878605,22915,1,HR,1,100,109
1709252953.178968,2881738,23419,1,HR,1,100,89
1709252954.058935,2882618,23568,1,HR,1,100,84
1709252954.458920,2883018,23637,1,HR,1,100,99
1709252954.751908,2883311,23689,1,HR,1,100,125
1709252955.391884,2883951,23789,1,HR,1,100,118
1709252956.151855,2884711,23912,1,HR,1,100,109
1709252958.271774,2886831,24240,1,HR,1,100,91
1709252959.684720,2888244,24473,1,HR,1,100,80
1709252961.044668,2889604,24710,1,HR,1,100,72
1709252962.484613,2891044,24924,1,HR,1,100,66
1709252963.177586,2891737,25040,1,HR,1,100,71
1709252964.497536,2893057,25256,1,HR,1,100,65
1709252965.057515,2893617,25357,1,HR,1,100,74
1709252965.857484,2894417,25489,1,HR,1,100,74
1709252966.416463,2894976,25581,1,HR,1,100,82
1709252967.016440,2895576,25679,1,HR,1,100,86
1709252967.630416,2896190,25780,1,HR,1,100,89
1709252968.430386,2896990,25913,1,HR,1,100,86
1709252969.030363,2897590,26014,1,HR,1,100,89
1709252970.389311,2898949,26228,1,HR,1,100,79
1709252971.283277,2899843,26380,1,HR,1,100,77
1709252972.522229,2901082,26579,1,HR,1,100,70
1709252972.843217,2901403,26629,1,HR,1,100,96
1709252973.323199,2901883,26696,1,HR,1,100,103
1709252974.122168,2902682,26829,1,HR,1,100,97
1709252974.522153,2903082,26898,1,HR,1,100,108
1709252975.322122,2903882,27030,1,HR,1,100,101
1709252975.576113,2904136,27083,1,HR,1,100,134
1709252976.495078,2905055,27239,1,HR,1,100,119
1709252977.175052,2905735,27338,1,HR,1,100,112
1709252979.294971,2907855,27683,1,HR,1,100,93
1709252981.467888,2910028,28050,1,HR,1,100,79
1709252984.280780,2912841,28494,1,HR,1,100,66
1709252984.840759,2913401,28580,1,HR,1,100,75
1709252985.200745,2913761,28647,1,HR,1,100,96
1709252986.880681,2915441,28919,1,HR,1,100,82
1709252987.640652,2916201,29039,1,HR,1,100,82
1709252988.453621,2917014,29172,1,HR,1,100,80
1709252989.053598,2917614,29273,1,HR,1,100,84
1709252989.773570,2918334,29390,1,HR,1,100,84
1709252990.373547,2918934,29488,1,HR,1,100,88
1709252991.293512,2919854,29638,1,HR,1,100,83
1709252991.946487,2920507,29742,1,HR,1,100,85
1709252992.666460,2921227,29858,1,HR,1,100,85
1709252993.946411,2922507,30056,1,HR,1,100,76
1709252994.586386,2923147,30173,1,HR,1,100,80
1709252995.066368,2923627,30240,1,HR,1,100,90
1709252995.826339,2924387,30374,1,HR,1,100,88
1709252997.079291,2925640,30579,1,HR,1,100,79
1709252997.639270,2926200,30662,1,HR,1,100,85
1709252998.559235,2927120,30812,1,HR,1,100,81
1709252999.919183,2928480,31043,1,HR,1,100,73
1709253000.572158,2929133,31144,1,HR,1,100,77
1709253001.372127,2929933,31276,1,HR,1,100,77
1709253002.052101,2930613,31382,1,HR,1,100,79
1709253003.332052,2931893,31596,1,HR,1,100,72
1709253004.012026,2932573,31696,1,HR,1,100,76
1709253004.625003,2933186,31798,1,HR,1,100,81
1709253005.424972,2933986,31931,1,HR,1,100,80
1709253008.397859,2936959,32413,1,HR,1,100,67
1709253010.437781,2938999,32746,1,HR,1,100,58
1709253011.037758,2939599,32844,1,HR,1,100,68
1709253011.437743,2939999,32912,1,HR,1,100,86
1709253011.957723,2940519,32995,1,HR,1,100,92
1709253012.317709,2940879,33051,1,HR,1,100,109
1709253013.490664,2942052,33250,1,HR,1,100,96
1709253013.850651,2942412,33300,1,HR,1,100,112
1709253014.250635,2942812,33367,1,HR,1,100,120
1709253014.730617,2943292,33454,1,HR,1,100,121
1709253015.250597,2943812,33537,1,HR,1,100,120
1709253015.809576,2944371,33636,1,HR,1,100,117
1709253017.223522,2945785,33867,1,HR,1,100,101
1709253020.996377,2949558,34465,1,HR,1,100,82
1709253022.555318,2951117,34702,1,HR,1,100,72
1709253023.915266,2952477,34933,1,HR,1,100,66
1709253024.635238,2953197,35052,1,HR,1,100,70
1709253025.968188,2954530,35265,1,HR,1,100,64
1709253026.809155,2955371,35402,1,HR,1,100,66
1709253028.848078,2957410,35734,1,HR,1,100,58
1709253030.181026,2958743,35950,1,HR,1,100,55
1709253030.940998,2959503,36066,1,HR,1,100,60
1709253031.700969,2960263,36199,1,HR,1,100,65
1709253032.300946,2960863,36299,1,HR,1,100,72
1709253033.993881,2962556,36569,1,HR,1,100,64
1709253034.913846,2963476,36718,1,HR,1,100,64
1709253035.513823,2964076,36819,1,HR,1,100,72
1709253037.113762,2965676,37082,1,HR,1,100,65
1709253037.766737,2966329,37183,1,HR,1,100,71
1709253039.726662,2968289,37504,1,HR,1,100,62
1709253042.099571,2970662,37880,1,HR,1,100,54
1709253042.819544,2971382,37998,1,HR,1,100,60
1709253042.939539,2971502,38020,1,HR,1,100,158
1709253044.139493,2972702,38205,1,HR,1,100,134
1709253044.819467,2973382,38325,1,HR,1,100,124
1709253045.579438,2974142,38440,1,HR,1,100,114
1709253046.192415,2974755,38541,1,HR,1,100,111
1709253048.952309,2977515,38994,1,HR,1,100,91
1709253049.552286,2978115,39096,1,HR,1,100,93
1709253050.365255,2978928,39230,1,HR,1,100,89
1709253051.005231,2979568,39328,1,HR,1,100,90
1709253051.725204,2980288,39444,1,HR,1,100,89
1709253052.365179,2980928,39562,1,HR,1,100,90
1709253053.125150,2981688,39677,1,HR,1,100,87
1709253053.765126,2982328,39781,1,HR,1,100,89
1709253054.298105,2982861,39865,1,HR,1,100,95
1709253055.098075,2983661,39985,1,HR,1,100,90
1709253055.858046,2984421,40117,1,HR,1,100,88
1709253056.578018,2985141,40233,1,HR,1,100,87
1709253057.297991,2985861,40348,1,HR,1,100,86
1709253058.710937,2987274,40571,1,HR,1,100,76
1709253059.470907,2988034,40706,1,HR,1,100,77
1709253060.670862,2989234,40887,1,HR,1,100,71
1709253061.390834,2989954,41004,1,HR,1,100,74
1709253062.070808,2990634,41121,1,HR,1,100,77
1709253063.523753,2992087,41357,1,HR,1,100,69
1709253064.563713,2993127,41525,1,HR,1,100,67
1709253064.923699,2993487,41592,1,HR,1,100,89
1709253065.283685,2993847,41642,1,HR,1,100,106
1709253065.962660,2994526,41758,1,HR,1,100,102
1709253066.642634,2995206,41875,1,HR,1,100,99
1709253067.376606,2995940,41992,1,HR,1,100,96
1709253067.856587,2996420,42075,1,HR,1,100,102
1709253068.456564,2997020,42175,1,HR,1,100,102
1709253069.176537,2997740,42279,1,HR,1,100,98
1709253069.935508,2998499,42414,1,HR,1,100,93
1709253070.655480,2999219,42530,1,HR,1,100,91
