LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1709252889.907386,2818464.000,13185,1,PG,1,100,11149
1709252889.947384,2818504.000,13200,2,PG,1,100,11140
1709252889.987383,2818544.000,13200,2,PG,1,100,11152
1709252890.027381,2818584.000,13217,3,PG,1,100,11140
1709252890.067379,2818624.000,13217,3,PG,1,100,11144
1709252890.107378,2818664.000,13217,3,PG,1,100,11167
1709252890.147377,2818704.000,13233,2,PG,1,100,11172
1709252890.187375,2818744.000,13233,2,PG,1,100,11172
1709252890.227373,2818784.000,13251,4,PG,1,100,11181
1709252890.267372,2818824.000,13251,4,PG,1,100,11180
1709252890.307370,2818864.000,13251,4,PG,1,100,11188
1709252890.347369,2818904.000,13251,4,PG,1,100,11199
1709252890.387367,2818944.000,13267,2,PG,1,100,11200
1709252890.427366,2818984.000,13267,2,PG,1,100,11205
1709252890.467364,2819024.000,13282,3,PG,1,100,11200
1709252890.507363,2819064.000,13282,3,PG,1,100,11183
1709252890.547361,2819104.000,13282,3,PG,1,100,11196
1709252890.587360,2819144.000,13298,2,PG,1,100,11177
1709252890.627358,2819184.000,13298,2,PG,1,100,11171
1709252890.667357,2819224.000,13320,3,PG,1,100,11184
1709252890.707355,2819264.000,13320,3,PG,1,100,11192
1709252890.747354,2819304.000,13320,3,PG,1,100,11182
1709252890.787352,2819344.000,13336,2,PG,1,100,11200
1709252890.827351,2819384.000,13336,2,PG,1,100,11191
1709252890.867349,2819424.000,13353,3,PG,1,100,11204
1709252890.907347,2819464.000,13353,3,PG,1,100,11196
1709252890.947346,2819504.000,13353,3,PG,1,100,11224
1709252890.987345,2819544.000,13370,2,PG,1,100,11203
1709252891.027343,2819584.000,13370,2,PG,1,100,11205
1709252891.067341,2819624.000,13387,3,PG,1,100,11211
1709252891.107340,2819664.000,13387,3,PG,1,100,11200
1709252891.147338,2819704.000,13387,3,PG,1,100,11193
1709252891.187337,2819744.000,13403,2,PG,1,100,11204
1709252891.227335,2819784.000,13403,2,PG,1,100,11196
1709252891.267334,2819824.000,13421,3,PG,1,100,11189
1709252891.307332,2819864.000,13421,3,PG,1,100,11192
1709252891.347331,2819904.000,13421,3,PG,1,100,11188
1709252891.387329,2819944.000,13437,3,PG,1,100,11178
1709252891.427328,2819984.000,13437,3,PG,1,100,11176
1709252891.467326,2820024.000,13437,3,PG,1,100,11187
1709252891.507324,2820064.000,13454,2,PG,1,100,11178
1709252891.547323,2820104.000,13454,2,PG,1,100,11179
1709252891.593821,2820150.500,13470,2,PG,1,100,11210
1709252891.640319,2820197.000,13470,2,PG,1,100,11190
1709252891.680318,2820237.000,13488,3,PG,1,100,11189
1709252891.720316,2820277.000,13488,3,PG,1,100,11209
1709252891.760315,2820317.000,13488,3,PG,1,100,11209
1709252891.800313,2820357.000,13504,2,PG,1,100,11193
1709252891.840312,2820397.000,13504,2,PG,1,100,11179
1709252891.880310,2820437.000,13521,3,PG,1,100,11189
1709252891.920309,2820477.000,13521,3,PG,1,100,11185
1709252891.960307,2820517.000,13521,3,PG,1,100,11165
1709252892.000306,2820557.000,13540,2,PG,1,100,11176
1709252892.040304,2820597.000,13540,2,PG,1,100,11164
1709252892.080303,2820637.000,13556,3,PG,1,100,11163
1709252892.120301,2820677.000,13556,3,PG,1,100,11173
1709252892.160300,2820717.000,13556,3,PG,1,100,11159
1709252892.200298,2820757.000,13573,3,PG,1,100,11180
1709252892.240297,2820797.000,13573,3,PG,1,100,11184
1709252892.280295,2820837.000,13573,3,PG,1,100,11183
1709252892.320293,2820877.000,13591,2,PG,1,100,11186
1709252892.360292,2820917.000,13591,2,PG,1,100,11176
1709252892.400290,2820957.000,13607,3,PG,1,100,11192
1709252892.440289,2820997.000,13607,3,PG,1,100,11176
1709252892.480287,2821037.000,13607,3,PG,1,100,11159
1709252892.520286,2821077.000,13626,3,PG,1,100,11167
1709252892.560284,2821117.000,13626,3,PG,1,100,11156
1709252892.600283,2821157.000,13626,3,PG,1,100,11150
1709252892.640281,2821197.000,13643,3,PG,1,100,11155
1709252892.680280,2821237.000,13643,3,PG,1,100,11130
1709252892.720278,2821277.000,13643,3,PG,1,100,11145
1709252892.760277,2821317.000,13660,2,PG,1,100,11135
1709252892.800275,2821357.000,13660,2,PG,1,100,11149
1709252892.840274,2821397.000,13678,3,PG,1,100,11140
1709252892.880272,2821437.000,13678,3,PG,1,100,11145
1709252892.920270,2821477.000,13678,3,PG,1,100,11153
1709252892.960269,2821517.000,13696,2,PG,1,100,11146
1709252893.000268,2821557.000,13696,2,PG,1,100,11157
1709252893.040266,2821597.000,13712,3,PG,1,100,11165
1709252893.080264,2821637.000,13712,3,PG,1,100,11130
1709252893.120263,2821677.000,13712,3,PG,1,100,11119
1709252893.160261,2821717.000,13728,3,PG,1,100,11129
1709252893.200260,2821757.000,13728,3,PG,1,100,11108
1709252893.240258,2821797.000,13728,3,PG,1,100,11101
1709252893.280257,2821837.000,13743,2,PG,1,100,11111
1709252893.320255,2821877.000,13743,2,PG,1,100,11100
1709252893.360254,2821917.000,13763,3,PG,1,100,11086
1709252893.400252,2821957.000,13763,3,PG,1,100,11090
1709252893.440251,2821997.000,13763,3,PG,1,100,11087
1709252893.480249,2822037.000,13779,2,PG,1,100,11079
1709252893.520248,2822077.000,13779,2,PG,1,100,11088
1709252893.560246,2822117.000,13795,3,PG,1,100,11091
1709252893.600245,2822157.000,13795,3,PG,1,100,11088
1709252893.640243,2822197.000,13795,3,PG,1,100,11102
1709252893.680242,2822237.000,13811,2,PG,1,100,11091
1709252893.720240,2822277.000,13811,2,PG,1,100,11077
1709252893.760238,2822317.000,13828,3,PG,1,100,11072
1709252893.800237,2822357.000,13828,3,PG,1,100,11070
1709252893.840235,2822397.000,13828,3,PG,1,100,11074
1709252893.880234,2822437.000,13844,2,PG,1,100,11042
1709252893.920232,2822477.000,13844,2,PG,1,100,11040
1709252893.960231,2822517.000,13862,3,PG,1,100,11053
1709252894.000229,2822557.000,13862,3,PG,1,100,11025
1709252894.040228,2822597.000,13862,3,PG,1,100,11040
1709252894.080226,2822637.000,13876,2,PG,1,100,11048
1709252894.120225,2822677.000,13876,2,PG,1,100,11048
1709252894.160223,2822717.000,13893,3,PG,1,100,11046
1709252894.200222,2822757.000,13893,3,PG,1,100,11049
1709252894.240220,2822797.000,13893,3,PG,1,100,11055
1709252894.280219,2822837.000,13910,2,PG,1,100,11066
1709252894.320217,2822877.000,13910,2,PG,1,100,11045
1709252894.360215,2822917.000,13929,3,PG,1,100,11045
1709252894.400214,2822957.000,13929,3,PG,1,100,11042
1709252894.440212,2822997.000,13929,3,PG,1,100,11025
1709252894.480211,2823037.000,13947,5,PG,1,100,11031
1709252894.520209,2823077.000,13947,5,PG,1,100,11031
1709252894.560208,2823117.000,13947,5,PG,1,100,11033
1709252894.600206,2823157.000,13947,5,PG,1,100,11045
1709252894.640205,2823197.000,13947,5,PG,1,100,11045
1709252894.680203,2823237.000,13964,3,PG,1,100,11030
1709252894.720202,2823277.000,13964,3,PG,1,100,11044
1709252894.760200,2823317.000,13964,3,PG,1,100,11053
1709252894.800199,2823357.000,13981,3,PG,1,100,11046
1709252894.840197,2823397.000,13981,3,PG,1,100,11065
1709252894.880196,2823437.000,13981,3,PG,1,100,11073
1709252894.920194,2823477.000,13997,3,PG,1,100,11064
1709252894.960193,2823517.000,13997,3,PG,1,100,11074
1709252895.000191,2823557.000,13997,3,PG,1,100,11073
1709252895.040190,2823597.000,14014,2,PG,1,100,11070
1709252895.080188,2823637.000,14014,2,PG,1,100,11066
1709252895.120187,2823677.000,14029,3,PG,1,100,11069
1709252895.160185,2823717.000,14029,3,PG,1,100,11085
1709252895.200183,2823757.000,14029,3,PG,1,100,11089
1709252895.240182,2823797.000,14046,2,PG,1,100,11077
1709252895.280180,2823837.000,14046,2,PG,1,100,11081
1709252895.320179,2823877.000,14065,3,PG,1,100,11092
1709252895.360177,2823917.000,14065,3,PG,1,100,11100
1709252895.400176,2823957.000,14065,3,PG,1,100,11102
1709252895.440174,2823997.000,14082,2,PG,1,100,11129
1709252895.480173,2824037.000,14082,2,PG,1,100,11121
1709252895.520171,2824077.000,14096,3,PG,1,100,11123
1709252895.560170,2824117.000,14096,3,PG,1,100,11148
