LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1709252889.907386,2818464.000,13183,1,PI,1,100,170585
1709252889.947384,2818504.000,13198,2,PI,1,100,170580
1709252889.987383,2818544.000,13198,2,PI,1,100,170578
1709252890.027381,2818584.000,13215,3,PI,1,100,170592
1709252890.067379,2818624.000,13215,3,PI,1,100,170578
1709252890.107378,2818664.000,13215,3,PI,1,100,170582
1709252890.147377,2818704.000,13231,2,PI,1,100,170587
1709252890.187375,2818744.000,13231,2,PI,1,100,170593
1709252890.227373,2818784.000,13249,4,PI,1,100,170599
1709252890.267372,2818824.000,13249,4,PI,1,100,170596
1709252890.307370,2818864.000,13249,4,PI,1,100,170561
1709252890.347369,2818904.000,13249,4,PI,1,100,170524
1709252890.387367,2818944.000,13265,2,PI,1,100,170526
1709252890.427366,2818984.000,13265,2,PI,1,100,170543
1709252890.467364,2819024.000,13280,3,PI,1,100,170535
1709252890.507363,2819064.000,13280,3,PI,1,100,170509
1709252890.547361,2819104.000,13280,3,PI,1,100,170512
1709252890.587360,2819144.000,13296,2,PI,1,100,170564
1709252890.627358,2819184.000,13296,2,PI,1,100,170558
1709252890.667357,2819224.000,13318,3,PI,1,100,170576
1709252890.707355,2819264.000,13318,3,PI,1,100,170590
1709252890.747354,2819304.000,13318,3,PI,1,100,170571
1709252890.787352,2819344.000,13334,2,PI,1,100,170585
1709252890.827351,2819384.000,13334,2,PI,1,100,170573
1709252890.867349,2819424.000,13351,3,PI,1,100,170575
1709252890.907347,2819464.000,13351,3,PI,1,100,170596
1709252890.947346,2819504.000,13351,3,PI,1,100,170576
1709252890.987345,2819544.000,13368,2,PI,1,100,170568
1709252891.027343,2819584.000,13368,2,PI,1,100,170554
1709252891.067341,2819624.000,13385,3,PI,1,100,170517
1709252891.107340,2819664.000,13385,3,PI,1,100,170473
1709252891.147338,2819704.000,13385,3,PI,1,100,170438
1709252891.187337,2819744.000,13401,2,PI,1,100,170417
1709252891.227335,2819784.000,13401,2,PI,1,100,170383
1709252891.267334,2819824.000,13419,3,PI,1,100,170348
1709252891.307332,2819864.000,13419,3,PI,1,100,170339
1709252891.347331,2819904.000,13419,3,PI,1,100,170286
1709252891.387329,2819944.000,13435,3,PI,1,100,170296
1709252891.427328,2819984.000,13435,3,PI,1,100,170281
1709252891.467326,2820024.000,13435,3,PI,1,100,170255
1709252891.507324,2820064.000,13452,2,PI,1,100,170254
1709252891.547323,2820104.000,13452,2,PI,1,100,170248
1709252891.593821,2820150.500,13468,2,PI,1,100,170210
1709252891.640319,2820197.000,13468,2,PI,1,100,170234
1709252891.680318,2820237.000,13486,3,PI,1,100,170241
1709252891.720316,2820277.000,13486,3,PI,1,100,170236
1709252891.760315,2820317.000,13486,3,PI,1,100,170206
1709252891.800313,2820357.000,13502,2,PI,1,100,170206
1709252891.840312,2820397.000,13502,2,PI,1,100,170198
1709252891.880310,2820437.000,13519,3,PI,1,100,170169
1709252891.920309,2820477.000,13519,3,PI,1,100,170186
1709252891.960307,2820517.000,13519,3,PI,1,100,170192
1709252892.000306,2820557.000,13538,2,PI,1,100,170184
1709252892.040304,2820597.000,13538,2,PI,1,100,170184
1709252892.080303,2820637.000,13554,3,PI,1,100,170190
1709252892.120301,2820677.000,13554,3,PI,1,100,170202
1709252892.160300,2820717.000,13554,3,PI,1,100,170187
1709252892.200298,2820757.000,13571,3,PI,1,100,170184
1709252892.240297,2820797.000,13571,3,PI,1,100,170171
1709252892.280295,2820837.000,13571,3,PI,1,100,170124
1709252892.320293,2820877.000,13589,2,PI,1,100,170144
1709252892.360292,2820917.000,13589,2,PI,1,100,170152
1709252892.400290,2820957.000,13605,3,PI,1,100,170124
1709252892.440289,2820997.000,13605,3,PI,1,100,170130
1709252892.480287,2821037.000,13605,3,PI,1,100,170145
1709252892.520286,2821077.000,13624,3,PI,1,100,170113
1709252892.560284,2821117.000,13624,3,PI,1,100,170089
1709252892.600283,2821157.000,13624,3,PI,1,100,170086
1709252892.640281,2821197.000,13641,3,PI,1,100,170062
1709252892.680280,2821237.000,13641,3,PI,1,100,170058
1709252892.720278,2821277.000,13641,3,PI,1,100,170081
1709252892.760277,2821317.000,13658,2,PI,1,100,170108
1709252892.800275,2821357.000,13658,2,PI,1,100,170093
1709252892.840274,2821397.000,13676,3,PI,1,100,170086
1709252892.880272,2821437.000,13676,3,PI,1,100,170119
1709252892.920270,2821477.000,13676,3,PI,1,100,170142
1709252892.960269,2821517.000,13694,2,PI,1,100,170117
1709252893.000268,2821557.000,13694,2,PI,1,100,170132
1709252893.040266,2821597.000,13710,3,PI,1,100,170131
1709252893.080264,2821637.000,13710,3,PI,1,100,170081
1709252893.120263,2821677.000,13710,3,PI,1,100,170090
1709252893.160261,2821717.000,13726,3,PI,1,100,170091
1709252893.200260,2821757.000,13726,3,PI,1,100,170056
1709252893.240258,2821797.000,13726,3,PI,1,100,170097
1709252893.280257,2821837.000,13741,2,PI,1,100,170107
1709252893.320255,2821877.000,13741,2,PI,1,100,170101
1709252893.360254,2821917.000,13761,3,PI,1,100,170074
1709252893.400252,2821957.000,13761,3,PI,1,100,170061
1709252893.440251,2821997.000,13761,3,PI,1,100,170081
1709252893.480249,2822037.000,13777,2,PI,1,100,170080
1709252893.520248,2822077.000,13777,2,PI,1,100,170082
1709252893.560246,2822117.000,13793,3,PI,1,100,170074
1709252893.600245,2822157.000,13793,3,PI,1,100,170060
1709252893.640243,2822197.000,13793,3,PI,1,100,170068
1709252893.680242,2822237.000,13809,2,PI,1,100,170072
1709252893.720240,2822277.000,13809,2,PI,1,100,170043
1709252893.760238,2822317.000,13826,3,PI,1,100,170024
1709252893.800237,2822357.000,13826,3,PI,1,100,170025
1709252893.840235,2822397.000,13826,3,PI,1,100,170042
1709252893.880234,2822437.000,13842,2,PI,1,100,170016
1709252893.920232,2822477.000,13842,2,PI,1,100,170013
1709252893.960231,2822517.000,13860,3,PI,1,100,170014
1709252894.000229,2822557.000,13860,3,PI,1,100,169991
1709252894.040228,2822597.000,13860,3,PI,1,100,170011
1709252894.080226,2822637.000,13874,2,PI,1,100,170035
1709252894.120225,2822677.000,13874,2,PI,1,100,170024
1709252894.160223,2822717.000,13891,3,PI,1,100,170015
1709252894.200222,2822757.000,13891,3,PI,1,100,170031
1709252894.240220,2822797.000,13891,3,PI,1,100,170014
1709252894.280219,2822837.000,13908,2,PI,1,100,170010
1709252894.320217,2822877.000,13908,2,PI,1,100,169999
1709252894.360215,2822917.000,13927,3,PI,1,100,169993
1709252894.400214,2822957.000,13927,3,PI,1,100,170006
1709252894.440212,2822997.000,13927,3,PI,1,100,169996
1709252894.480211,2823037.000,13945,5,PI,1,100,170006
1709252894.520209,2823077.000,13945,5,PI,1,100,169982
1709252894.560208,2823117.000,13945,5,PI,1,100,169987
1709252894.600206,2823157.000,13945,5,PI,1,100,170022
1709252894.640205,2823197.000,13945,5,PI,1,100,169999
1709252894.680203,2823237.000,13962,3,PI,1,100,169968
1709252894.720202,2823277.000,13962,3,PI,1,100,169967
1709252894.760200,2823317.000,13962,3,PI,1,100,169991
1709252894.800199,2823357.000,13979,3,PI,1,100,169979
1709252894.840197,2823397.000,13979,3,PI,1,100,170027
1709252894.880196,2823437.000,13979,3,PI,1,100,170047
1709252894.920194,2823477.000,13995,3,PI,1,100,169998
1709252894.960193,2823517.000,13995,3,PI,1,100,169998
1709252895.000191,2823557.000,13995,3,PI,1,100,170009
1709252895.040190,2823597.000,14012,2,PI,1,100,170046
1709252895.080188,2823637.000,14012,2,PI,1,100,170043
1709252895.120187,2823677.000,14027,3,PI,1,100,170028
1709252895.160185,2823717.000,14027,3,PI,1,100,170004
1709252895.200183,2823757.000,14027,3,PI,1,100,169987
1709252895.240182,2823797.000,14044,2,PI,1,100,169994
1709252895.280180,2823837.000,14044,2,PI,1,100,170034
1709252895.320179,2823877.000,14063,3,PI,1,100,170047
1709252895.360177,2823917.000,14063,3,PI,1,100,170047
1709252895.400176,2823957.000,14063,3,PI,1,100,170038
1709252895.440174,2823997.000,14080,2,PI,1,100,170022
1709252895.480173,2824037.000,14080,2,PI,1,100,170015
1709252895.520171,2824077.000,14094,3,PI,1,100,170064
1709252895.560170,2824117.000,14094,3,PI,1,100,170074
1709252895.600168,2824157.000,14094,3,PI,1,100,170021
1709252895.640167,2824197.000,14112,3,PI,1,100,170050
1709252895.680165,2824237.000,14112,3,PI,1,100,170044
1709252895.720164,2824277.000,14112,3,PI,1,100,170022
1709252895.766662,2824323.500,14128,2,PI,1,100,170034
1709252895.813160,2824370.000,14128,2,PI,1,100,170039
1709252895.853158,2824410.000,14145,2,PI,1,100,170027
1709252895.893157,2824450.000,14145,2,PI,1,100,170057
1709252895.933156,2824490.000,14160,3,PI,1,100,170078
1709252895.973154,2824530.000,14160,3,PI,1,100,170071
1709252896.013152,2824570.000,14160,3,PI,1,100,170046
1709252896.053151,2824610.000,14177,2,PI,1,100,170061
1709252896.093149,2824650.000,14177,2,PI,1,100,170057
1709252896.133148,2824690.000,14193,3,PI,1,100,170054
1709252896.173146,2824730.000,14193,3,PI,1,100,170082
1709252896.213145,2824770.000,14193,3,PI,1,100,170091
1709252896.253143,2824810.000,14210,2,PI,1,100,170065
1709252896.293142,2824850.000,14210,2,PI,1,100,170064
1709252896.333140,2824890.000,14225,3,PI,1,100,170060
1709252896.373139,2824930.000,14225,3,PI,1,100,170079
1709252896.413137,2824970.000,14225,3,PI,1,100,170072
1709252896.453135,2825010.000,14242,3,PI,1,100,170098
1709252896.493134,2825050.000,14242,3,PI,1,100,170083
1709252896.533133,2825090.000,14242,3,PI,1,100,170083
1709252896.573131,2825130.000,14258,2,PI,1,100,170106
1709252896.613129,2825170.000,14258,2,PI,1,100,170132
1709252896.653128,2825210.000,14276,3,PI,1,100,170135
1709252896.693126,2825250.000,14276,3,PI,1,100,170125
1709252896.733125,2825290.000,14276,3,PI,1,100,170141
1709252896.773123,2825330.000,14290,2,PI,1,100,170117
1709252896.813122,2825370.000,14290,2,PI,1,100,170122
1709252896.853120,2825410.000,14307,3,PI,1,100,170142
1709252896.893119,2825450.000,14307,3,PI,1,100,170152
1709252896.933117,2825490.000,14307,3,PI,1,100,170190
1709252896.973116,2825530.000,14325,6,PI,1,100,170192
1709252897.013114,2825570.000,14325,6,PI,1,100,170191
1709252897.053113,2825610.000,14325,6,PI,1,100,170181
1709252897.093111,2825650.000,14325,6,PI,1,100,170194
1709252897.133110,2825690.000,14325,6,PI,1,100,170206
1709252897.173108,2825730.000,14325,6,PI,1,100,170198
1709252897.213107,2825770.000,14343,5,PI,1,100,170180
1709252897.253105,2825810.000,14343,5,PI,1,100,170128
1709252897.293103,2825850.000,14343,5,PI,1,100,170137
1709252897.333102,2825890.000,14343,5,PI,1,100,170151
1709252897.373101,2825930.000,14343,5,PI,1,100,170176
1709252897.413099,2825970.000,14361,5,PI,1,100,170203
1709252897.453097,2826010.000,14361,5,PI,1,100,170215
1709252897.493096,2826050.000,14361,5,PI,1,100,170219
1709252897.533094,2826090.000,14361,5,PI,1,100,170201
1709252897.573093,2826130.000,14361,5,PI,1,100,170219
1709252897.613091,2826170.000,14379,3,PI,1,100,170221
1709252897.653090,2826210.000,14379,3,PI,1,100,170215
1709252897.693088,2826250.000,14379,3,PI,1,100,170236
1709252897.733087,2826290.000,14395,2,PI,1,100,170255
1709252897.773085,2826330.000,14395,2,PI,1,100,170246
1709252897.813084,2826370.000,14410,3,PI,1,100,170248
1709252897.853082,2826410.000,14410,3,PI,1,100,170226
