LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1709252889.907386,2818464.000,13184,1,PR,1,100,134984
1709252889.947384,2818504.000,13199,2,PR,1,100,134980
1709252889.987383,2818544.000,13199,2,PR,1,100,135003
1709252890.027381,2818584.000,13216,3,PR,1,100,134988
1709252890.067379,2818624.000,13216,3,PR,1,100,134969
1709252890.107378,2818664.000,13216,3,PR,1,100,135008
1709252890.147377,2818704.000,13232,2,PR,1,100,134978
1709252890.187375,2818744.000,13232,2,PR,1,100,134992
1709252890.227373,2818784.000,13250,4,PR,1,100,135011
1709252890.267372,2818824.000,13250,4,PR,1,100,134980
1709252890.307370,2818864.000,13250,4,PR,1,100,134982
1709252890.347369,2818904.000,13250,4,PR,1,100,134995
1709252890.387367,2818944.000,13266,2,PR,1,100,134998
1709252890.427366,2818984.000,13266,2,PR,1,100,135016
1709252890.467364,2819024.000,13281,3,PR,1,100,135011
1709252890.507363,2819064.000,13281,3,PR,1,100,135023
1709252890.547361,2819104.000,13281,3,PR,1,100,135001
1709252890.587360,2819144.000,13297,2,PR,1,100,134993
1709252890.627358,2819184.000,13297,2,PR,1,100,134987
1709252890.667357,2819224.000,13319,3,PR,1,100,134969
1709252890.707355,2819264.000,13319,3,PR,1,100,134979
1709252890.747354,2819304.000,13319,3,PR,1,100,134977
1709252890.787352,2819344.000,13335,2,PR,1,100,134981
1709252890.827351,2819384.000,13335,2,PR,1,100,134956
1709252890.867349,2819424.000,13352,3,PR,1,100,134987
1709252890.907347,2819464.000,13352,3,PR,1,100,134975
1709252890.947346,2819504.000,13352,3,PR,1,100,134968
1709252890.987345,2819544.000,13369,2,PR,1,100,134978
1709252891.027343,2819584.000,13369,2,PR,1,100,134949
1709252891.067341,2819624.000,13386,3,PR,1,100,134924
1709252891.107340,2819664.000,13386,3,PR,1,100,134891
1709252891.147338,2819704.000,13386,3,PR,1,100,134860
1709252891.187337,2819744.000,13402,2,PR,1,100,134819
1709252891.227335,2819784.000,13402,2,PR,1,100,134800
1709252891.267334,2819824.000,13420,3,PR,1,100,134786
1709252891.307332,2819864.000,13420,3,PR,1,100,134783
1709252891.347331,2819904.000,13420,3,PR,1,100,134736
1709252891.387329,2819944.000,13436,3,PR,1,100,134754
1709252891.427328,2819984.000,13436,3,PR,1,100,134748
1709252891.467326,2820024.000,13436,3,PR,1,100,134709
1709252891.507324,2820064.000,13453,2,PR,1,100,134696
1709252891.547323,2820104.000,13453,2,PR,1,100,134690
1709252891.593821,2820150.500,13469,2,PR,1,100,134687
1709252891.640319,2820197.000,13469,2,PR,1,100,134690
1709252891.680318,2820237.000,13487,3,PR,1,100,134689
1709252891.720316,2820277.000,13487,3,PR,1,100,134677
1709252891.760315,2820317.000,13487,3,PR,1,100,134653
1709252891.800313,2820357.000,13503,2,PR,1,100,134671
1709252891.840312,2820397.000,13503,2,PR,1,100,134663
1709252891.880310,2820437.000,13520,3,PR,1,100,134675
1709252891.920309,2820477.000,13520,3,PR,1,100,134697
1709252891.960307,2820517.000,13520,3,PR,1,100,134674
1709252892.000306,2820557.000,13539,2,PR,1,100,134666
1709252892.040304,2820597.000,13539,2,PR,1,100,134671
1709252892.080303,2820637.000,13555,3,PR,1,100,134666
1709252892.120301,2820677.000,13555,3,PR,1,100,134656
1709252892.160300,2820717.000,13555,3,PR,1,100,134638
1709252892.200298,2820757.000,13572,3,PR,1,100,134649
1709252892.240297,2820797.000,13572,3,PR,1,100,134635
1709252892.280295,2820837.000,13572,3,PR,1,100,134642
1709252892.320293,2820877.000,13590,2,PR,1,100,134658
1709252892.360292,2820917.000,13590,2,PR,1,100,134659
1709252892.400290,2820957.000,13606,3,PR,1,100,134658
1709252892.440289,2820997.000,13606,3,PR,1,100,134655
1709252892.480287,2821037.000,13606,3,PR,1,100,134650
1709252892.520286,2821077.000,13625,3,PR,1,100,134639
1709252892.560284,2821117.000,13625,3,PR,1,100,134630
1709252892.600283,2821157.000,13625,3,PR,1,100,134624
1709252892.640281,2821197.000,13642,3,PR,1,100,134659
1709252892.680280,2821237.000,13642,3,PR,1,100,134650
1709252892.720278,2821277.000,13642,3,PR,1,100,134652
1709252892.760277,2821317.000,13659,2,PR,1,100,134633
1709252892.800275,2821357.000,13659,2,PR,1,100,134643
1709252892.840274,2821397.000,13677,3,PR,1,100,134652
1709252892.880272,2821437.000,13677,3,PR,1,100,134639
1709252892.920270,2821477.000,13677,3,PR,1,100,134647
1709252892.960269,2821517.000,13695,2,PR,1,100,134663
1709252893.000268,2821557.000,13695,2,PR,1,100,134649
1709252893.040266,2821597.000,13711,3,PR,1,100,134636
1709252893.080264,2821637.000,13711,3,PR,1,100,134632
1709252893.120263,2821677.000,13711,3,PR,1,100,134618
1709252893.160261,2821717.000,13727,3,PR,1,100,134627
1709252893.200260,2821757.000,13727,3,PR,1,100,134608
1709252893.240258,2821797.000,13727,3,PR,1,100,134622
1709252893.280257,2821837.000,13742,2,PR,1,100,134608
1709252893.320255,2821877.000,13742,2,PR,1,100,134611
1709252893.360254,2821917.000,13762,3,PR,1,100,134609
1709252893.400252,2821957.000,13762,3,PR,1,100,134595
1709252893.440251,2821997.000,13762,3,PR,1,100,134613
1709252893.480249,2822037.000,13778,2,PR,1,100,134616
1709252893.520248,2822077.000,13778,2,PR,1,100,134617
1709252893.560246,2822117.000,13794,3,PR,1,100,134602
1709252893.600245,2822157.000,13794,3,PR,1,100,134615
1709252893.640243,2822197.000,13794,3,PR,1,100,134627
1709252893.680242,2822237.000,13810,2,PR,1,100,134611
1709252893.720240,2822277.000,13810,2,PR,1,100,134602
1709252893.760238,2822317.000,13827,3,PR,1,100,134610
1709252893.800237,2822357.000,13827,3,PR,1,100,134600
1709252893.840235,2822397.000,13827,3,PR,1,100,134612
1709252893.880234,2822437.000,13843,2,PR,1,100,134599
1709252893.920232,2822477.000,13843,2,PR,1,100,134592
1709252893.960231,2822517.000,13861,3,PR,1,100,134584
1709252894.000229,2822557.000,13861,3,PR,1,100,134568
1709252894.040228,2822597.000,13861,3,PR,1,100,134565
1709252894.080226,2822637.000,13875,2,PR,1,100,134580
1709252894.120225,2822677.000,13875,2,PR,1,100,134570
1709252894.160223,2822717.000,13892,3,PR,1,100,134573
1709252894.200222,2822757.000,13892,3,PR,1,100,134567
1709252894.240220,2822797.000,13892,3,PR,1,100,134566
1709252894.280219,2822837.000,13909,2,PR,1,100,134605
1709252894.320217,2822877.000,13909,2,PR,1,100,134575
1709252894.360215,2822917.000,13928,3,PR,1,100,134572
1709252894.400214,2822957.000,13928,3,PR,1,100,134585
1709252894.440212,2822997.000,13928,3,PR,1,100,134577
1709252894.480211,2823037.000,13946,5,PR,1,100,134559
1709252894.520209,2823077.000,13946,5,PR,1,100,134560
1709252894.560208,2823117.000,13946,5,PR,1,100,134565
1709252894.600206,2823157.000,13946,5,PR,1,100,134560
1709252894.640205,2823197.000,13946,5,PR,1,100,134545
1709252894.680203,2823237.000,13963,3,PR,1,100,134533
1709252894.720202,2823277.000,13963,3,PR,1,100,134549
1709252894.760200,2823317.000,13963,3,PR,1,100,134547
1709252894.800199,2823357.000,13980,3,PR,1,100,134546
1709252894.840197,2823397.000,13980,3,PR,1,100,134550
1709252894.880196,2823437.000,13980,3,PR,1,100,134542
1709252894.920194,2823477.000,13996,3,PR,1,100,134524
1709252894.960193,2823517.000,13996,3,PR,1,100,134524
1709252895.000191,2823557.000,13996,3,PR,1,100,134555
1709252895.040190,2823597.000,14013,2,PR,1,100,134535
1709252895.080188,2823637.000,14013,2,PR,1,100,134565
1709252895.120187,2823677.000,14028,3,PR,1,100,134540
1709252895.160185,2823717.000,14028,3,PR,1,100,134529
1709252895.200183,2823757.000,14028,3,PR,1,100,134534
1709252895.240182,2823797.000,14045,2,PR,1,100,134527
1709252895.280180,2823837.000,14045,2,PR,1,100,134516
1709252895.320179,2823877.000,14064,3,PR,1,100,134518
1709252895.360177,2823917.000,14064,3,PR,1,100,134513
1709252895.400176,2823957.000,14064,3,PR,1,100,134507
1709252895.440174,2823997.000,14081,2,PR,1,100,134522
1709252895.480173,2824037.000,14081,2,PR,1,100,134537
1709252895.520171,2824077.000,14095,3,PR,1,100,134549
1709252895.560170,2824117.000,14095,3,PR,1,100,134543
1709252895.600168,2824157.000,14095,3,PR,1,100,134527
1709252895.640167,2824197.000,14113,3,PR,1,100,134549
1709252895.680165,2824237.000,14113,3,PR,1,100,134552
1709252895.720164,2824277.000,14113,3,PR,1,100,134546
1709252895.766662,2824323.500,14129,2,PR,1,100,134567
1709252895.813160,2824370.000,14129,2,PR,1,100,134560
1709252895.853158,2824410.000,14146,2,PR,1,100,134578
1709252895.893157,2824450.000,14146,2,PR,1,100,134591
1709252895.933156,2824490.000,14161,3,PR,1,100,134585
1709252895.973154,2824530.000,14161,3,PR,1,100,134572
1709252896.013152,2824570.000,14161,3,PR,1,100,134573
1709252896.053151,2824610.000,14178,2,PR,1,100,134580
1709252896.093149,2824650.000,14178,2,PR,1,100,134584
1709252896.133148,2824690.000,14194,3,PR,1,100,134603
1709252896.173146,2824730.000,14194,3,PR,1,100,134605
1709252896.213145,2824770.000,14194,3,PR,1,100,134614
1709252896.253143,2824810.000,14211,2,PR,1,100,134614
1709252896.293142,2824850.000,14211,2,PR,1,100,134615
1709252896.333140,2824890.000,14226,3,PR,1,100,134608
