LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1709252894.557208,2823114.000,13943,2,RD,1,100,TL
1709252894.557208,2823114.000,13943,2,RD,1,100,TU
1709252897.115610,2825672.500,14711,2,RD,1,100,TL
1709252899.674012,2828231.000,14711,2,RD,1,100,TU
1709252902.237415,2830794.500,15547,2,RD,1,100,TL
1709252904.800817,2833358.000,15547,2,RD,1,100,TU
1709252907.363219,2835920.500,16378,2,RD,1,100,TL
1709252909.925621,2838483.000,16378,2,RD,1,100,TU
1709252912.476523,2841034.000,17212,2,RD,1,100,TL
1709252915.027426,2843585.000,17212,2,RD,1,100,TU
1709252917.583328,2846141.000,18023,2,RD,1,100,TL
1709252920.139231,2848697.000,18023,2,RD,1,100,TU
1709252922.692633,2851250.500,18863,2,RD,1,100,TL
1709252925.246036,2853804.000,18863,2,RD,1,100,TU
1709252927.801438,2856359.500,19694,2,RD,1,100,TL
1709252930.356840,2858915.000,19694,2,RD,1,100,TU
1709252932.919242,2861477.500,20548,2,RD,1,100,TL
1709252935.481644,2864040.000,20548,2,RD,1,100,TU
1709252938.035547,2866594.000,21381,2,RD,1,100,TL
1709252940.589449,2869148.000,21381,2,RD,1,100,TU
1709252943.144852,2871703.500,22214,2,RD,1,100,TL
1709252945.700254,2874259.000,22214,2,RD,1,100,TU
1709252948.261156,2876820.000,23050,2,RD,1,100,TL
1709252950.822058,2879381.000,23050,2,RD,1,100,TU
1709252953.376961,2881936.000,23875,2,RD,1,100,TL
1709252955.931863,2884491.000,23875,2,RD,1,100,TU
1709252958.497765,2887057.000,24707,2,RD,1,100,TL
1709252961.063667,2889623.000,24707,2,RD,1,100,TU
1709252963.624069,2892183.500,25542,2,RD,1,100,TL
1709252966.184472,2894744.000,25542,2,RD,1,100,TU
1709252968.736374,2897296.000,26377,2,RD,1,100,TL
1709252971.288276,2899848.000,26377,2,RD,1,100,TU
1709252973.849179,2902409.000,27218,2,RD,1,100,TL
1709252976.410081,2904970.000,27218,2,RD,1,100,TU
1709252978.963483,2907523.500,28048,2,RD,1,100,TL
1709252981.516886,2910077.000,28048,2,RD,1,100,TU
1709252984.073288,2912633.500,28866,2,RD,1,100,TL
1709252986.629690,2915190.000,28866,2,RD,1,100,TU
1709252989.182093,2917742.500,29706,2,RD,1,100,TL
1709252991.734495,2920295.000,29706,2,RD,1,100,TU
1709252994.291898,2922852.500,30542,2,RD,1,100,TL
1709252996.849300,2925410.000,30542,2,RD,1,100,TU
1709252999.418702,2927979.500,31379,2,RD,1,100,TL
1709253001.988104,2930549.000,31379,2,RD,1,100,TU
1709253004.551006,2933112.000,32213,2,RD,1,100,TL
1709253007.113908,2935675.000,32213,2,RD,1,100,TU
1709253009.666310,2938227.500,33046,2,RD,1,100,TL
1709253012.218713,2940780.000,33046,2,RD,1,100,TU
1709253014.784115,2943345.500,33886,2,RD,1,100,TL
1709253017.349517,2945911.000,33886,2,RD,1,100,TU
1709253019.903919,2948465.500,34698,2,RD,1,100,TL
1709253022.458322,2951020.000,34698,2,RD,1,100,TU
1709253025.018224,2953580.000,35535,2,RD,1,100,TL
1709253027.578126,2956140.000,35535,2,RD,1,100,TU
1709253030.143028,2958705.000,36369,2,RD,1,100,TL
1709253032.707930,2961270.000,36369,2,RD,1,100,TU
1709253035.275832,2963838.000,37204,2,RD,1,100,TL
1709253037.843734,2966406.000,37204,2,RD,1,100,TU
1709253040.399136,2968961.500,38017,2,RD,1,100,TL
1709253042.954539,2971517.000,38017,2,RD,1,100,TU
1709253045.520941,2974083.500,38855,2,RD,1,100,TL
1709253048.087343,2976650.000,38855,2,RD,1,100,TU
1709253050.652745,2979215.500,39696,2,RD,1,100,TL
1709253053.218146,2981781.000,39696,2,RD,1,100,TU
1709253055.778049,2984341.000,40517,2,RD,1,100,TL
1709253058.337951,2986901.000,40517,2,RD,1,100,TU
1709253060.901353,2989464.500,41352,2,RD,1,100,TL
1709253063.464755,2992028.000,41352,2,RD,1,100,TU
1709253066.032157,2994595.500,42193,2,RD,1,100,TL
1709253068.599559,2997163.000,42193,2,RD,1,100,TU
