LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1709252889.479402,2818036,13195,1,SA,1,100,0.000883
1709252890.280371,2818837,13315,1,SA,1,100,0.000865
1709252890.746354,2819303,13349,1,SA,1,100,0.000064
1709252891.212336,2819769,13416,1,SA,1,100,0.000136
1709252891.412328,2819969,13484,1,SA,1,100,0.000425
1709252891.812313,2820369,13535,1,SA,1,100,0.000233
1709252892.079303,2820636,13569,1,SA,1,100,0.000153
1709252892.413290,2820970,13622,1,SA,1,100,0.000292
1709252892.612282,2821169,13656,1,SA,1,100,0.000267
1709252906.810740,2835368,15928,1,SA,1,100,0.000428
1709252950.738062,2879297,23134,1,SA,1,100,0.002021
1709252951.537031,2880096,23187,1,SA,1,100,0.000285
1709252951.805021,2880364,23220,1,SA,1,100,0.000153
1709252985.199745,2913760,28747,1,SA,1,100,0.002183
1709252987.399661,2915960,29019,1,SA,1,100,0.000132
1709253024.928227,2953490,35284,1,SA,1,100,0.001324
1709253043.124532,2971687,38071,1,SA,1,100,0.000329
1709253043.392522,2971955,38257,1,SA,1,100,0.002459
1709253048.190339,2976753,38907,1,SA,1,100,0.000043
1709253048.524326,2977087,38958,1,SA,1,100,0.000372
