LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1709252890.012382,2818569.000,13197,1,SF,1,100,24.3197
1709252890.346369,2818903.000,13248,1,SF,1,100,24.0384
1709252890.746354,2819303.000,13317,1,SF,1,100,25.8426
1709252891.012343,2819569.000,13367,1,SF,1,100,27.6259
1709252891.346331,2819903.000,13418,1,SF,1,100,29.3885
1709252891.746315,2820303.000,13483,1,SF,1,100,29.0486
1709252892.012305,2820569.000,13537,1,SF,1,100,32.8770
1709252892.345293,2820902.000,13588,1,SF,1,100,34.5790
1709252892.679280,2821236.000,13640,1,SF,1,100,36.2612
1709252893.012267,2821569.000,13693,1,SF,1,100,37.9240
1709252893.412252,2821969.000,13760,1,SF,1,100,37.4853
1709252893.745239,2822302.000,13808,1,SF,1,100,37.0516
1709252894.012229,2822569.000,13859,1,SF,1,100,36.6230
1709252894.345216,2822902.000,13907,1,SF,1,100,36.1994
1709252894.745201,2823302.000,13961,1,SF,1,100,35.7806
1709252895.079188,2823636.000,14011,1,SF,1,100,35.3667
1709252895.412175,2823969.000,14062,1,SF,1,100,34.9576
1709252895.678165,2824235.000,14111,1,SF,1,100,34.5532
1709252896.012152,2824569.000,14159,1,SF,1,100,34.1535
1709252896.412137,2824969.000,14224,1,SF,1,100,33.7584
1709252896.678127,2825235.000,14275,1,SF,1,100,33.3679
1709252897.145109,2825702.000,14324,1,SF,1,100,32.9819
1709252897.345102,2825902.000,14342,1,SF,1,100,32.6003
1709252897.678089,2826235.000,14378,1,SF,1,100,32.2232
1709252898.078074,2826635.000,14443,1,SF,1,100,31.8504
1709252898.412061,2826969.000,14491,1,SF,1,100,31.4820
1709252898.678051,2827235.000,14542,1,SF,1,100,31.1178
1709252899.011038,2827568.000,14590,1,SF,1,100,30.7578
1709252899.411023,2827968.000,14657,1,SF,1,100,30.4020
1709252899.745010,2828302.000,14713,1,SF,1,100,30.0503
1709252900.077997,2828635.000,14763,1,SF,1,100,29.7027
1709252900.344987,2828902.000,14814,1,SF,1,100,29.3591
1709252900.677974,2829235.000,14862,1,SF,1,100,29.0195
1709252901.077959,2829635.000,14929,1,SF,1,100,28.6838
1709252901.344949,2829902.000,14982,1,SF,1,100,28.3520
1709252901.677936,2830235.000,15030,1,SF,1,100,28.0240
1709252902.010923,2830568.000,15081,1,SF,1,100,27.6998
1709252902.410908,2830968.000,15146,1,SF,1,100,27.3794
1709252902.677898,2831235.000,15196,1,SF,1,100,27.0626
1709252903.010885,2831568.000,15245,1,SF,1,100,26.7496
1709252903.410870,2831968.000,15310,1,SF,1,100,26.4401
1709252903.743857,2832301.000,15358,1,SF,1,100,26.1343
1709252904.010847,2832568.000,15411,1,SF,1,100,25.8320
1709252904.343834,2832901.000,15459,1,SF,1,100,25.5331
1709252904.743819,2833301.000,15526,1,SF,1,100,25.2378
1709252905.077806,2833635.000,15581,1,SF,1,100,24.9458
1709252905.410793,2833968.000,15632,1,SF,1,100,24.6572
1709252905.676783,2834234.000,15681,1,SF,1,100,24.3720
1709252906.010770,2834568.000,15729,1,SF,1,100,24.0901
1709252906.410755,2834968.000,15796,1,SF,1,100,23.8114
1709252906.676745,2835234.000,15847,1,SF,1,100,23.5359
1709252907.010732,2835568.000,15895,1,SF,1,100,23.2637
1709252907.343719,2835901.000,15946,1,SF,1,100,25.0768
1709252907.743704,2836301.000,16013,1,SF,1,100,24.7867
1709252908.010694,2836568.000,16063,1,SF,1,100,24.5000
1709252908.343681,2836901.000,16112,1,SF,1,100,24.2166
1709252908.743666,2837301.000,16177,1,SF,1,100,23.9364
1709252909.009656,2837567.000,16225,1,SF,1,100,23.6595
1709252909.343643,2837901.000,16275,1,SF,1,100,23.3858
1709252909.676630,2838234.000,16326,1,SF,1,100,23.1153
1709252910.076615,2838634.000,16398,1,SF,1,100,22.8479
1709252910.343605,2838901.000,16449,1,SF,1,100,22.5836
1709252910.676592,2839234.000,16497,1,SF,1,100,22.3224
1709252911.076577,2839634.000,16562,1,SF,1,100,22.0641
1709252911.343567,2839901.000,16613,1,SF,1,100,21.8089
1709252911.676554,2840234.000,16663,1,SF,1,100,21.5566
1709252912.009541,2840567.000,16712,1,SF,1,100,21.3072
1709252912.409526,2840967.000,16779,1,SF,1,100,21.0607
1709252912.676516,2841234.000,16831,1,SF,1,100,20.8171
1709252913.009503,2841567.000,16880,1,SF,1,100,20.5763
1709252913.409488,2841967.000,16945,1,SF,1,100,20.3383
1709252913.676478,2842234.000,16993,1,SF,1,100,20.1030
1709252914.009465,2842567.000,17043,1,SF,1,100,19.8704
1709252914.409450,2842967.000,17112,1,SF,1,100,19.6406
1709252914.742437,2843300.000,17161,1,SF,1,100,19.4134
1709252915.075424,2843633.000,17213,1,SF,1,100,19.1888
1709252915.409411,2843967.000,17264,1,SF,1,100,18.9668
1709252915.675401,2844233.000,17312,1,SF,1,100,18.7474
1709252916.009388,2844567.000,17363,1,SF,1,100,18.5305
1709252916.342376,2844900.000,17413,1,SF,1,100,18.3162
1709252916.742360,2845300.000,17478,1,SF,1,100,18.1043
1709252917.075348,2845633.000,17527,1,SF,1,100,17.8949
1709252917.409335,2845967.000,17577,1,SF,1,100,17.6879
1709252917.675325,2846233.000,17626,1,SF,1,100,17.4832
1709252918.009312,2846567.000,17674,1,SF,1,100,17.2810
1709252918.408297,2846966.000,17740,1,SF,1,100,17.0811
1709252918.742284,2847300.000,17790,1,SF,1,100,16.8835
1709252919.008274,2847566.000,17838,1,SF,1,100,16.6882
1709252919.342261,2847900.000,17887,1,SF,1,100,16.4951
1709252919.742246,2848300.000,17954,1,SF,1,100,16.3043
1709252920.008236,2848566.000,18004,1,SF,1,100,16.1157
1709252920.342223,2848900.000,18062,1,SF,1,100,15.9293
1709252920.675210,2849233.000,18110,1,SF,1,100,15.7450
1709252921.075195,2849633.000,18175,1,SF,1,100,15.5629
1709252921.342185,2849900.000,18226,1,SF,1,100,15.3828
1709252921.675172,2850233.000,18276,1,SF,1,100,15.2049
1709252922.075157,2850633.000,18341,1,SF,1,100,15.0290
1709252922.408144,2850966.000,18392,1,SF,1,100,14.8551
1709252922.675134,2851233.000,18444,1,SF,1,100,14.6833
1709252923.008121,2851566.000,18495,1,SF,1,100,14.5134
1709252923.408106,2851966.000,18560,1,SF,1,100,14.3455
1709252923.675096,2852233.000,18610,1,SF,1,100,14.1796
1709252924.008083,2852566.000,18660,1,SF,1,100,14.0156
1709252924.341070,2852899.000,18709,1,SF,1,100,13.8534
1709252924.741055,2853299.000,18776,1,SF,1,100,13.6932
1709252925.008045,2853566.000,18827,1,SF,1,100,13.5348
1709252925.341032,2853899.000,18882,1,SF,1,100,13.3782
1709252925.674019,2854232.000,18931,1,SF,1,100,13.2234
1709252926.074004,2854632.000,18996,1,SF,1,100,13.0705
1709252926.340994,2854899.000,19044,1,SF,1,100,12.9193
1709252926.673981,2855232.000,19095,1,SF,1,100,12.7698
1709252927.073966,2855632.000,19161,1,SF,1,100,12.6221
1709252927.407953,2855966.000,19210,1,SF,1,100,12.4761
1709252927.673943,2856232.000,19261,1,SF,1,100,12.3318
1709252928.007930,2856566.000,19309,1,SF,1,100,12.1891
1709252928.407915,2856966.000,19374,1,SF,1,100,12.0481
1709252928.673905,2857232.000,19425,1,SF,1,100,11.9087
1709252929.007892,2857566.000,19475,1,SF,1,100,11.7710
1709252929.406877,2857965.000,19542,1,SF,1,100,11.6348
1709252929.740864,2858299.000,19591,1,SF,1,100,11.5002
1709252930.006854,2858565.000,19643,1,SF,1,100,11.3672
1709252930.340841,2858899.000,19697,1,SF,1,100,11.2357
1709252930.673828,2859232.000,19747,1,SF,1,100,11.1057
1709252931.073813,2859632.000,19812,1,SF,1,100,10.9772
1709252931.340803,2859899.000,19865,1,SF,1,100,10.8502
1709252931.673790,2860232.000,19913,1,SF,1,100,10.7247
1709252932.073775,2860632.000,19980,1,SF,1,100,10.6007
1709252932.339765,2860898.000,20031,1,SF,1,100,10.4780
1709252932.673752,2861232.000,20080,1,SF,1,100,10.3568
1709252933.006739,2861565.000,20132,1,SF,1,100,10.2370
1709252933.406724,2861965.000,20197,1,SF,1,100,10.1186
1709252933.673714,2862232.000,20245,1,SF,1,100,10.0015
1709252934.006701,2862565.000,20296,1,SF,1,100,9.8858
1709252934.406686,2862965.000,20363,1,SF,1,100,9.7715
1709252934.673675,2863232.000,20413,1,SF,1,100,9.6584
1709252935.006663,2863565.000,20462,1,SF,1,100,9.5467
1709252935.339650,2863898.000,20512,1,SF,1,100,9.4363
1709252935.739635,2864298.000,20582,1,SF,1,100,9.3271
1709252936.006624,2864565.000,20633,1,SF,1,100,9.2192
1709252936.339612,2864898.000,20681,1,SF,1,100,9.1126
1709252936.672599,2865231.000,20732,1,SF,1,100,9.0072
1709252937.072584,2865631.000,20797,1,SF,1,100,8.9030
1709252937.339574,2865898.000,20849,1,SF,1,100,8.8000
1709252937.672561,2866231.000,20898,1,SF,1,100,8.6982
1709252938.072546,2866631.000,20963,1,SF,1,100,8.5976
1709252938.339535,2866898.000,21011,1,SF,1,100,8.4981
1709252938.672523,2867231.000,21063,1,SF,1,100,8.3998
1709252939.006510,2867565.000,21114,1,SF,1,100,8.3026
1709252939.405495,2867964.000,21181,1,SF,1,100,8.2066
1709252939.672484,2868231.000,21230,1,SF,1,100,8.1116
1709252940.005472,2868564.000,21279,1,SF,1,100,8.0178
1709252940.339459,2868898.000,21329,1,SF,1,100,7.9251
1709252940.739444,2869298.000,21401,1,SF,1,100,7.8334
1709252941.005434,2869564.000,21449,1,SF,1,100,7.7428
1709252941.339421,2869898.000,21498,1,SF,1,100,7.6532
1709252941.738405,2870297.000,21563,1,SF,1,100,7.5647
1709252942.005395,2870564.000,21615,1,SF,1,100,7.4771
1709252942.338382,2870897.000,21664,1,SF,1,100,7.3907
1709252942.672370,2871231.000,21712,1,SF,1,100,7.3052
1709252943.072355,2871631.000,21779,1,SF,1,100,7.2206
1709252943.339344,2871898.000,21830,1,SF,1,100,7.1371
