LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1709252889.479402,2818036,13196,1,SR,1,100,0.400000
1709252890.280371,2818837,13316,1,SR,1,100,0.333333
1709252890.746354,2819303,13350,1,SR,1,100,0.066667
1709252891.212336,2819769,13417,1,SR,1,100,0.066667
1709252891.412328,2819969,13485,1,SR,1,100,0.266667
1709252891.812313,2820369,13536,1,SR,1,100,0.133333
1709252892.079303,2820636,13570,1,SR,1,100,0.066667
1709252892.413290,2820970,13623,1,SR,1,100,0.066667
1709252892.612282,2821169,13657,1,SR,1,100,0.066667
1709252906.810740,2835368,15929,1,SR,1,100,0.266667
1709252950.738062,2879297,23135,1,SR,1,100,0.666667
1709252951.537031,2880096,23188,1,SR,1,100,0.133333
1709252951.805021,2880364,23221,1,SR,1,100,0.066667
1709252985.199745,2913760,28748,1,SR,1,100,0.600000
1709252987.399661,2915960,29020,1,SR,1,100,0.066667
1709253024.928227,2953490,35285,1,SR,1,100,1.066667
1709253043.124532,2971687,38072,1,SR,1,100,0.133333
1709253043.392522,2971955,38258,1,SR,1,100,1.000000
1709253048.190339,2976753,38908,1,SR,1,100,0.200000
1709253048.524326,2977087,38959,1,SR,1,100,0.200000
