LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1709252889.939384,2818496.000,13203,1,T1,1,100,37.372
1709252890.072379,2818629.000,13220,1,T1,1,100,37.516
1709252890.206374,2818763.000,13236,1,T1,1,100,37.542
1709252890.339369,2818896.000,13254,1,T1,1,100,37.483
1709252890.472364,2819029.000,13285,1,T1,1,100,37.351
1709252890.605359,2819162.000,13301,1,T1,1,100,37.364
1709252890.739354,2819296.000,13323,1,T1,1,100,37.441
1709252890.872349,2819429.000,13356,1,T1,1,100,37.404
1709252891.005344,2819562.000,13373,1,T1,1,100,37.387
1709252891.139338,2819696.000,13390,1,T1,1,100,37.380
1709252891.272334,2819829.000,13424,1,T1,1,100,37.519
1709252891.405329,2819962.000,13440,1,T1,1,100,37.579
1709252891.539323,2820096.000,13457,1,T1,1,100,37.428
1709252891.672318,2820229.000,13491,1,T1,1,100,37.433
1709252891.805313,2820362.000,13507,1,T1,1,100,37.400
1709252891.939308,2820496.000,13524,1,T1,1,100,37.457
1709252892.072303,2820629.000,13543,1,T1,1,100,37.375
1709252892.205298,2820762.000,13576,1,T1,1,100,37.481
1709252892.339293,2820896.000,13594,1,T1,1,100,37.527
1709252892.472288,2821029.000,13610,1,T1,1,100,37.370
1709252892.605283,2821162.000,13629,1,T1,1,100,37.373
1709252892.739277,2821296.000,13663,1,T1,1,100,37.374
1709252892.872272,2821429.000,13681,1,T1,1,100,37.410
1709252893.005267,2821562.000,13699,1,T1,1,100,37.461
1709252893.139262,2821696.000,13715,1,T1,1,100,37.483
1709252893.272257,2821829.000,13746,1,T1,1,100,37.315
1709252893.405252,2821962.000,13766,1,T1,1,100,37.491
1709252893.538247,2822095.000,13782,1,T1,1,100,37.532
1709252893.672242,2822229.000,13814,1,T1,1,100,37.514
1709252893.805237,2822362.000,13831,1,T1,1,100,37.435
1709252893.939232,2822496.000,13847,1,T1,1,100,37.436
1709252894.072227,2822629.000,13879,1,T1,1,100,37.331
1709252894.205221,2822762.000,13896,1,T1,1,100,37.391
1709252894.338216,2822895.000,13913,1,T1,1,100,37.453
1709252894.471711,2823028.500,13950,2,T1,1,100,37.480
1709252894.605206,2823162.000,13950,2,T1,1,100,37.420
1709252894.738201,2823295.000,13967,1,T1,1,100,37.359
1709252894.872196,2823429.000,13984,1,T1,1,100,37.297
1709252895.005191,2823562.000,14000,1,T1,1,100,37.306
1709252895.138186,2823695.000,14032,1,T1,1,100,37.416
1709252895.272181,2823829.000,14049,1,T1,1,100,37.428
1709252895.405176,2823962.000,14068,1,T1,1,100,37.469
1709252895.538171,2824095.000,14099,1,T1,1,100,37.487
1709252895.672165,2824229.000,14117,1,T1,1,100,37.459
1709252895.805160,2824362.000,14133,1,T1,1,100,37.340
1709252895.938155,2824495.000,14165,1,T1,1,100,37.431
1709252896.072150,2824629.000,14182,1,T1,1,100,37.364
1709252896.205145,2824762.000,14198,1,T1,1,100,37.512
1709252896.338140,2824895.000,14230,1,T1,1,100,37.541
1709252896.472135,2825029.000,14247,1,T1,1,100,37.482
1709252896.605130,2825162.000,14263,1,T1,1,100,37.315
1709252896.738125,2825295.000,14295,1,T1,1,100,37.349
1709252896.872120,2825429.000,14312,1,T1,1,100,37.470
1709252897.005115,2825562.000,14330,2,T1,1,100,37.487
1709252897.138109,2825695.000,14330,2,T1,1,100,37.353
1709252897.271604,2825828.500,14348,2,T1,1,100,37.436
1709252897.405099,2825962.000,14348,2,T1,1,100,37.366
1709252897.538094,2826095.000,14366,1,T1,1,100,37.513
1709252897.671089,2826228.000,14384,1,T1,1,100,37.399
1709252897.805084,2826362.000,14415,1,T1,1,100,37.385
1709252897.938079,2826495.000,14431,1,T1,1,100,37.521
1709252898.071074,2826628.000,14449,1,T1,1,100,37.509
1709252898.205069,2826762.000,14465,1,T1,1,100,37.362
1709252898.338063,2826895.000,14497,1,T1,1,100,37.405
1709252898.471058,2827028.000,14514,1,T1,1,100,37.423
1709252898.605053,2827162.000,14530,1,T1,1,100,37.325
1709252898.738048,2827295.000,14562,1,T1,1,100,37.566
1709252898.871043,2827428.000,14579,1,T1,1,100,37.458
1709252899.005038,2827562.000,14596,1,T1,1,100,37.482
1709252899.138033,2827695.000,14627,1,T1,1,100,37.457
1709252899.271028,2827828.000,14644,1,T1,1,100,37.481
1709252899.405023,2827962.000,14663,1,T1,1,100,37.386
1709252899.538018,2828095.000,14696,1,T1,1,100,37.344
1709252899.671013,2828228.000,14719,1,T1,1,100,37.397
1709252899.805007,2828362.000,14735,1,T1,1,100,37.455
1709252899.938002,2828495.000,14752,1,T1,1,100,37.445
1709252900.070997,2828628.000,14769,1,T1,1,100,37.405
1709252900.204992,2828762.000,14802,1,T1,1,100,37.459
1709252900.337987,2828895.000,14820,1,T1,1,100,37.447
1709252900.470982,2829028.000,14836,1,T1,1,100,37.477
1709252900.603977,2829161.000,14868,1,T1,1,100,37.526
1709252900.737972,2829295.000,14887,1,T1,1,100,37.369
1709252900.870967,2829428.000,14903,1,T1,1,100,37.550
1709252901.003962,2829561.000,14935,1,T1,1,100,37.486
1709252901.137957,2829695.000,14952,1,T1,1,100,37.423
1709252901.270952,2829828.000,14968,1,T1,1,100,37.502
1709252901.403946,2829961.000,14988,1,T1,1,100,37.395
1709252901.537941,2830095.000,15019,1,T1,1,100,37.348
1709252901.670936,2830228.000,15036,1,T1,1,100,37.470
1709252901.803931,2830361.000,15053,1,T1,1,100,37.487
1709252901.937926,2830495.000,15087,1,T1,1,100,37.388
1709252902.070921,2830628.000,15103,1,T1,1,100,37.452
1709252902.203916,2830761.000,15120,1,T1,1,100,37.550
1709252902.337911,2830895.000,15152,1,T1,1,100,37.380
1709252902.470906,2831028.000,15168,1,T1,1,100,37.448
1709252902.603901,2831161.000,15185,1,T1,1,100,37.407
1709252902.737895,2831295.000,15217,1,T1,1,100,37.353
1709252902.870890,2831428.000,15233,1,T1,1,100,37.436
1709252903.003885,2831561.000,15251,1,T1,1,100,37.508
1709252903.137880,2831695.000,15282,1,T1,1,100,37.326
1709252903.270875,2831828.000,15298,1,T1,1,100,37.425
1709252903.403870,2831961.000,15316,1,T1,1,100,37.467
1709252903.537865,2832095.000,15332,1,T1,1,100,37.486
1709252903.670860,2832228.000,15364,1,T1,1,100,37.388
1709252903.803855,2832361.000,15381,1,T1,1,100,37.416
1709252903.937850,2832495.000,15397,1,T1,1,100,37.428
1709252904.070845,2832628.000,15431,1,T1,1,100,37.433
1709252904.203840,2832761.000,15448,1,T1,1,100,37.542
1709252904.336834,2832894.000,15465,1,T1,1,100,37.483
1709252904.470829,2833028.000,15498,1,T1,1,100,37.457
1709252904.603824,2833161.000,15515,1,T1,1,100,37.481
1709252904.736819,2833294.000,15532,1,T1,1,100,37.492
1709252904.870814,2833428.000,15554,1,T1,1,100,37.426
1709252905.003809,2833561.000,15570,1,T1,1,100,37.397
1709252905.136804,2833694.000,15604,1,T1,1,100,37.491
1709252905.270799,2833828.000,15621,1,T1,1,100,37.354
1709252905.403794,2833961.000,15638,1,T1,1,100,37.437
1709252905.536788,2834094.000,15669,1,T1,1,100,37.473
1709252905.670784,2834228.000,15687,1,T1,1,100,37.417
1709252905.803778,2834361.000,15703,1,T1,1,100,37.251
1709252905.936773,2834494.000,15735,1,T1,1,100,37.428
1709252906.070768,2834628.000,15752,1,T1,1,100,37.398
1709252906.203763,2834761.000,15768,1,T1,1,100,37.420
1709252906.336758,2834894.000,15802,1,T1,1,100,37.324
1709252906.470753,2835028.000,15819,1,T1,1,100,37.388
1709252906.603748,2835161.000,15835,1,T1,1,100,37.452
1709252906.736743,2835294.000,15867,1,T1,1,100,37.550
1709252906.870738,2835428.000,15884,1,T1,1,100,37.380
1709252907.003732,2835561.000,15901,1,T1,1,100,37.342
1709252907.136727,2835694.000,15918,1,T1,1,100,37.431
1709252907.270722,2835828.000,15952,1,T1,1,100,37.364
1709252907.403717,2835961.000,15968,1,T1,1,100,37.477
1709252907.536712,2836094.000,15985,1,T1,1,100,37.454
1709252907.669707,2836227.000,16019,1,T1,1,100,37.374
1709252907.803702,2836361.000,16035,1,T1,1,100,37.339
1709252907.936697,2836494.000,16052,1,T1,1,100,37.430
1709252908.069692,2836627.000,16084,1,T1,1,100,37.470
1709252908.203687,2836761.000,16100,1,T1,1,100,37.416
1709252908.336682,2836894.000,16118,1,T1,1,100,37.464
1709252908.469676,2837027.000,16149,1,T1,1,100,37.307
1709252908.603671,2837161.000,16165,1,T1,1,100,37.310
1709252908.736666,2837294.000,16183,1,T1,1,100,37.453
1709252908.869661,2837427.000,16214,1,T1,1,100,37.444
1709252909.003656,2837561.000,16231,1,T1,1,100,37.511
1709252909.136651,2837694.000,16248,1,T1,1,100,37.505
1709252909.269646,2837827.000,16264,1,T1,1,100,37.538
1709252909.403641,2837961.000,16298,1,T1,1,100,37.410
1709252909.536636,2838094.000,16315,1,T1,1,100,37.426
1709252909.669631,2838227.000,16332,1,T1,1,100,37.468
1709252909.803626,2838361.000,16363,1,T1,1,100,37.451
1709252909.936620,2838494.000,16387,1,T1,1,100,37.443
1709252910.069615,2838627.000,16404,1,T1,1,100,37.546
1709252910.203610,2838761.000,16435,1,T1,1,100,37.485
1709252910.336605,2838894.000,16455,1,T1,1,100,37.422
1709252910.469600,2839027.000,16471,1,T1,1,100,37.396
1709252910.603595,2839161.000,16503,1,T1,1,100,37.348
1709252910.736590,2839294.000,16520,1,T1,1,100,37.505
1709252910.869585,2839427.000,16536,1,T1,1,100,37.573
1709252911.003580,2839561.000,16568,1,T1,1,100,37.496
1709252911.136575,2839694.000,16585,1,T1,1,100,37.463
1709252911.269570,2839827.000,16601,1,T1,1,100,37.484
1709252911.402565,2839960.000,16619,1,T1,1,100,37.351
1709252911.536559,2840094.000,16652,1,T1,1,100,37.365
1709252911.669554,2840227.000,16669,1,T1,1,100,37.371
1709252911.802549,2840360.000,16686,1,T1,1,100,37.373
1709252911.936544,2840494.000,16718,1,T1,1,100,37.410
1709252912.069539,2840627.000,16734,1,T1,1,100,37.461
1709252912.202534,2840760.000,16753,1,T1,1,100,37.483
1709252912.336529,2840894.000,16785,1,T1,1,100,37.528
1709252912.469524,2841027.000,16801,1,T1,1,100,37.477
1709252912.602519,2841160.000,16820,1,T1,1,100,37.454
1709252912.736513,2841294.000,16852,1,T1,1,100,37.480
1709252912.869509,2841427.000,16868,1,T1,1,100,37.456
1709252913.002503,2841560.000,16886,1,T1,1,100,37.446
1709252913.136498,2841694.000,16917,1,T1,1,100,37.476
1709252913.269493,2841827.000,16933,1,T1,1,100,37.490
1709252913.402488,2841960.000,16951,1,T1,1,100,37.567
1709252913.536483,2842094.000,16982,1,T1,1,100,37.529
1709252913.669478,2842227.000,16999,1,T1,1,100,37.548
1709252913.802473,2842360.000,17016,1,T1,1,100,37.592
1709252913.936468,2842494.000,17032,1,T1,1,100,37.469
1709252914.069463,2842627.000,17064,1,T1,1,100,37.416
1709252914.202457,2842760.000,17083,1,T1,1,100,37.393
1709252914.335452,2842893.000,17099,1,T1,1,100,37.276
1709252914.469447,2843027.000,17133,1,T1,1,100,37.297
1709252914.602442,2843160.000,17150,1,T1,1,100,37.377
1709252914.735437,2843293.000,17167,1,T1,1,100,37.411
1709252914.869432,2843427.000,17198,1,T1,1,100,37.462
1709252915.002427,2843560.000,17219,1,T1,1,100,37.483
1709252915.135422,2843693.000,17236,1,T1,1,100,37.386
1709252915.269417,2843827.000,17252,1,T1,1,100,37.415
1709252915.402412,2843960.000,17270,1,T1,1,100,37.463
1709252915.535407,2844093.000,17286,1,T1,1,100,37.449
1709252915.669401,2844227.000,17318,1,T1,1,100,37.549
1709252915.802396,2844360.000,17335,1,T1,1,100,37.415
1709252915.935391,2844493.000,17351,1,T1,1,100,37.463
1709252916.069386,2844627.000,17385,1,T1,1,100,37.590
1709252916.202381,2844760.000,17402,1,T1,1,100,37.575
1709252916.335376,2844893.000,17419,1,T1,1,100,37.532
1709252916.469371,2845027.000,17450,1,T1,1,100,37.585
1709252916.602366,2845160.000,17467,1,T1,1,100,37.537
1709252916.735361,2845293.000,17484,1,T1,1,100,37.410
1709252916.869356,2845427.000,17515,1,T1,1,100,37.461
1709252917.002351,2845560.000,17533,1,T1,1,100,37.483
1709252917.135345,2845693.000,17549,1,T1,1,100,37.528
1709252917.268340,2845826.000,17566,1,T1,1,100,37.477
1709252917.402335,2845960.000,17583,1,T1,1,100,37.454
1709252917.535330,2846093.000,17614,1,T1,1,100,37.445
1709252917.668325,2846226.000,17632,1,T1,1,100,37.334
1709252917.802320,2846360.000,17648,1,T1,1,100,37.464
1709252917.935315,2846493.000,17680,1,T1,1,100,37.413
1709252918.068310,2846626.000,17697,1,T1,1,100,37.321
1709252918.202305,2846760.000,17713,1,T1,1,100,37.387
1709252918.335299,2846893.000,17730,1,T1,1,100,37.487
1709252918.468294,2847026.000,17762,1,T1,1,100,37.388
1709252918.602289,2847160.000,17778,1,T1,1,100,37.558
1709252918.735284,2847293.000,17796,1,T1,1,100,37.490
1709252918.868279,2847426.000,17827,1,T1,1,100,37.425
1709252919.002274,2847560.000,17844,1,T1,1,100,37.432
1709252919.135269,2847693.000,17861,1,T1,1,100,37.329
1709252919.268264,2847826.000,17893,1,T1,1,100,37.355
1709252919.402259,2847960.000,17911,1,T1,1,100,37.544
1709252919.535254,2848093.000,17928,1,T1,1,100,37.483
1709252919.668249,2848226.000,17960,1,T1,1,100,37.386
1709252919.802243,2848360.000,17976,1,T1,1,100,37.451
1709252919.935238,2848493.000,17993,1,T1,1,100,37.372
1709252920.068233,2848626.000,18034,1,T1,1,100,37.374
1709252920.202228,2848760.000,18050,1,T1,1,100,37.445
1709252920.335223,2848893.000,18068,1,T1,1,100,37.441
1709252920.468218,2849026.000,18084,1,T1,1,100,37.368
1709252920.602213,2849160.000,18116,1,T1,1,100,37.372
1709252920.735208,2849293.000,18133,1,T1,1,100,37.409
1709252920.868203,2849426.000,18149,1,T1,1,100,37.319
1709252921.001198,2849559.000,18181,1,T1,1,100,37.457
1709252921.135193,2849693.000,18198,1,T1,1,100,37.481
1709252921.268188,2849826.000,18214,1,T1,1,100,37.421
1709252921.401182,2849959.000,18248,1,T1,1,100,37.395
1709252921.535177,2850093.000,18265,1,T1,1,100,37.490
1709252921.668172,2850226.000,18282,1,T1,1,100,37.354
1709252921.801167,2850359.000,18299,1,T1,1,100,37.401
1709252921.935162,2850493.000,18330,1,T1,1,100,37.457
1709252922.068157,2850626.000,18347,1,T1,1,100,37.482
1709252922.201152,2850759.000,18366,1,T1,1,100,37.350
1709252922.335147,2850893.000,18398,1,T1,1,100,37.471
1709252922.468142,2851026.000,18414,1,T1,1,100,37.416
1709252922.601137,2851159.000,18431,1,T1,1,100,37.357
1709252922.735132,2851293.000,18465,1,T1,1,100,37.438
1709252922.868126,2851426.000,18481,1,T1,1,100,37.473
1709252923.001121,2851559.000,18501,1,T1,1,100,37.347
1709252923.135116,2851693.000,18532,1,T1,1,100,37.327
1709252923.268111,2851826.000,18548,1,T1,1,100,37.425
1709252923.401106,2851959.000,18566,1,T1,1,100,37.397
1709252923.535101,2852093.000,18597,1,T1,1,100,37.420
1709252923.668096,2852226.000,18616,1,T1,1,100,37.394
1709252923.801091,2852359.000,18633,1,T1,1,100,37.454
1709252923.934086,2852492.000,18649,1,T1,1,100,37.445
1709252924.068081,2852626.000,18681,1,T1,1,100,37.405
1709252924.201076,2852759.000,18698,1,T1,1,100,37.353
1709252924.334070,2852892.000,18715,1,T1,1,100,37.436
1709252924.468065,2853026.000,18748,1,T1,1,100,37.579
1709252924.601060,2853159.000,18765,1,T1,1,100,37.428
1709252924.734055,2853292.000,18782,1,T1,1,100,37.362
1709252924.868050,2853426.000,18813,1,T1,1,100,37.334
1709252925.001045,2853559.000,18833,1,T1,1,100,37.428
1709252925.134040,2853692.000,18849,1,T1,1,100,37.469
1709252925.268035,2853826.000,18871,1,T1,1,100,37.487
1709252925.401030,2853959.000,18903,1,T1,1,100,37.459
1709252925.534024,2854092.000,18919,1,T1,1,100,37.411
1709252925.668020,2854226.000,18937,1,T1,1,100,37.462
1709252925.801014,2854359.000,18968,1,T1,1,100,37.483
