LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1709252889.954384,2818511.000,13204,1,TH,1,100,36.607
1709252890.087379,2818644.000,13221,1,TH,1,100,36.668
1709252890.220374,2818777.000,13237,1,TH,1,100,36.668
1709252890.354369,2818911.000,13255,1,TH,1,100,36.621
1709252890.487364,2819044.000,13286,1,TH,1,100,36.621
1709252890.621358,2819178.000,13302,1,TH,1,100,36.652
1709252890.754353,2819311.000,13324,1,TH,1,100,36.652
1709252890.887348,2819444.000,13357,1,TH,1,100,36.617
1709252891.020343,2819577.000,13374,1,TH,1,100,36.617
1709252891.154338,2819711.000,13391,1,TH,1,100,36.569
1709252891.287333,2819844.000,13425,1,TH,1,100,36.569
1709252891.420328,2819977.000,13441,1,TH,1,100,36.664
1709252891.554323,2820111.000,13458,1,TH,1,100,36.664
1709252891.687318,2820244.000,13492,1,TH,1,100,36.567
1709252891.820312,2820377.000,13508,1,TH,1,100,36.567
1709252891.954308,2820511.000,13525,1,TH,1,100,36.584
1709252892.087302,2820644.000,13559,1,TH,1,100,36.584
1709252892.220297,2820777.000,13577,1,TH,1,100,36.645
1709252892.354292,2820911.000,13595,1,TH,1,100,36.645
1709252892.487287,2821044.000,13611,1,TH,1,100,36.657
1709252892.620282,2821177.000,13630,1,TH,1,100,36.657
1709252892.754277,2821311.000,13664,1,TH,1,100,36.562
1709252892.887272,2821444.000,13682,1,TH,1,100,36.562
1709252893.020267,2821577.000,13700,1,TH,1,100,36.602
1709252893.154262,2821711.000,13731,1,TH,1,100,36.602
1709252893.287256,2821844.000,13747,1,TH,1,100,36.560
1709252893.420251,2821977.000,13767,1,TH,1,100,36.560
1709252893.553246,2822110.000,13798,1,TH,1,100,36.565
1709252893.687241,2822244.000,13815,1,TH,1,100,36.557
1709252893.820236,2822377.000,13832,1,TH,1,100,36.609
1709252893.954231,2822511.000,13848,1,TH,1,100,36.617
1709252894.087226,2822644.000,13880,1,TH,1,100,36.635
1709252894.220221,2822777.000,13897,1,TH,1,100,36.628
1709252894.354216,2822911.000,13914,1,TH,1,100,36.600
1709252894.487211,2823044.000,13951,2,TH,1,100,36.600
1709252894.620206,2823177.000,13951,2,TH,1,100,36.626
1709252894.753201,2823310.000,13968,1,TH,1,100,36.626
1709252894.887195,2823444.000,13985,1,TH,1,100,36.576
1709252895.020190,2823577.000,14017,1,TH,1,100,36.576
1709252895.153185,2823710.000,14033,1,TH,1,100,36.628
1709252895.287180,2823844.000,14050,1,TH,1,100,36.628
1709252895.420175,2823977.000,14069,1,TH,1,100,36.635
1709252895.553170,2824110.000,14100,1,TH,1,100,36.635
1709252895.687165,2824244.000,14118,1,TH,1,100,36.531
1709252895.820160,2824377.000,14134,1,TH,1,100,36.531
1709252895.953155,2824510.000,14166,1,TH,1,100,36.604
1709252896.086150,2824643.000,14183,1,TH,1,100,36.604
1709252896.220145,2824777.000,14199,1,TH,1,100,36.595
1709252896.353139,2824910.000,14231,1,TH,1,100,36.595
1709252896.486134,2825043.000,14248,1,TH,1,100,36.543
1709252896.620129,2825177.000,14264,1,TH,1,100,36.543
1709252896.753124,2825310.000,14296,1,TH,1,100,36.628
1709252896.887119,2825444.000,14313,1,TH,1,100,36.628
1709252897.020114,2825577.000,14331,2,TH,1,100,36.628
1709252897.153109,2825710.000,14331,2,TH,1,100,36.628
1709252897.286104,2825843.000,14349,1,TH,1,100,36.652
1709252897.419599,2825976.500,14367,2,TH,1,100,36.652
1709252897.553094,2826110.000,14367,2,TH,1,100,36.583
1709252897.686089,2826243.000,14385,1,TH,1,100,36.583
1709252897.820083,2826377.000,14416,1,TH,1,100,36.496
1709252897.953078,2826510.000,14432,1,TH,1,100,36.496
1709252898.086073,2826643.000,14450,1,TH,1,100,36.567
1709252898.220068,2826777.000,14481,1,TH,1,100,36.567
1709252898.353063,2826910.000,14498,1,TH,1,100,36.555
1709252898.486058,2827043.000,14515,1,TH,1,100,36.555
1709252898.620053,2827177.000,14531,1,TH,1,100,36.583
1709252898.753048,2827310.000,14563,1,TH,1,100,36.583
1709252898.886043,2827443.000,14580,1,TH,1,100,36.543
1709252899.020037,2827577.000,14597,1,TH,1,100,36.543
1709252899.153033,2827710.000,14628,1,TH,1,100,36.586
1709252899.286027,2827843.000,14645,1,TH,1,100,36.586
1709252899.420022,2827977.000,14664,1,TH,1,100,36.654
1709252899.553017,2828110.000,14697,1,TH,1,100,36.654
1709252899.686012,2828243.000,14720,1,TH,1,100,36.670
1709252899.820007,2828377.000,14736,1,TH,1,100,36.670
1709252899.953002,2828510.000,14753,1,TH,1,100,36.560
1709252900.085997,2828643.000,14770,1,TH,1,100,36.560
1709252900.219992,2828777.000,14803,1,TH,1,100,36.546
1709252900.352987,2828910.000,14821,1,TH,1,100,36.546
1709252900.485981,2829043.000,14837,1,TH,1,100,36.670
1709252900.618976,2829176.000,14869,1,TH,1,100,36.670
1709252900.752971,2829310.000,14888,1,TH,1,100,36.581
1709252900.885966,2829443.000,14904,1,TH,1,100,36.581
1709252901.018961,2829576.000,14936,1,TH,1,100,36.633
1709252901.152956,2829710.000,14953,1,TH,1,100,36.633
1709252901.285951,2829843.000,14969,1,TH,1,100,36.588
1709252901.418946,2829976.000,15003,1,TH,1,100,36.588
1709252901.552941,2830110.000,15020,1,TH,1,100,36.579
1709252901.685936,2830243.000,15037,1,TH,1,100,36.579
