LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1709252894.555208,2823112.000,13941,1,TL,1,100,2024-02-29_19-28-10-404441
1709252899.667013,2828224.000,14707,1,TL,1,100,2024-02-29_19-28-14-793387
1709252899.672013,2828229.000,14709,1,TL,1,100,2024-02-29_19-28-14-793679
1709252904.791817,2833349.000,15543,1,TL,1,100,2024-02-29_19-28-20-371611
1709252904.794817,2833352.000,15545,1,TL,1,100,2024-02-29_19-28-20-371733
1709252909.919621,2838477.000,16374,1,TL,1,100,2024-02-29_19-28-25-341254
1709252909.923621,2838481.000,16376,1,TL,1,100,2024-02-29_19-28-25-341339
1709252909.965619,2838523.000,16379,1,TL,1,100,2024-02-29_19-28-29-961991
1709252915.025426,2843583.000,17210,1,TL,1,100,2024-02-29_19-28-30-003244
1709252920.135231,2848693.000,18019,1,TL,1,100,2024-02-29_19-28-35-289370
1709252920.137231,2848695.000,18021,1,TL,1,100,2024-02-29_19-28-35-289502
1709252920.171229,2848729.000,18024,1,TL,1,100,2024-02-29_19-28-40-166499
1709252925.243036,2853801.000,18861,1,TL,1,100,2024-02-29_19-28-40-198145
1709252925.272035,2853830.000,18864,1,TL,1,100,2024-02-29_19-28-45-257907
1709252930.351840,2858910.000,19692,1,TL,1,100,2024-02-29_19-28-45-317776
1709252930.365840,2858924.000,19695,1,TL,1,100,2024-02-29_19-28-50-361340
1709252935.479645,2864038.000,20546,1,TL,1,100,2024-02-29_19-28-50-409695
1709252935.557642,2864116.000,20549,1,TL,1,100,2024-02-29_19-28-55-529394
1709252940.587450,2869146.000,21379,1,TL,1,100,2024-02-29_19-28-55-633902
1709252940.623448,2869182.000,21382,1,TL,1,100,2024-02-29_19-29-00-616693
1709252945.695254,2874254.000,22212,1,TL,1,100,2024-02-29_19-29-00-889748
1709252950.814059,2879373.000,23046,1,TL,1,100,2024-02-29_19-29-06-288389
1709252950.820059,2879379.000,23048,1,TL,1,100,2024-02-29_19-29-06-288686
1709252955.921864,2884481.000,23871,1,TL,1,100,2024-02-29_19-29-11-306880
1709252955.927863,2884487.000,23873,1,TL,1,100,2024-02-29_19-29-11-306966
1709252961.059667,2889619.000,24703,1,TL,1,100,2024-02-29_19-29-16-285055
1709252961.061667,2889621.000,24705,1,TL,1,100,2024-02-29_19-29-16-285154
1709252966.179472,2894739.000,25538,1,TL,1,100,2024-02-29_19-29-21-366552
1709252966.182472,2894742.000,25540,1,TL,1,100,2024-02-29_19-29-21-366627
1709252966.261469,2894821.000,25543,1,TL,1,100,2024-02-29_19-29-26-256604
1709252971.287277,2899847.000,26375,1,TL,1,100,2024-02-29_19-29-26-335325
1709252976.406081,2904966.000,27214,1,TL,1,100,2024-02-29_19-29-31-430598
1709252976.408081,2904968.000,27216,1,TL,1,100,2024-02-29_19-29-31-433750
1709252976.452079,2905012.000,27219,1,TL,1,100,2024-02-29_19-29-36-415041
1709252981.513886,2910074.000,28046,1,TL,1,100,2024-02-29_19-29-36-496239
1709252986.621691,2915182.000,28862,1,TL,1,100,2024-02-29_19-29-42-737549
1709252986.623691,2915184.000,28864,1,TL,1,100,2024-02-29_19-29-42-737635
1709252986.643690,2915204.000,28867,1,TL,1,100,2024-02-29_19-29-46-636663
1709252991.729496,2920290.000,29704,1,TL,1,100,2024-02-29_19-29-47-059721
1709252996.845300,2925406.000,30538,1,TL,1,100,2024-02-29_19-29-52-434928
1709252996.847300,2925408.000,30540,1,TL,1,100,2024-02-29_19-29-52-434998
1709253001.980104,2930541.000,31375,1,TL,1,100,2024-02-29_19-29-57-291167
1709253001.982104,2930543.000,31377,1,TL,1,100,2024-02-29_19-29-57-291259
1709253007.109908,2935671.000,32209,1,TL,1,100,2024-02-29_19-30-02-002888
1709253007.111908,2935673.000,32211,1,TL,1,100,2024-02-29_19-30-02-238286
1709253007.178905,2935740.000,32214,1,TL,1,100,2024-02-29_19-30-07-178515
1709253012.216713,2940778.000,33044,1,TL,1,100,2024-02-29_19-30-07-211154
1709253012.242712,2940804.000,33047,1,TL,1,100,2024-02-29_19-30-12-232118
1709253017.346517,2945908.000,33884,1,TL,1,100,2024-02-29_19-30-13-349544
1709253017.360516,2945922.000,33887,1,TL,1,100,2024-02-29_19-30-17-356995
1709253022.456322,2951018.000,34696,1,TL,1,100,2024-02-29_19-30-17-505534
1709253022.471321,2951033.000,34699,1,TL,1,100,2024-02-29_19-30-22-464821
1709253027.576126,2956138.000,35533,1,TL,1,100,2024-02-29_19-30-23-314010
1709253032.697930,2961260.000,36365,1,TL,1,100,2024-02-29_19-30-28-346841
1709253032.705930,2961268.000,36367,1,TL,1,100,2024-02-29_19-30-28-346912
1709253037.838734,2966401.000,37200,1,TL,1,100,2024-02-29_19-30-33-493060
1709253037.841734,2966404.000,37202,1,TL,1,100,2024-02-29_19-30-33-493161
1709253042.945539,2971508.000,38013,1,TL,1,100,2024-02-29_19-30-38-330965
1709253042.948539,2971511.000,38015,1,TL,1,100,2024-02-29_19-30-38-331059
1709253048.079343,2976642.000,38851,1,TL,1,100,2024-02-29_19-30-43-159658
1709253048.082343,2976645.000,38853,1,TL,1,100,2024-02-29_19-30-43-160012
1709253048.100342,2976663.000,38856,1,TL,1,100,2024-02-29_19-30-48-096957
1709253053.213147,2981776.000,39694,1,TL,1,100,2024-02-29_19-30-48-235492
1709253058.320951,2986884.000,40513,1,TL,1,100,2024-02-29_19-30-53-462748
1709253058.327951,2986891.000,40515,1,TL,1,100,2024-02-29_19-30-53-462816
1709253058.356950,2986920.000,40518,1,TL,1,100,2024-02-29_19-30-58-356657
