RD,TS_received,TS_sent,AK,RoundTrip,
2823114,2828224,2024-02-29_19-28-14-793387,2828226,5110,
2828231,2833349,2024-02-29_19-28-20-371611,2833351,5118,
2833358,2838477,2024-02-29_19-28-25-341254,2838479,5119,
2838483,2838523,2024-02-29_19-28-29-961991,2838525,40,
2843585,2848693,2024-02-29_19-28-35-289370,2848694,5108,
2848697,2848729,2024-02-29_19-28-40-166499,2848730,32,
2853804,2853830,2024-02-29_19-28-45-257907,2853835,26,
2858915,2858924,2024-02-29_19-28-50-361340,2858928,9,
2864040,2864116,2024-02-29_19-28-55-529394,2864118,76,
2869148,2869182,2024-02-29_19-29-00-616693,2869183,34,
2874259,2879373,2024-02-29_19-29-06-288389,2879374,5114,
2879381,2884481,2024-02-29_19-29-11-306880,2884486,5100,
2884491,2889619,2024-02-29_19-29-16-285055,2889620,5128,
2889623,2894739,2024-02-29_19-29-21-366552,2894740,5116,
2894744,2894821,2024-02-29_19-29-26-256604,2894823,77,
2899848,2904966,2024-02-29_19-29-31-430598,2904967,5118,
2904970,2905012,2024-02-29_19-29-36-415041,2905017,42,
2910077,2915182,2024-02-29_19-29-42-737549,2915183,5105,
2915190,2915204,2024-02-29_19-29-46-636663,2915206,14,
2920295,2925406,2024-02-29_19-29-52-434928,2925407,5111,
2925410,2930541,2024-02-29_19-29-57-291167,2930542,5131,
2930549,2935671,2024-02-29_19-30-02-002888,2935672,5122,
2935675,2935740,2024-02-29_19-30-07-178515,2935742,65,
2940780,2940804,2024-02-29_19-30-12-232118,2940805,24,
2945911,2945922,2024-02-29_19-30-17-356995,2945923,11,
2951020,2951033,2024-02-29_19-30-22-464821,2951034,13,
2956140,2961260,2024-02-29_19-30-28-346841,2961266,5120,
2961270,2966401,2024-02-29_19-30-33-493060,2966403,5131,
2966406,2971508,2024-02-29_19-30-38-330965,2971510,5102,
2971517,2976642,2024-02-29_19-30-43-159658,2976644,5125,
2976650,2976663,2024-02-29_19-30-48-096957,2976664,13,
2981781,2986884,2024-02-29_19-30-53-462748,2986889,5103,
2986901,2986920,2024-02-29_19-30-58-356657,2986921,19,
2992028,2992050,2024-02-29_19-31-03-482329,2992051,22,
2997163,
