LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1709252674.385023,2602944.000,43973,2,AK,1,100,43255
1709252674.385023,2602944.000,43973,2,AK,1,100,RD
1709252674.396023,2602955.000,43976,2,AK,1,100,43974
1709252674.407023,2602966.000,43976,2,AK,1,100,RD
1709252676.950089,2605509.000,44788,2,AK,1,100,43974
1709252679.493156,2608052.000,44788,2,AK,1,100,RD
1709252682.047223,2610606.000,45600,2,AK,1,100,44789
1709252684.601289,2613160.000,45600,2,AK,1,100,RD
1709252684.604290,2613163.000,45602,2,AK,1,100,44789
1709252684.607290,2613166.000,45602,2,AK,1,100,RD
1709252687.160856,2615719.500,46365,2,AK,1,100,45603
1709252689.714423,2618273.000,46365,2,AK,1,100,RD
1709252689.715923,2618274.500,46367,2,AK,1,100,45603
1709252689.717423,2618276.000,46367,2,AK,1,100,RD
1709252692.269990,2620828.500,47180,2,AK,1,100,46368
1709252694.822556,2623381.000,47180,2,AK,1,100,RD
1709252694.823556,2623382.000,47182,2,AK,1,100,46368
1709252694.824556,2623383.000,47182,2,AK,1,100,RD
1709252697.389123,2625947.500,48003,2,AK,1,100,47183
1709252699.953690,2628512.000,48003,2,AK,1,100,RD
1709252699.955690,2628514.000,48005,2,AK,1,100,47183
1709252699.957690,2628516.000,48005,2,AK,1,100,RD
1709252702.519257,2631077.500,48831,2,AK,1,100,48006
1709252705.080824,2633639.000,48831,2,AK,1,100,RD
1709252705.083824,2633642.000,48833,2,AK,1,100,48006
1709252705.086824,2633645.000,48833,2,AK,1,100,RD
1709252707.639391,2636197.500,49642,2,AK,1,100,48834
1709252710.191958,2638750.000,49642,2,AK,1,100,RD
1709252710.193458,2638751.500,49644,2,AK,1,100,48834
1709252710.194958,2638753.000,49644,2,AK,1,100,RD
1709252712.754525,2641312.500,50465,2,AK,1,100,49645
1709252715.314091,2643872.000,50465,2,AK,1,100,RD
1709252715.315592,2643873.500,50467,2,AK,1,100,49645
1709252715.317091,2643875.000,50467,2,AK,1,100,RD
1709252715.345092,2643903.000,50470,2,AK,1,100,50468
1709252715.373093,2643931.000,50470,2,AK,1,100,RD
1709252717.912159,2646470.000,51291,2,AK,1,100,50468
1709252720.451226,2649009.000,51291,2,AK,1,100,RD
1709252720.461726,2649019.500,51294,2,AK,1,100,51292
1709252720.472226,2649030.000,51294,2,AK,1,100,RD
1709252723.026293,2651584.000,52118,2,AK,1,100,51292
1709252725.580360,2654138.000,52118,2,AK,1,100,RD
1709252728.145427,2656703.000,52946,2,AK,1,100,52119
1709252730.710494,2659268.000,52946,2,AK,1,100,RD
1709252730.711494,2659269.000,52948,2,AK,1,100,52119
1709252730.712494,2659270.000,52948,2,AK,1,100,RD
1709252733.272061,2661829.500,53772,2,AK,1,100,52949
1709252735.831627,2664389.000,53772,2,AK,1,100,RD
1709252735.835127,2664392.500,53774,2,AK,1,100,52949
1709252735.838628,2664396.000,53774,2,AK,1,100,RD
1709252738.388694,2666946.000,54582,2,AK,1,100,53775
1709252740.938761,2669496.000,54582,2,AK,1,100,RD
1709252740.940761,2669498.000,54584,2,AK,1,100,53775
1709252740.942761,2669500.000,54584,2,AK,1,100,RD
1709252740.972762,2669530.000,54587,2,AK,1,100,54585
1709252741.002762,2669560.000,54587,2,AK,1,100,RD
1709252743.530828,2672088.000,55409,2,AK,1,100,54585
1709252746.058894,2674616.000,55409,2,AK,1,100,RD
1709252748.618961,2677176.000,56235,2,AK,1,100,55410
1709252751.179028,2679736.000,56235,2,AK,1,100,RD
1709252751.180028,2679737.000,56237,2,AK,1,100,55410
1709252751.181028,2679738.000,56237,2,AK,1,100,RD
1709252753.738595,2682295.500,57068,2,AK,1,100,56238
1709252756.296162,2684853.000,57068,2,AK,1,100,RD
1709252756.297662,2684854.500,57070,2,AK,1,100,56238
1709252756.299162,2684856.000,57070,2,AK,1,100,RD
1709252758.869729,2687426.500,57896,2,AK,1,100,57071
1709252761.440296,2689997.000,57896,2,AK,1,100,RD
1709252761.441296,2689998.000,57898,2,AK,1,100,57071
1709252761.442296,2689999.000,57898,2,AK,1,100,RD
1709252761.466297,2690023.000,57901,2,AK,1,100,57899
1709252761.490298,2690047.000,57901,2,AK,1,100,RD
1709252764.027864,2692584.500,58724,2,AK,1,100,57899
1709252766.565430,2695122.000,58724,2,AK,1,100,RD
1709252769.126497,2697683.000,59549,2,AK,1,100,58725
1709252771.687564,2700244.000,59549,2,AK,1,100,RD
1709252771.691064,2700247.500,59551,2,AK,1,100,58725
1709252771.694564,2700251.000,59551,2,AK,1,100,RD
1709252771.708564,2700265.000,59554,2,AK,1,100,59552
1709252771.722565,2700279.000,59554,2,AK,1,100,RD
1709252774.259131,2702815.500,60365,2,AK,1,100,59552
1709252776.795697,2705352.000,60365,2,AK,1,100,RD
1709252779.354764,2707911.000,61194,2,AK,1,100,60366
1709252781.913831,2710470.000,61194,2,AK,1,100,RD
1709252781.916331,2710472.500,61196,2,AK,1,100,60366
1709252781.918831,2710475.000,61196,2,AK,1,100,RD
1709252784.480898,2713037.000,62025,2,AK,1,100,61197
1709252787.042965,2715599.000,62025,2,AK,1,100,RD
1709252787.044465,2715600.500,62027,2,AK,1,100,61197
