LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1709252672.579975,2601139,43689,1,BI,1,100,2120
1709252680.926193,2609485,45005,1,BI,1,100,8320
1709252684.059275,2612618,45513,1,BI,1,100,3120
1709252684.899297,2613458,45639,1,BI,1,100,840
1709252692.125486,2620684,46746,1,BI,1,100,7200
1709252692.725502,2621284,46846,1,BI,1,100,600
1709252701.951742,2630510,48319,1,BI,1,100,9200
1709252707.537889,2636096,49212,1,BI,1,100,5560
1709252723.869315,2652427,51834,1,BI,1,100,16280
1709252725.029345,2653587,52019,1,BI,1,100,1160
1709252727.202402,2655760,52366,1,BI,1,100,2160
1709252728.762443,2657320,52629,1,BI,1,100,1560
1709252729.362458,2657920,52731,1,BI,1,100,600
1709252733.695572,2662253,53424,1,BI,1,100,4320
1709252737.068660,2665626,53956,1,BI,1,100,3360
1709252741.001762,2669559,54588,1,BI,1,100,3920
1709252746.414904,2674972,55463,1,BI,1,100,5400
1709252748.347954,2676905,55773,1,BI,1,100,1920
1709252753.281083,2681838,56567,1,BI,1,100,4920
1709252753.721095,2682278,56634,1,BI,1,100,440
1709252754.601118,2683158,56786,1,BI,1,100,880
1709252755.281135,2683838,56901,1,BI,1,100,680
1709252759.587248,2688144,57598,1,BI,1,100,4280
1709252761.027285,2689584,57828,1,BI,1,100,1440
1709252763.627353,2692184,58246,1,BI,1,100,2600
1709252766.960440,2695517,58775,1,BI,1,100,3320
1709252770.932544,2699489,59417,1,BI,1,100,3960
1709252772.945597,2701502,59754,1,BI,1,100,2000
1709252774.945649,2703502,60067,1,BI,1,100,2000
1709252776.959702,2705516,60384,1,BI,1,100,2000
1709252777.518716,2706075,60483,1,BI,1,100,560
1709252781.051808,2709608,61042,1,BI,1,100,3520
1709252781.531821,2710088,61126,1,BI,1,100,480
1709252782.571848,2711128,61298,1,BI,1,100,1040
1709252784.264892,2712821,61561,1,BI,1,100,1680
1709252785.864934,2714421,61826,1,BI,1,100,1600
1709252786.504951,2715061,61943,1,BI,1,100,640
1709252789.158020,2717714,62358,1,BI,1,100,2640
1709252789.758036,2718314,62461,1,BI,1,100,600
1709252791.078070,2719634,62672,1,BI,1,100,1320
1709252793.731140,2722287,63107,1,BI,1,100,2640
1709252798.864274,2727420,63932,1,BI,1,100,5120
1709252802.237362,2730793,64475,1,BI,1,100,3360
1709252802.757375,2731313,64551,1,BI,1,100,520
1709252804.690426,2733246,64864,1,BI,1,100,1920
1709252806.210465,2734766,65113,1,BI,1,100,1520
1709252807.570501,2736126,65347,1,BI,1,100,1360
1709252809.463551,2738019,111,1,BI,1,100,1880
1709252810.183569,2738739,226,1,BI,1,100,720
1709252810.983590,2739539,343,1,BI,1,100,800
1709252812.143620,2740699,542,1,BI,1,100,1160
1709252814.436680,2742992,907,1,BI,1,100,2280
1709252814.916693,2743472,974,1,BI,1,100,480
1709252815.756715,2744312,1124,1,BI,1,100,840
1709252816.515735,2745071,1239,1,BI,1,100,760
1709252818.569788,2747125,1574,1,BI,1,100,2040
1709252820.408836,2748964,1873,1,BI,1,100,1840
1709252821.182857,2749738,1989,1,BI,1,100,760
1709252823.142908,2751698,2306,1,BI,1,100,1960
1709252824.461942,2753017,2522,1,BI,1,100,1320
1709252825.235962,2753791,2640,1,BI,1,100,760
1709252826.194988,2754750,2804,1,BI,1,100,960
1709252826.715001,2755270,2888,1,BI,1,100,520
1709252827.875031,2756430,3070,1,BI,1,100,1160
1709252828.915059,2757470,3242,1,BI,1,100,1040
1709252831.088115,2759643,3593,1,BI,1,100,2160
1709252831.648130,2760203,3691,1,BI,1,100,560
1709252833.128169,2761683,3925,1,BI,1,100,1480
1709252833.861188,2762416,4048,1,BI,1,100,720
1709252834.382201,2762937,4155,1,BI,1,100,520
1709252835.261224,2763816,4289,1,BI,1,100,880
1709252835.861240,2764416,4390,1,BI,1,100,600
1709252836.541258,2765096,4507,1,BI,1,100,680
1709252837.261276,2765816,4623,1,BI,1,100,720
1709252837.994296,2766549,4738,1,BI,1,100,720
1709252840.714367,2769269,5173,1,BI,1,100,2720
1709252841.474386,2770029,5306,1,BI,1,100,760
1709252843.567441,2772122,5647,1,BI,1,100,2080
1709252844.247459,2772802,5763,1,BI,1,100,680
1709252845.047480,2773602,5880,1,BI,1,100,800
1709252845.687497,2774242,5981,1,BI,1,100,640
1709252846.100507,2774655,6049,1,BI,1,100,400
1709252847.420542,2775975,6266,1,BI,1,100,1320
1709252848.180562,2776735,6400,1,BI,1,100,760
1709252848.860579,2777415,6504,1,BI,1,100,680
1709252850.233615,2778788,6726,1,BI,1,100,1360
1709252850.833631,2779388,6829,1,BI,1,100,600
1709252851.513649,2780068,6933,1,BI,1,100,680
1709252852.273669,2780828,7069,1,BI,1,100,760
