LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1709252674.331021,2602890.000,43995,1,BV,1,100,3.59
1709252679.331152,2607890.000,44767,1,BV,1,100,3.59
1709252684.330282,2612889.000,45563,1,BV,1,100,3.59
1709252689.330413,2617889.000,46314,1,BV,1,100,3.59
1709252694.329543,2622888.000,47126,1,BV,1,100,3.59
1709252699.329674,2627888.000,47919,1,BV,1,100,3.59
1709252704.328804,2632887.000,48712,1,BV,1,100,3.59
1709252709.328935,2637887.000,49523,1,BV,1,100,3.59
1709252714.328066,2642886.000,50316,1,BV,1,100,3.59
1709252719.328196,2647886.000,51124,1,BV,1,100,3.59
1709252724.327327,2652885.000,51935,1,BV,1,100,3.59
1709252729.327457,2657885.000,52729,1,BV,1,100,3.59
1709252734.326588,2662884.000,53542,1,BV,1,100,3.59
1709252739.326719,2667884.000,54350,1,BV,1,100,3.59
1709252744.325849,2672883.000,55146,1,BV,1,100,3.59
1709252749.325980,2677883.000,55955,1,BV,1,100,3.59
1709252754.325110,2682882.000,56749,1,BV,1,100,3.59
1709252759.325241,2687882.000,57562,1,BV,1,100,3.59
1709252764.324372,2692881.000,58379,1,BV,1,100,3.59
1709252769.324502,2697881.000,59186,1,BV,1,100,3.59
1709252774.323633,2702880.000,59983,1,BV,1,100,3.59
1709252779.323763,2707880.000,60778,1,BV,1,100,3.59
1709252784.322894,2712879.000,61596,1,BV,1,100,3.58
1709252789.323025,2717879.000,62408,1,BV,1,100,3.59
1709252794.322155,2722878.000,63205,1,BV,1,100,3.59
1709252799.322286,2727878.000,64016,1,BV,1,100,3.58
1709252804.321416,2732877.000,64831,1,BV,1,100,3.59
1709252809.321547,2737877.000,108,1,BV,1,100,3.58
1709252814.320677,2742876.000,905,1,BV,1,100,3.58
1709252819.320808,2747876.000,1706,1,BV,1,100,3.59
1709252824.319938,2752875.000,2505,1,BV,1,100,3.58
1709252829.320069,2757875.000,3326,1,BV,1,100,3.58
1709252834.319200,2762874.000,4152,1,BV,1,100,3.59
1709252839.319330,2767874.000,4958,1,BV,1,100,3.58
1709252844.318461,2772873.000,5782,1,BV,1,100,3.58
1709252849.318591,2777873.000,6590,1,BV,1,100,3.58
