LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1709252672.231966,2600791.000,43627,2,EA,1,100,0.307904
1709252672.231966,2600791.000,43627,2,EA,1,100,0.308149
1709252672.298968,2600858.000,43644,1,EA,1,100,0.307999
1709252672.365470,2600924.500,43659,2,EA,1,100,0.308162
1709252672.431972,2600991.000,43659,2,EA,1,100,0.308162
1709252672.498973,2601058.000,43676,1,EA,1,100,0.308353
1709252672.565475,2601124.500,43694,2,EA,1,100,0.308925
1709252672.631977,2601191.000,43694,2,EA,1,100,0.309198
1709252672.698978,2601258.000,43712,1,EA,1,100,0.309280
1709252672.765480,2601324.500,43728,2,EA,1,100,0.309623
1709252672.831982,2601391.000,43728,2,EA,1,100,0.309308
1709252672.898484,2601457.500,43745,2,EA,1,100,0.309349
1709252672.964985,2601524.000,43745,2,EA,1,100,0.309376
1709252673.031987,2601591.000,43762,1,EA,1,100,0.309541
1709252673.098489,2601657.500,43779,2,EA,1,100,0.309417
1709252673.164991,2601724.000,43779,2,EA,1,100,0.309568
1709252673.231992,2601791.000,43795,1,EA,1,100,0.309788
1709252673.298494,2601857.500,43812,2,EA,1,100,0.309953
1709252673.364996,2601924.000,43812,2,EA,1,100,0.309966
1709252673.431998,2601991.000,43827,2,EA,1,100,0.310049
1709252673.498999,2602058.000,43827,2,EA,1,100,0.310324
1709252673.565001,2602124.000,43844,1,EA,1,100,0.310462
1709252673.632003,2602191.000,43861,2,EA,1,100,0.310738
1709252673.699005,2602258.000,43861,2,EA,1,100,0.310946
1709252673.765006,2602324.000,43878,1,EA,1,100,0.311555
1709252673.832008,2602391.000,43892,2,EA,1,100,0.312685
1709252673.899010,2602458.000,43892,2,EA,1,100,0.313203
1709252673.965012,2602524.000,43909,1,EA,1,100,0.312881
1709252674.032013,2602591.000,43928,2,EA,1,100,0.312531
1709252674.099015,2602658.000,43928,2,EA,1,100,0.312797
1709252674.165017,2602724.000,43945,1,EA,1,100,0.312797
1709252674.232018,2602791.000,43959,2,EA,1,100,0.313077
1709252674.299020,2602858.000,43959,2,EA,1,100,0.313217
1709252674.365522,2602924.500,43982,2,EA,1,100,0.313498
1709252674.432024,2602991.000,43982,2,EA,1,100,0.313864
1709252674.498525,2603057.500,44002,2,EA,1,100,0.313935
1709252674.565027,2603124.000,44002,2,EA,1,100,0.313892
1709252674.632029,2603191.000,44018,1,EA,1,100,0.313921
1709252674.698531,2603257.500,44035,2,EA,1,100,0.313836
1709252674.765033,2603324.000,44035,2,EA,1,100,0.313667
1709252674.832034,2603391.000,44052,2,EA,1,100,0.313597
1709252674.899036,2603458.000,44052,2,EA,1,100,0.313442
1709252674.965038,2603524.000,44068,1,EA,1,100,0.313007
1709252675.032039,2603591.000,44084,2,EA,1,100,0.312769
1709252675.099041,2603658.000,44084,2,EA,1,100,0.312587
1709252675.165043,2603724.000,44100,1,EA,1,100,0.312056
1709252675.232045,2603791.000,44117,2,EA,1,100,0.311820
1709252675.299047,2603858.000,44117,2,EA,1,100,0.312182
1709252675.365548,2603924.500,44134,2,EA,1,100,0.311542
1709252675.432050,2603991.000,44134,2,EA,1,100,0.311417
1709252675.499052,2604058.000,44151,1,EA,1,100,0.311375
1709252675.565553,2604124.500,44165,2,EA,1,100,0.311472
