LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1709252672.231966,2600791.000,43628,2,EL,1,100,-15091.599609
1709252672.231966,2600791.000,43628,2,EL,1,100,-15095.200195
1709252672.298968,2600858.000,43645,1,EL,1,100,-15093.000000
1709252672.365470,2600924.500,43660,2,EL,1,100,-15095.400391
1709252672.431972,2600991.000,43660,2,EL,1,100,-15095.400391
1709252672.498973,2601058.000,43677,1,EL,1,100,-15098.200195
1709252672.565475,2601124.500,43695,2,EL,1,100,-15106.599609
1709252672.631977,2601191.000,43695,2,EL,1,100,-15110.599609
1709252672.698978,2601258.000,43713,1,EL,1,100,-15111.799805
1709252672.765480,2601324.500,43729,2,EL,1,100,-15116.799805
1709252672.831982,2601391.000,43729,2,EL,1,100,-15112.200195
1709252672.898484,2601457.500,43746,2,EL,1,100,-15112.799805
1709252672.964985,2601524.000,43746,2,EL,1,100,-15113.200195
1709252673.031987,2601591.000,43763,1,EL,1,100,-15115.599609
1709252673.098489,2601657.500,43780,2,EL,1,100,-15113.799805
1709252673.164991,2601724.000,43780,2,EL,1,100,-15116.000000
1709252673.231992,2601791.000,43796,1,EL,1,100,-15119.200195
1709252673.298494,2601857.500,43813,2,EL,1,100,-15121.599609
1709252673.364996,2601924.000,43813,2,EL,1,100,-15121.799805
1709252673.431998,2601991.000,43828,2,EL,1,100,-15123.000000
1709252673.498999,2602058.000,43828,2,EL,1,100,-15127.000000
1709252673.565001,2602124.000,43845,1,EL,1,100,-15129.000000
1709252673.632003,2602191.000,43862,2,EL,1,100,-15133.000000
1709252673.699005,2602258.000,43862,2,EL,1,100,-15136.000000
1709252673.765006,2602324.000,43879,1,EL,1,100,-15144.799805
1709252673.832008,2602391.000,43893,2,EL,1,100,-15161.000000
1709252673.899010,2602458.000,43893,2,EL,1,100,-15168.400391
1709252673.965012,2602524.000,43910,1,EL,1,100,-15163.799805
1709252674.032013,2602591.000,43929,2,EL,1,100,-15158.799805
1709252674.099015,2602658.000,43929,2,EL,1,100,-15162.599609
1709252674.165017,2602724.000,43946,1,EL,1,100,-15162.599609
1709252674.232018,2602791.000,43960,2,EL,1,100,-15166.599609
1709252674.299020,2602858.000,43960,2,EL,1,100,-15168.599609
1709252674.365522,2602924.500,43983,2,EL,1,100,-15172.599609
1709252674.432024,2602991.000,43983,2,EL,1,100,-15177.799805
1709252674.498525,2603057.500,44003,2,EL,1,100,-15178.799805
1709252674.565027,2603124.000,44003,2,EL,1,100,-15178.200195
1709252674.632029,2603191.000,44019,1,EL,1,100,-15178.599609
1709252674.698531,2603257.500,44036,2,EL,1,100,-15177.400391
1709252674.765033,2603324.000,44036,2,EL,1,100,-15175.000000
1709252674.832034,2603391.000,44053,2,EL,1,100,-15174.000000
1709252674.899036,2603458.000,44053,2,EL,1,100,-15171.799805
1709252674.965038,2603524.000,44069,1,EL,1,100,-15165.599609
1709252675.032039,2603591.000,44085,2,EL,1,100,-15162.200195
1709252675.099041,2603658.000,44085,2,EL,1,100,-15159.599609
1709252675.165043,2603724.000,44101,1,EL,1,100,-15152.000000
1709252675.232045,2603791.000,44118,2,EL,1,100,-15148.599609
1709252675.299047,2603858.000,44118,2,EL,1,100,-15153.799805
1709252675.365548,2603924.500,44135,2,EL,1,100,-15144.599609
1709252675.432050,2603991.000,44135,2,EL,1,100,-15142.799805
1709252675.499052,2604058.000,44152,1,EL,1,100,-15142.200195
1709252675.565553,2604124.500,44166,2,EL,1,100,-15143.599609
1709252675.632055,2604191.000,44166,2,EL,1,100,-15137.400391
1709252675.699057,2604258.000,44184,1,EL,1,100,-15134.000000
1709252675.765558,2604324.500,44200,2,EL,1,100,-15133.799805
1709252675.832060,2604391.000,44200,2,EL,1,100,-15133.000000
1709252675.898062,2604457.000,44217,1,EL,1,100,-15129.599609
1709252675.965064,2604524.000,44232,2,EL,1,100,-15125.000000
1709252676.032066,2604591.000,44232,2,EL,1,100,-15118.599609
1709252676.098067,2604657.000,44249,1,EL,1,100,-15115.000000
1709252676.165069,2604724.000,44265,2,EL,1,100,-15110.599609
1709252676.232071,2604791.000,44265,2,EL,1,100,-15111.200195
1709252676.298073,2604857.000,44282,1,EL,1,100,-15113.000000
1709252676.365074,2604924.000,44297,2,EL,1,100,-15113.799805
1709252676.432076,2604991.000,44297,2,EL,1,100,-15112.799805
1709252676.498078,2605057.000,44314,1,EL,1,100,-15112.799805
1709252676.565079,2605124.000,44330,2,EL,1,100,-15113.200195
