LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1709252672.130964,2600690.000,43614,4,EM,1,100,RS
1709252672.130964,2600690.000,43614,4,EM,1,100,RB
1709252672.130964,2600690.000,43614,4,EM,1,100,2024-02-29_19-24-30-698004.csv
1709252672.130964,2600690.000,43614,4,EM,1,100,PS
1709252672.181215,2600740.250,43640,4,EM,1,100,RS
1709252672.231466,2600790.500,43640,4,EM,1,100,RB
1709252672.281718,2600840.750,43640,4,EM,1,100,2024-02-29_19-24-30-698004.csv
1709252672.331969,2600891.000,43640,4,EM,1,100,PS
1709252672.382220,2600941.250,43672,4,EM,1,100,RS
1709252672.432472,2600991.500,43672,4,EM,1,100,RB
1709252672.482723,2601041.750,43672,4,EM,1,100,2024-02-29_19-24-30-698004.csv
1709252672.532974,2601092.000,43672,4,EM,1,100,PS
1709252672.583225,2601142.250,43707,4,EM,1,100,RS
1709252672.633477,2601192.500,43707,4,EM,1,100,RB
1709252672.683728,2601242.750,43707,4,EM,1,100,2024-02-29_19-24-30-698004.csv
1709252672.733979,2601293.000,43707,4,EM,1,100,PS
1709252672.796981,2601356.000,43741,4,EM,1,100,RS
1709252672.859983,2601419.000,43741,4,EM,1,100,RB
1709252672.922984,2601482.000,43741,4,EM,1,100,2024-02-29_19-24-30-698004.csv
1709252672.985986,2601545.000,43741,4,EM,1,100,PS
1709252673.036237,2601595.250,43775,4,EM,1,100,RS
1709252673.086489,2601645.500,43775,4,EM,1,100,RB
1709252673.136740,2601695.750,43775,4,EM,1,100,2024-02-29_19-24-30-698004.csv
1709252673.186991,2601746.000,43775,4,EM,1,100,PS
1709252673.237242,2601796.250,43807,4,EM,1,100,RS
1709252673.287494,2601846.500,43807,4,EM,1,100,RB
1709252673.337745,2601896.750,43807,4,EM,1,100,2024-02-29_19-24-30-698004.csv
1709252673.387996,2601947.000,43807,4,EM,1,100,PS
1709252673.438248,2601997.250,43840,4,EM,1,100,RS
1709252673.488499,2602047.500,43840,4,EM,1,100,RB
1709252673.538750,2602097.750,43840,4,EM,1,100,2024-02-29_19-24-30-698004.csv
1709252673.589002,2602148.000,43840,4,EM,1,100,PS
1709252673.639253,2602198.250,43874,4,EM,1,100,RS
1709252673.689504,2602248.500,43874,4,EM,1,100,RB
1709252673.739756,2602298.750,43874,4,EM,1,100,2024-02-29_19-24-30-698004.csv
1709252673.790007,2602349.000,43874,4,EM,1,100,PS
1709252673.841258,2602400.250,43905,4,EM,1,100,RS
1709252673.892510,2602451.500,43905,4,EM,1,100,RB
1709252673.943761,2602502.750,43905,4,EM,1,100,2024-02-29_19-24-30-698004.csv
1709252673.995012,2602554.000,43905,4,EM,1,100,PS
