LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1709252672.125963,2600685.000,43618,1,GX,1,100,-0.580
1709252672.165965,2600725.000,43634,2,GX,1,100,-0.153
1709252672.205966,2600765.000,43634,2,GX,1,100,-1.251
1709252672.245967,2600805.000,43649,3,GX,1,100,-1.343
1709252672.285968,2600845.000,43649,3,GX,1,100,-1.404
1709252672.325969,2600885.000,43649,3,GX,1,100,-2.014
1709252672.365970,2600925.000,43666,2,GX,1,100,-0.763
1709252672.405971,2600965.000,43666,2,GX,1,100,-0.854
1709252672.445972,2601005.000,43683,3,GX,1,100,0.397
1709252672.485973,2601045.000,43683,3,GX,1,100,0.092
1709252672.525974,2601085.000,43683,3,GX,1,100,-0.641
1709252672.565975,2601125.000,43701,2,GX,1,100,-0.732
1709252672.605976,2601165.000,43701,2,GX,1,100,-0.397
1709252672.645977,2601205.000,43717,3,GX,1,100,-0.427
1709252672.685978,2601245.000,43717,3,GX,1,100,-0.488
1709252672.725979,2601285.000,43717,3,GX,1,100,-0.366
1709252672.765980,2601325.000,43735,3,GX,1,100,0.275
1709252672.805981,2601365.000,43735,3,GX,1,100,0.275
1709252672.845982,2601405.000,43735,3,GX,1,100,-0.122
1709252672.885983,2601445.000,43752,3,GX,1,100,-0.061
1709252672.925984,2601485.000,43752,3,GX,1,100,0.183
1709252672.965986,2601525.000,43752,3,GX,1,100,0.610
1709252673.005986,2601565.000,43769,3,GX,1,100,-0.366
1709252673.045988,2601605.000,43769,3,GX,1,100,-0.824
1709252673.085989,2601645.000,43769,3,GX,1,100,0.031
1709252673.125990,2601685.000,43786,2,GX,1,100,0.092
1709252673.165991,2601725.000,43786,2,GX,1,100,-0.031
1709252673.205992,2601765.000,43801,3,GX,1,100,-0.458
1709252673.245993,2601805.000,43801,3,GX,1,100,-0.244
1709252673.285994,2601845.000,43801,3,GX,1,100,-0.214
1709252673.325995,2601885.000,43818,2,GX,1,100,-0.458
1709252673.365996,2601925.000,43818,2,GX,1,100,-1.282
1709252673.405997,2601965.000,43834,3,GX,1,100,-0.580
1709252673.445998,2602005.000,43834,3,GX,1,100,0.000
1709252673.485999,2602045.000,43834,3,GX,1,100,0.183
1709252673.526000,2602085.000,43851,2,GX,1,100,-0.610
1709252673.566001,2602125.000,43851,2,GX,1,100,-0.671
1709252673.606002,2602165.000,43868,3,GX,1,100,0.031
1709252673.646003,2602205.000,43868,3,GX,1,100,-0.275
1709252673.686004,2602245.000,43868,3,GX,1,100,-0.702
1709252673.721672,2602280.667,43883,3,GX,1,100,-0.641
1709252673.757339,2602316.333,43883,3,GX,1,100,-0.153
1709252673.793007,2602352.000,43883,3,GX,1,100,-0.214
1709252673.833008,2602392.000,43899,2,GX,1,100,-0.153
1709252673.873009,2602432.000,43899,2,GX,1,100,-0.671
1709252673.913010,2602472.000,43916,3,GX,1,100,-0.885
1709252673.953011,2602512.000,43916,3,GX,1,100,-0.580
1709252673.993012,2602552.000,43916,3,GX,1,100,0.488
1709252674.033013,2602592.000,43935,2,GX,1,100,0.122
1709252674.073014,2602632.000,43935,2,GX,1,100,-1.495
1709252674.113015,2602672.000,43950,3,GX,1,100,-0.977
1709252674.153017,2602712.000,43950,3,GX,1,100,-0.244
1709252674.193017,2602752.000,43950,3,GX,1,100,0.183
1709252674.233019,2602792.000,43966,3,GX,1,100,-0.183
1709252674.273020,2602832.000,43966,3,GX,1,100,-0.488
1709252674.313021,2602872.000,43966,3,GX,1,100,-0.366
1709252674.353022,2602912.000,43989,4,GX,1,100,-0.336
1709252674.393023,2602952.000,43989,4,GX,1,100,-0.183
1709252674.433024,2602992.000,43989,4,GX,1,100,0.061
1709252674.473025,2603032.000,43989,4,GX,1,100,-0.183
1709252674.513026,2603072.000,44008,3,GX,1,100,-0.549
1709252674.553027,2603112.000,44008,3,GX,1,100,-0.702
1709252674.593028,2603152.000,44008,3,GX,1,100,-0.488
1709252674.633529,2603192.500,44025,2,GX,1,100,-0.763
1709252674.674030,2603233.000,44025,2,GX,1,100,-1.617
1709252674.713698,2603272.667,44042,3,GX,1,100,-1.434
1709252674.753366,2603312.333,44042,3,GX,1,100,-0.488
1709252674.793033,2603352.000,44042,3,GX,1,100,0.763
1709252674.833034,2603392.000,44059,2,GX,1,100,0.031
1709252674.873035,2603432.000,44059,2,GX,1,100,-0.488
1709252674.913036,2603472.000,44073,3,GX,1,100,-0.275
1709252674.953037,2603512.000,44073,3,GX,1,100,-0.031
1709252674.993038,2603552.000,44073,3,GX,1,100,-0.061
1709252675.033040,2603592.000,44091,2,GX,1,100,-0.153
1709252675.073040,2603632.000,44091,2,GX,1,100,-0.458
1709252675.113042,2603672.000,44107,3,GX,1,100,-0.458
1709252675.153043,2603712.000,44107,3,GX,1,100,-0.305
1709252675.193044,2603752.000,44107,3,GX,1,100,-0.427
1709252675.233045,2603792.000,44124,3,GX,1,100,-0.488
1709252675.273046,2603832.000,44124,3,GX,1,100,-0.427
1709252675.313047,2603872.000,44124,3,GX,1,100,-0.793
1709252675.353048,2603912.000,44141,3,GX,1,100,-0.580
1709252675.393049,2603952.000,44141,3,GX,1,100,-0.122
1709252675.433050,2603992.000,44141,3,GX,1,100,0.153
1709252675.473051,2604032.000,44156,2,GX,1,100,0.092
1709252675.513052,2604072.000,44156,2,GX,1,100,0.061
1709252675.553053,2604112.000,44172,3,GX,1,100,-0.092
1709252675.593054,2604152.000,44172,3,GX,1,100,0.092
1709252675.633055,2604192.000,44172,3,GX,1,100,0.214
1709252675.673056,2604232.000,44190,2,GX,1,100,-0.458
1709252675.713057,2604272.000,44190,2,GX,1,100,-0.092
1709252675.748391,2604307.333,44206,3,GX,1,100,-0.275
1709252675.783726,2604342.667,44206,3,GX,1,100,0.183
1709252675.819060,2604378.000,44206,3,GX,1,100,0.031
1709252675.859061,2604418.000,44221,3,GX,1,100,-0.824
1709252675.899062,2604458.000,44221,3,GX,1,100,-0.641
1709252675.939063,2604498.000,44221,3,GX,1,100,-0.214
1709252675.979064,2604538.000,44238,2,GX,1,100,0.000
1709252676.019065,2604578.000,44238,2,GX,1,100,-0.458
1709252676.059066,2604618.000,44255,3,GX,1,100,-0.854
1709252676.099067,2604658.000,44255,3,GX,1,100,-1.038
1709252676.139068,2604698.000,44255,3,GX,1,100,-0.763
1709252676.179069,2604738.000,44271,2,GX,1,100,-0.061
1709252676.219070,2604778.000,44271,2,GX,1,100,-0.458
1709252676.259072,2604818.000,44286,3,GX,1,100,-0.305
1709252676.299073,2604858.000,44286,3,GX,1,100,-0.519
1709252676.339074,2604898.000,44286,3,GX,1,100,-0.763
1709252676.379075,2604938.000,44303,2,GX,1,100,-1.648
1709252676.419076,2604978.000,44303,2,GX,1,100,-0.092
1709252676.459077,2605018.000,44320,3,GX,1,100,0.458
1709252676.499078,2605058.000,44320,3,GX,1,100,-0.183
1709252676.539079,2605098.000,44320,3,GX,1,100,-0.153
1709252676.579080,2605138.000,44336,2,GX,1,100,-0.641
1709252676.619081,2605178.000,44336,2,GX,1,100,0.214
1709252676.659082,2605218.000,44352,3,GX,1,100,-0.732
1709252676.699083,2605258.000,44352,3,GX,1,100,-0.732
1709252676.739084,2605298.000,44352,3,GX,1,100,-0.763
1709252676.779085,2605338.000,44368,3,GX,1,100,-0.244
1709252676.819086,2605378.000,44368,3,GX,1,100,0.427
1709252676.859087,2605418.000,44368,3,GX,1,100,0.427
1709252676.899088,2605458.000,44385,2,GX,1,100,-0.824
1709252676.939089,2605498.000,44385,2,GX,1,100,-1.862
1709252676.979090,2605538.000,44402,3,GX,1,100,-0.885
1709252677.019091,2605578.000,44402,3,GX,1,100,0.671
1709252677.059092,2605618.000,44402,3,GX,1,100,0.641
1709252677.099093,2605658.000,44418,2,GX,1,100,-0.854
1709252677.139094,2605698.000,44418,2,GX,1,100,-1.740
1709252677.179096,2605738.000,44433,3,GX,1,100,-1.770
1709252677.219097,2605778.000,44433,3,GX,1,100,0.854
1709252677.259098,2605818.000,44433,3,GX,1,100,0.336
1709252677.299099,2605858.000,44451,4,GX,1,100,-0.702
1709252677.339100,2605898.000,44451,4,GX,1,100,-2.258
1709252677.379101,2605938.000,44451,4,GX,1,100,-1.343
1709252677.419102,2605978.000,44451,4,GX,1,100,0.153
1709252677.459103,2606018.000,44467,2,GX,1,100,-0.061
1709252677.499104,2606058.000,44467,2,GX,1,100,0.793
1709252677.539105,2606098.000,44484,3,GX,1,100,-0.244
1709252677.579106,2606138.000,44484,3,GX,1,100,0.183
1709252677.619107,2606178.000,44484,3,GX,1,100,-0.305
1709252677.654775,2606213.667,44501,3,GX,1,100,0.153
1709252677.690442,2606249.333,44501,3,GX,1,100,-0.427
1709252677.726110,2606285.000,44501,3,GX,1,100,-0.580
1709252677.766111,2606325.000,44517,2,GX,1,100,-0.214
1709252677.806112,2606365.000,44517,2,GX,1,100,-0.183
1709252677.846113,2606405.000,44532,3,GX,1,100,-0.305
1709252677.886114,2606445.000,44532,3,GX,1,100,-0.763
1709252677.926115,2606485.000,44532,3,GX,1,100,-0.519
1709252677.966116,2606525.000,44550,2,GX,1,100,0.488
1709252678.006117,2606565.000,44550,2,GX,1,100,-0.031
1709252678.046118,2606605.000,44566,3,GX,1,100,-1.129
1709252678.086119,2606645.000,44566,3,GX,1,100,-0.824
1709252678.126120,2606685.000,44566,3,GX,1,100,0.153
1709252678.166121,2606725.000,44583,2,GX,1,100,0.122
1709252678.206122,2606765.000,44583,2,GX,1,100,-0.916
1709252678.246123,2606805.000,44597,3,GX,1,100,-0.916
1709252678.286124,2606845.000,44597,3,GX,1,100,0.122
1709252678.326125,2606885.000,44597,3,GX,1,100,-0.031
1709252678.366127,2606925.000,44615,2,GX,1,100,-0.092
1709252678.406127,2606965.000,44615,2,GX,1,100,-0.580
1709252678.446129,2607005.000,44631,3,GX,1,100,-0.549
