LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1709252672.579975,2601139,43690,1,HR,1,100,58
1709252680.926193,2609485,45006,1,HR,1,100,47
1709252684.059275,2612618,45514,1,HR,1,100,41
1709252684.899297,2613458,45640,1,HR,1,100,47
1709252692.125486,2620684,46747,1,HR,1,100,39
1709252692.725502,2621284,46847,1,HR,1,100,52
1709252701.951742,2630510,48320,1,HR,1,100,42
1709252707.537889,2636096,49213,1,HR,1,100,35
1709252723.869315,2652427,51835,1,HR,1,100,28
1709252725.029345,2653587,52020,1,HR,1,100,33
1709252727.202402,2655760,52367,1,HR,1,100,32
1709252728.762443,2657320,52630,1,HR,1,100,34
1709252729.362458,2657920,52732,1,HR,1,100,48
1709252733.695572,2662253,53425,1,HR,1,100,41
1709252737.068660,2665626,53957,1,HR,1,100,36
1709252741.001762,2669559,54589,1,HR,1,100,31
1709252746.414904,2674972,55464,1,HR,1,100,27
1709252748.347954,2676905,55774,1,HR,1,100,28
1709252753.281083,2681838,56568,1,HR,1,100,24
1709252753.721095,2682278,56635,1,HR,1,100,49
1709252754.601118,2683158,56787,1,HR,1,100,53
1709252755.281135,2683838,56902,1,HR,1,100,61
1709252759.587248,2688144,57599,1,HR,1,100,51
1709252761.027285,2689584,57829,1,HR,1,100,49
1709252763.627353,2692184,58247,1,HR,1,100,43
1709252766.960440,2695517,58776,1,HR,1,100,37
1709252770.932544,2699489,59418,1,HR,1,100,32
1709252772.945597,2701502,59755,1,HR,1,100,32
1709252774.945649,2703502,60068,1,HR,1,100,32
1709252776.959702,2705516,60385,1,HR,1,100,31
1709252777.518716,2706075,60484,1,HR,1,100,48
1709252781.051808,2709608,61043,1,HR,1,100,41
1709252781.531821,2710088,61127,1,HR,1,100,60
1709252782.571848,2711128,61299,1,HR,1,100,59
1709252784.264892,2712821,61562,1,HR,1,100,54
1709252785.864934,2714421,61827,1,HR,1,100,50
1709252786.504951,2715061,61944,1,HR,1,100,60
1709252789.158020,2717714,62359,1,HR,1,100,52
1709252789.758036,2718314,62462,1,HR,1,100,62
1709252791.078070,2719634,62673,1,HR,1,100,59
1709252793.731140,2722287,63108,1,HR,1,100,51
1709252798.864274,2727420,63933,1,HR,1,100,42
1709252802.237362,2730793,64476,1,HR,1,100,37
1709252802.757375,2731313,64552,1,HR,1,100,54
1709252804.690426,2733246,64865,1,HR,1,100,49
1709252806.210465,2734766,65114,1,HR,1,100,47
1709252807.570501,2736126,65348,1,HR,1,100,46
1709252809.463551,2738019,112,1,HR,1,100,43
1709252810.183569,2738739,227,1,HR,1,100,52
1709252810.983590,2739539,344,1,HR,1,100,57
1709252812.143620,2740699,543,1,HR,1,100,56
1709252814.436680,2742992,908,1,HR,1,100,49
1709252814.916693,2743472,975,1,HR,1,100,66
1709252815.756715,2744312,1125,1,HR,1,100,67
1709252816.515735,2745071,1240,1,HR,1,100,70
1709252818.569788,2747125,1575,1,HR,1,100,61
1709252820.408836,2748964,1874,1,HR,1,100,55
1709252821.182857,2749738,1990,1,HR,1,100,60
1709252823.142908,2751698,2307,1,HR,1,100,53
1709252824.461942,2753017,2523,1,HR,1,100,52
1709252825.235962,2753791,2641,1,HR,1,100,58
1709252826.194988,2754750,2805,1,HR,1,100,59
1709252826.715001,2755270,2889,1,HR,1,100,71
1709252827.875031,2756430,3071,1,HR,1,100,67
1709252828.915059,2757470,3243,1,HR,1,100,65
1709252831.088115,2759643,3594,1,HR,1,100,57
1709252831.648130,2760203,3692,1,HR,1,100,68
1709252833.128169,2761683,3926,1,HR,1,100,62
1709252833.861188,2762416,4049,1,HR,1,100,67
1709252834.382201,2762937,4156,1,HR,1,100,77
1709252835.261224,2763816,4290,1,HR,1,100,75
1709252835.861240,2764416,4391,1,HR,1,100,81
1709252836.541258,2765096,4508,1,HR,1,100,82
1709252837.261276,2765816,4624,1,HR,1,100,83
1709252837.994296,2766549,4739,1,HR,1,100,83
1709252840.714367,2769269,5174,1,HR,1,100,69
1709252841.474386,2770029,5307,1,HR,1,100,71
1709252843.567441,2772122,5648,1,HR,1,100,62
1709252844.247459,2772802,5764,1,HR,1,100,68
1709252845.047480,2773602,5881,1,HR,1,100,69
1709252845.687497,2774242,5982,1,HR,1,100,75
1709252846.100507,2774655,6050,1,HR,1,100,92
1709252847.420542,2775975,6267,1,HR,1,100,81
1709252848.180562,2776735,6401,1,HR,1,100,81
1709252848.860579,2777415,6505,1,HR,1,100,82
1709252850.233615,2778788,6727,1,HR,1,100,74
1709252850.833631,2779388,6830,1,HR,1,100,80
1709252851.513649,2780068,6934,1,HR,1,100,82
1709252852.273669,2780828,7070,1,HR,1,100,81
