LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1709252672.219966,2600779.000,43626,3,PG,1,100,10827
1709252672.219966,2600779.000,43626,3,PG,1,100,10835
1709252672.219966,2600779.000,43626,3,PG,1,100,10857
1709252672.259967,2600819.000,43643,2,PG,1,100,10863
1709252672.299968,2600859.000,43643,2,PG,1,100,10853
1709252672.339969,2600899.000,43658,3,PG,1,100,10855
1709252672.379970,2600939.000,43658,3,PG,1,100,10859
1709252672.419971,2600979.000,43658,3,PG,1,100,10865
1709252672.459972,2601019.000,43675,2,PG,1,100,10859
1709252672.499973,2601059.000,43675,2,PG,1,100,10861
1709252672.539974,2601099.000,43693,3,PG,1,100,10878
1709252672.579975,2601139.000,43693,3,PG,1,100,10860
1709252672.619977,2601179.000,43693,3,PG,1,100,10876
1709252672.659977,2601219.000,43711,3,PG,1,100,10876
1709252672.699979,2601259.000,43711,3,PG,1,100,10868
1709252672.739980,2601299.000,43711,3,PG,1,100,10875
1709252672.779981,2601339.000,43727,2,PG,1,100,10883
1709252672.819982,2601379.000,43727,2,PG,1,100,10872
1709252672.859983,2601419.000,43744,4,PG,1,100,10871
1709252672.899984,2601459.000,43744,4,PG,1,100,10886
1709252672.939985,2601499.000,43744,4,PG,1,100,10868
1709252672.979986,2601539.000,43744,4,PG,1,100,10877
1709252673.019987,2601579.000,43761,2,PG,1,100,10899
1709252673.059988,2601619.000,43761,2,PG,1,100,10888
1709252673.104656,2601663.667,43778,3,PG,1,100,10882
1709252673.149324,2601708.333,43778,3,PG,1,100,10885
1709252673.193991,2601753.000,43778,3,PG,1,100,10902
1709252673.233492,2601792.500,43794,2,PG,1,100,10885
1709252673.272994,2601832.000,43794,2,PG,1,100,10883
1709252673.312994,2601872.000,43811,3,PG,1,100,10887
1709252673.352996,2601912.000,43811,3,PG,1,100,10884
1709252673.392997,2601952.000,43811,3,PG,1,100,10890
1709252673.432998,2601992.000,43826,2,PG,1,100,10881
1709252673.472999,2602032.000,43826,2,PG,1,100,10886
1709252673.513333,2602072.333,43843,3,PG,1,100,10878
1709252673.553668,2602112.667,43843,3,PG,1,100,10898
1709252673.594002,2602153.000,43843,3,PG,1,100,10894
1709252673.634003,2602193.000,43860,2,PG,1,100,10879
1709252673.674004,2602233.000,43860,2,PG,1,100,10892
1709252673.713672,2602272.667,43877,3,PG,1,100,10894
1709252673.753339,2602312.333,43877,3,PG,1,100,10874
1709252673.793007,2602352.000,43877,3,PG,1,100,10893
1709252673.833008,2602392.000,43891,2,PG,1,100,10900
1709252673.873009,2602432.000,43891,2,PG,1,100,10895
1709252673.913010,2602472.000,43908,3,PG,1,100,10893
1709252673.953011,2602512.000,43908,3,PG,1,100,10897
1709252673.993012,2602552.000,43908,3,PG,1,100,10894
1709252674.033013,2602592.000,43927,2,PG,1,100,10898
1709252674.073014,2602632.000,43927,2,PG,1,100,10899
1709252674.113015,2602672.000,43944,3,PG,1,100,10890
1709252674.153017,2602712.000,43944,3,PG,1,100,10887
1709252674.193017,2602752.000,43944,3,PG,1,100,10886
1709252674.233019,2602792.000,43958,3,PG,1,100,10899
1709252674.273020,2602832.000,43958,3,PG,1,100,10899
1709252674.313021,2602872.000,43958,3,PG,1,100,10889
1709252674.353022,2602912.000,43981,4,PG,1,100,10907
1709252674.393023,2602952.000,43981,4,PG,1,100,10910
1709252674.433024,2602992.000,43981,4,PG,1,100,10899
1709252674.473025,2603032.000,43981,4,PG,1,100,10896
1709252674.513026,2603072.000,44001,3,PG,1,100,10895
1709252674.553027,2603112.000,44001,3,PG,1,100,10900
1709252674.593028,2603152.000,44001,3,PG,1,100,10888
1709252674.633529,2603192.500,44017,2,PG,1,100,10906
1709252674.674030,2603233.000,44017,2,PG,1,100,10888
1709252674.713698,2603272.667,44034,3,PG,1,100,10883
1709252674.753366,2603312.333,44034,3,PG,1,100,10891
1709252674.793033,2603352.000,44034,3,PG,1,100,10906
1709252674.833034,2603392.000,44051,2,PG,1,100,10888
1709252674.873035,2603432.000,44051,2,PG,1,100,10905
1709252674.913036,2603472.000,44067,3,PG,1,100,10916
1709252674.953037,2603512.000,44067,3,PG,1,100,10904
1709252674.993038,2603552.000,44067,3,PG,1,100,10912
1709252675.033040,2603592.000,44083,2,PG,1,100,10901
1709252675.073040,2603632.000,44083,2,PG,1,100,10913
1709252675.113042,2603672.000,44099,3,PG,1,100,10912
1709252675.153043,2603712.000,44099,3,PG,1,100,10892
1709252675.193044,2603752.000,44099,3,PG,1,100,10910
1709252675.233045,2603792.000,44116,3,PG,1,100,10884
1709252675.273046,2603832.000,44116,3,PG,1,100,10897
1709252675.313047,2603872.000,44116,3,PG,1,100,10904
1709252675.353048,2603912.000,44133,3,PG,1,100,10899
1709252675.393049,2603952.000,44133,3,PG,1,100,10900
1709252675.433050,2603992.000,44133,3,PG,1,100,10906
1709252675.473051,2604032.000,44150,2,PG,1,100,10902
1709252675.513052,2604072.000,44150,2,PG,1,100,10889
1709252675.553053,2604112.000,44164,3,PG,1,100,10893
1709252675.593054,2604152.000,44164,3,PG,1,100,10909
1709252675.633055,2604192.000,44164,3,PG,1,100,10895
1709252675.673056,2604232.000,44182,2,PG,1,100,10911
1709252675.713057,2604272.000,44182,2,PG,1,100,10908
1709252675.753058,2604312.000,44198,3,PG,1,100,10907
1709252675.793059,2604352.000,44198,3,PG,1,100,10895
1709252675.833060,2604392.000,44198,3,PG,1,100,10888
1709252675.873061,2604432.000,44215,2,PG,1,100,10899
1709252675.913062,2604472.000,44215,2,PG,1,100,10884
1709252675.953063,2604512.000,44230,3,PG,1,100,10883
