LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1709252672.219966,2600779.000,43625,3,PR,1,100,135084
1709252672.219966,2600779.000,43625,3,PR,1,100,135089
1709252672.219966,2600779.000,43625,3,PR,1,100,135095
1709252672.259967,2600819.000,43642,2,PR,1,100,135086
1709252672.299968,2600859.000,43642,2,PR,1,100,135092
1709252672.339969,2600899.000,43657,3,PR,1,100,135079
1709252672.379970,2600939.000,43657,3,PR,1,100,135083
1709252672.419971,2600979.000,43657,3,PR,1,100,135090
1709252672.459972,2601019.000,43674,2,PR,1,100,135082
1709252672.499973,2601059.000,43674,2,PR,1,100,135092
1709252672.539974,2601099.000,43692,3,PR,1,100,135106
1709252672.579975,2601139.000,43692,3,PR,1,100,135099
1709252672.619977,2601179.000,43692,3,PR,1,100,135094
1709252672.659977,2601219.000,43710,3,PR,1,100,135105
1709252672.699979,2601259.000,43710,3,PR,1,100,135099
1709252672.739980,2601299.000,43710,3,PR,1,100,135095
1709252672.779981,2601339.000,43726,2,PR,1,100,135091
1709252672.819982,2601379.000,43726,2,PR,1,100,135096
1709252672.859983,2601419.000,43743,4,PR,1,100,135108
1709252672.899984,2601459.000,43743,4,PR,1,100,135109
1709252672.939985,2601499.000,43743,4,PR,1,100,135101
1709252672.979986,2601539.000,43743,4,PR,1,100,135106
1709252673.019987,2601579.000,43760,2,PR,1,100,135101
1709252673.059988,2601619.000,43760,2,PR,1,100,135112
1709252673.104656,2601663.667,43777,3,PR,1,100,135118
1709252673.149324,2601708.333,43777,3,PR,1,100,135103
1709252673.193991,2601753.000,43777,3,PR,1,100,135098
1709252673.233492,2601792.500,43793,2,PR,1,100,135140
1709252673.272994,2601832.000,43793,2,PR,1,100,135115
1709252673.312994,2601872.000,43810,3,PR,1,100,135101
1709252673.352996,2601912.000,43810,3,PR,1,100,135117
1709252673.392997,2601952.000,43810,3,PR,1,100,135107
1709252673.432998,2601992.000,43825,2,PR,1,100,135092
1709252673.472999,2602032.000,43825,2,PR,1,100,135090
1709252673.513333,2602072.333,43842,3,PR,1,100,135089
1709252673.553668,2602112.667,43842,3,PR,1,100,135096
1709252673.594002,2602153.000,43842,3,PR,1,100,135089
1709252673.634003,2602193.000,43859,2,PR,1,100,135104
1709252673.674004,2602233.000,43859,2,PR,1,100,135078
1709252673.713672,2602272.667,43876,3,PR,1,100,135106
1709252673.753339,2602312.333,43876,3,PR,1,100,135091
1709252673.793007,2602352.000,43876,3,PR,1,100,135094
1709252673.833008,2602392.000,43890,2,PR,1,100,135080
1709252673.873009,2602432.000,43890,2,PR,1,100,135087
1709252673.913010,2602472.000,43907,3,PR,1,100,135088
1709252673.953011,2602512.000,43907,3,PR,1,100,135070
1709252673.993012,2602552.000,43907,3,PR,1,100,135062
1709252674.033013,2602592.000,43926,2,PR,1,100,135085
1709252674.073014,2602632.000,43926,2,PR,1,100,135078
1709252674.113015,2602672.000,43943,3,PR,1,100,135063
1709252674.153017,2602712.000,43943,3,PR,1,100,135052
1709252674.193017,2602752.000,43943,3,PR,1,100,135054
1709252674.233019,2602792.000,43957,3,PR,1,100,135070
1709252674.273020,2602832.000,43957,3,PR,1,100,135087
1709252674.313021,2602872.000,43957,3,PR,1,100,135071
1709252674.353022,2602912.000,43980,4,PR,1,100,135051
1709252674.393023,2602952.000,43980,4,PR,1,100,135066
1709252674.433024,2602992.000,43980,4,PR,1,100,135071
1709252674.473025,2603032.000,43980,4,PR,1,100,135046
1709252674.513026,2603072.000,44000,3,PR,1,100,135056
1709252674.553027,2603112.000,44000,3,PR,1,100,135075
1709252674.593028,2603152.000,44000,3,PR,1,100,135043
1709252674.633529,2603192.500,44016,2,PR,1,100,135038
1709252674.674030,2603233.000,44016,2,PR,1,100,135027
1709252674.713698,2603272.667,44033,3,PR,1,100,135031
1709252674.753366,2603312.333,44033,3,PR,1,100,135007
1709252674.793033,2603352.000,44033,3,PR,1,100,135001
1709252674.833034,2603392.000,44050,2,PR,1,100,135035
1709252674.873035,2603432.000,44050,2,PR,1,100,135029
1709252674.913036,2603472.000,44066,3,PR,1,100,135021
1709252674.953037,2603512.000,44066,3,PR,1,100,135018
1709252674.993038,2603552.000,44066,3,PR,1,100,135029
1709252675.033040,2603592.000,44082,2,PR,1,100,135011
1709252675.073040,2603632.000,44082,2,PR,1,100,135031
1709252675.113042,2603672.000,44098,3,PR,1,100,135029
1709252675.153043,2603712.000,44098,3,PR,1,100,135025
1709252675.193044,2603752.000,44098,3,PR,1,100,135009
1709252675.233045,2603792.000,44115,3,PR,1,100,135019
1709252675.273046,2603832.000,44115,3,PR,1,100,135003
1709252675.313047,2603872.000,44115,3,PR,1,100,135005
1709252675.353048,2603912.000,44132,3,PR,1,100,135006
1709252675.393049,2603952.000,44132,3,PR,1,100,135013
1709252675.433050,2603992.000,44132,3,PR,1,100,135005
1709252675.473051,2604032.000,44149,2,PR,1,100,135000
1709252675.513052,2604072.000,44149,2,PR,1,100,135003
1709252675.553053,2604112.000,44163,3,PR,1,100,135014
1709252675.593054,2604152.000,44163,3,PR,1,100,134995
1709252675.633055,2604192.000,44163,3,PR,1,100,135000
1709252675.673056,2604232.000,44181,2,PR,1,100,135005
1709252675.713057,2604272.000,44181,2,PR,1,100,134998
1709252675.753058,2604312.000,44197,3,PR,1,100,135003
