LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1709252674.386023,2602945.000,43974,2,RD,1,100,TL
1709252674.386023,2602945.000,43974,2,RD,1,100,TU
1709252676.940089,2605499.000,44789,2,RD,1,100,TL
1709252679.494156,2608053.000,44789,2,RD,1,100,TU
1709252682.050723,2610609.500,45603,2,RD,1,100,TL
1709252684.607290,2613166.000,45603,2,RD,1,100,TU
1709252687.162856,2615721.500,46368,2,RD,1,100,TL
1709252689.718423,2618277.000,46368,2,RD,1,100,TU
1709252692.271990,2620830.500,47183,2,RD,1,100,TL
1709252694.825556,2623384.000,47183,2,RD,1,100,TU
1709252697.391623,2625950.000,48006,2,RD,1,100,TL
1709252699.957690,2628516.000,48006,2,RD,1,100,TU
1709252702.522758,2631081.000,48834,2,RD,1,100,TL
1709252705.087824,2633646.000,48834,2,RD,1,100,TU
1709252707.641391,2636199.500,49645,2,RD,1,100,TL
1709252710.194958,2638753.000,49645,2,RD,1,100,TU
1709252712.756025,2641314.000,50468,2,RD,1,100,TL
1709252715.317091,2643875.000,50468,2,RD,1,100,TU
1709252717.884659,2646442.500,51292,2,RD,1,100,TL
1709252720.452226,2649010.000,51292,2,RD,1,100,TU
1709252723.016793,2651574.500,52119,2,RD,1,100,TL
1709252725.581360,2654139.000,52119,2,RD,1,100,TU
1709252728.147427,2656705.000,52949,2,RD,1,100,TL
1709252730.713494,2659271.000,52949,2,RD,1,100,TU
1709252733.276561,2661834.000,53775,2,RD,1,100,TL
1709252735.839628,2664397.000,53775,2,RD,1,100,TU
1709252738.391694,2666949.000,54585,2,RD,1,100,TL
1709252740.943761,2669501.000,54585,2,RD,1,100,TU
1709252743.501828,2672059.000,55410,2,RD,1,100,TL
1709252746.059895,2674617.000,55410,2,RD,1,100,TU
1709252748.620961,2677178.000,56238,2,RD,1,100,TL
1709252751.182028,2679739.000,56238,2,RD,1,100,TU
1709252753.740595,2682297.500,57071,2,RD,1,100,TL
1709252756.299162,2684856.000,57071,2,RD,1,100,TU
1709252758.871229,2687428.000,57899,2,RD,1,100,TL
1709252761.443296,2690000.000,57899,2,RD,1,100,TU
1709252764.004863,2692561.500,58725,2,RD,1,100,TL
1709252766.566430,2695123.000,58725,2,RD,1,100,TU
1709252769.130497,2697687.000,59552,2,RD,1,100,TL
1709252771.694564,2700251.000,59552,2,RD,1,100,TU
1709252774.245131,2702801.500,60366,2,RD,1,100,TL
1709252776.795697,2705352.000,60366,2,RD,1,100,TU
1709252779.357764,2707914.000,61197,2,RD,1,100,TL
1709252781.919831,2710476.000,61197,2,RD,1,100,TU
1709252784.483398,2713039.500,62028,2,RD,1,100,TL
1709252787.046965,2715603.000,62028,2,RD,1,100,TU
1709252789.612032,2718168.000,62859,2,RD,1,100,TL
1709252792.177099,2720733.000,62859,2,RD,1,100,TU
1709252794.744666,2723300.500,63686,2,RD,1,100,TL
1709252797.312233,2725868.000,63686,2,RD,1,100,TU
1709252799.879300,2728435.000,64514,2,RD,1,100,TL
1709252802.446367,2731002.000,64514,2,RD,1,100,TU
1709252805.010434,2733566.000,65343,2,RD,1,100,TL
1709252807.574501,2736130.000,65343,2,RD,1,100,TU
1709252810.128568,2738684.000,625,2,RD,1,100,TL
1709252812.682635,2741238.000,625,2,RD,1,100,TU
1709252815.248702,2743804.000,1457,2,RD,1,100,TL
1709252817.814769,2746370.000,1457,2,RD,1,100,TU
1709252820.367335,2748922.500,2272,2,RD,1,100,TL
1709252822.919902,2751475.000,2272,2,RD,1,100,TU
1709252825.491969,2754047.000,3108,2,RD,1,100,TL
1709252828.064036,2756619.000,3108,2,RD,1,100,TU
1709252830.633603,2759188.500,3947,2,RD,1,100,TL
1709252833.203171,2761758.000,3947,2,RD,1,100,TU
1709252835.755737,2764310.500,4793,2,RD,1,100,TL
1709252838.308304,2766863.000,4793,2,RD,1,100,TU
1709252840.871371,2769426.000,5625,2,RD,1,100,TL
1709252843.434438,2771989.000,5625,2,RD,1,100,TU
1709252845.984004,2774538.500,6452,2,RD,1,100,TL
1709252848.533571,2777088.000,6452,2,RD,1,100,TU
